full_text,tweet_id,screen_name
chris has been withholding tomato sauce from me,1520915460849610752,mark__ruffalo
"//Rumors that the sixth episode of moon knight  has a post credit scene and the scene will be one of 6 possibilities: 
1. Mark Ruffalo as a hulk 
2.Marc's third character Jack Lockley 
3. Mahershala Ali as blade 
4.a hint that Steven is still alive",1520912654830821378,Laylamarven
"You're Annie, you like puzzles, and little monsters on your pencil, and some guy named Mark Ruffalo. You're a fierce competitor, and a sore loser. You expect everybody to be better than who they are, and you expect yourself to be better than everyone, which... is cool.",1520906941383380992,nadiaquotestm
“i wonder what mark ruffalo is doing rn”,1520903136520683522,sofaritscass
Mark Ruffalo in 13 going on 30&gt;&gt;&gt;&gt;,1520897749755232256,saydidsaldana
MY GOD THE F*CKING MARK RUFFALO! https://t.co/EVml2yfars,1520883498709663744,um_bebe_diabo
Hulk DUMB! Marvel Studios actor Mark Ruffalo is a TRUE Hollywood CLOWN! https://t.co/NCmvdCOynr via @YouTube,1520882586872074241,BGrypma
Mark Ruffalo being someone’s unstable daddy es mi nuevo crush 🌼 https://t.co/PZ1MA9VyBp,1520882338489585671,Valegarie
"adam reed ryan reynolds the adam project zoe saldana jennifer garner mark ruffalo netflix deadpool wade wilson marvel edit fancam fc
 https://t.co/wV96DBjQ3M",1520878932932939776,elfzgore
another banger text from mom https://t.co/Oyr8xlj2EU,1520877110847590402,mark__ruffalo
she’s CRAZY https://t.co/hQei4A3ux5,1520876139811680257,mark__ruffalo
"Zodiac was amazing and I loved every performance front the movie including Jake Gyllenhaal, RDJ and even Mark Ruffalo did good in the movie.
Parts of it I remember watching it a long time but this time I saw the movie full, it was great and directed by David Fincher. https://t.co/fPBZOhOWfa",1520865038805856256,ArkhamBatSpidey
I’m ready to watch a solo Mark Ruffalo hulk movie https://t.co/p53RnMwUKQ,1520860820372078592,NosiphoL__
"Avengers: Age of Ultron, written and directed by Joss Whedon and starring Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, Don Cheadle, Elizabeth Olsen, James Spader and Samuel L. Jackson, was released on this day in 2015 (USA) 🎬 https://t.co/cZ5SRAaqu4",1520856045903515648,SciFi31
I ♥️ Mark Ruffalo,1520854763612807168,1818jukebox
13 going 30 is my weakness mark ruffalo is so cute,1520852959696932869,frogrry
any movie with mark ruffalo is my comfort movie,1520852367163416581,ryanexpaige
Mark Ruffalo was so fine in 13 Going On 30. SO FINE.,1520849331280039937,maryemmaaa
Harris Faulkner Blasts Actor Mark Ruffalo For Calling Russia-Ukraine War 'Gift' https://t.co/JqzhL7KD9t,1520827245719441410,haveaconcern
"Still waiting for this movie to drop. My community needs to stop thinking of themselves as a race of Americans and see ourselves as the Oceti Sakowin (#Lakota) #AmericanIndian #NativeAmerican #Indigenous 

https://t.co/UfXPGsb7co",1520811909058080770,ToesTanner
"Windtalkers (2002) directed by John Woo. Two U.S. Marines in World War II are assigned to protect Navajo Marines, who use their native language as an unbreakable radio cypher. Nicolas Cage, Adam Beach, Peter Stormare, Mark Ruffalo, Christian Slater. https://t.co/R7K6xBCuyx https://t.co/0XsOSMk8jr",1520810279399002112,DVD_Daddy
"I saw Mark Ruffalo in Cozumel today. 

On a mask of a random guy at the ferry terminal. And of course I couldn't stop saying hello to Mark Ruffalo's face.",1520809846706212864,la_paTana
"One of my favorite lines from TBBT:
“Call me a romantic. I like to think that your Mark Ruffalo is still out there somewhere🐞…”
#sheldoncooper #tbbt #Netflix",1520806266557190144,b_rabbit777
"Jason Bateman 
Mark Ruffalo 
Paul Rudd

That's it. That's the tweet.",1520801273108385794,AshholeKoncel
I love mark ruffalo,1520792030322044929,lorynbalandran
"Released May 1, 2015, Avengers: Age of Ultron starred Robert Downey Jr, Chris Evans, Mark Ruffalo, and James Spader.

It was directed by Joss Whedon.

Spader was selectrd for Ultron due to his ""hypnotic voice being eerily calm and compelling…while also very human and humorous."" https://t.co/4k6ps1GB0y",1520789890782441474,yogomimovies
Young mark ruffalo 😩,1520781889233170432,prkerdaya
Good (but disturbing) movie with Mark Ruffalo called “Dark Waters” covers this. https://t.co/hfFRKzvEIv,1520779965209333760,nofreakinname
Tommy had a twitter argument with Noh Varr for fancasting Mark Ruffalo as Eli,1520760232779034627,YAhottakes
