full_text,tweet_id,screen_name
If Mark Scheifele spent more time focusing on back-checking instead of  promoting Kia on his Instagram. The Jets might’ve made the playoffs. #NhlJets,1520915646187507712,Kozaak69
Mark Scheifele wants out of Winnepeg https://t.co/igMMY19j1e https://t.co/AwbHuzhA1Z,1520914860342534144,HockeyPatrol
Just in: MPI has announced Mark Scheifele will receive five demerits for how he maneuvered around questions during his post-game interview. #NHLJets #BuckleUp,1520911741911281664,spinohockey
Mark Scheifele is a left wing looy tune...Trump broke him !😂 https://t.co/ebP5qprNCx,1520910549483196417,John88962453
"Not surprised to hear the comments of Mark Scheifele today, anyone paying attention to his on ice play/engagement &amp; off ice demeanour could see something went rotten a while ago. Not sure how we got here but it’s obvious to me what has to happen going forward #NHLJets",1520909098380062720,hustlerama
Goodnight to everyone except mark scheifele if ur mark scheifele fuck u,1520906961646141441,catboygretzky
"So I'm guessing the Mark Scheifele Statue, brought to you by Coors Light, is off for now?",1520904432191303680,DJHankWood
"Mark Scheifele’s 2023 Hart Trophy award winner narrative is something I didn’t think I’d ever see, but I’m here for it! 

#NHL #HockeyTwitter #NHLJets https://t.co/TqBXwvSF5a",1520904000794771460,LJRosengard
"Thread on why I don’t want to draft Matthew Savoie:

Kid basically has Mark Scheifele’s ego as a 17 year old.",1520903912991207433,itovitch
The answer to this question is Mark Scheifele isn’t and has never been Dale Hawerchuk. https://t.co/O2p68antdi,1520903372399853574,sliiiiip
"Mark Scheifele and Andrew Copp are best friends.  You don't think Copp hasn't been in his ear talking about how awesome New York is...and what it's like to play for an NHL calibre coach and system?

He's gone, and i don't blame him.  #NHLJets #gojetsgo",1520902673285140480,CousinSnarf
Off season notes. If Mark Scheifele is available that changes things for 31 other teams.,1520902605748248579,Josephk90
mark scheifele would try to convert me to christianity i think he has christian missionary vibes,1520902086308728832,catboygretzky
"If the Flyers are trying to compete next season, Mark Scheifele should be near the top of their wish list https://t.co/TpvL2mBnwq",1520901298702491650,travieballin26
in b4 Mark Scheifele receives all the blame while the coaching staff and GM get yet another free pass. #NHLJets #eyeroll,1520901096025206784,CousinSnarf
mark scheifele is my mortal enemy actually if there was one nhler I'd punch in the face its him,1520900923127701504,catboygretzky
Someone tell mark scheifele that not swearing isn't a personality trait and his good boy christian vibes r rancid,1520899398053552128,catboygretzky
"May 1, 2022

Mark Scheifele... Still spiraling. 

#GoJetsGo https://t.co/E9RmxSfsYH",1520898338413064198,MouradB
Was this Mark Scheifele’s last season in Winnipeg? #GoJetsGo,1520897899948879873,EliteJetsFans
"Would LOVE a 60 minute / 30 for 30 drama style program in like 2-3 years about the 19-22 #NHLJets with features from paul maurice, mark scheifele, blake wheeler, patrik laine. and other players in the room. dont think its a conspiracy anymore to say theres some interesting drama",1520894670154264577,nhlburnerboi
"I, for one, would like to thank Mark Scheifele for providing #NHLJets content for the next 3 months. 

Very appropriate that he elected to go on offense with his eye-opening comments, instead of taking a defense-first approach.",1520893022627639308,ICdrew
Prediction: Mark Scheifele will be traded at the draft. Just as Dale Hawerchuk was back in 1990. #NHLJets,1520892914599088136,JimCramptonWPG
Is Mark Scheifele a problem in the #NHLJets room?,1520892170168905736,JetEffectWPG
"As reported months ago, there is a lot of smoke around Mark Scheifele and the Jets.

https://t.co/PaeUFlghhW https://t.co/ufmivMs9N2",1520891638192779266,NHLRumourReport
Mark Scheifele. I need a couple hours off of Twitter. This fucking sucks.,1520884582459101190,bigcanadiano
Sounds like Mark Scheifele might be available,1520884060427538434,vids_nhl
#NHLJets C Mark Scheifele on what he needs to hear tomorrow in his exit meeting and if that could impact his future with the hockey club: https://t.co/3lZH3r5sbe,1520883560667885571,WiebesWorld
I can't believe what it has come to in Winnipeg for the Jets and Mark Scheifele. Unbelievable. A guy that had so much upside and mislead us with the amount of heart he has. Wtf is happening.,1520882412204527616,bigcanadiano
"My Takeaways: Stastny continues to be a better leader than the C himself, publicly. Mark Scheifele is gone. Lowry hated playing for his dad. Dave seemingly thinks him and his staff are coming back, and Dave and 55 were like water and oil. #NHLJets",1520880686068023296,NikLynam
"Trade Mark Scheifele for 3 more Logan Stanley’s, please. #nhljets #gojetsgo #cantteachtall",1520879867990056961,Maul_Paurice
Mark Scheifele saying he needs to see the direction of the team when he’s locked up and in my opinion part of the problem is slightly comical.,1520877789842444289,MattyJay91
"Interesting, if I'm the #NHLJets, I'm exploring every trade scenario for Mark Scheifele - and potentially Blake Wheeler - this off-season. https://t.co/d3ULwifFma",1520877578218885120,NHLJetsNation
Everyone's hart trophy ranking is so wrong the winner is obviously my best friend Mark Scheifele,1520483692476395520,Danthurion
11 12 Panini Draft NHL Tickets  #hockeycards https://t.co/E7qbUPVeAv,1520246724501159936,gems_card
"For #NHLJets to succeed, they must move on from following people this summer:

Kevin Cheveldayoff
Dave Lowry
Charlie Huddy
Stacey Nattress
Mark Scheifele

#gojetsgo",1520194328659959809,msilvawpg
11 12 Panini Draft NHL Tickets  #hockeycards https://t.co/nwVGikuzuO,1520070131698872322,gems_card
It's great to see Mark Scheifele back skating again. #NHLJets https://t.co/OiawkOmkA4,1520061291523719170,NHLJetsNation
Mark Scheifele sighting at #NHLJets AM skate in non contact jersey https://t.co/mKXJX2TJi3,1520061026523398146,KMooreCJOB
