full_text,tweet_id,screen_name
Max Scherzer beast mechanics beast results,1520915823040344070,RoamingStallion
Francisco Lindor mic’d up talking about Max Scherzer while turning a double play in game is elite level content @espn,1520915650356465669,keithewarner
@espn has @Lindor12BC mic’d up at shortstop tonight! He is providing insight about how he plays defense and his relationship with his new teammate @Max_Scherzer all while trying to play defense. This is the first year @espn has done Mic’d up segments while on the field!,1520915141084262401,SamLandesman
"Here’s something ESPN won’t tell you:

Max Scherzer looks strong tonight — almost too strong.

On 9/15/69, Steve Carlton struck out 19 Mets, but New York defeated Cardinals 4-3. Carlton allowed 2 HR, 9 hits in 9 IP.",1520914800460578818,JimLongo63
@Max_Scherzer with the strikeout! @Mets #LFGM https://t.co/dQJ0jqhORT,1520914781833764871,TheWilliamRivas
Max Scherzer is The Riddler! https://t.co/L0vXnqAre8,1520914766444773377,SplitSeason1981
“Max doesn’t exist when he’s pitching” is probably the best description I’ve heard for Max Scherzer yet.,1520914385581006849,Metsmerized
“Don’t talk to me” - Max Scherzer #LFGM,1520914357957414913,H3nrink
Francisco Lindor says no one can to Max Scherzer when he's pitching,1520914343281541122,gfstarr1
"Phillies  1  (Batting: #17 Rhys Hoskins)
Mets  2  (Pitching: #21 Max Scherzer)
Top of 3rd, 1 Out, Man on first",1520914018046820352,OllieNYankees
I really don’t think there’s as fierce of a competitor in baseball besides Max Scherzer,1520913677037318147,SchwartztoNYI
If Max Scherzer wasn’t a baseball player he’d be in a maximum security prison https://t.co/iDxRSOBWW4,1520913361948528643,_Hornik_
Max Scherzer enjoying something: https://t.co/haxsxPYBzK https://t.co/aB2CsOVbXW,1520913199993962497,garbage_mets
Max Scherzer is a psycho 😂 https://t.co/Unfiq1gTaF,1520913103478796288,jjah22861
I LOVE MAX SCHERZER SO MUCH MAN LMFAOOO FUCKING PSYCHO 🤣 #LGM https://t.co/3uuqv9DLgO,1520913103285673984,MetsfanOnYT
Not recommended: Taking the lead against Max Scherzer and then immediately giving it back. https://t.co/iaGteZRguq,1520912898486378499,PhilliesNation
Zach Eflin after his team gets the lead against Max Scherzer: https://t.co/O6hxXHecym,1520912880576696321,PhilliesInfo10
"Phillies  1  (Batting: #37 Odubel Herrera)
Mets  2  (Pitching: #21 Max Scherzer)
Top of 3rd, 0 Out, No one on",1520912677421436931,OllieNYankees
"Eduardo Rodriguez: First Tigers pitcher to give up 8+ hits and 6+ runs at Dodger Stadium since Max Scherzer, Apr 21 2011 (L 1-6).
https://t.co/NZkgHCqOnW",1520912562044518402,dakern74
"When you score a run off Max Scherzer, especially to take the lead, it is SO IMPORTANT to come out &amp; have a shut down inning. Keep the momentum going. 

Eflin did not do this.",1520912291121741826,GregTalksALot
(Max) Scherzer let up a home run immediately after this tweet https://t.co/gD0BrJSoKZ,1520911103437455360,JamesMurphy34
Max Scherzer scares me,1520910445409931264,Jordo_13
Max Scherzer is always good for one early inning homerun. https://t.co/MKqiDTJ4Mo,1520910425478639619,BradBravesTakes
Max Scherzer and Buck Showalter might fight an entire team https://t.co/LTZXAIzhBB,1520910322873294848,FrostedBlakes34
"Begged, Pleaded, cried for #Mets  to sign Schwarber last OS!

You know who else did?

Max Scherzer!

#Mets can wear the L on that one it was so obvious he was the lefty power bat they needed! https://t.co/0RyJeODpCj",1520909857762816001,Tobycooklyn
Wow this ESPN baseball crew needs to get a room with max scherzer,1520909856667947011,VinnyRayCDA
I refuse to believe I’m older than Max Scherzer.,1520909827614121984,DisastersNacho
"If the Phillies beat the Mets (and Max Scherzer) tonight, it will be the first series loss for New York this season (seventh series of the year).",1520909805388451842,GregTalksALot
Max Scherzer really struck out 5 straight to start the game just to have Kyle hit a SCHWARBOMB,1520909746349428736,KostivalonBase
I think about this Max Scherzer moment a lot https://t.co/tGEHzdo7mP,1520909654636777474,FrostedBlakes34
"Kyle Schwarber, thankfully, deposits a ball over the fence and ends the nonstop Max Scherzer love feat",1520909565138714631,GalloSays17
"The ESPN broadcast has used “Scherzenator” as a nickname for Max Scherzer multiple times tonight. 

How do you feel about it?",1520909436365201408,Metsmerized
"We mentioned during Sunday Night Spaces that Max Scherzer is far more vulnerable against LHB than RHB. 

⚾️ Through 2 innings:
RHB: 1-for-5 (Single, 4 strikeouts) v. Scherzer
LHB: 1-for-3 (Home run, 1 strikeout) v. Scherzer https://t.co/ASrL1Gkx1f",1520909376692887553,DelphiCommish
"Although @Max_Scherzer racks up 2 more strikeouts in the Top of the 2nd, @kschwarb12 hits a solo shot to put the Phillies up 1-0. #LGM #SundayNightBaseball #Phillies",1520909199806541824,SamLandesman
"Schwarber owning Max Scherzer, perennial weirdo, is something I can absolutely get behind",1520909171633397761,TBeebs14
I would not piss off Max Scherzer https://t.co/wgIfHL8i2u,1520908919178244099,FrostedBlakes34
"We might still lose, but Kyle Schwarber hit a bomb off Max Scherzer.

I win. #RingTheBell https://t.co/2PJGnXsXs7",1520908901092364288,PotatoCam69
ESPN trying to give Max Scherzer a new nickname is quite cringe. It’s Mad Max not “The Scherzanator” lmaoo so dumb,1520908871006507008,MattWadkowski
"KYLE SCHWARBER JUST HIT A BOMB OFF MAX SCHERZER. 

Holy hell. The baseball circle is complete. https://t.co/RqkEvATydv",1520908748545478656,LONTDC1
"Kyle Schwarber vs Max Scherzer
#RingTheBell

Home Run 💣

Exit velo: 113.2 mph
Launch angle: 20 deg
Proj. distance: 388 ft

This would have been a home run in 27/30 MLB ballparks

PHI (1) @ NYM (0)
🔺 2nd https://t.co/jeq9wfILhy",1520908715020365825,would_it_dong
"If they keep calling Max Scherzer the ""Scherzinator"" all night I might actually turn the game off",1520908708980666375,justinnicosia20
Who calls Max Scherzer “Scherzinator”????,1520908644866752517,ryandriscoll227
Max Scherzer on these pitches: https://t.co/xCtAVi2SDF,1520908492751704065,TE__GOTTI
Max Scherzer genuinely is one of kind on the mound. Just the way he calls off signs is hilarious,1520908377236414465,SamLanier10
"Arod: “This guy is on fire” speaking about Max Scherzer 

Next at bat: Schwarber hits a HR

TO ALL SPORTS ANNOUNCERS… PLEASE STOP JINXING",1520908243035377667,ToddyWoddy1330
God I miss Max Scherzer though,1520908204783378432,Quillionaire
Hopefully that was the start of the figure out the Max Scherzer Puzzle 🙏🏽,1520908187045711877,IamDamaazLive
Max Scherzer lowkey out here trying to give out HRs. He better start working that off speed it’s gone get ugly.,1520908110088609797,Godson_Sincere
"Former Nat Shwarber takes former Nat Scherzer Deep.
Breaking up Max’s Perfect 5up-5Ks",1520908085543456770,JBennett_58
Max Scherzer strikes out the first 5 batters but with Kyle Schwarber up he hits a homerun to give the Phils a 1-0 lead! Now Bohm has gotten a single too.,1520908073623343104,Daniel_Mumbower
Like @Max_Scherzer is pitching and you’d never know it. It’s like a zoom call. https://t.co/04CUsqeTka,1520908046100221952,natsteacher
@Mets Max scherzer is a tool,1520908038798032896,tjennis8582
“close your eyes and swing” is probably as valid a strategy against Max Scherzer as any other,1520908032355487744,erhudy
"Based on the things I shouted toward my TV after Schwarber took Scherzer deep, I don't think I'm Max Scherzer's biggest fan",1520908021546856459,QueenCityPhils
"Tonight was the first time in his career Max Scherzer struck out the first five batters he faced.

#Mets #Phillies",1520907963145375745,DavidSalituro
"K, K, K, K, K, HR against Max Scherzer to start. Thats baseball Suzyn",1520907947710324736,_JohnGrimaldi
"Phillies  1  (Batting: #7 Johan Camargo)
Mets  0  (Pitching: #21 Max Scherzer)
Top of 2nd, 2 Out, Man on first",1520907946422681600,OllieNYankees
Well I jinxed Max Scherzer,1520907901589729280,YankFanRoseman
"Kyle Schwarber has his second home run in as many nights, snapping five straight strikeouts by Max Scherzer to begin the game.",1520907900973207554,PhilliesNation
F*ck you Max Scherzer #Mets #phillies #fightins,1520907894040010754,zacharywyllie
"After Max Scherzer started the game with five consecutive strikeouts (15 swings, 10 whiffs), Kyle Schwarber hits a solo homer to right! Let’s go Schwarbs!",1520907889862492168,philliesnatio11
I love Max Scherzer. Tbh I’m 100x more sad the Angels didn’t get him than Cole (biased Scherzer lover),1520907871508041728,AnaheimTank99
Max Scherzer strikes out the first five batters of the game and then gives up a Home Run to Kyle Schwarber. Baseball is a weird game! #MLB,1520907821709201409,HWoodWorldSport
Fuck Max Scherzer #RingTheBell,1520907812263677952,LazyButTalenteD
Max Scherzer every single time a batter makes contact with one of his pitches. #Mets https://t.co/KvQNvw3GUi,1520907801060593664,joshuagale75
I was just about to call it. I knew that Max Scherzer was going to serve up a fat fastball. It left in a hurry 😳😳😳,1520907799076737024,chewyhwy211
LMAO Max scherzer got rocked by shwarber. Mets are so overrated,1520907782215671816,Taliboner
striking out the first five batters and then giving up a solo home run. that’s the Max Scherzer experience!,1520907754772312065,lobsterbooty
"Max Scherzer strikes out the first 5 in dominant fashion.

Then Kyle Schwarber is Kyle Schwarber.",1520907736682307585,WE_ARE_MET_FANS
Max Scherzer struck out first five then gives up a bomb. #mlb #baseball #thehobby,1520907721716940803,CentralPA_cards
Max Scherzer is really good at baseball.   So is Kyle Schwarber,1520907677878165505,ChiTownSports
"#Phillies 1 @ #Mets 0 [T2-2o]:

Kyle Schwarber homers (6): line drive to RCF (solo)

Hit: 388ft, 113.2mph🔥, 20°🚀

Pitch: 94.6mph Four-Seam Fastball (RHP Max Scherzer, 2)",1520907676129054726,DingerTracker
Max Scherzer with 5 Ks to start the game... sheesh,1520907667958603788,AJGV_9
"Kyle Schwarber off RHP Max Scherzer - 113.2 mph, 20 degrees (388 ft Home Run)
94.6 mph 4-Seam Fastball
#Phillies @ #Mets (T2)",1520907636929089536,MLBBarrelAlert
@Max_Scherzer I ♥️ you,1520907636274872323,codyfrompmw99
"Kyle Schwarber just hit a HOME RUN off Max Scherzer!

https://t.co/EyOOVBNw0j",1520907633762447362,LineStarMLB
"Not tonight, Max Scherzer, who struck out the first five batters before who else but Kyle Schwarber took him super deep to right field. Mets no-hitter drought now at two games.",1520907622664314880,JerryBeach73
I hate hate hate that Max Scherzer is a Met,1520907617236930561,derekhurlbert
"MLB at 7:26 pm, not tonight Max Scherzer, everyone go home and put a movie on...",1520907614690947073,larryfleisher
You wish you were max scherzer,1520907598198939649,pryan18
Max Scherzer is throwing fuckin’ angry right now and I’m here for it. @Mets #NYMvsPHI #LGM,1520907588409479171,_Razzle_Dazzle_
MAD MAX Scherzer ON ONE,1520907583426605058,jcrediblewritin
@Max_Scherzer has struck out the first 5 @Phillies,1520907583376211969,JConstantinides
Max Scherzer 5 straight strikeouts 👀,1520907582499692545,HeatherAmbers0n
What if Max Scherzer simply just struck out every batter he faced?,1520907578397626368,TheRoarOf1984
"#Phillies Kyle Schwarber homers (6) 388ft on a line drive to right center off #LGM #Mets Max Scherzer.

PHI 1 @ NYM 0; TOP 2",1520907561846951939,mlb_home_runs
Max Scherzer is a beast,1520907561767157761,Knicks_AndDimes
