full_text,tweet_id,screen_name
"Report: Backlash over Ads Featuring Anthem-Kneeler Megan Rapinoe Adds to Subway‘s Woes
 https://t.co/MN4eneosiL via @BreitbartNews 

#TrueToxicMasculinty #NikeSlaveLabor #FakeTuna",1520913511320276994,Sam695411
Report: Backlash over Ads Featuring Anthem-Kneeler Megan Rapinoe Adds to Subway’s Woes https://t.co/pVxs7f8r2O,1520908759215886336,BordersUSA
"This is certainly a reason why I wouldn't go to @SUBWAY. That un-American soccer player is the worst! 

Report: Backlash over Ads Featuring Anthem-Kneeler Megan Rapinoe Adds to Subway‘s Woes https://t.co/0tZ1qhmhsm via @BreitbartNews",1520906960673062914,DarrenUtd
Report: Backlash over Ads Featuring Anthem-Kneeler #MeganRapinoe Adds to #Subway's Woes https://t.co/XaJMoeAa79 From @BreitbartNews,1520906929236631552,music_amigo
Report: Backlash over Ads Featuring Anthem-Kneeler Megan Rapinoe Adds to Subway’s Woes https://t.co/z9ZwneozXQ,1520904673640673280,MichaelPBryant2
JUST MET MEGAN RAPINOE. WTF IS MY LIFE,1520899756142342144,marina_loves_
"First Jared now this mutt

Report: Backlash over Ads Featuring Anthem-Kneeler Megan Rapinoe Adds to Subway‘s Woes https://t.co/3vja1VqdwP via @BreitbartNews",1520896040165027840,mcleary55
Report: Backlash over Ads Featuring Anthem-Kneeler Megan Rapinoe Adds to Subway’s Woes.    Bad move !!! https://t.co/L54dhoJC3b,1520894308836118529,Monica34987
Report: Backlash over Ads Featuring Anthem-Kneeler Megan Rapinoe Adds to Subway’s Woes https://t.co/DhA7sEoD8Z,1520893200243773445,MMCBELL
"Report: Backlash over Ads Featuring Anthem-Kneeler Megan Rapinoe Adds to Subway’s Woes

Oh this is awesome United States of America everybody is waking up call woke go broke worthless people https://t.co/aSP2zRfufL",1520893082350280708,CraneManMikey
Report: Backlash over Ads Featuring Anthem-Kneeler Megan Rapinoe Adds to Subway’s Woes 🤮⁦@Jim_Jordan⁩  https://t.co/7BWo3H3vhB,1520890437132820487,holywell_john
Report: Backlash over Ads Featuring Anthem-Kneeler Megan Rapinoe Adds to Subway's Woes https://t.co/XXD1qW2eaI https://t.co/ATr27xqGPU,1520885895741779975,real_DRN
Report: Backlash over Ads Featuring Anthem-Kneeler Megan Rapinoe Adds to Subway's Woes https://t.co/4qI7agsLGf,1520882733018492931,MR_PUNJABI
"Go woke, go broke, you arrogant, stupid assholes.

https://t.co/IqOdErvuUv",1520880299000872961,TimothyStraus1
Backlash over Ads Featuring Anti-American Anthem Kneeler Megan Rapinoe Adds to NYC Subway‘s Woes https://t.co/e40LAG1hV8 via @BreitbartNews,1520873554920701952,FishmanLevine
I have not eaten at Subway since Megan Rapinoe was sponsored by Subway.,1520871701235478528,LoganDon2
Report: Backlash over Ads Featuring Anthem-Kneeler Megan Rapinoe Adds to Subway‘s Woes https://t.co/6RTac7OgLh via @BreitbartNews,1520867626087596039,Rabbittgirl
