full_text,tweet_id,screen_name
"Uncle Mike!  Michael Brantley autographed card, $40.  #Astros https://t.co/IQFc9PLJpN",1520914752834355200,AstrosAtoZ
2022 Topps Archives Signature Serie #thehobby https://t.co/1kNu6Fi5kl,1520894791596544000,CardboardFeed
2022 Topps Archives Signature S #sportscards https://t.co/4VtioTa5lL,1520889587660427266,cardwatch123
Question: Is @CoryBooker moonlighting as Michael Brantley? 🤔 https://t.co/9LpW6Gvzek,1520858659173150722,CynicRay
#Astros Michael Brantley is a big liability today. Grandpa Mike,1520857142294634498,NixonandIke
"#Astros 2 @ #BlueJays 3
[Top 8th, 2 out]:

Michael Brantley called out on strikes.

Mayza: 0.2 IP, 0 H, 1 K [5 pitches, 4 strikes]",1520856792158380032,BlueJaysPBP
Blue Jays legend Michael Brantley,1520844452083945472,thejaysnation
"#Astros @ #BlueJays

Due up for HOU in the top of the 6th:

Martín Maldonado
Chas McCormick
Michael Brantley",1520842577402122240,BlueJaysPBP
New #Astros from Houston Chronicle — Michael Brantley back in Astros’ lineup for finale vs. Blue Jays https://t.co/9mKWyIWLmG,1520836056156880896,ChronAstros
I would let Michael Brantley do nasty things to me 😮‍💨,1520833092524642306,iHoneyyBear
"#Astros 0 @ #BlueJays 0
[Top 4th, 1 out]:

Michael Brantley lines out to CF Bradley Zimmer.

Gausman: 3.1 IP, 1 H, 5 K [43 pitches, 33 strikes]",1520832625925144577,BlueJaysPBP
"#Astros @ #BlueJays

Due up for HOU in the top of the 4th:

Michael Brantley
Aledmys Díaz
Yordan Alvarez",1520831761869115398,BlueJaysPBP
"Michael Brantley, noted Blue Jays legend of course………, is back in the lineup today &amp; up next - he taps an 0-2 grounder to 2nd &amp; it’s an easy throw to 1st for the 2nd out. #Astros https://t.co/BpRj2ExQT7",1520821027143618561,AstrosFansUK
"#Astros 0 @ #BlueJays 0
[Top 1st, 2 out]:

Michael Brantley grounds out, 2B Santiago Espinal to 1B Vladimir Guerrero.

Gausman: 0.2 IP, 0 H [5 pitches, 4 strikes]",1520820959875371013,BlueJaysPBP
"#Astros @ #BlueJays 
Due up for HOU in Top 1st:

Chas McCormick
Michael Brantley
Aledmys Díaz",1520820661140217856,BlueJaysPBP
New from Houston Chronicle — Michael Brantley back in Astros’ lineup for finale vs. Blue Jays https://t.co/CwDxJ8pD9p,1520806438746083328,ChronTXSN
Michael Brantley back in Astros’ lineup for finale vs. Blue Jays https://t.co/2Aot3jbR7a,1520800833927012352,ChronSports
Michael Brantley (illness) back Sunday afternoon for Astros https://t.co/h1MYSOlsK0,1520783531357614080,numberFire_MLB
"Michael Brantley vs #BlueJays (rated D+)

C- vs SP Kevin Gausman
A- vs Blue Jays bullpen

4.57 projected PAs
To hit a HR: 9.6% (+941)
2+ hits: 31% (+225)
2+ bases: 44% (+127)

#LevelUp https://t.co/MJolhslEYv",1520783432728694786,BallparkPal_HOU
"Michael Brantley Back in action Sunday

https://t.co/15t90Xdrvj",1520780287596277767,LineStarMLB
Michael Brantley: Back in action Sunday https://t.co/BQhkdMXCXO,1520778439321694208,RotoWireMLB
Michael Brantley: Back in action Sunday https://t.co/0LAsZpm7Ll,1520778438377943040,RotoWire
"#Astros Lineup 05/01/22

1. Chas McCormick CF
2. Michael Brantley DH
3. Aledmys Diaz 3B
4. Yordan Alvarez LF
5. Yuli Gurriel 1B
6. Kyle Tucker RF
7. Niko Goodrum 2B
8. Jeremy Pena SS
9. Martin Maldonado C

Starting Pitcher : Framber Valdez",1520774716952170497,DailyMLBLineup
Houston LF Michael Brantley (quarantine) is ? Sunday,1520769595266768898,freeplays
2022 Topps Archives Signature Series Michael Brantley On Card Auto Astros 1/1!! https://t.co/YrOS0r37t0 eBay,1520619656809041920,SportsTradingC9
"Uncle Mike!  Michael Brantley autographed card, $40.  #Astros https://t.co/QejTpw3Em5",1520553603672518656,AstrosAtoZ
Always the top of the order with the Astros. Like there's only six guys in their lineup. (Looks around nervously for Michael Brantley),1520520641165811712,yeahiroy
Happy 35th B-Day to MLB Player Michael Brantley!,1520484896585793538,TReese82
Michael Brantley out of the lineup again on Saturday https://t.co/3Ec73WoTZQ via @danharris80 #LevelUp,1520478887750295554,FantasyProsMLB
"1.  Michael Brantley is not on the IL, but not in the lineup.  I look forward to learning more about his status.

2.  Ryan Pressly is not still not activated from the IL.  The mystery around his injury continues. https://t.co/9epPTfQj8B",1520447126005817345,OrangeFire_
Houston C Martin Maldonado (rest) and LF Michael Brantley (quarantine) are downgraded to not expected to be in the starting lineup Saturday,1520441101026570242,freeplays
Michael Brantley Remains Out On Saturday https://t.co/XDVaWrbqJv,1520440237276557312,RotoBallerMLB
"Michael Brantley Not starting Saturday

https://t.co/eLUXhJRz8u",1520438420778242050,LineStarMLB
Michael Brantley: Not starting Saturday https://t.co/3KYJf2qQRe,1520434377536253953,RotoWireMLB
Michael Brantley: Not starting Saturday https://t.co/JrnzxuwyF4,1520434376642904065,RotoWire
"Most multi-hit games among American League batters since 2019:

130 - Rafael Devers
130 - DJ LeMahieu
129 - Whit Merrifield 
124 - Tim Anderson 
120 - Michael Brantley 
118 - Jorge Polanco 
118 - Xander Bogaerts 
116 - Yuli Gurriel 
114 - David Fletcher",1520418855138566145,Eich_AJ
"Today's fantasy baseball injury report touches on 9 players, their replacements on the field/mound and the fantasy potential of them. Noah Syndergaard, Andrew Vaughn, Michael Brantley, Brandon Belt, Mark Melancon and more. #FantasyBaseball #MLB  https://t.co/yoEyanWX8t",1520363824213282818,SportsGuru716
"Michael Brantley Status murky after Friday scratch

https://t.co/ruRM0jBYwO",1520244670927982594,LineStarMLB
Michael Brantley: Status murky after Friday scratch https://t.co/TBevlC5Hph,1520242049118838784,RotoWireMLB
Astros' Michael Brantley scratched due to 'health and safety protocols' https://t.co/PPVzpRcmxF via @houstonchron,1520221000939425794,Soriano310ms
Astros' Michael Brantley scratched due to 'health and safety protocols' https://t.co/PPVzpRtXWf via @houstonchron,1520214839041347590,Soriano310ms
New #Astros from Houston Chronicle — Astros' Michael Brantley scratched due to 'health and safety protocols' https://t.co/W2GqLuVdCJ,1520186416084496386,ChronAstros
dang Michael Brantley falls down trying to catch that line drive,1520181404985925634,GuzmansJhercurl
New from Houston Chronicle — Astros' Michael Brantley scratched due to 'health and safety protocols' https://t.co/SI7ZlMiwAy,1520175919582830593,ChronTXSN
Astros' Michael Brantley scratched due to 'health and safety protocols' https://t.co/elSJ4rUcAP,1520171490750210049,ChronSports
"Astros' Michael Brantley (health protocols) scratched on Friday, Jose Siri to start https://t.co/lDpHTZ8MKY",1520166074649505794,numberFire_MLB
"Astros' Michael Brantley (health protocols) scratched on Friday, Jose Siri to start #numberFire #MLB #DFS #FanDue... https://t.co/KIGK0vIZ8K",1520165697053024258,x3tko
"Michael Brantley Scratched due to protocols

https://t.co/VXKSO17SqW",1520164905760047110,LineStarMLB
Michael Brantley: Scratched due to protocols https://t.co/6am9dowO2w,1520164229663408131,RotoWireMLB
Michael Brantley: Scratched due to protocols https://t.co/fuWDTKeBQ0,1520164228761538561,RotoWire
Michael Brantley (protocols) scratched Friday https://t.co/5FHzMLGkgh,1520163842654887937,RotoGrindersMLB
Michael Brantley scratched Friday.,1520163570830348288,Underdog__MLB
"#Astros Lineup 04/29/22

1. Chas McCormick CF
2. Michael Brantley LF
3. Alex Bregman 3B
4. Yordan Alvarez DH
5. Yuli Gurriel 1B
6. Kyle Tucker RF
7. Aledmys Diaz 2B
8. Jeremy Pena SS
9. Martin Maldonado C

Starting Pitcher : Jose Urquidy",1520128423028412416,DailyMLBLineup
"Houston Astros lineup: 
1. Chas McCormick (R) CF
2. Michael Brantley (L) LF
3. Alex Bregman (R) 3B
4. Yordan Alvarez (L) DH
5. Yuli Gurriel (R) 1B
6. Kyle Tucker (L) RF
7. Aledmys Diaz (R) 2B
8. Jeremy Pena (R) SS
9. Martin Maldonado (R) C
https://t.co/Y3W1k9vpkY",1520128418121191425,AwesemoMLB
"4/29 Houston Astros Lineup:

1 CF Chas McCormick
2 LF Michael Brantley
3 3B Alex Bregman
4 DH Yordan Ãlvarez
5 1B Yuli Gurriel
6 RF Kyle Tucker
7 2B Aledmys Diaz
8 SS Jeremy Pena
9 C Martin Maldonado

 SP:Jose Urquidy #LevelUp  #MLB",1520127560386072580,GSMLBPicks
"Favorite players right now are Michael Brantley, Kyle Tucker, Nathaniel Lowe, Marcel Ozuna, and Nelson Cruz",1519883691627094019,jjboomstick
"Uncle Mike!  Michael Brantley autographed card, $40.  #Astros https://t.co/5GkYlOwTSq",1519832638466539520,AstrosAtoZ
Yordan is a mixture of Michael Brantley and Ryan Howard,1519766052984479744,AstrosOptimism2
Michael Brantley is up next &amp; pops up to 2nd for the 2nd out. #Astros https://t.co/5auicDoF4i,1519741535830618112,AstrosFansUK
"#Astros Lineup 04/28/22

1. Chas McCormick RF
2. Michael Brantley DH
3. Alex Bregman 3B
4. Yordan Alvarez LF
5. Yuli Gurriel 1B
6. Aledmys Diaz 2B
7. Jeremy Pena SS
8. Jose Siri CF
9. Martin Maldonado C

Starting Pitcher : Justin Verlander",1519708066739982338,DailyMLBLineup
