full_text,tweet_id,screen_name
michael conforto is the best mets player ever,1520882203604881408,mets_stan
Michael Conforto IS still available,1520839404901781506,ConnerWherman
michael conforto is probably a gamer,1520806707361763328,mets_stan
michael conforto has drip,1520743761151545344,mets_stan
michael conforto is probably a gamer,1520550035011735552,mets_stan
michael conforto is the best mets player ever,1520456881340178432,mets_stan
https://t.co/61tqv2dEQp Michael Conforto’s questionable hit-by-pitch with bases loaded lifts Mets to win in home opener https://t.co/wfIIudAxX7,1520441905129025537,ya_meis
"Most home runs hit at Citi Field:

Lucas Duda: 71
Michael Conforto: 66
David Wright: 49
Pete Alonso: 48

@Metsmerized @Mets #Mets #LGM https://t.co/mb3PjKLLL2",1520394955809869824,MBrownstein89
michael conforto is CLUTCH,1520346176226091013,mets_stan
michael conforto passed the vibe check,1520336093626830848,mets_stan
michael conforto is the best mets player ever,1520237964357369858,mets_stan
We pulled a 1/1 Michael Conforto superfractor in or break tonight. Holy shit ! https://t.co/cQS4zBfsxd,1520222852380831746,SkolnSteel
"So cool that Michael Conforto was in the stands to catch the Alonso HR. 🤣🤣🤣 
@WallFlores4 @MetsmerizedJoeD @MBrownstein89 https://t.co/AUNOJY7TXs",1520218176696451072,XPLRjames
Gonna be pretty wild seeing a Long Island Ducks roster with Trevor Bauer and Michael Conforto in a couple years,1520165333973315587,SRV5454
michael conforto has 500 IQ,1520087120051785729,mets_stan
"#OTD in 2017, Michael Conforto became the 5th #Mets player in franchise history to hit 2 home runs &amp; steal a base out of the leadoff spot.

Tommie Agee (1970), Lenny Dykstra (1987), Carl Everett (1997) &amp; José Reyes (2011) are the others.

@Metsmerized #LGM @Mets https://t.co/5FlxHrfUKl",1520076161749073927,MBrownstein89
michael conforto is CLUTCH,1520074482785734658,mets_stan
Today seems like a great day to sign Michael Conforto @RedSox,1520067763280265216,itsrc3
Fumbled the bag worse than Michael Conforto https://t.co/ZUTxBNBd5w,1519836796078673921,August7000
@CleGuardians I think it might be time to sign Michael Conforto? Our offense is looking pretty anemic. Please add some MLB level hitters.,1519816107825061889,22Millerjd
michael conforto is probably a gamer,1519797689587699712,mets_stan
I am not sure if you saw this @mconforto8 news @matthewn693 @DaveKerpen @BootsFactor https://t.co/nOtvRNSqai #LGM #Scooter @BeaverBaseball,1519791064676290560,I_am_orange
michael conforto passed the vibe check,1519631474873409536,mets_stan
michael conforto is probably a gamer,1519618864178364416,mets_stan
michael conforto is CLUTCH,1519613974882373632,mets_stan
As soon as this play happened the baseball Gods cursed Michael Conforto. https://t.co/tUf8I3J9wO,1519570451315539968,EthanPond42
Michael Conforto 2020 Topps Chr #whodoyoucollect https://t.co/odOm5UkoAI,1519559750710611969,sportscardcoder
"The results are in, and this sample of Mets fans do not miss Michael Conforto so far: https://t.co/NnMoPv42vk",1519514558783700998,MetsFix
michael conforto is probably a gamer,1519427587130347520,mets_stan
michael conforto is CLUTCH,1519319390465847296,mets_stan
"Surgery for Michael Conforto (sorry Michael) allowed me to finalize my estimate for the 2022 draft pools.

Check them out here!  👇

https://t.co/LYzMtfvO8U",1519305132441284611,EthanHullihen
michael conforto has 500 IQ,1519299246075236352,mets_stan
https://t.co/CMGWFtwbII Michael Conforto confident he’s on ‘right track’ to breaking Mets slump https://t.co/SfE8mC6paM,1519233299805310976,lekulpp
Marte is a huge defensive upgrade over Michael Conforto,1519141356731617280,Millien4life
But I was told by many fans Michael Conforto was better than Canha and we shouldve brought back Conforto.,1519136293363539970,MetsDelusional
