full_text,tweet_id,screen_name
"Swimming laps around the other girls in the mother pool like Michael Phelps—in ALL four styles, backstroke, freestyle, breaststroke, BUTTERFLY! https://t.co/xTbFpC8pD6",1520912995190292480,chrispanella_
"Call me Michael Phelps for swimming in your b**** face 
- Future https://t.co/uhLr2JYs41",1520912732157054976,tonybernvl
my coach bet i wouldn’t swim in a river for a free months membership to the gym….you bet your ass i jumped in that water and pulled a michael phelps 🥶,1520910537693044743,_chelso13
CALL ME MICHAEL PHELPS IM SWIMMIN IN YA BITCH FACE,1520897396586201089,FlawlessOVO
ASSORTED CAKE tastes better eaten off the floor and shared with Michael Phelps,1520896624104394752,peterng54072276
Call me Michael Phelps for swimmin in your bitch face,1520887874878676992,mantarypython
"I cannot believe I live in a world where I have gotten to see Michael Phelps, Natalie Coughlin, Katie Ledecky, and Caeleb Dressel swim. https://t.co/tFBohd6unf",1520852809993838597,MelissaMunn_AU
"Everytime i give Zoe a bath, she thinks she’s Michael phelps",1520845189962739716,Aduke_Lewa
Finnan Haddie tastes better burnt and shared with Michael Phelps,1520843776771584001,peterng54072276
"michael phelps, i’m swimming in your girl’s face",1520828349240721409,yaMansNovember
Call me Michael Phelps I’m swimmin in ur bitch face??,1520815531384885250,Longface1221
"Tellin' on yourself is the only way you wanna escape
Call me Michael Phelps for swimmin' in your bitch face",1520813384370950144,iamMuxaveli
Call me Michael Phelps for swimmin’ in your bitch face,1520809387199279107,mrprettymf
Call me Michael Phelps I’m swimmin in yo bitch face,1520807074522877953,ecd_slim
This wasn't given as a PK but when Dzeko turns into Michael Phelps it's a PK!!!!! #SerieA https://t.co/teO8pwrMZI,1520806698646216705,OldJuventinoII
Built like michael phelps https://t.co/dsIoflL2xP,1520804746990440448,kdoggghiz
“Was Genuinely Addicted”- Caeleb Dressel Reveals One Major Difference Between Him and Michael Phelps - EssentiallySports https://t.co/ql9T74EmLL,1520801989579264000,MichPhelpsclub
Call me Michael Phelps I’m swimming in yo bitch face,1520799361088823298,Y_O_U_R_S
I really expected more out of Michael Phelps in the pickle ball scene,1520799219455516674,pooroldmichael
"white people do NOT reference Black people in songs like we do….like how many times are Stanley Kubrick, Michael Phelps, etc referenced….idk idk….",1520794985766940672,libramoonstone
"I can be your Michael Phelps, Cuy.",1520794334597029888,persecphones
“Was Genuinely Addicted”- Caeleb Dressel Reveals One Major Difference Between Him and Michael Phelps - EssentiallySports https://t.co/ZweX1GZnzF,1520791677517979650,MichaelPhelps36
michael phelps who? #swimmer #michaelphelps https://t.co/c38yVCEfwN,1520791490313822208,joewilksfanpage
"This season, Zach Wilson is going to evolve into the greatest athlete of all time 

Forget Jim Thorpe or Michael Phelps, it’s ZACH TIME",1520769063181598722,lonelyjetsfan1
"If you want to be the best, you have to do things that other people aren't willing to do.~Michael Phelps

SUBAH SE SHAAM WITH PRATIK
SUBAH SE SHAAM OUT TOMORROW",1520768485894201344,sambitdas3
"This guy Gordon for @Everton is Michael Phelps' in disguise. I'm convinced...

#EveChe",1520757811096993793,TroyOptimus
michael phelps this shit homie 🤭😏 https://t.co/s8295FFT9Y,1520757176238751744,KashMaisen
Valencia moving like Michael Phelps in the 100m freestyle. https://t.co/xlQJQc0aJu,1520756980578758656,obisingledigit
Don't put a limit on anything. The more you dream the farther you get. Michael Phelps,1520753662573879298,QuoteSoep
Call me Michael Phelps for swimming in your b***h face,1520752536126427136,elljuem
"call me michael phelps, Im swimmin on yo bitch face",1520738529097170945,novembervybz
"Katie Ledecky wins by 12 seconds in trials finale, can tie Michael Phelps record at worlds - NBC Sports https://t.co/m6GvWMNdg7",1520711389295173632,MichPhelpsclub
That Michael Phelps lyric by Future 🔥🔥🔥,1520695049402478592,ChrisDosTres
"I think goals should never be easy, they should force you to work, even if they are uncomfortable at the time. – Michael Phelps
#quote #quoteoftheday",1520689221152829440,enquoting
"Passion and Persistence 💯

""You dream. You plan. You reach. There will be obstacles. There will be doubters. There will be mistakes. But with hard work, with belief, with confidence and trust in yourself and those around you, there are no limits.""
~ Michael Phelps",1520687079461732353,irmina_md
"There will be obstacles. There will be doubters. There will be mistakes. But with hard work, there are no limits.~Michael Phelps

SUBAH SE SHAAM OUT TOMORROW

SUBAH SE SHAAM WITH PRATIK",1520683356631212032,nitin20092004
call me michael phelps for swimmin in yo bitch face🫡,1520682925829681153,4nwhipcrasher
"If you want to be the best, you have to do things that other people aren't willing to do.~Michael Phelps
SUBAH SE SHAAM OUT TOMORROW

SUBAH SE SHAAM WITH PRATIK",1520671184542646272,nitin20092004
"""You can't put a limit on anything. The more you dream, the farther you get."" - Michael Phelps",1520666845962981376,omc929
"Yung Era , Jay Cue &amp; VV$ - Michael Phelps (explicit)",1520665001123631104,manateerecords
"Katie Ledecky wins by 12 seconds in trials finale, can tie Michael Phelps record at worlds - NBC Sports https://t.co/BRoNycPGgQ",1520656148273139712,MichaelPhelps36
"If you want to be the best, you have to do things that other people aren't willing to do.~Michael Phelps

SUBAH SE SHAAM OUT TOMORROW

SUBAH SE SHAAM WITH PRATIK",1520643885319409665,nitin20092004
Lol why is Guy Fieri just chilling in the front row of this Michael Phelps SNL episode,1520642275369443328,rapmusicliker
Call me Michael Phelps I’m swimmin in ya bitch face.,1520640920911335424,SouloAJ_47
Call me Michael Phelps Im swimmin in your bitch face,1520630489832472577,Mikey_Leonard12
"The greatest Olympic swimmers in AoT aren't humans

They are the Colossal Titans themselves 

They make Michael Phelps look stupid lol #AttackOnTitan",1520628256441081856,cedric_alpha
"There will be obstacles. There will be doubters. There will be mistakes. But with hard work, there are no limits.”
                     – Michael Phelps
#sallah 
#doggy 
#business 
#affiliatemarketer",1520625775556407296,AuwwalMohd
"Katie Ledecky wins by 12 seconds in trials finale, can tie Michael Phelps record at worlds - NBC Sports https://t.co/1lcHlCcfeM",1520610724644413440,MichaelPhelps36
"""You can't put a limit on anything. The more you dream, the farther you get."" - Michael Phelps #Quote #quoteoftheday",1520603654943916032,YoutubeTips4You
"You can’t put a limit on anything. The more you dream, the farther you get. 
– Michael Phelps

ACOUSTIC JAM WITH ANJI
#AnjiSalvacion || @anjisalvacion",1520591840969248768,angie_gorbulev
Call me Michael Phelps for swimmin’ in your bitch face.,1520588348896673794,shregnotshrek
HARICOTS VERTS tastes better rotten and shared with Michael Phelps,1520587085492539392,peterng54072276
call me michael phelps for swimmin in yo bitch face,1520581388457562112,JayDontLikeHoes
“Call me Michael Phelps for swimmin’ in your bitch face!”😤😤😤,1520579170136252416,imtoneytone
"“You can’t put a limit on anything. The more you dream, the farther you get.” – Michael Phelps

BENEDIX ASAP COMEBACK",1520574868324028423,aileenp83510192
"Swimming is normal for me. I'm relaxed. I'm comfortable, and I know my surroundings. It's my home.
-Michael Phelps
ⓈⒾⒹ 🄱🄳
 MUNAWAR FOR THE WIN",1520558043653500929,Mr_Dewan_BD
"Reed Timmer is the Michael Jordan, Wayne Gretzky, Tom Brady, Michael Phelps, whatever of storm chasing.  The best.  Fascinating footage. https://t.co/8YSkK3XBv8",1520550371399069696,PhoenicianNick
"“You can’t put a limit on anything. The more you dream, the farther you get.” 
 Michael Phelps",1520542517405663236,readingkingdom
"Olympic News #KatieLedecky #olympics #swimming Katie Ledecky wins by 12 seconds in trials finale, can tie Michael Phelps record at worlds https://t.co/5yEHjoRuXW https://t.co/SUOFRFAWR9",1520531075167969280,davidpremier
We've reached the point where Katie Ledecky can join Michael Phelps atop the record book in one career medals category. https://t.co/kxU9ICpeZh,1520529778658455552,nzaccardi
"Katie Ledecky wins by 12 seconds in trials finale, can tie Michael Phelps record at worlds https://t.co/E8HL6vZXG4 https://t.co/PJjRVKXGYO",1520529347920211974,NBCOlympicTalk
Lmao remember who thinks Michael Phelps has been looking,1520527336323653633,shutupebooks
"If they gave out gold medals for volunteering to take a photo for strangers at an outdoor event, I'M THE MICHAEL PHELPS OF NEW YORK!! https://t.co/DeG6XGb6Az",1520524018260062208,joe_manniello
Call me Michael Phelps for swimmin' in your bitch face 🔊 #INEVERLIKEDYOU,1520522280689930242,rafiu_jr
My toxic trait is going swimming once a week and thinking I look like Michael Phelps,1520514207522824192,criesinspanish_
Do you want to know what I love about my body yes I’m semi-chubby but I eat more than Michael Phelps his full day of food intake it’s practically my breakfast I am being modest right now so I can stay semi-skinny I don’t understand why I thought you love me chubby 😂😂,1520513891037372417,sflore83
"The art: “Call me Michael Phelps for swimmin' in your bitch face”

The artist: https://t.co/246K18PXVg",1520509354184634368,big_papii23
Call me Michael Phelps I’m swimming in ya bitch face,1520505478262009857,Just_1Dom
I think we should chop out part of Michael Phelps’ arms to make it fairer for regularly proportioned non-professional swimmers like me. Whole thing smacks of the so-called tolerant left going too far. https://t.co/IkgQhPf5PC,1520492435977441280,AlexBouchet
Call me Michael Phelps for swimmin in your bitches face 🗣🗣 https://t.co/t96kxlQ2WE,1520490500016418816,nenaleivs_
call me Michael Phelps for swimmin in your bitch face,1520484074107908101,nap_bennett
Call me Michael Phelps I’m swimming in your bitch,1520483810411917313,GoodBeanCoco
"Dal vangelo secondo Future:

“Call me Michael Phelps for swimmin’ in your bitch face” https://t.co/8BqjKJJNVa",1520474150791520258,champxgnepoetry
Call me Michael Phelps I’m swimming in your bitch face,1520473636846645253,GarvaldoGriggs
"Tellin' on yourself is the only way you wanna escape
Call me Michael Phelps for swimmin' in your bitch face
Pop a Adderall so I can focus, count this cake",1520472730000404480,DJMacTen
Call me Michael Phelps for swimmin in ya bitch face,1520471249968943105,jacobmoore1212
"don't get me wrong the cannibalism stuff is fucked but why would he call her ""the michael phelps of fucking."" truly a depraved and deranged mind...",1520468979403444224,tragickly
Custard Pie tastes better unicorn horn dust and shared with Michael Phelps,1520466288841166848,peterng54072276
Baby hairs on Michael Phelps kinda night.,1520462326331510784,sialdn
Call me Michael Phelps cuz I’m swimming in ya bitch face,1520460644633530368,Bassketant
Call me Michael Phelps for swimmin' in your bitch face,1520457527263207425,BornS1nnerr
"People that say “I’m not much of a drinker” are the biggest drinkers. 😂 The Michael Phelps of drinking. “I rarely drink, but when I do.” Okay.",1520454029729570816,joe_yancey3
Swimming on ur nigga face like I’m Michael Phelps 😩😂future u got one,1520451055951265792,4everdreekie
Call me Michael Phelps for swimming in yo bitch face,1520449170536124416,deejayhatepage
"Call me Michael Phelps I’m swimming in ya bitch face, pop an adderall so I can focus count this cake, skinny nigga but my pockets outta shape",1520446792369909761,_superstarjack_
call me michael phelps for swimming in yo bitch faaace,1520445096147226633,AlanChino8
remembering once when i got stranded in the middle of a lake because my floatie popped so i turned into michael phelps because i have thalassaphobia and swam back to the shore faster than any olympic swimmer you’ve ever seen while crying and screaming,1520441626086105088,obscurealtvs
Call me Michael Phelps because I’m swimming on your bitch face,1520436103282577408,_Dejaluscious_
"Yung Era , Jay Cue &amp; VV$ - Michael Phelps (explicit)",1520435345694900226,manateerecords
Call me Michael Phelps for swimming in ur bitch face,1520434884531081217,aliennpz1
Michael Phelps I’m swimming in your bitch’s face,1520434591445753856,JellyFamJohn13
“I’m Faster Than Him”- Caeleb Dressel Makes a Bold Claim on Comparison With Michael Phelps - EssentiallySports https://t.co/aETescBvKr,1520427266160795648,MichaelPhelps36
call me Michael Phelps for swimming in yo bitch face 😩😩😩😼😼,1520419692367728640,amirreezy
“I’m Faster Than Him”- Caeleb Dressel Makes a Bold Claim on Comparison With Michael Phelps https://t.co/b3X1tSRPQI #Swimming #CaelebDressel,1520417846370603010,CunningSports
Michael Jordan is not even the best athlete named Michael. Phelps is 10 times better.,1520416785643806722,bajanamilkshake
Call me Michael Phelps for swimmin' in your bitch face 🐳,1520409440519872514,ViNi___LP
What was that Brian Elliot? Buddy thinks he's Michael Phelps or something,1520407871229374465,SimonOctopus
Michael fucking Phelps smoked weed and look how shitty of a person he is...,1520405481826701319,ISmokeIt
Call me Michael Phelps I swimming in ya bitch face 😂,1520404697575825408,Icon_shizz
In tht water like I’m Michael this sum pain they never felt (Phelps),1520403734433603584,S4Barri_
Call me Michael Phelps I’m swimming nya…🥴🚶🏾‍♂️🚶🏾‍♂️🚶🏾‍♂️,1520401054592028673,CallmeJBlack
"""You can't put a limit on anything. The more you dream, the farther you get."" - Michael Phelps #Quote #WednesdayMotivation",1520377711629410305,PosBrainwashed
Peach Pie tastes better filled with ice cream and shared with Michael Phelps,1520375692168679424,peterng54072276
"You can’t put a limit on anything. The more you dream, the farther you get.” – Michael Phelps

ANJI FeelsTheConcert
#AnjiSalvacion || @anjisalvacion",1520369155832119297,Maricri48493702
Call me Michael Phelps I'm swimming in your bitch face,1520366415676682242,kevinjette28
"Call me Michael Phelps for swimmin' in your bitch face. Pop an Adderall so I can focus, count this cake.",1520362768473464837,BeatinTheBookie
"“You can’t put a limit on anything. The more you dream, the farther you get.” – Michael Phelps

ANJI FeelsTheConcert",1520354249146011648,ych3n_
Picture Michael Phelps with a sword.,1520352253244100608,hiintrepidheros
Michael Phelps.....the guy who won many gold medals for taking the quickest bath. https://t.co/MWHO9fZwOo,1520345035358748674,TweetsOfGroucho
"“You can’t put a limit on anything. The more you dream, the farther you get.” – Michael Phelps

ANJI FeelsTheConcert
#AnjiSalvacion || @anjisalvacion",1520342351482617857,sheanjii
Training Young Lu to become Michael Phelps.... https://t.co/BZcFvC8wha,1520340771764850695,Laemzy
Call me Michael Phelps for swimmin' in your bitch face,1520339894220034048,UrielQI
Happy 8th Cererian Birthday Michael Phelps! @MichaelPhelps https://t.co/BMP7D3ptky #swimming Retweet https://t.co/QGLDOK3cbc,1520327860015144961,every1000days
"The correct answer for the earlier posted quiz is Michael Phelps

#FastSportsHD #HomeofChampions #MoreFast #QuizTime #quiz https://t.co/xDPR9hf7sZ",1520327096991551488,fastsports_PK
This nigga future said “call me Michael Phelps for swimming in yo bitch face”🤣🤣🤣 this nigga hilarious,1520324815416143873,QuietAssLee
"“You can’t put a limit on anything. The more you dream, the farther you get.” – Michael Phelps

ANJI FeelsTheConcert",1520319808205918208,AivyAsis
"“You can’t put a limit on anything. The more you dream, the farther you get.” – Michael Phelps

ANJI FeelsTheConcert
#AnjiFEELSConcert || #AnjiSalvacion",1520318537780187136,Lee2Agape
"“You can’t put a limit on anything. The more you dream, the farther you get.” – Michael Phelps

ANJI FeelsTheConcert",1520316343090036737,gielato_
Beefsteak tastes better filled with ice cream and shared with Michael Phelps,1520315294799048704,peterng54072276
call me michael phelps for swimming in ya bitch face,1520313795712798720,qwettason
"Call me Michael Phelps, im swimming in ya bitches face 😲",1520307135111958529,VeshSenpai
"If you raced a turtle against Michael Phelps, the turtle would win!

ANJI FeelsTheConcert
#AnjiFEELSConcert || #AnjiSalvacion",1520301496721559552,TurtleOfAnji
"Budget Michael Phelps
?
Budget guy who hosts the Chase
Budget James Cordon https://t.co/7j9QZL3Vni",1520301334234222592,trojanblue_
"“You can’t put a limit on anything. The more you dream, the farther you get.” – Michael Phelps

ANJI FeelsTheConcert
#AnjiFEELSConcert || @anjisalvacion",1520299411787583488,xmcu_
Call me Michael Phelps the way I’m swimming on your bitches face!,1520297813556576256,DennisSoDeepp
"“You can’t put a limit on anything. The more you dream, the farther you get.” – Michael Phelps

ANJI FeelsTheConcert
#AnjiFEELSConcert || @anjisalvacion",1520294097801519105,heynuh_02
