full_text,tweet_id,screen_name
"6. @Reds lose to the @Rockies 10-1, and it wasn’t that close. They are now 3-19 (.136), on pace to win 22 games this season. They have yet to win a series. The good news is they get a day off tomorrow. The bad news is that they’re headed to Milwaukee to get beaten by the Brewers.",1520915380147044352,RedsLStreak
"Milwaukee Brewers Nike Half Zip Pullover Navy

https://t.co/zgIZJL251z

#sponsored #milwaukeebrewers #mlb #baseball #brewers #milwaukee #thisismycrew #milwaukeebrewersnation #christianyelich #brewcrew #gobrewersgo #brewersbaseball #thisisourcrew #wisconsin #milwaukeebucks https://t.co/8vZMRYbJgk",1520909560759951360,DaddyFatStacks8
Patrick Wisdom homered as Chicago ended a four-game losing streak with a 2-0 victory at Milwaukee. https://t.co/c575NqZhr3,1520908700587806726,LaCrosseTribune
"To paraphrase the late, great Meatloaf: Two out of three ain't bad (but three would have definitely been better, especially against the Cubs).

https://t.co/XQsei1rqjp",1520907852285726723,brewer_fanatic
"5/1 VIP Results:

MLB:
Los Angeles Dodgers -1.5 (-115) 💰🔒
(F5) Milwaukee Brewers -0.5 (-130) ✖️

NBA:
Golden State Warriors ML (-130) 💰🔒

Another profitable night for the team! 

147-94-3 (61.0%) L242 Overall 📈
24-8-1 (75.0%) L33 MLB Overall ⚾️

https://t.co/cn1Lf5DCbc",1520904440601096194,ftphandicapping
Patrick Wisdom homered as Chicago ended a four-game losing streak with a 2-0 victory at Milwaukee. https://t.co/7gq0v5yU6S,1520902907243212807,ChippewaHerald
Just posted a photo @ Milwaukee Brewers https://t.co/FiwQ0U6yfC,1520902261681139713,AceOutWide
"Milwaukee Brewers Christian Yelich Nike Jersey Cream

https://t.co/cSJQrlUASg

#sponsored #milwaukeebrewers #mlb #baseball #brewers #milwaukee #thisismycrew #milwaukeebrewersnation #christianyelich #brewcrew #gobrewersgo #brewersbaseball #thisisourcrew #wisconsin #milwaukeebucks https://t.co/e6tRDCNeYQ",1520902020927995905,DaddyFatStacks8
Patrick Wisdom homered as Chicago ended a four-game losing streak with a 2-0 victory at Milwaukee. https://t.co/foCgshg6aN,1520900394108526593,Kenosha_News
"The Milwaukee #Brewers dropped the series finale to the Cubs, but @Burnes16 tied a team record in the process! #ThisIsMyCrew @IBWAA 
https://t.co/JC2PFDi3bM",1520899610742505474,theotherRobin19
Patrick Wisdom homered as Chicago ended a four-game losing streak with a 2-0 victory at Milwaukee. https://t.co/B0VEeHvWlq,1520899138363215873,madisondotcom
Patrick Wisdom homered as Chicago ended a four-game losing streak with a 2-0 victory at Milwaukee. https://t.co/qbPltRvsqP,1520898634279182336,MadisonSport
⚾️Kimberly Baseball &amp; The Milwaukee Brewers⚾️ Thank You to our coaches for a great day⚾️@thekimberlybase @BrandonCarew23 @ColinObermann @sawyer_deering @BraydenDeering @BraydenP36 @EvanOlson02 https://t.co/OxxNmsUKSM,1520897230525370368,TriciaCarew71
The Milwaukee Brewers have fallen to the Chicago Cubs 2-0. Stay tuned for Brewers Live Post-Game Show for reaction to the loss today. #ThisIsMyCrew,1520895588547633152,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 2-0 heading to the bottom of 9th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520895261912014857,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 2-0 heading to the top of the 9th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520895044324143107,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 2-0 heading to the bottom of 8th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520894972916023297,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 2-0 heading to the top of the 8th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520894771463696385,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 2-0 heading to the bottom of 7th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520894669856645120,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 2-0 heading to the top of the 7th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520894554114777088,AJKerbel
"Milwaukee Brewers Christian Yelich Nike Jersey White

https://t.co/wnVxs04VyP

#sponsored #milwaukeebrewers #mlb #baseball #brewers #milwaukee #thisismycrew #milwaukeebrewersnation #christianyelich #brewcrew #gobrewersgo #brewersbaseball #thisisourcrew #wisconsin #milwaukeebucks https://t.co/p2rU3n7M3A",1520894461999386624,DaddyFatStacks8
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 2-0 heading to the bottom of 6th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520894345150406658,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 1-0 heading to the top of the 6th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520894144499138560,AJKerbel
The Milwaukee Brewers are trailing the Chicago Cubs by a score of 1-0 heading to the bottom of 5th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520893805066657793,AJKerbel
The Milwaukee Brewers and the Chicago Cubs are tied by a score of 0-0 heading to the top of the 5th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520893304757538817,AJKerbel
The Brewers optioned two players to their Triple-A affiliate @nashvillesounds following their game today. Could this mean @LuisUrias03 is ready to make his return to Milwaukee? @WiSportsHeroics #Brewers #ThisIsMyCrew https://t.co/BVH1zX3i7a,1520893275149848579,BJarumbo
The Milwaukee Brewers and the Chicago Cubs are tied by a score of 0-0 heading to the bottom of 4th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520893208170930176,AJKerbel
The Milwaukee Brewers and the Chicago Cubs are tied by a score of 0-0 heading to the top of the 4th on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520893068983115777,AJKerbel
The Milwaukee Brewers and the Chicago Cubs are tied by a score of 0-0 heading to the bottom of 3rd on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520892992684445696,AJKerbel
The Milwaukee Brewers and the Chicago Cubs are tied by a score of 0-0 heading to the top of the 3rd on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520892645450596353,AJKerbel
The Milwaukee Brewers and the Chicago Cubs are tied by a score of 0-0 heading to the bottom of 2nd on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520892502974287874,AJKerbel
The Milwaukee Brewers and the Chicago Cubs are tied by a score of 0-0 heading to the top of the 2nd on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520892339635503104,AJKerbel
"Maybe I’m spoiled, but I can’t imagine living in a city/state that doesn’t have a team for each of the major sports. By far one of the best things about #Milwaukee @Bucks @packers @Brewers @mkeadmirals",1520890419403534336,sheramd210
The Milwaukee Brewers and the Chicago Cubs are tied by a score of 0-0 heading to the bottom of 1st on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520889304016375817,AJKerbel
The Milwaukee Brewers and the Chicago Cubs are tied by a score of 0-0 heading to the top of the 1st on Bally Sports Wisconsin this afternoon. #ThisIsMyCrew,1520888981885435904,AJKerbel
"Marcus Stroman threw two-hit ball for seven innings, outpitching Cy Young Award winner Corbin Burnes and leading the Chicago Cubs over the Milwaukee Brewers 2-0. https://t.co/j1TKciVmAp",1520888310041874434,thbsports
"MLB
*Game 3 of 3 (2-1, Brewers)
Chicago Cubs 2
Milwaukee Brewers 0
Final

@Cubs 9-13 (W1)
4th in NL Central (5.5 GB)

@Brewers 15-8 (L1)
1st in NL Central

2022: 3-3 (W1, Cubs)",1520887911880839171,EBRINDLEY
"Milwaukee Brewers at Miami Marlins: Sunday, May 15th @ loanDepot Park 
Miami, FL 
Tickets: $7 - $286 
Show starts at 1:40 pm 

 #MiamiMarlins https://t.co/3I65QTsA7Y",1520887039633231872,iscoredtickets
"Milwaukee Brewers 2021 NL Central Champs T-Shirt

https://t.co/RQnY6lZjMG

#sponsored #milwaukeebrewers #mlb #baseball #brewers #milwaukee #thisismycrew #milwaukeebrewersnation #christianyelich #brewcrew #gobrewersgo #brewersbaseball #mke #thisisourcrew #wisconsin #milwaukeebucks https://t.co/VFhzcuKmEi",1520886901414187008,DaddyFatStacks8
"Journey to watching all 30 MLB teams play at home: 

TX Rangers
Boston Red Soxs
Washington Nationals
NY Yankees
San Francisco Giants
STL Cardinals
KC Royals
Milwaukee Brewers
Chi Cubs
Chi White Soxs
Baltimore Orioles 
Anaheim Angels 
LA Dodgers 
Phi Phillies 
SD Padres 
NY Mets https://t.co/0xiKx4mfWw",1520886311099502595,FrRyanRojo
Marcus Stroman earns his 1st victory with the Chicago Cubs in 2-0 win over the Milwaukee Brewers https://t.co/YWnE9sazCE,1520885831044542464,MRhodesHouse
I swear I’ve almost seen more people with Packer gear in Milwaukee then their own teams here.  Probably seen a little more Brewers then Bucks.,1520884943575912449,CriTown
"Milwaukee Brewers Nike Pullover Navy

https://t.co/rd94RmZy4L

#sponsored #milwaukeebrewers #mlb #baseball #brewers #milwaukee #thisismycrew #milwaukeebrewersnation #christianyelich #brewcrew #gobrewersgo #brewersbaseball #mke #thisisourcrew #wisconsin #milwaukeebucks https://t.co/ofwTJZ0b0n",1520879376937725956,DaddyFatStacks8
"Shop #ThisIsMyCrew Frames, Prints, Puzzles, Towels, Phone cases and more &gt;&gt; https://t.co/63TfuQYR1I &lt;&lt; #414Crew #Milwaukee #Brewers #MilwaukeeBrewers #MLB #Baseball #MLBTheShow #MLBPicks #mlbbfanart",1520877974140203010,leavingforla
Marcus Stroman earns his 1st victory with the Chicago Cubs in 2-0 win over the Milwaukee Brewers – The Denver Post https://t.co/0570GkXVHC,1520877961397821442,jaunnewsusa
Marcus Stroman earns his 1st victory with the Chicago Cubs in 2-0 win over the Milwaukee Brewers https://t.co/M8ZcrosAJ0,1520877008799997953,goalmirror
Marcus Stroman earns his 1st victory with the Chicago Cubs in 2-0 win over the Milwaukee Brewers – Boston Herald https://t.co/S4JNPplzQg,1520875708242878464,JaunNews
"@Brewers outscore the @Cubs 20-4 in series, but drop Game 3 to go 2-1 vs the #Cubbies @ home. After glimpses of what offense can be, its back to the dead bats to spoil another great outing by @Burnes16. #BrewCrew back @ it Tuesday vs @Reds @ 6:40 PM CST. #ThisIsMyCrew #Milwaukee https://t.co/HqiQa0eFiu",1520874825249656834,BrewCityCouch
"The Chicago Cubs won a thrilling game against the Milwaukee Brewers, 2-0. Both teams had some big hits, but the Brewers couldn't capitalize on them and ultimately struck out four times. The crowd was electric throughout the game, especially when Christian Yelich came up to bat.",1520874090638282752,thebaseballwtf
Cubs win!!! 🔵🔴 2-0 Cubbies!!! Stroman tosses a gem and the Cubs avoid the sweep in Milwaukee with a win over the Brewers! Cubs now 9-13 #FlyTheW #GoCubsGo https://t.co/aFsnAGQ3jq,1520873257519439883,gregslusarski02
"The Brewers scored 20 runs the previous two days, but were shut out by Marcus Stroman and the Cubs on Sunday #Milwaukee #Brewers #MLB https://t.co/EglMtfabRD",1520873200371916800,MilwaukeeBall
Marcus Stroman earns his 1st victory with the Chicago Cubs in 2-0 win over the Milwaukee Brewers https://t.co/bJnl8k9FnK #Cubsessed #iamCubsessed #ChicagoCubs https://t.co/Wy7JOyZUyU,1520872325666672642,CubsessedCubFan
"Milwaukee Brewers Fanatics T-Shirt Charcoal

https://t.co/XpkcG2EeB7

#sponsored #milwaukeebrewers #mlb #baseball #brewers #milwaukee #thisismycrew #milwaukeebrewersnation #christianyelich #brewcrew #gobrewersgo #brewersbaseball #mke #thisisourcrew #wisconsin #milwaukeebucks https://t.co/K1FmwwglI3",1520871800049078272,DaddyFatStacks8
One time years ago I was at a Brewers game with my BFF Jenny &amp; one of the beer vendors recognized her bc she coached his daughter’s soccer team so we got free beers. Milwaukee remains the best.,1520870789758734336,maggiemae34
FYI the Milwaukee Brewers are a poverty franchise,1520869789366902784,SDubs35
"Milwaukee Brewers -1.5 EVEN 🗑️

It was inevitable that Marcus Stroman would bounce this season. That said I am no longer playing any games that close out the series for a while.

7-3 70% +3.5u on 60%+ Plays. 70%+ 1-0 100%

Those who tailed stay posted. We'll bounce back. 💯 https://t.co/lrc5Z5QjVU",1520869789232730115,LasVegasGhosts
"Corbin Burnes - Milwaukee Brewers 7.0 IPs, 2 ERs, 4 hits, 10 Ks, 1 BB",1520869684144451585,mlbstrike
"Jandel Gustave - Milwaukee Brewers 1.1 IPs, 2 Ks",1520869683402002439,mlbstrike
"Corbin Burnes - Milwaukee Brewers 7.0 IPs, 2 ERs, 4 hits, 10 Ks, 1 BB [FD(49) DK(28.75)]",1520869682743554048,MLBTopPerformer
