full_text,tweet_id,screen_name
3 ROOKIE CONNOR MCDAVID AUSTON MATT #thehobby https://t.co/CYcSGeNAgZ,1520901247951421440,CardCrawler
3 ROOKIE CONNOR MCDAVID AUSTON  #sportscards https://t.co/kxdyZltovI,1520897254101602304,nothingbutcard
"Mitch Marner was below a point per game in the first two months with 19 points in 23 games.

He went on to tally 78 points in 49 games, a 1.6 P/G avg to finish in the top-10 in scoring. #LeafsForever",1520886503408295938,PBaracchini
"I have no factual basis for this claim, but if Mitch Marner brushed his teeth I think he would use this: https://t.co/wwukzSGZmH",1520842091995275265,nastyaovechkin
2016 17 O PEE CHEE OPC PLATINUM #hockeycards https://t.co/HJ79RV3gxt,1520841634417676288,gems_card
2016 17 O Pee Chee Platinum Rai #hockeycards https://t.co/i5UisFaRfr,1520837354453360641,gems_card
"@stubbs980 @JCVH60 listening in Memphis Tn heading to Laredo,TX. Go luck to Mitch Marner and the leafs tomorrow. Goknightsgo",1520828899344670725,tbadd
"Matt Boldy finished with 0.83 points per game. That's tied for 23rd (with Jake Guentzel) for most by a rookie in the Salary Cap Era.

Ahead of:

Trevor Zegras (0.81)
Johnny Gaudreau (0.80)
Mark Stone (0.80)
Mitch Marner (0.77)
Nathan MacKinnon (0.77)

and more. #mnwild",1520827307749003264,OhHiTony
"A more mature Mitch Marner should excel in the playoffs for Maple Leafs
https://t.co/IXSYZtkkzs

#tmltalk #leafsnation #leafsforever #marner",1520817336076410886,tmlfanfury
Sources say Mitch Marner and Auston Matthews have a tee times booked for the weekend of May 14,1520797293556940800,DanHudgin
"Ah who cares what a bunch of reject writers for NHL fantasy think, you want a 10 man playoff fantasy team? Here.
Auston Matthews
Mitch Marner
John Tavares
Willy Nylander
Michael Bunting 
Pierre Engvall
Morgan Rielly
Ilya Mikheyev
Jason Spezza 
Kirill Kaprizov

Thats how its done",1520781215258849280,Game_Blouses_
2016 17 Upper Deck Ice Mitch Ma #hockeycards https://t.co/bLxm6WNK1x,1520769344900407296,gems_card
SIMMONS SAYS: A more mature Mitch Marner should excel in the playoffs for Maple Leafs https://t.co/VFzVpgDtTk #NHLRSS #NHL #torontosuncom,1520756435558141958,trans_rumor
it’s all fun and games until you remember that mitch marner has a half sleeve,1520755448173174785,goalietaps
SIMMONS SAYS: A more mature Mitch Marner should excel in the playoffs for Maple Leafs https://t.co/BzT4gtGC32,1520739838395400192,leaftweets1
Mitch Marner has such kind nostrils.,1520704796126187520,nhlshitpost
3 ROOKIE CONNOR MCDAVID AUSTON  #whodoyoucollect https://t.co/NYZPaQSKEY,1520695556984684546,sportscardcoder
Mitch Marner ICONIC Topps NHL S #hockeycards https://t.co/6RyxwROtRv,1520672425683435520,gems_card
