full_text,tweet_id,screen_name
"Viacom18 Studios’ Shabaash Mithu, is set to hit the silver screen on 15th July, 2022! Tapsee Pannu essays the role of iconic cricketer, Mithali Raj.
#saachibaat #entertainment #entertainmentnews  #bollywood #MithaliRaj #tapseepannu #ShabaashMithu 
https://t.co/on7KU9wQP2",1520300495679926272,saachi_baat
"Mithali Raj's biopic to release in theaters on 15th July.

Read for more -

https://t.co/idDECt4kjO",1520076385930592258,BetBarteronline
#BoycottTaapseePannu starrer #BoycottMithaliRaj biopic Shabaash Mithu to release on July 15; Beau Mathias Boe cheers for her | PINKVILLA https://t.co/5Q4oiA108z,1520065858608910336,PikaDetects
"Active Cricketers from every word of my name

M - Mithali Raj
E - Ellyse Perry
G - Glenn Maxwell
H - Harmanpreet Kaur
A - Adam Zampa https://t.co/YkcNToXXi7",1520054494096072704,MegaVyas
Taapsee Pannu starrer Mithali Raj’s biopic ‘Shabash Mithu’ to release on July 15 https://t.co/9sC55yWsru,1520026626968457216,NewsBreakingUP
"TAAPSEE: 'SHABAASH MITHU' RELEASE DATE LOCKED... #Viacom18Studios has finalized the release date of #ShabaashMithu, the biopic on the life of #cricket legend #Mithali Raj... In *cinemas* 15 July 2022... Stars #Taapsee Pannu... Directed by #SrijitMukherji. https://t.co/oHcL2k8TSp",1520021878336724992,SiddharthGhanti
"Taapsee in her recent Instagram post, announced when Shabaash Mithu will release and also shared a new poster of the film. We're so excited!! #ShabaashMithu #TaapseePannu https://t.co/SmQo8W4TH4",1519992209189203968,TheHauterfly
"The story of Mithali Raj - #ShabaashMithu will be releasing on July 15th, 2022. #TaapseePannu is doing the role of #MithaliRaj https://t.co/3sqD3Ef5v3",1519987637532397569,IndiaObservers
"Mithali Raj’s biopic ‘Shabaash Mithu’ set to release on 15 July

@M_Raj03 @taapsee @MithaliRaj03_fc @MithaliRaj_03 @TaapseePFans @Taapsee_FClub #ShabaashMithu #CricketTwitter 

https://t.co/gtm2mKXIDp",1519986820192563200,LatestSportsNe6
"Taapsee Pannu Starrer 💫💫 Shabaash Mithu 
The Biopic OF Legend Mithali Raj

All Set TO Release IN INDIA ON 15th July ,2022

#biopic #MithaliRaj #ShabaashMithu #TaapseePannu #womeninblue #teamindia #indianwomen https://t.co/xx6dG7oiH3",1519977557298343936,FilmyGuftagoo
‘Changed Gentleman’s Game Forever’: Mithali Raj Shares Biopic Release Date With Inspirational Tweet https://t.co/ipTpA7fcLR,1519976139040731136,ThriftWallet
"Mumbai: The Taapsee Pannu-starrer ‘Shabaash Mithu’ is set land in theatres on July 15. The film, directed by Srijit Mukherji and written by Priya Aven, is based on the life of Mithali Dorai Raj, the celebrated skipper of the Indian women’s cricket team. View this post on Instagra https://t.co/CNGJOJYe2C",1519975535430021120,Deccan_Cable
"Mumbai, Ap 29: Shabaash Mithu starring Taapsee as iconic Indian cricketer, Mithali Raj will be in cinemas on 15th July 2022.
Shabaash Mithu will showcase how she managed to re... 

#Entertainment #India #News 

ℹ️  Read more at https://t.co/3IccHNzWzW https://t.co/0uWXQkeFBw",1519975212904763395,MyRayagada
‘Changed Gentleman’s Game Forever’: Mithali Raj Shares Biopic Release Date With Inspirational Tweet | Cricket News https://t.co/CzXf3YTEVT,1519974863770947585,wwwcurrentnews1
"The story of Mithali Raj - #ShabaashMithu will be releasing on July 15th, 2022. #TaapseePannu is doing the role of Mithali Raj.
Here is the Release Poster💙

@M_Raj03 @taapsee @srijitspeaketh @AndhareAjit @priyaaven @Viacom18Studios @TSeries #ColosceumMedia https://t.co/syTo0dClpY",1519972656640053248,KollywoodL
"SHABAAS MITHU' RELEASE DATE. #ShabaashMithu the biopic on tha life of cricket legend Mithali Raj - release in cinemas on 15 July 2022... Stars, #TaapseePannu. Directed by Srijit Mukherji. https://t.co/LOIbofhkMW",1519962105935409153,asm_samad_
"#taapseepannu #shabaashmithu
Taapsee Pannu’s Shabaash Mithu to release on July 15
Taapsee Pannu on Friday announced that her upcoming film Shabaash Mithu, a biopic on Indian cricketer Mithali Raj, will make its debut in theatres on July 15
https://t.co/Sh1lfqVUSc",1519953062265298944,LokmatNewsEng
"Taapsee Pannu starrer Mithali Raj's biopic Shabaash Mithu set to release in theatres on this date 

Full Details Here 👇

#Cricket #Movie #MIthaliRaj #TaapseePannu #ShabaashMithu #CricketTwitter 

https://t.co/2TdzsK8voP",1519951155522015237,sportstigerapp
"Shabaash Mithu: Taapsee Pannu starrer Mithali Raj’s biopic to release on THIS date
#ShabaashMithu #TaapseePannu #MithaliRaj 
https://t.co/lF3xU2W4P0",1519949173667164160,Cinetalkers
"#MithaliRaj Biopic #ShabaashMithu Gets A Release Date🏏

#TaapseePannu 
https://t.co/388w5QzMm6",1519946929219981312,ViralEntalk
"Taapsee Pannu movie will premiere this day, Mithali Raj will hit four and six in the field. https://t.co/swkYI7s2jY",1519946259351711754,theblazetrends
"Shabaash Mithu: After MS Dhoni, Mithali Raj’s biopic will come on the big screen, the film ‘Shabaash Mithu’ will be released on this day https://t.co/4BMZp9mo1b",1519944846106112001,NewsBreakingUP
https://t.co/90R8GzqrEx Pannu gets cheer from boyfriend Mathias Boe ahead of Mithali Raj biopic Shabaash Mithu's release https://t.co/wQb0XRLRuQ,1519937348074627073,mannainfinitys1
Taapsee Pannu gets cheer from boyfriend Mathias Boe ahead of Mithali Raj biopic Shabaash Mithu’s release https://t.co/6bok5tCKSl,1519925157145546753,DharmrajParmar5
"#TaapseePannu starrer #MithaliRaj biopic #ShabaashMithu to release on July 15 
https://t.co/FU77TNvSuq",1519924063803940864,PrameyaEnglish
"Viacom18 Studios’ Shabaash Mithu, is set to hit the silver screen on 15th July 2022! Tapsee Pannu essays the role of an iconic cricketer, Mithali Dorai Raj. The celebrated skipper of the Indian Women's Cricket Team has a career spanning 23 years, 7 consecutive 50s in ODIs an… https://t.co/zj58vBhQyN",1519922650382016519,Apki1Pasand
"Taapsee Pannu starrer Mithali Raj biopic Shabaash Mithu to release on July 15; Beau Mathias Boe cheers for her: hi INDiA  

Attach Main Entertaiment Image:  shabaash_mithu_release_date_taapsee_mathias.jpg A film that has been… https://t.co/pf8ISyEC05 | https://t.co/Vhb7EKELqw https://t.co/BHqaWshUQC",1519913794897469446,hiindia
"#ShabaashMithu

The Movie tells unheard story of Indian team Captain #MithaliRaj

Mithali Raj role played by #TapseePannu

July 15th in Worldwide ⚡️ https://t.co/p8Jlh70UHz",1519903504844079105,RojerMatz
Taapsee Pannu starrer Mithali Raj biopic Shabaash Mithu to release on July 15; beau mathias boy cheer for him https://t.co/39kTxSP8If,1519903234613297152,NewsBreakingUP
"Indian cricketer @M_Raj03 biopic #SubhashMithu releasing in theaters on 15th July, 2022. @taapsee in and as Mithali Raj.",1519902925522227200,Unknown_One_01
"Viacom18 Studios’ Shabaash Mithu, is set to hit the silver screen on 15th July, 2022! Tapsee Pannu essays the role of iconic cricketer, Mithali Dorai Raj. https://t.co/E7nG65Wdrm",1519899229048967168,firstindiafilmy
It's weird that no one thought of casting a south indian actress for Mithali Raj' biography movie or cast a Bengali actress for Jhulan Goswami's....🤷,1519592439870201856,gungun005
"I am seeling this account 
1200 followers 
29.9 k tweets 
66k+ likes 
3 1000+ like tweets 
Got reply from ashwin 2 
Mithali raj   scoot wasim Jafar liked 4 times and 3/4 more replies from cricket player's 
Followed by John's 
And many more 

Price 300+ minimum",1519284577696501766,Straightdrive08
"Mithali Raj, the captain of the Indian women’s cricket team, is the only woman cricketer in the world to represent her country in six ODI world cups.

Read more about her &amp; other sports personalities on  https://t.co/676ScXbBVz

#Facts #FileOFacts #News #NewsforKids #FactsforKids https://t.co/USJxZDea9U",1519273306977103872,FollowRobinAge
"AMFI to launch three new TVCs, featuring Sachin Tendulkar &amp; Mithali Raj, to address key concerns of small savers https://t.co/MQW25mWdWB",1518814709759475713,BestMediaInfo
