full_text,tweet_id,screen_name
2017 Topps Chrome Refractor Moo #sportscardsforsale https://t.co/u3G5HLFtn1,1520904672801918978,cardradar1
"Mookie Betts vs Drew Hutchison
#Dodgers

Flyout 💢

Exit velo: 101.5 mph
Launch angle: 25 deg
Proj. distance: 366 ft

This would have been a home run in 7/30 MLB ballparks

DET (0) @ LAD (6)
🔻 6th https://t.co/LPItUHTxWK",1520891032262512641,would_it_dong
"*Mookie Betts 5 feet short of a homer*

SNLA: “Check out all these old Mookie Betts highlights!”",1520889027624198144,QNasty2point0
"Barrel: Mookie Betts (4) [LAD] off Drew Hutchison [DET]: 101.5 mph, 25 degrees (Flyout - 366 ft)",1520888817519153152,MLBExitVelocity
Mookie Betts flies out to deep RF.  Tigers dude slams his head at the wall but holds onto the catch to end the inning. 6-0 top of the 7th #dodgers,1520888814570545153,dedicateddodge2
Austin Meadows hit the wall hard tracking and catching the long blast by Mookie Betts. Looked like it might have knocked the wind out of him a bit.,1520888782697820160,cmccosky
"Mookie Betts flies out sharply to right fielder Austin Meadows.

End of the 6th | 3 outs

#DETvsLAD",1520888732852781056,DodgersNation
"Mookie Betts off RHP Drew Hutchison - 101.5 mph, 25 degrees (366 ft Flyout)
86.2 mph Slider
#Tigers @ #Dodgers (B6)",1520888650761969664,MLBBarrelAlert
mookie betts https://t.co/L85FTpd6Fx,1520884934143258624,MookieEatMeat
"It’s weird that they have two different versions of the Mookie Betts MLBTV commercial, one with Joe Davis’s call of Mookie Betts’ game-ending catch against the Padres last year and one with Don Orsillo’s.",1520881411284111360,snidog
"Mookie Betts grounds out softly to pitcher Eduardo Rodriguez.

End of the 4th | 3 outs

#DETvsLAD",1520880679218647040,DodgersNation
"I’m not sure if this is a geographical thing but judging by the promos that @mlbtv runs, the league’s superstars are Mookie Betts and… Mookie Betts.",1520879793486540800,26JinX
"Baseball, man. Akil Baddoo hit a bullet in the gap in RCF that Mookie Betts ran down in the second inning. In the fourth, Buehler broke his bat, ball traveled maybe 70 feet -- infield single",1520878219498426369,cmccosky
"Harold Castro singles on a ground ball to right fielder Mookie Betts.

Top of the 3rd | 2 outs

#DETvsLAD",1520874137706586112,DodgersNation
mookie betts is so sexy i want him to punch me in the face,1520874105079095296,eighthwndrr
