full_text,tweet_id,screen_name
i bet you natalie portman also thinks #fleshers is stale 👀🕶,1520914106630385664,DookChunk
I try to draw Eren and he end up looking like natalie portman idk whats going on with me,1520909356333555712,schnifercifer
If we do tackle a Flashpoint take on Joker I would actually want it to be Natalie Portman,1520894837939187712,DapperSteve
natalie portman wearing jean paul gaultier in 1997 https://t.co/4OU1MD5MTd,1520889824424738816,margieIic
"Did Natalie Portman use steroids for #Thor?
Many Hollywood actors have used some “help to transform their bodies into superhero physiques. Would it be that unusual for a woman?
#movies #WritingCommunity 

https://t.co/lUW7WtEzA2",1520886341986181120,hamdanz
Natalie Portman’s outfits in Ep 2 &gt;&gt;&gt;,1520885109188009984,younggothamjedi
"Man I started watching ‘Girl, Interrupted’ because I thought Natalie Portman was in it but it was Winona Ryder the whole time wtf.",1520882049292374016,IvanHer73327312
Is this haul Lilly rose depp coquette smoking in a hot french girl way Lana del Rey messy french girl Kate moss Natalie Portman hot girl enough🎀 https://t.co/czWkussX9a,1520874761739550723,lemmebethin
That scene from Black Swan where Natalie Portman picks at her cuticle and then tears the strip of skin all the way up her finger is the most accurate depiction of me in any film ever,1520869679983730688,disarahster
"a lot of insane takes about Wes Anderson on the timeline today. here’s what I have to say: I always loved the line from Hotel Chevalier where Natalie Portman says “If we fuck, I’m gonna feel like shit tomorrow.”",1520868595508514817,taytayhawkinz
Check out 2 Entertainment Weekly US Magazine 2000 &amp; 2007. Star Wars &amp; Natalie Portman https://t.co/t5w218Rk5B #eBay via @eBay,1520865756140883968,pabloramos66
"Padmé Amidala was played by Natalie Portman in the prequel trilogy, and voiced by Catherine Taber in the Star Wars: The Clone Wars film and TV series.",1520864910149890048,StarWarsInforms
"Amber Heard has a pretty face but so do these women— Scarlett Johansson, Emilia Clarke, Dakota Johnson, Natalie Portman &amp; Keira Knightley. 

But we're not hating on them. Why? Oh cause they're not abusers who act like a saint in public and use real DV victims for their own gain. https://t.co/oxf9JK4IKq",1520864318900011008,maleedus
"THE DRESS - THE WOMAN 
natalie portman in dior. https://t.co/RFHQuE17jG",1520860206720327680,ImYnesss
"Natalie Portman
@ADELAREGUERA 
Julie Andrews 
Elizabeth Taylor https://t.co/eBDOvG939s https://t.co/Jxs2o5Q7R3",1520853866035789842,josedanielrocha
"Natalie Portman as, The Joker",1520852360347725825,DapperSteve
"Natalie Portman for American Vogue, January 2011 https://t.co/ijHElPSuY8",1520850968132210688,nportmanupdates
"Coming up in May on my page 📄

Sunday themes are :

Cheryl (tomorrow) 
Olivia Culpo (birthday 🎂)
Katy Perry 
Angelina Jolie 
Natalie Portman 

#CelebFanDailyPics are :

Amy Willerton
Raquel Santolaya https://t.co/1ShjiWAowI",1520838538551607297,_celeb_fan
black swan natalie portman mitski liquid smooth https://t.co/KuzOi80F9L,1520838404610605057,natportmasn
"Tonight, Natalie Portman drives a Perodua Nippa with a great dane inside, to Rochdale",1520837746847219712,TopGearFeatures
"Natalie Portman plays Andrea, doesn’t she?",1520833921486778368,BookOfNeoMormon
How #Chingona #NataliePortman and her @weareangelcity cofounders are changing the game for women’s soccer https://t.co/xu5KBcvzI0 | via @FastCompany,1520829889300946944,ChingonasSomos
Natalie Portman and Angel City FC are changing the game for women's so https://t.co/HTROgs9upy,1520829796221132802,desmondlavelle
Natalie Portman should get a more significant role in a Wes Anderson flick,1520825132817784834,MetaReflexive
I love Natalie Portman,1520812691165954053,ididdoggie
I think Natalie Portman is up there with Megan Fox respectfully,1520812365889089536,JeudyWRLD
We put Natalie Portman's pet camel (who works as an baker) and their steak knife in a persimmon and now they are feeling questioned,1520809442215796736,purpsbear
Seuss is the new Natalie Portman.,1520791671167877120,Hot_New_Style
How Natalie Portman and her Angel City FC cofounders are changing the game for women’s soccer https://t.co/vCYzJkyhFA #prettytough,1520789536736903169,PrettyTough
"https://t.co/Nn3hWiyCwS
Here is an excellent article from @juliarherbst on Angel City FC.  Women's professional sports are very much a growth stock that is still undervalued by investors!",1520785112413007872,wagesofwins
"Three times a day, I remind myself that I value life and do not want to cause pain to or... - Natalie Portman #vegan https://t.co/X2FTFOLesH",1520782111413731328,veganposters
Celine literally sounds like natalie portman here im not lying https://t.co/bbIsasrSPq,1520781076075106304,peterskeeter_
"“I don’t love studying. I hate studying. I like learning. Learning is beautiful.” – Natalie Portman

@GazeSelfie @CyborgianSelf #selfie #selfieresearch #digitalhumanities #phdresearch #algorithm #identity #socialmedia #contemporary",1520780106649718784,JoSutherst
🌞🌻. Why am I envisioning Miss Natalie Portman or Miss Keira Knightley as Mrs. Walker?,1520780071254085637,ClaraRubrumCor
"Featured Art of the Day: ""Natalie Portman"". Buy it at: https://t.co/K1wFKcdFS8 https://t.co/CyFUfxdAnC",1520776320518656000,Sourabh47980583
Feeling like natalie portman updates https://t.co/uQhkFtM6G9,1520775579926151168,bryantshosie_
natalie portman in thor ?! NO QUESTIONS IM THERE https://t.co/tAk9Q3XwOj,1520773674537828352,kieugoesmoo
How Natalie Portman and her Angel City FC cofounders are changing the game for women’s soccer https://t.co/tJo0H9fmHP,1520769570503548929,woooba
"Gang- this article on the founding of @weareangelcity by @karanortman, @juhrman, and Natalie Portman is 🔥🔥🔥🔥🔥 https://t.co/TVmct5kijI",1520765479039643648,Rachael_IP
behind the scene of natalie portman in black swan (2010) https://t.co/BreoAwqG7b,1520763878522511360,cinemagicc
swan song sounds diff since i saw the unofficial mv over the film w natalie portman,1520746946729816064,24n7sylviaplath
"Great story, https://t.co/jZsbJRCjux",1520745344480407552,knorthro
"My Top 5 Actors:

1. Alan Rickman
2. Denzel Washington
3. Gary Oldman
4. Samuel L. Jackson
5. Tom Hanks

My Top 5 Actresses: 

1. Noomi Rapace
2. Audrey Tautou 
3. Rachel Weisz
4. Natalie Portman
5. Gemma Arterton",1520726314470322179,JBTaylor42
"When a guy tells me I'm cute, it's not something desirable. Cute is more like what you want your pet to be. - Natalie Portman #QotD #QuoteOfTheDay",1520715915146448897,InternetFount
We put Natalie Portman's pet toad (who works as an soldier) and their plush dinosaur in a cherimoya and now they are feeling hesitant,1520683590580772865,purpsbear
‘Thor: Love And Thunder’ Trailer Reveals First Look At Natalie Portman As The New Thor https://t.co/YutrJldctX,1520669912758431745,medicinehelp
JISOO AND NATALIE PORTMAN CRUMBS https://t.co/EtEWkd7peZ,1520667239497838592,mtaysooskz
Can’t believe I forgot Natalie Portman and Mila Kunis have sex in a movie,1520657310930022401,itsBBCHRIS
"Emma Stone, Natalie Portman, and Amy Adams Perform ""I Will Survive"" | W ... https://t.co/TQv1t4cX6E @YouTubeより",1520656496207360001,YoyoqiMoon
madison beer version of that one natalie portman stan account https://t.co/DQKCoJO2H9,1520646550103470081,skankierdoodle
yeah i can’t wait for the new thor movie if there’s one thing about me it’s that i love my baby natalie portman,1520639935816122370,uhhlizuhbeth
Think Imma do old romcoms for this holiday. The ones that’ve got Natalie Portman and Mila Kunis in them especially.,1520639118694563840,omoAsake
"FUCK YES NATALIE

https://t.co/H72AI5Y1ZF",1520628491640664064,littlestjt
how is natalie portman that fine. i jus wanna know,1520624475233914880,triggatnizzle
"Natalie Portman is my first celebrity crush. gaero seneng ae ket jamane film starwars, thor, v vor vendetta, karo no strings attached 😍😍😍😍",1520610124041437184,anggamonnnn
not everybody has a black swan in their filmography and that is why Natalie Portman is mother https://t.co/bVCz7gWuz8,1520594959476436998,EUPHORICFENTY
Nah but Natalie Portman bro… like come on man like HOLY SHIT,1520594430478143489,HovengerDynasty
Someone tells me I look like a Natalie Portman ♡ damn I feel good https://t.co/THqjMinnZO,1520589468595589123,TheMostWhore
I wanna be the human version of Natalie Portman,1520585792770428930,YourbloodbunnyG
How Natalie Portman and her Angel City FC cofounders are changing the game for women’s soccer https://t.co/ierpntcauP,1520583502642696192,cdcrio
"I don't care what anyone says, Leon: The Professional is a horror movie. Just a never ending nightmare. Jean Reno, Natalie Portman and Gary Oldman  https://t.co/tHCJskPy6u",1520570983366676480,robsalyers
natalie portman collecting her check after being in 2 seconds of avengers endgame https://t.co/tWpLtmEkD3,1520568379479928833,hkwxrd
I need me a Natalie Portman like Thors,1520564736991145985,itsbishhhh
"In celebration of Angel City, my favourite Natalie Portman movies:

Phantom Menace (shuddup, she’s great in it and it’s fun) 

Mars attacks

Anywhere But Here

Annihilation 

Thor 

V for Vendetta

And she’s great in Heat",1520557110261518336,KaptinYap
It’d be fun if the Thor: Love and Thunder credit scene was a jacked Natalie Portman on set in her Thor costume doing a third rap.,1520551870070247429,BPitonza
"that’s 15,00 members with no official affiliation with Galaxy or LAFC. 

The star power &amp; credibility of big names in their launch (Natalie Portman, Mia Hamm) guaranteed media attention, but that doesn’t automatically translate to sales.

Aus needs to learn how this was done https://t.co/xEJSDbUfuV",1520546330266902530,KaptinYap
"Best Actor : Matthew McConaughey
Best Supporting Actor : Mahershala Ali / JK Simmons

Best Actress : Natalie Portman.
Best Supporting Actress : Viola Davis. https://t.co/l4sjjlJJRU",1520531705295081472,algabriannn_
@thorofficial Also Thor's next movie is anticipated highly! Go Natalie Portman aka Padme!,1520529613939650560,Subarubrian1
designating natalie portman my new fav white woman of the week,1520526293909053441,mastybfapsss
Casting Keira Knightley as Natalie Portman’s double in Phantom Menace is actually brilliant.,1520520628721258496,bambipaisen
i feel like that natalie portman updates acc rn,1520518020594286592,saokobaby
"Voy a aplicar la de Natalie Portman:

And now, the only two MEN left https://t.co/ITHixKJa8j",1520515870103150599,belfromkrypton
