full_text,tweet_id,screen_name
"Natti Natasha Net Worth: How Rich is Natti, Anyway? https://t.co/GMqpe0vBvR",1520891444684550149,fullcelebs
"Now playing Wow BB by Natti Natasha,El Alfa,Chimbala #like #oyentes #emisoras #o #retroradio #diversion #radios #periodismo #envivo #f #dise #entrevista #barinas #laquemanda #tendencia #operadores #rap #xtremeradiopty #comunicacion #radioenvivo #mix #tbt #tv #llano #radioshow ...",1520887987395039232,el_palabreo
Now playing Natti Natasha - No Voy a Llorar.mp3 by  #like #oyentes #emisoras #o #retroradio #diversion #radios #periodismo #envivo #f #dise #entrevista #barinas #laquemanda #tendencia #operadores #rap #xtremeradiopty #comunicacion #radioenvivo #mix #tbt #tv #llano #radioshow #...,1520860321602224128,el_palabreo
"for those who don't know, yummy yummy love is Momolands latest single that released in January featuring queen natti natasha~ https://t.co/wpobS8ij6V",1520838572139495424,jiyeon_land
.@DONOMAR and @NattiNatasha's “Dutty Love” has reached 400 MILLION views on YouTube. This is Natti Natasha's tenth video to achieve this.,1520835041408036864,latinxportal
"Now playing 🎵momoland &amp; Natti Natasha - Yummy Yummy Love  28.01.22
Listen here: https://t.co/lTNBlEsX5O 🏆NO.1 RADIO STATION 🚫NO COMERCIAL BREAKS 🔀 24hr NO REPEATING SONGS",1520823020532682753,dfmliveradio
"plssss remember natti natasha singing ""sin pijama"" to these kids 😭😭 me lmao https://t.co/OGt2fD5b3P",1520813949150670848,latinopicoso
"The classic “Dutty Love” (lyric video) has surpassed 400 MILLION views on YouTube. It is Natti Natasha’s 10th video to reach this mark! 

— This is the most viewed video by a latin female urban artist released in 2012. https://t.co/gT1chkdCZY",1520808001296289793,NattiChart
#NowPlaying Natti Natasha Ft. Nio Garcia Brray - Philliecito En https://t.co/OhxjVeGSmZ #elblokeradio,1520804839080480772,ELBLOKERADIO
"Loco Contigo (Remix)  - DJ Snake, J Balvin Y Ozuna ft Nicky Jam, Natti Natasha, Darell Y Sech https://t.co/xAmum9ri7p",1520792889961418752,spiceradioca
"Sebastián Yatra, Daddy Yankee, Natti Natasha - Runaway ft. Jonas Brother... https://t.co/E406j4TqrN via @YouTube run away on you boo #crushing JB biber",1520790274666078215,AngelzViolet
"Album of the hour:  Honey Boo by Natti Natasha #HoneyBoo #NattiNatasha #music #musicvideo #listen #free: Honey Boo by Natti Natasha
 #HoneyBoo #NattiNatasha #music #musicvideo #listen #free https://t.co/VIe7rdVqQo by https://t.co/3FGpOeJ6lx https://t.co/N5pHKjMveu",1520762492133122049,onemusic_tv
Now playing Natti Natasha x Ozuna - Criminal.mp3 by  #like #oyentes #emisoras #o #retroradio #diversion #radios #periodismo #envivo #f #dise #entrevista #barinas #laquemanda #tendencia #operadores #rap #xtremeradiopty #comunicacion #radioenvivo #mix #tbt #tv #llano #radioshow ...,1520725575480008706,el_palabreo
"Estas Escuchando la #1 en REGAETTON Now playing on LMM REGGAETON RADIO: Te Mueves by Zion &amp; Lennox, Natti Natasha! Tune in now: 
Android App https://t.co/czmKU8Q1sh
Iphone App
https://t.co/TjWioRhPAq",1520719980848898049,LatinMixMasters
Dj Snake and J Balvin Ft. Ozuna Nicky Jam Natti Natasha Darell and Sech - Loco Contigo (Remix),1520718956566392832,DFrontlineRadio
"Loco Contigo (Remix)  - DJ Snake, J Balvin Y Ozuna ft Nicky Jam, Natti Natasha, Darell Y Sech https://t.co/RFgmfkvfIi",1520703324156219392,spiceradioca
"Now playing Wow BB by Natti Natasha,El Alfa,Chimbala #like #oyentes #emisoras #o #retroradio #diversion #radios #periodismo #envivo #f #dise #entrevista #barinas #laquemanda #tendencia #operadores #rap #xtremeradiopty #comunicacion #radioenvivo #mix #tbt #tv #llano #radioshow ...",1520684500371525635,el_palabreo
Now playing Natti Natasha - No Voy a Llorar.mp3 by  #like #oyentes #emisoras #o #retroradio #diversion #radios #periodismo #envivo #f #dise #entrevista #barinas #laquemanda #tendencia #operadores #rap #xtremeradiopty #comunicacion #radioenvivo #mix #tbt #tv #llano #radioshow #...,1520676099440537600,el_palabreo
400 million: Don Omar - Dutty Love (Lyric Video) ft. Natti Natasha https://t.co/sVOJPtZ59d,1520671375798771712,YTMilestones
"Now playing 🎵Daddy Yankee, Natti Natasha &amp; Becky G - ZONA DEL PERREO  27.03.22
Listen here: https://t.co/lTNBlEsX5O 🏆NO.1 RADIO STATION 🚫NO COMERCIAL BREAKS 🔀 24hr NO REPEATING SONGS",1520610117028401152,dfmliveradio
"On Air =&gt;&gt; Natti Natasha ft. Fran Rozzano - Fue Tu Culpa

Latest Fresh Tracks =&gt;&gt; https://t.co/DNQcWrixKz

Tune In Now =&gt;&gt; https://t.co/3d3ZLtbhEP",1520599908889288704,radio5romania
"Estas Escuchando la mas En Variedad Now playing on LMM RADIO: Zum Zum - Remix by Plan B, Natti Natasha, Daddy Yankee, R.K.M &amp; Ken-Y, Arcangel! Tune in now. 
Android App
https://t.co/czmKU8Q1sh
Iphone App
https://t.co/TjWioRhPAq",1520593025986146313,LatinMixMasters
NowPlaying Me Gusta - Natti Natasha https://t.co/NTw7OPrbYj 01:51,1520581746332422146,RadioRoatan
"Loco Contigo (Remix)  - DJ Snake, J Balvin Y Ozuna ft Nicky Jam, Natti Natasha, Darell Y Sech https://t.co/PxnnfOsbcr",1520565636480516100,spiceradioca
"[OnlyHit K-Pop] Right now: Yummy Yummy Love
 by momoland, Natti Natasha Join us on https://t.co/nsGoir2cYH",1520552371776012289,OnlyHitNP
