full_text,tweet_id,screen_name
💟💜✧･ﾟ: *✧･ﾟ: 💜💟Nelly Furtado Ft Tupac - Say It Right Remix https://t.co/FMybsbI6KH via @YouTube,1520913397742804993,littlerose7474
I think Nelly Furtado was my bisexual awakening when i was like 10 lmfaoo,1520911885960302592,Champagn_yachty
No ar: Nelly Furtado - Say It Right,1520909468955033601,fmraizesnoar
no shade but what ever happened to nelly furtado,1520908435411382272,arikenobi
"The don’t make music videos like Timberland’s Morning after dark anymore. He, Nelly Furtado and Soshy gave us vampire and vampire hunter realness. Buffy who? We don’t know her.",1520906805643251719,whycollinswhy
Nelly Furtado - Turn Off The Light (Official Music Video) https://t.co/QPtXdHticf via @YouTube,1520905197870014464,Sir_Majadero
"#NowPlaying: Broken Strings by James Morrison, Nelly Furtado on https://t.co/UC2bB6jnX6 https://t.co/RNOdqdeB32",1520903965159870464,SmileRadio_
Now Playing:  Nelly Furtado - All Good Things (Come to an End)   Listen Live: https://t.co/HdPs3ksq6g,1520903582568136709,ADLWebRadio
"If you ask Apple Music to play ""I Like Birds"" by Eels, it follows it up with Nelly Furtado's ""I'm like a bird"", because now Apple Music thinks you like birds. It's a good system if you like songs about birds.",1520899483680206848,RossFloate
Now Playing KNAAN (feat. Nelly Furtado) - Is Anybody Out There -escuchala en https://t.co/Om4r4u1aQu,1520899187939979264,RIflorida
How out of FUCKING NOWHERE is Nelly furtado suddenly everywhere again like what,1520898407681990657,w0rld_
listening to Nelly Furtado’s  “Maneater” got me thinking about Gaga and Gwen,1520886986776530944,dezzii____
Nelly Furtado - Say It Right (Official Music Video) https://t.co/aqtzBHh7vj via @YouTube,1520884769449459717,PamelaMcOmish84
"My ★★★★★ review of Ariana Grande, Nelly Furtado - Motive X Promiscuous (TikTok Mashup) [Lyrics]",1520879179398631430,sthefobia
Nelly Furtado - All Good Things (Come to an End) is just great! ID: 1651437843,1520866662836277251,NGRadioShow
On Air Now Promiscuous by Dj SharonG is now playing: Nelly Furtado #yousoulfoodformusic #thestationforeverygeneration #gsmelodycafe https://t.co/860u52dCRU,1520855667162206209,GsMelodyCafe
"Nelly Furtado - I'm Like A Bird https://t.co/MonzgClhhc
💕☺️💖",1520855458701090824,4llbym1s3lf
Omg Nelly Furtado is so beautiful and so are her songs❤️‍🔥 😍😍,1520852732864782336,piecesofanita
"Nelly Furtado ♥️
I love her music so much 
https://t.co/L4e7zB46qG https://t.co/a8HrIz0FIb",1520843112511381504,JeanDracolosse
Nelly Furtado - Say It Right,1520839808309940226,RadioWywm
Me bee bopping around nyc blasting “Maneater” by Nelly Furtado as if I haven’t had massive social anxiety around men all my life,1520836843528495111,DanielleRackle2
#nowplaying #NellyFurtado ~ Nelly Furtado | I'm Like A Bird ||| #bbradio #rockt #brandenburg,1520836524564221953,_BB_RADIO_MUSIC
"My brother is singing Nelly Furtado's ""Do It"" in his bedroom. I swear I love this guy❤",1520832918859534337,ZintelM
Nelly Furtado - All Good Things (Come To An End) https://t.co/BrOMHaEOq1,1520823240880529409,securenet
NELLY FURTADO AND I SHARE THE SAME SUN AND MOON SIGNS YALL THIS IS NOT A DRILL,1520812829489565696,jupiterignited
Nelly Furtado - Promiscuous (Feat. Timbaland) https://t.co/BrOMHaEOq1,1520807412445364224,securenet
@OfficialBongile my 12 year old cousin has been singing Say it right by Nelly Furtado since Friday and it is all thanks to tik tok,1520802821137911811,uSiphokuhle_
Now playing Promiscuous Live Festival de Viña 2008 by Nelly Furtado!,1520790114796019713,simmons1
"I'm like a Bird    Nelly Furtado

https://t.co/ozJReW31II",1520785644137730053,trinidad33angel
obi-wan is currently listening to: maneater by nelly furtado https://t.co/iYqZwfdghC,1520768485260890112,obisspotify
Nelly Furtado wow🖤✨,1520767806631030784,divinelustx
I’m like a bird not in the Nelly furtado way but in the if you put me in front of a mirror I will never stop staring at myself way,1520766660084387844,cherloqholmes
For some reason I feel the need to listen to Nelly Furtado’s Loose. Maybe just out of 2000s nostalgia.,1520760221517422595,Muneca69117
Nelly Furtado - All Good Things (Come To An End) (US Version) (Official ... https://t.co/U6ILyl3WLz via @YouTube,1520759200095293441,NadiaSchaad
"A hill I’m willing to d*e on. She was Timbaland’s best muse since Aaliyah (yes, even over Brandy and Nelly Furtado). Shame what became of her career. https://t.co/1f1kiYiqsO",1520740945238634503,Coolness941
The best funk dance clubbing music nowplaying Say It Right - NELLY FURTADO on https://t.co/Wg3ueOYXGF https://t.co/wtVwmNS6Ds,1520740100715470852,POPXXICENTURY
Now playing Say It Right by Nelly Furtado!,1520721381700288514,DESIFOTOLISBOA
Now playing Say It Right by Nelly Furtado!,1520713571159756801,RadioTiktok
Then he follows it up with Promiscuous girl - Nelly Furtado 🔥🔥 https://t.co/LHoWATpBGh,1520710082895491072,RonPipes
Nelly Furtado - In God's Hands  #nowplaying #radiostation #listenlive #goodmusic #80s #newhits #eradiosa #gardenroute #Knysna #George #Mosselbay #CapeTown #southafrica #westerncape - Tune in: https://t.co/yaayRJxmoU,1520706369611046913,eradio_sa
Nelly Furtado was truly ahead of her time,1520702959247511552,tribbiabing
