full_text,tweet_id,screen_name
"MLB Player Props:
Joe Musgrove 7+ K’s ✅
Mike Trout 1+ Hits / 🪜 2+ TB’s ✅✅
Logan Gilbert 5+ K’s ✅
Andrew Benintendi 1+ Hits / 🪜 2+ TB’s ✅✅
Josiah Gray 5+ K’s / 🪜 6+ K’s ❌❌
Nelson Cruz 1+ Hits ❌

Not a horrible day on player props, few plays fell short #GamblingTwiitter",1520909356912582657,TheToke__
"1B Alonso 2B McNeil SS Lindor 3B Escobar LF Canha CF Nimmo RF Marte DH Cano

Could also see them releasing Cano and maybe trying to trade for Nelson Cruz. This lineup has ways it can really improve https://t.co/ep4w8OWmyX",1520905321736200192,Studman223
Are we deep enough into the season for me to worry Nelson Cruz is absolutely cooked,1520905162356891649,jonbecker_
"Nelson Cruz groundout .. Josh Bell intentionally walked to face Yadiel Hernandez
#Nationals 8 #Giants 5 T8 https://t.co/BDgI3iXXfh",1520904857070280706,Sports_24x7_
nelson cruz get off the ball team,1520904509895098369,JamesKnowsBall_
"For anyone who bet on Victor Robles’ OPS being 200+ points higher than Nelson Cruz’s in May, please collect your huge burlap sacks of cash.",1520894607285968897,ajflax
"@ThriveFantasy 
MLB Nelson Cruz showing 2 points in Live Scoring but the prop is Bases and he’s 0-for-3 so what’s going on here?
Won’t panic until the game goes final.",1520892035175051268,EdmFLBfanatic
So I leave the room with Josiah Gray in a bases loaded jam and then when I come back Nelson Cruz has an RBI and the Nationals are now ahead 7-0?,1520890352097497088,NatsAndCats
"Lucius Fox reaches on an infield single, goes first-to-third on a Juan Soto single, and scores on a wild pitch by #Giants' righty Yunior Marte, 6-0 #Nats, and 7-0 when Soto takes 3rd on the wild pitch and scores on a sac fly by Nelson Cruz.",1520890114016264193,federalbaseball
I mean seriously who’s surprised that Nelson Cruz fell off as soon as he got to DC,1520877623966064641,nonrosterinvite
They really gave Nelson Cruz a hit then an inning later said nah jk it was an error,1520872359837810695,TheGr3at1
"2014 Topps Chrome NELSON CRUZ REFRACTOR Baltimore Orioles 

$2.50 @jstraut https://t.co/JJDB5687Zu",1520869289208782848,howellman01
"1st inning recap for #Nats:

11 batters, 5 runs scored, 1 balk issued as Alex Cobb is already sent to the showers.

Cesar Hernandez reached base twice.

Nelson Cruz 2 run double that was changed to an error.

Lucius Fox 1st career hit. https://t.co/kpWq2nugzo",1520865191730241538,Nats_Chat
"@ScoringChanges @MLB They going to re-score that Nelson Cruz ""double"" that basically went through the 3B's legs? I'm losing like 3 fantasy categories now because of that one play which seemed so obviously an error.",1520863327211167745,avantgardian
"Bad reads happen, outfield isn’t hard. There is always room for forgiveness! 

Except you Nelson Cruz…. https://t.co/t28UqOSzPE",1520861848098291719,DanePHowell
"Nelson Cruz over fantasy points ✅
#gamblingtwitter https://t.co/LNH4wyOmdw",1520861105966440450,preston6244
"Assuming that Nelson Cruz hit, Vosler whiff gets correctly overturned to an error, the Giants have made 9 errors in 8 games. Very uncharacteristic of the Giants, a team known for their superior defense last season.",1520861076618825728,fp_jr
How on earth does Nelson Cruz get credited with a double on that play? Lol.,1520860304611188736,KJH05
"Yadiel Hernández, professional hitter, drives in Juan Soto and Nelson Cruz with a 1-out single to center, 3-0 #Nats over the #Giants in the 1st.",1520859822194835457,federalbaseball
Nelson Cruz really doubled and then scored from second on a single WHERE IS @WeAreAllShack,1520859583287373831,thevoiceofevan
The score keeper in Giants Nats just gave Nelson Cruz a double on a error under Vosler’s glove.,1520859407197908992,Tfreillythe4
"Lucky Hit: Nelson Cruz (2) [WSH] off Alex Cobb [SF]: 96.5 mph, -34 degrees (Double)",1520858878057058304,MLBExitVelocity
RBI Double for Nelson Cruz to give Nats 1-0 lead,1520858732204285953,SportsTalkJC
"Back-to-back singles by César Hernández and Juan Soto to start the #Nats' 1st. Soto hit one right back at #Giants' starter Alex Cobb, who avoided it. 2 on, 0 out, and Nelson Cruz gets a chopper by 3B Jason Vosler, 1-0.",1520858682111803392,federalbaseball
RBI double for the savy Veteran Nelson Cruz 2-0 Nats,1520858540990033920,Villanueva__A
"Nelson Cruz (WAS) 
Over 1.5 TB (+115) 1U
RBI (+145) 1/2U
2 RBIs (+650) 1/4U
HR (+280) 1/4U
BOL if y’all tailing. https://t.co/J3F36nxAGR",1520855985849606146,taze2k
Nelson Cruz https://t.co/E6qwT4w3xr,1520854349836025856,SanBrunoJess
"there have only been 13 Mariners home runs in the Statcast Era with 110+ EV that have gone 450+ feet

Nelson Cruz 8 times
Mike Zunino 3 times
that one huge Jake Bauers HR in Kansas City last year

and now this: https://t.co/IQZNM67hSh",1520850295466643456,j_shusterman_
"Nelson Cruz lot 👀🔥💪💯

$2👀
Add it to your stack 📦 

#StacksWithRyan 
@FatherBreaks 
@sports_sell 
@HiveRetweets 
@84baseballcards 
@MDRANSOM1 https://t.co/FrbDUJx9UF",1520846236852576257,StackswithRyan
Also like Nelson Cruz today,1520846196184694786,Betsandmorebets
I’m at a @FisherCats game and someone here is wearing a Nelson Cruz @Mariners jersey. (I’m wearing my Felix jersey.) #GoMs #whereiroot,1520843821332013065,taylorklong
Nelson Cruz at +480 to hit a bomb today🔒,1520836754059653120,trey_klopstein
"98.8% arb
#MLB: Nelson Cruz Runs
O 0.5 +148 (Barstool)
U 0.5 -141 (Caesars)
#GamblingTwitter https://t.co/o9xWLYXd83",1520829229738381313,playerpropodds
"Bailey Ober was a 12th-round pick in 2017. Josh Winder was a 9th-rounder in 2018. The Twins got Jhoan Duran for 2 months of Eduardo Escobar at the '18 deadline, and Joe Ryan for 2 months of Nelson Cruz last year.

This front office is doing exactly what they were hired to do.",1520828704905175041,NickNelsonMN
"Washington Nationals lineup:
1. Cesar Hernandez (S) 2B
2. Juan Soto (L) RF
3. Nelson Cruz (R) DH
4. Josh Bell (S) 1B
5. Yadiel Hernandez (L) LF
6. Maikel Franco (R) 3B
7. Keibert Ruiz (S) C
8. Victor Robles (R) CF
9. Lucius Fox (S) SS
https://t.co/Y3W1k9vpkY",1520823793966587905,AwesemoMLB
"5/1 Washington Nationals Lineup:

1 2B Cesar Hernandez
2 RF Juan Soto
3 DH Nelson Cruz
4 1B Josh Bell
5 LF Yadiel Hernandez
6 3B Maikel Franco
7 C Keibert Ruiz
8 CF Victor Robles
9 SS Lucius Fox

 SP:Josiah Gray #Natitude  #MLB",1520822302002274306,GSMLBPicks
"#Nationals Lineup 05/01/22

1. Cesar Hernandez 2B
2. Juan Soto RF
3. Nelson Cruz DH
4. Josh Bell 1B
5. Yadiel Hernandez LF
6. Maikel Franco 3B
7. Keibert Ruiz C
8. Victor Robles CF
9. Lucius Fox SS

Starting Pitcher : Josiah Gray",1520822293340901376,DailyMLBLineup
"Vlad total bases -105, Nelson Cruz total bases +110, and Matt Olson total Bases. 1 unit on each, .25 on the lay. Let’s get a sweep today! GL if tailing https://t.co/HRsvDuHgRf",1520814044562796544,disc2121
"Hitters with strong stats (wOBA) vs opposing starting pitcher:

Willy Adames (.750)
Harrison Bader (.700)
Tommy Pham (.471)
Nelson Cruz (.483)
Starling Marte (.818)",1520806228460511232,ZK913
"“Why would Nelson Cruz choose the crappy Nationals?”

Because 500 home runs is probably more important to him than a ring. Nationals can let him hit through slumps. A competitive team can easily take at-bats away, because they’ll have other guys to spot start at DH.",1520805697721675778,TruthAboutTwins
"#SFGiants looking to win this series against the #Nationals today at Oracle Park. Alex Cobb (1-0, 4.82 ERA)  returns off the IL to make the start against young righty Josiah Gray (2-2, 4.05 ERA). Nelson Cruz is hitting .407 against Cobb, that’s a matchup to watch. #SFGiants https://t.co/1jrRSOVVOS",1520804899008630784,StevenRissotto
My Nelson Cruz narratives were correct he’s officially cooked,1520802267171065857,STUSTERNBERG
"Looking up one of the Yankees' new relief pitchers and found myself another birthday twin.  It's gonna be a while till he tops Nelson Cruz and Charlie Blackmon, but hey.  As @SlangsOnSports would say, birthdays are important.  :)",1520786641329262592,dakern74
"MLB Player Props:
Joe Musgrove 7+ K’s
Mike Trout 1+ Hits / 🪜 2+ TB’s
Logan Gilbert 5+ K’s
Andrew Benintendi 1+ Hits / 🪜 2+ TB’s 
Josiah Gray 5+ K’s / 🪜 6+ K’s 
Nelson Cruz 1+ Hits
#gamblingtwitter #MLB #FreePicks",1520785603989749760,TheToke__
Check out Nelson Cruz 2021 Topps Tampa Bay Rays https://t.co/48xGjJbcey #eBay via @eBay,1520769240701284353,Hartungsprtcard
"Jose Canseco had 816 extra-base hits and a 132 OPS+.
Nelson Cruz has 816 extra-base hits and a 132 OPS+.",1520757906811015171,DavidLaurilaQA
Retro Nelson Cruz Lunch Box Evening,1520671385860788225,baseball_promos
The Giants need to sign Brian Wilson just to face Nelson Cruz one more time. @SFGiants #WS2010,1520661375839653888,steve_madwin
Nelson Cruz for the last 4 years https://t.co/AM8AR0ZvMt,1520620139619799040,Ba5que
nelson cruz would've dropped that,1520579466501705728,joeygrundl
"Nelson Cruz recorded his 1,926th career Hit in todays game, passing George Foster and Tino Martinez and moves into a tie with Marty McManus and Bill Russell for 328th on the All Time Hits list.",1520573987629191168,robert09160618
