full_text,tweet_id,screen_name
"If the New Jersey Devils was an ice cream flavor, I wonder what it would be to be honest",1520885935948320768,asianstirrfry
P.K. Subban Exit Interview | NEW JERSEY DEVILS #NewJersey #Devils #NHL Video: https://t.co/nZaCthGPaQ,1520868166074724352,NYC_Sports_Fans
Quick question. Did the New Jersey Devils compete in the 2021-22 season? I feel like the only thing notable they did was win that one OT game and Hughes threw his stick in the stands.,1520862849962283008,Aaronion123
Hey New Jersey Devils and Islanders fans the amazing talented a beautiful sexy David Quinn is still available!!! 👀👀🧐🧐😏😏,1520830555910254592,siqxsiqxsiq
Recapping A Dreadful Devils Season (via @nick_villano) https://t.co/lkpmbxa06J,1520812550161588224,dfpendrys
Damon Severson Exit Interview | NEW JERSEY DEVILS #NewJersey #Devils #NHL Video: https://t.co/k8LUXrYaN2,1520807769338613760,NYC_Sports_Fans
Doc Rivers will be the next Head Coach of the New Jersey Devils,1520806158994391040,MasonMack19
"2021/22 New Jersey Devils Season Recap

https://t.co/CDC9I8TeIY",1520795372771229696,TrevorJ2798
"1992: John Vanbiesbrouck (33 saves) and New York Rangers defeat New Jersey Devils in Game Seven of Patrick Division semifinal series, 8-4. https://t.co/iGuzFzqyAB https://t.co/iFiwHx1JQb",1520795184166064130,GoalieHistory
New Jersey Devils Stax https://t.co/vR7YAV31NM,1520792503292776449,DonELichterman
"New Jersey Devils Vintage 1990's CCM Supra Red/Green Pro Stock 17"" Backpack NEW! https://t.co/lIVMIJ8hfK eBay https://t.co/PjHQOdYN3q",1520792172479467521,FanSouvenirs
"A #NJDevils Fan Preview of the 2022 NHL Stanley Cup Playoffs - 16 teams, 1 team that has to lose, 8 other teams that may please you to fail, and 7 others. All provided at length in this post:  https://t.co/PpV4mAsIoP",1520780156620746753,AATJerseyBlog
"Students in CCM's Journalism program, part of the college's Communication Department, recently attended Devils Media Night at the Prudential Center in Newark, New Jersey. 

Learn more about the Journalism program at CCM and register for Fall Semester! https://t.co/Cwy8SPFV6X https://t.co/8xJFQ90cJY",1520765138000883712,CCM_edu
The New Jersey Devils just got vibe checked by the Tampa Bay Lightning. They failed.,1520757644096536576,nhlshitpost
MARTIN BRODEUR 1999 00 TOPPS CH #hockeycards https://t.co/PGoo72t4I0,1520724208048906240,gems_card
"New Jersey #Devils: Congrats to Alexa, who drives away with a one-of-a-kind custom #Devils ... 
 
https://t.co/yZWaqjTYHb
 
#Hockey #IceHockey #NationalHockeyLeague #NewJersey #NewJerseyDevils #Newark #Nhl #NHLEasternConference #NHLEasternConferenceMetropolitanDivision https://t.co/mw8vwIR4kZ",1520716178674659330,raw_chili
2019 20 Upper Deck Exquisite Ro #hockeycards https://t.co/K8QYPvPoQD,1520703307072909312,gems_card
"On this day in sports history May 1, the New York Rangers defeated the New Jersey Devils 4-3 to advance to the Patrick Division Finals in 1992.",1520620841188352000,NF201111
"https://t.co/n1GOacoZf6
Penguins vs. Blue Jackets Prediction, #Betting Tips &amp; Picks 4/29/2022
#2021 #betting #BettingTips #Bookmakers #friday #hockey #NHL #odds
 New Jersey Devils center Pavel ...",1520618752533929985,SITpicks
"https://t.co/1umQfNi4fd
Devils vs. Red Wings Prediction, #Betting Tips &amp; Picks 4/29/2022
#2021 #betting #BettingTips #friday #hockey #NHL #odds
 New Jersey Devils left wing Jesper Bratt (63) during ...",1520618721470939137,SITpicks
Time For The New Jersey Devils To Step Up https://t.co/Hd2kfYu6U3 #NHLRSS #KuklasKorner #NHL,1520577502850142208,trans_rumor
"Time For The New Jersey Devils To Step Up: Time For The New Jersey Devils To Step Up Source: Kuklas Korner from Larry Brooks of the New York Post, A couple of years ago, I’d have said that this is a team in dire need of John Tortorella’s… https://t.co/JDXlWj4CKF",1520556250399870976,hockeyaddicts
"Time For The New Jersey Devils To Step Up: from Larry Brooks of the New York Post, A couple of years ago, I’d have said that this is a team in dire need of John Tortorella’s Shock Doctrine, but I just don’t know at this point whether he can relate… https://t.co/krMpEWGA3f",1520551079506710528,kuklaskorner
"https://t.co/qlPCJtfdpI
Oilers vs. Canucks Prediction, #Betting Tips &amp; Picks 4/29/2022
#2021 #betting #BettingTips #Bookmakers #friday #hockey #NHL #odds
 New Jersey Devils defenseman Damon Severson (...",1520546762653642752,SITpicks
"eAthletes🎆
SAThockey🎆🏒|📺twitch
Playoff Push #NHL22

Detroit Red Wings (34-42-5) @
New Jersey Devils🏆 (45-26-10) 

🎆 12  Dexter Diaz (NJD)🎮🎧
47🚨  18 A  E

#Live
📺 https://t.co/49geoRB0z5
   
#LGRW #NJDevils
eNHL SZN4.24 #eSports
#HockeyTwitter #PuckDrop  
#Twitch https://t.co/XGsotPnBCJ",1520543761377374210,eAthletes_eNHL
