full_text,tweet_id,screen_name
"New York #Islanders: Stick salutes to the best fans in #Hockey.... 
 
https://t.co/FBE27acDSp
 
#IceHockey #NationalHockeyLeague #NewYork #NewYorkCity #NewYorkIslanders #Nhl #NHLEasternConference #NHLEasternConferenceMetropolitanDivision #Uniondale https://t.co/ivO1gU6p6C",1520915496178233344,raw_chili
"Did the PACIFIC Islanders 
have better lobbyists than the 
ATLANTIC Islanders?

What about the New York Islanders? 
😳😳 https://t.co/FmvRLN97pL",1520907977963757568,Coffee2Whiskey
Panarin 'ready to go' as Rangers prepare for Pens #NewYork #Islanders #NHL https://t.co/OVrxReOp3A,1520903397070712832,NYC_Sports_Fans
2014: Jaroslav Halak traded by Washington Capitals to New York Islanders. https://t.co/vALEGEED3o https://t.co/23uIG2MTwZ,1520878226930814976,GoalieHistory
"Mathew Barzal 'would love to sign long-term' with Islanders | amNew... (amNewYork)

It didn't take long for Mathew Barzal and his New York Islanders to hone their focus on next...

Add your highlights:
https://t.co/0ndhianx9F
 #NYIslanders #NHL #...",1520841171588640769,Islanders_b
Weekly Spotlight #3: Oliver Wahlstrom could potentially be traded this offseason. https://t.co/zbCqz2ZGer,1520814441964654592,Drive4Five_
"Weekly Spotlight #1: On the ice, the Islanders had three main positives this year. https://t.co/HtbNxqcoeF",1520814113378779137,Drive4Five_
tomorrow 16 teams enter the nhl playoffs with hope in their eyes and fear in their hearts as the mighty new york islanders have been eliminated so they all have a chance to win the cup. i am so excited to slander them all,1520810735772839937,rattmartin
The New York Islanders just got vibe checked by the Toronto Maple Leafs. They failed.,1520750091484602368,nhlshitpost
"New York #Islanders: FDNY wins it in OT!... 
 
https://t.co/mxEzO3KM1A
 
#Hockey #IceHockey #NationalHockeyLeague #NewYork #NewYorkCity #NewYorkIslanders #Nhl #NHLEasternConference #NHLEasternConferenceMetropolitanDivision #Uniondale https://t.co/aWIrEkuKzW",1520714664031760385,raw_chili
"Mathew Barzal has no desire to leave Islanders: 'This is home' (New York Post)

Mathew Barzal's favorite athletes all played their entire careers with the same team.

Add your highlights:
https://t.co/kln3Bh6YE9
 #NYIslanders #NHL #...",1520688187328253957,Islanders_b
Mathew Barzal New York Islander #hockeycards https://t.co/q9IFdH5OzU,1520671000106524673,gems_card
Wikipedia page New York Islanders has possibly been vandalized. https://t.co/X6iQZx3d3X,1520666467007610883,wiki_vandalism
