full_text,tweet_id,screen_name
MLB Baseball Game Betting Picks Simulator: 5/2/2022 7:07 PM ET - New York Yankees vs. Toronto Blue Jays - YOU CAN RUN THE GAME SIMULATION FOR FREE HERE: https://t.co/o1vTEzsi1S #mlb #gamblingtwitter #sportsbetting #freepicks #cappertek,1520914084430061570,cappertek
Check out Irv Noren 1955 Bowman #63 New York Yankees VG https://t.co/uYSb1n82RI #eBay via @eBay,1520912264924172289,Nickhockeycards
"New York City FC ⚽️ ✅
New York Yankees ⚾️ ✅
FC Barcelona ⚽️ ✅
Golden State Warriors 🏀 ✅",1520912088205611009,tee_jay67
The New York Yankees are fucking awesome,1520911574248361984,Chto723293181
"The New York Yankees announced that they have optioned INF/OF Miguel Andújar and RHP Clarke Schmidt to Triple-A Scranton/Wilkes-Barre.

MLB rosters are going down from 28 to 26. #RepBX",1520910373561511938,JohnSparaco
WBGO is my New York connection other than SNL &amp; the Yankees,1520910347305046017,jazznbluesjrney
"BASEBALL HISTORY FEATURING FASTBALLS
May 01 2021
One year ago today, Aroldis Chapman of the New York Yankees threw the day's fastest pitch. The fastball traveled at 101.0 MPH on a day when the average pitch poked along at 89.3 MPH. #PinstripePride @Yankees",1520908603846184960,bygoneballgames
"BASEBALL HISTORY FEATURING FASTBALLS
May 01 2017
Five years ago today, Luis Severino of the New York Yankees threw the day's fastest pitch. The fastball traveled at 100.2 MPH on a day when the average pitch poked along at 88.5 MPH. #PinstripePride @Yankees",1520908565623578624,bygoneballgames
"Start spreading the news! Mackenzie Mangos, a sport analytics major in @SUSportMgmt, took full advantage of the program’s opportunities, focused on her goal of working in baseball &amp; scored her dream job with the New York Yankees! Read more about Mackenzie: https://t.co/RIjKQuNYCg https://t.co/z6dk0NJekf",1520907174993698817,SUFalkCollege
1955 Topps #22 Bill Skowron New York Yankees PSA 8 NM-MT https://t.co/8mTr6FNnlW eBay,1520906801058697216,SportsTradingC9
Watch the Kansas City Royals game highlights: New York Yankees @ Kansas City Royals | Game Highlights | 5/1/22   https://t.co/ykSbtPpHeJ,1520904449870417920,Royals_MLB_YT
"Check out New York Yankees Whitey Ford (4) Card Lot, Crystal Insert 068/399 &amp; More. https://t.co/WHCdxiPRHd #eBay via @eBay",1520903392150933510,GrandSlamBre
BILL DICKEY 2009 SP LEGENDARY CUTS  #thehobby https://t.co/uDuCVLitWC,1520902576811790337,HR_cards
NEW YORK YANKEES CAP’leri her rengte almak-current obsession ✨,1520901168649617410,Berikaxa__
Kansas City Royals drop home-series finale 6-4 as New York Yankees complete the sweep https://t.co/bsHlFEaPCV,1520901013040996352,WichitaEagleSpt
"The #Royals get swept by the #Yankees today at the #K with the 6-4 loss. 
Follow the link for my images:

https://t.co/q4oZFrD3H5

#USATodaySportsImages #imagn #imagncontent #MLB #KCSportsPhotographer #KCRoyals #newyorkyankees #SundayBaseball #SonyAlphaSports https://t.co/A73yTzFDZF",1520899998610821120,randomphoto
"New York Parlay hits ✅✅#bingbong 

Nyfc &amp; Yankees ml💵💵😈 https://t.co/MDpUnKlDFo https://t.co/io9hTZlJpY",1520898470000877582,Betsz401
"Joe Dugan
3B
New York Yankees
#ATG1927
https://t.co/ITAcn9ZtMC https://t.co/6OvBBdCAsF",1520896756552187904,atg_baseball
Good news and bad news as Aaron Judge lifts Yankees past Kansas City for 9th straight win https://t.co/3Ea0VtinsQ,1520896605590724608,EmpireSportsMed
The New York Yankees are the hottest team in baseball and thus the best team in baseball,1520895916424716301,2francis2tancis
"FINAL SCORE:

THE NEW YORK YANKEES 6! Kansas City Royals 4. 😊😊😊",1520894341434249217,Stratocumulus78
Derek Jeter Rookie Card 1993 Sp #baseballcards https://t.co/kMtDUeSBeQ,1520894016333746180,FinderCard
🔥NEW YORK YANKEES 16-6!!🔥 https://t.co/o8AptdeirW,1520892367229886465,8navyblue
Check out 1984 Donruss Don Mattingly New York Yankees #248 Baseball Card https://t.co/AjUBeia2EE #eBay via @eBay,1520891580999249920,pnwtan
the new york yankees have the best record in baseball. who woulda thought,1520891268808773650,caitlucibello
"⚾ Judge homers twice, Yankees beat KC for 9th straight win: KANSAS CITY, Mo. (AP) — Aaron Judge homered twice to run his long-ball streak to three straight games, added the tying RBI in the seventh inning and helped the New York Yankees rally past the… https://t.co/cESloyvvJ3",1520891203775909888,hayspost
Home of the New York Yankees. #nycphotographer #nyc #explorepage #empirestate #newyorkcity #newyork #ny #impressionphotographynyc. @ Yankee Stadium https://t.co/ZkHXhVdxaK,1520890989627396096,impression_nyc
