full_text,tweet_id,screen_name
green c trop  https://t.co/OVnh5ppzhm,1520913830989156356,sonsb68
"Don’t let goals trick you on performances 
Neymar scored a hat trick vs cruziero in 2012 but as you can see he played average this game despite the hat track 
Clinical - but awful on the ball this game 
Remove the goals and It’s one of his worst games ever
https://t.co/JwH1DZDaql",1520912758769860609,jamziinoo
Best twitter accounts are the Muslim anon accs that solely post about either balestine or football. Always have messi or neymar as the pfp.,1520911507588063232,iduhey
"Ramos out, Laporte in ✅
 
Neymar out, Zaha in ✅ https://t.co/JQsLIxL20c",1520911407855898625,GgCalamity
"Neymar and Haaland Topps Living 
Take ‘em both for $70 PayPal
@CardboardEchoes @TheHobby247 @MDRANSOM1 @sports_sell https://t.co/QencRxFST8",1520909853283299329,MidwestAsaCards
just seen someone say neymar has longevity over suarez,1520906509986803716,24mi11i
"This guy is an animal, Div 5/4 but still great with Neymar in behind 🤩 https://t.co/0qzHZqFdsz",1520905651060449285,JamieRFC14
"Fc barcelona went from buying players like Neymar, griezmann, dembele etc to getting linked with HARRY MAGUIRE😭😭",1520905303885295620,saberofindigo
Neymar is easily the 3rd best footballer of this generation anyone who disagree don’t watch football.,1520905073936764935,Mmmmmm46837262
"People not rating Neymar is too jokes, imagine hating on world class talent because he’s enjoyable to watch",1520903048628998144,fcstehav
Richard vive😔🏴,1520902041144643584,Neymar_031
Never Forget that neymar was in the top 10 of the golden ball still playing in brazil 🐐 https://t.co/fftY9m6eNp,1520900839275118592,ThisIsSport2
"Friendly reminder that Neymar was the best player in the world in the 2017/18 season, and it’s not particularly close either…",1520899549648527360,pelesburner
LFCKOSQJSLSKSOSO LES BATARDS ILS ONT DIT NEYMAR 2014 😭😭😭😭😭😭😭😭😭 JE CHIALEEEEEE https://t.co/1renyOYyYQ,1520899345645817858,mountdejong2119
Ja Morant is going to become the Neymar of basketball. Way to worried about attention instead of just hooping,1520899184093802498,MikeDiass
"“The secret is to believe in your dreams; in your potential that you can be like your star, keep searching, keep believing and don’t lose faith in yourself.""
— Neymar.
@GAcademyLeague Spring Showcase @ImCollegeSoccer @SpokaneSounders #soccergoals https://t.co/ZliTEJcgks",1520898793931161606,MeadowSaenz12
Prime Neymar stuff with the dummy #NintendoSwitchSports #NintendoSwitch https://t.co/Sf5iKw5fCQ,1520898301020676097,brenk__
Neymar fan Clown in my mentions https://t.co/PTYUWpVFa2,1520898247082008576,igoatLeo30
"$ncty the owner of @THENFTSTAR  made huge announcement. Neymar @neymarjr NFT is coming soon⚽️

@elonmusk do you like Neymar’s play?🙃

#btc #NFTCommunity $bbig $amc $gme https://t.co/Nbu9Sr2yAj",1520898053774925824,AK87252861
I'd pick Benzema 21/22 over Neymar Brazil any day https://t.co/NPYSxXno97,1520897888817393664,NoWonder_Woman
