full_text,tweet_id,screen_name
"Who are you adding to your #StanleyCup Playoffs fantasy team? 👀 Connor McDavid, Nathan MacKinnon, Jonathan Huberdeau, Leon Draisaitl, Nikita Kucherov, Cale Makar and Nikko Rantanen

NHL Fantasy breaks down the most valuable players.

Details: https://t.co/XtQBKzTlhE https://t.co/Ew5XaCs4db",1520793281910788096,kendell_m
Nikita Kucherov in pursuit of the Stanley Cup https://t.co/d3FrmcCLf6,1520783981838581760,jaredgibson_
"NHL Writers: Auston Matthews has done nothing to prove he has what it takes to be in the top 10 of any playoff player ranking

*Lists Jonathan Huberdeau, Connor McDavid and Leon Draisaitl in the top 4 ahead of Nikita Kucherov* https://t.co/AEHxeGR8ri",1520777966330036225,Frisbob
2017 Upper Deck MVP NHL Player  #hockeycards https://t.co/hKEM8rDkx5,1520699505930346496,gems_card
Why they don’t call Nikita Kucherov koochie? 🤔,1520646063052722176,TommySportMode
"Ding, ding. We have a winner!
Ondrej Palat ranks second on the #Bolts in career playoff game-winning goals with NINE game winners in the postseason.
Next is Nikita Kucherov with seven, followed by Brayden Point with six. Victor Hedman, Alex Killorn, and Pat Maroon all have five. https://t.co/3iFdXa2XbG",1520491661918408704,Chris_Krenn
Trending at ProFSL: Nikita Kucherov: Second in NHL in points-per-game https://t.co/6wlYSUq0Yq,1520275513159208960,ProFantasySport
"Congratulations to Connor McDavid on securing the Art Ross Trophy with 123 points, a mark which falls well below the 128 points tallied by superior hockey player and two-time Stanley Cup Champion Nikita Kucherov when he won the award in 2018-19. 

#GoBolts #LetsGoOilers",1520270171285323776,mistuartYEG
Nikita Kucherov: Second in NHL in points-per-game https://t.co/rJX9PkzC7I,1520251302873288704,RotoWireNHL
Slick NHL Stat: Lightning player Nikita Kucherov has had the most points in a season at 128 (2018-2019) since Mario Lemieux posted 161 (1995-1996) for the Penguins. Connor McDavid had been hovering around with 123 this season. Now Bolts need to keep Kutch on the ice for Cup Run.,1520243191332569088,RadioRobaire
"Over the last eight games for the #Bolts, the trio of Victor Hedman, Nikita Kucherov, and Steven Stamkos have combined for 63 points with 20 goals and 43 assists.
#TBLvsNYI https://t.co/b1pq0BqtOG",1520234096617832448,Chris_Krenn
"NHL points leaders since April 1:
1. Steven Stamkos: 33 points (12G, 21A)
2. Nikita Kucherov: 31 points (14G, 17A)
3. Pavel Buchnevich: 25 points (9G, 16A)
#TBLvsNYI https://t.co/XztKUqFSjx",1520231127801380864,Chris_Krenn
"If Nikita Kucherov played the entire season this year (missed 35 games) Steven Stamkos would have had 50+ Goals and 120+ points. This man is having his best season in his career, at 32 years old",1520221987645407235,xtralongworth
"Corey Perry scores a power-play goal from down low, as Nikita Kucherov sends a hard slap-pass to him before he roofs it over the glove #NYIvsTBL #Isles #GoBolts https://t.co/BI8WHL6SQw",1520216340501569541,nopClips
"#Bolts power play strikes as Corey Perry takes a pass from Nikita Kucherov and beats Ilya Sorokin on the glove side. 19th goal of the season for Perry and Kucherov extends his point streak to nine games.
#TBLvsNYI",1520213585057693697,Chris_Krenn
"NHL points leaders since April 1:
1. Steven Stamkos: 31 points (10G, 21A)
2. Nikita Kucherov: 29 points (14G, 15A)
3. Pavel Buchnevich: 25 points (9G, 16A)
#TBLvsNYI",1520192915921899521,Chris_Krenn
"""now, nikita kucherov, if you wanna talk about hot"" god yeah so true",1520184830239121411,seaoflightning
"🔥 Nikita Kucherov (TB) has recorded a power play point in 6 straight games (1.7 power play points/game average).

TB @ NYI: o/u 0.5 available at #WilliamHill (-105/-125).

#GamblingTwitter #PlayerProps #NHL #NHLTwitter https://t.co/uQq3BkoIxO",1519994945737613312,Fansure_NHL
"Apr 28, 2022: NHL Special Teams Icetime Leaders

Forwards (PP)
Nikita Kucherov 7:29 #GoBolts 

Defence (PP)
Victor Hedman 7:00 #GoBolts 

Forwards (PK)
JT Miller 4:47 #Canucks 

Defence (PK)
Andrew Peeke 8:27 #cbj",1519906649170792448,CcCMiddleton
Nikita Kucherov: Goal streak ties franchise record https://t.co/lBIqVGSaUv,1519888557938286593,RotoWireNHL
"Never fun to lose, but Nikita Kucherov is playing lights-out hockey for the #Bolts right now, scoring 14 goals over his last 14 games and hitting the 25-goal mark for the seventh-straight season, despite playing in just 46 games this year.
#TBLvsCBJ",1519873250083364865,Chris_Krenn
Nikita Kucherov fell to the ice after getting hooked in the hands. Okay dude.,1519851749816905729,DTaylor_19
"Nikita Kucherov gets taken down in the Columbus zone so the #Bolts will go back to the power play with 3:36 remaining.
#TBLvsCBJ",1519851451966701568,Chris_Krenn
"Unsurprising at this point, but Steven Stamkos and Victor Hedman picked up the assists on Nikita Kucherov's power-play goal, bringing the trio's combined point total over the last seven games to 55 with 17 goals and 38 assists.
#TBLvsCBJ",1519841963108880384,Chris_Krenn
Nikita Kucherov scores power-play goal vs. Blue Jackets - via @ESPN App https://t.co/EhyiCM7tIM,1519841696770629632,QueensIceZ
"Nikita Kucherov Anytime Scorer 💵

https://t.co/YxRTbfty8b

+1.25u #gamblingtwitter #hockeytwitter #nhl @86Kucherov @BettingPros https://t.co/WyTdUR6sOA https://t.co/MxnTpSMb5M",1519837403447533568,tony_sartori
Nikita Kucherov scores a power-play goal against the Columbus Blue Jackets to make it 1-1 #CBJvsTBL #CBJ #GoBolts https://t.co/Vhf9GojCmQ,1519836947891597313,nopClips
"Nikita Kucherov missed half the season and he’s still third on the Lightning in points, underestimate him at your own peril",1519836495150002176,WeissHockeyTalk
"Big save from Elvis Merzlikins on Nikita Kucherov. Merzlikins has made some big cross-crease saves for Columbus over the past two games.
#TBLvsCBJ",1519836166794665985,Chris_Krenn
"Nikita Kucherov's ability to pass the puck through the seam is just ridiculous. Just ripped a backhand pass all the way across the zone right into Steven Stamkos's wheelhouse.
#TBLvsCBJ",1519835777542365186,Chris_Krenn
8 straight games with a goal for Nikita Kucherov https://t.co/4huNMxmo6A,1519835741290905600,WeissHockeyTalk
Nikita Kucherov scores a powerplay goal. That ties Brian Bradley for the longest goal streak in #Bolts history. 1-1 @DrTudor77,1519834827847081986,JosephP14426641
Someday in the long long future when Steven Stamkos retires I fully believe Nikita Kucherov will be his successor,1519834825078808576,p0ckethamster
"That's more like it from the Tampa Bay power play as Nikita Kucherov scores a goal for the eighth-straight game. That ties Brian Bradley for the longest goal streak in #Bolts history.
#TBLvsCBJ",1519834464746147840,Chris_Krenn
#GoBolts even the score one the power-play. Nikita Kucherov is the goal scorer.,1519834307925262342,RealCobyM
"Brandon Hagel getting a shift here with Steven Stamkos and Nikita Kucherov.
#TBLvsCBJ",1519833438190280704,Chris_Krenn
"#Bolts are going back to the power play as Vladislav Gavrikov trips Nikita Kucherov in the neutral zone.
#TBLvsCBJ",1519830693244715008,Chris_Krenn
Nikita Kucherov is one of the shiftiest players in the league. With such ease. https://t.co/sfHDWr158r,1519820172424630273,BoltsJolts
2017 Upper Deck MVP NHL Player  #hockeycards https://t.co/NKD2Jz4Q9x,1519778910044659714,gems_card
"NHL 🇺🇸 : 

Boston Bruins - Buffalo Sabres -&gt; 
- Brad Marchand/David Pastrnak @1,47 

Carolina Hurricanes - New Jersey Devils -&gt; 
- Nino Niederreiter/Teuvo Teravainen @1,90 

Columbus Blue Jackets - Tampa Bay Lightning -&gt; 
- Nikita Kucherov/Steven Stamkos @1,45 

suite —&gt; 🏒🥵",1519776380862537728,diablo_pronos
"5 players, 5 picks 🏒 

@tony_sartori breaks down his favorite @PrizePicks plays for tonight 

https://t.co/jVrOyRShgE",1519762979847299072,ActionNetNHL
Nikita Kucherov and Steven Stamkos both end the game with 3 points,1519755681812918273,EvanHoffberg
