full_text,tweet_id,screen_name
"ATP 1000 Mutua Madrid Open  
 Most unpredictable matches 
 for tomorrow                        
 Lloyd Harris vs Alejandro 
 Davidovich Fokina         
 Nikoloz Basilashvili vs Fabio 
 Fognini",1520908583843500032,Kenmckinnon9
"Nikoloz Basilashvili plays Fabio Fognini later today in Madrid Open.

They have met once previously with Fabio Fognini winning; today our algorithm thinks they will win again with a 55.79% chance.

#MadridOpen #ATP1000 #ATPTour",1520855752134565888,Tennis4Cast_
"Madrid ATP Masters 1000 R1:
No. 7 seeds @nealskupski &amp; @wesleykoolhof NED beat (Alt) Nikoloz Basilashvili GEO &amp; Alexander Bublik KAZ 5&amp;2 :-)
In the QFs, they will play (WC) Carlos Alccaraz / Marc López ESP.",1520832344491442177,GBtennis
"🌟Wesley Koolhof(TNNS Player, World No. 15) &amp; Neal Skupski (World No. 17) defeated Alexander Bublik &amp; Nikoloz Basilashvili in the Round 32 of the Madrid Open doubles.

📌 Won 7-5, 6-2

💪💯 Best of luck for the next round Weskey &amp; Neal https://t.co/jZhBtBghuW",1520814879757971457,ProTnns
"ATP 1000 Mutua Madrid Open 
 Stadium 3
 Alex de Minaur vs Pedro 
 Martinez 12:00pm M.S
 Nikoloz Basilashvili vs Fabio 
 Fognini 2:00pm M.S
 Cameron Norrie vs Soonwoo 
 Kwon 4:00pm M.S 
 Night Session 
 Lucas Pouille vs Karen 
 Khachanov 8:00pm M.S",1520809855388246016,Kenmckinnon9
"Neal Skupski and Wesley Koolhof beat Nikoloz Basilashvili and Alexander Bublik, 7-5 6-2 in the first round in Madrid.",1520806051704147970,tennisontelly
"Neal Skupski and Wesley Koolhof leas Nikoloz Basilashvili and Alexander Bublik, 7-5 the first set in Madrid, live on Prime Video. https://t.co/X4ZApIm8Fc",1520798886595551234,tennisontelly
"Neal Skupski and Wesley Koolhof vs Nikoloz Basilashvili and Alexander Bublik starts shortly in Madrid, live on Prime Video. https://t.co/X4ZApIm8Fc",1520785482690482176,tennisontelly
Neil Skupski and Wesley Koolhof will play Nikoloz Basilashvili and Alexander Bublik in the first round in Madrid later today.,1520737649845231618,tennisontelly
Madrid Masters 2022: Fabio Fognini vs. Nikoloz Basilashvili Tennis Pick and Prediction https://t.co/7kV7NLUSIq,1520676491209682950,Tennis_Section
"Nikoloz Basilashvili plays Fabio Fognini later today in Madrid Open.

They have met once previously with Fabio Fognini winning; today our algorithm thinks they will win again with a 56.60% chance.

#MadridOpen #ATP1000 #ATPTour",1520659439094845442,Tennis4Cast_
"The Norwegian's defeat came at the hands of Dutch player and eighth seed Botic van de Zandschulp. #bmwopen
https://t.co/4TqTPDPAY0",1520091142901334016,SportsLumo
Miomir Kecmanovic vs Nikoloz Basilashvili was on TC+. With commentary from @SueThearle.  For more details see https://t.co/SuolhWdRDo #MiomirKecmanovic #NikolozBasilashvili #TC,1520030158341685250,ICDb_tv
"What a Kec...manovic!

Miomir Kecmanovic is still out here winning fans - especially with this win - racing into the semifinals of the BMW Open.

The Serbian puts himself in prime position to get seeded at Roland Garros with a 7-6 (5), 6-2 win over Nikoloz Basilashvili. https://t.co/wjNAB8BPZQ",1520003433109073925,TickTockTennis
"Miomir Kecmanovic 🇷🇸 is the first player to reach the @BMWOpen2022 semis following a 7-6 6-2 win over defending champion Nikoloz Basilashvili.

#ATPTour #München 🍺 https://t.co/Kn9DR5jcf5",1519991067390656513,Florian_Heer
"Miomir Kecmanovic, still having an impressive season, has just booked his spot in the #BMWOpen semifinals by beating Nikoloz Basilashvili 7-6(5), 6-2.",1519989633785946112,Beeorlicious
"ALERT: New high roller bet posted!
A bet has been placed for $50,000.00 on Kecmanovic, Miomir - Basilashvili, Nikoloz to win $325,000.00.
To view this bet or copy it https://t.co/ou9al7kH4O https://t.co/gSmYOEL01g",1519981863074295808,stakehighroller
Nikoloz Basilashvili should be ashamed of himself. Up 4-1 and just choked it away #atpmunich,1519981835362709505,jamiesisson4
"ALERT: New high roller bet posted!
A bet has been placed for $8,106.19 on Kecmanovic, Miomir - Basilashvili, Nikoloz to win $17,023.00.
To view this bet or copy it https://t.co/jMmRzRsnpf https://t.co/ZYMysZxnTq",1519981105054896129,stakehighroller
"ALERT: New high roller bet posted!
A bet has been placed for $60,000.00 on Kecmanovic, Miomir - Basilashvili, Nikoloz to win $114,000.00.
To view this bet or copy it https://t.co/gHypTwcL1U https://t.co/UGn630ZiyS",1519980604196114432,stakehighroller
"ALERT: New high roller bet posted!
A bet has been placed for $50,000.00 on Kecmanovic, Miomir - Basilashvili, Nikoloz to win $132,500.00.
To view this bet or copy it https://t.co/5Mn9FOy2kX https://t.co/TuQ1JG5QIB",1519976073479528448,stakehighroller
"Miomir Kecmanovic vs Nikoloz Basilashvili starts soon!

Let’s send the defending champ home Misha 👏🏼

Who else is watching? 👇🏼 https://t.co/kcp0SpWgVM",1519963447982800898,KECMANOVlC
"Miomir Kecmanovic has lost 6 straight quarterfinal matches but is the favorite, given a 76.2% chance to beat Nikoloz Basilashvili 

#BMWOpen #ATPMunich #ATP",1519942057967505408,_TJKC_
"Miomir Kecmanovic plays Nikoloz Basilashvili later today in Bavarian International Tennis Championships.

Our Algorithm thinks Miomir Kecmanovic will win with a 64.57% chance.

#BavarianInternationalTennisChampionships #ATP250 #ATPTour",1519904469273698304,Tennis4Cast_
"#BMWOpenbyAmex Day 5 Media Notes:
https://t.co/4WZbzitumE
[2] @CasperRuud98 0-1 H2H vs [8] @Boticvdz 
[4] Nikoloz Basilashvili vs [7] @MioKecmanovic - 1st meeting
@OscarOtte 1-0 H2H vs [LL] @AleTabilo_Tenis 
@holgerrune2003 vs @EmilRuusuvuori - 1st meeting",1519806689012330497,TennisNewsPaper
"ATP 250 BMW Open by American Express                
 Most unpredictable match for 
 tomorrow                           
 Miomir Kecmanovic vs Nikoloz 
 Basilashvili",1519803682673491969,Kenmckinnon9
"Result Bet  27-04-2022
Match: Ilya Ivashka - Nikoloz Basilashvili
Ilya Ivashka -3.5 Games AH (FT) @ 2.039
Stake 10/10 ; Book PINNACLE
Tennis / ATP / Kick off: 27 Apr 2022, 14:30

Result Game  12 15 ; Loss ; -10 https://t.co/OYanwx165G",1519548895809970176,SystemElo
Ilya Ivashka vs Nikoloz Basilashvili was on TC+. With commentary from @SueThearle. Co-commentator is Mikey Perera.  For more details see https://t.co/DcEdWJdKFc #IlyaIvashka #NikolozBasilashvili #TC,1519368863447670790,ICDb_tv
"Defending champion through to the quarters✔️ Nikoloz #Basilashvili edges Ilya Ivashka 3:6, 6:2, 6:4 and will meet @MioKecmanovic on Friday🙏

#bmwopenbyamex @atptour https://t.co/hMHlWNaWYn",1519361086931222531,BMWOpen2022
"Miomir Kecmanovic will face world #20 and defending champion Nikoloz Basilashvili in the QFs of @BMWOpen2022 on Friday.

Tough test for Misha but he’s beaten players better than Basilashvili in recent months, let’s hope our boy makes it to his first SF of the year! Idemo! 🇷🇸",1519341404392148993,KECMANOVlC
"ALERT: New high roller bet posted!
A bet has been placed for $5,693.14 on Ivashka, Ilya - Basilashvili, Nikoloz to win $6,376.32.
To view this bet or copy it https://t.co/iLUJCia5Er https://t.co/oUJy2vJDYu",1519328279097798656,stakehighroller
"ALERT: New high roller bet posted!
A bet has been placed for $5,675.37 on Ivashka, Ilya - Basilashvili, Nikoloz to win $7,377.98.
To view this bet or copy it https://t.co/1dzg08dETN https://t.co/ZQvZoByd9s",1519321867252748288,stakehighroller
"Pending Bet 27/04/2022
Match: Ilya Ivashka - Nikoloz Basilashvili
Ilya Ivashka -3.5 Games AH (FT) @ 2.039
Stake;10/10 ; Book PINNACLE
Tennis / ATP / Kick off: 27 Apr 2022, 14:30 https://t.co/ADqgFwyxfu",1519194170061172736,SystemElo
"Nikoloz Basilashvili has not defended a single point this season (beyond a 1st round/bye) outside of Doha

He is 0-11 outside of Doha, where he defended 250 points for his 2021 🏆. Now he defends another 🏆 in Munich. Will be very interesting to see if he's motivated this week",1519166749479952384,josh3302
"🎾ATP🎾
Nikoloz Basilashvili +160 3U

Let’s cash, LIKE if tailing 🚂🚂💰💰 https://t.co/y0nTrciYIJ",1519112600159670273,CalebPicks_
"'The place to be' right now at the MTTC Iphitos.

Alexander Zverev practicing with Nikoloz Basilashvili.

#ATPTour @BMWOpen2022 #Munich 🍺 https://t.co/F3Wy0NjioA",1518543374311202817,Florian_Heer
