full_text,tweet_id,screen_name
Check out this listing I just added to my #Poshmark closet: Light Blue The North Face Fleece Quarter Zip. https://t.co/DWVWSTAGp6 #shopmycloset @poshmarkapp,1520915040479498241,JRM26
Check out this listing I just added to my #Poshmark closet: Light Peach The North Face Fleece Quarter Zip. https://t.co/AgPhopl6sa #shopmycloset @poshmarkapp,1520914986754707457,JRM26
"4A at North, North and South in opposite brackets but with difficult roads ahead. Cougars get the bye and will face either No. 8 Columbus North (14-2) or East Central (9-5).
South draws No. 11 Shelbyville (11-3) with Columbus East (6-11-1) getting the other bye https://t.co/8CAHwwZc1F",1520913163348230144,HT_PrepSports
Check out this listing I just added to my #Poshmark closet: SOLD🛑🛑🛑The North Face Brown Venture HyVent 2.5L Full Zip Jacket Size Medium. https://t.co/hXB80Fo9z5 #shopmycloset @poshmarkapp,1520906853638541312,pintsizedmarina
Check out this listing I just added to my #Poshmark closet: The North Face Gray Crop Pants Adjustable Legs. https://t.co/3yKO78SprS #shopmycloset @poshmarkapp,1520905104508956672,pintsizedmarina
Check out this listing I just added to my #Poshmark closet: The North Face Motivation Heather Blue Half Zip Pullover. https://t.co/OmsqzjWAwd #shopmycloset @poshmarkapp,1520905039803392000,pintsizedmarina
Check out this listing I just added to my #Poshmark closet: North Face Women’s Flats Slip On Walking Comfort. https://t.co/a86gxRFBky #shopmycloset @poshmarkapp,1520904858294923264,pintsizedmarina
Hey @GhostAdventures can you help me explain this video of my dog? Frame by frame a black shadow crosses in front my dog and turns the screen blue. My windows face north east so it couldn’t have been something crossing in front of the sun. https://t.co/NsLq8FVi7w,1520904606515363840,luluthci
Check out this listing I just added to my #Poshmark closet: NORTH FACE Half Dome Hoodie Gray Purple Medium. https://t.co/7Imkw1A5p0 #shopmycloset @poshmarkapp,1520903300010315776,pintsizedmarina
Check out this listing I just added to my #Poshmark closet: The North Face Women's Ventana Crew Long Sleeve Tee Shirt Fissure Green. https://t.co/TJgBo8rVgS #shopmycloset @poshmarkapp,1520903236462333952,pintsizedmarina
Check out this listing I just added to my #Poshmark closet: The North Face Paramount Propel Cargo Capri Pants. https://t.co/7uZ8Lu42Q7 #shopmycloset @poshmarkapp,1520903166258122752,pintsizedmarina
Check out this listing I just added to my #Poshmark closet: The North Face FlashDry Cropped Capri Leggings. https://t.co/yBGmR4BqYr #shopmycloset @poshmarkapp,1520903126898798592,pintsizedmarina
The North Face Arrowhead Triclimate® Jacket (Brick House Red/Cardinal Red) https://t.co/if8OCmKx5m eBay https://t.co/Z0Gyv7EPh0,1520902916680282113,coats_men
