full_text,tweet_id,screen_name
"@andy_murray @andyroddick 
Andy Murray admits he 'doesn't support ban' by Wimbledon, joining fellow big guns Novak Djokovic and Rafael Nadal..
https://t.co/mZqoblPGNv",1520915751644844032,Bengtion12
Novak Djokovic speaks of his heartbreak over jailing of former coach Boris Becker | Daily Mail Online https://t.co/l7zRAhEgLT,1520915717096361984,ullionweb
"Nadal, Djokovic slam Wimbledon ban on Russian players.
https://t.co/oJKa7gC6t9",1520913721337561088,perfnonfreedom
Video: Novak Djokovic 'heartbroken' after Boris Becker jain sentence | Daily Mail Online https://t.co/Fcx0GUH4Dq,1520913211540873220,ullionweb
Effing both. Perhaps the racquets can find a better place to rest… other than their hands. https://t.co/9dEhh6kvEe,1520911144352899073,JorgeFonte6
Andy Murray joins Novak Djokovic and Rafael Nadal in blasting Wimbledon for ‘unfair’ ban https://t.co/LjdDduKjO7,1520907746765377538,Eumail_24
"We know who would have been happy to perform in front of Hitler + the Nazis in 1936 Berlin.

I mean, you don't even ask that Russian &amp; Belarusian players speak out against the war in general, @RafaelNadal @DjokerNole

Thanks for standing with Ukrainians 🙄
https://t.co/UU4nNgJKaj",1520905335887863811,DeedsWylie
"Nadal, Djokovic Sound Off on Wimbledon’s Ban of Russian Players
Says AP, as if they write about Djokovic criticizing the ban for the first time. 
Ridiculous, but typical @AP.
https://t.co/6N27Fos5LQ",1520900773546233856,CristinaNcl
Andy Murray joins Novak Djokovic and Rafael Nadal in blasting Wimbledon for ‘unfair’ ban https://t.co/MK8GDTHVtN,1520898870141673473,NzuchiTimesUSA
Andy Murray joins Novak Djokovic and Rafael Nadal in blasting Wimbledon for ‘unfair’ ban https://t.co/KweibbcFms,1520898860931076102,wilsonjmashaka
Andy Murray joins Novak Djokovic and Rafael Nadal in destroying Wimbledon for ‘unfair’ ban https://t.co/gVGg9MhDwS,1520897657006264320,NixOlympiaNews
"'Novak Djokovic didn't have enough in the tank to...', says former star https://t.co/OLAIdY2ccR https://t.co/oAHKQZxEOC",1520897408359620608,TennisworldUSA
Being a gifted athlete doesn’t mean you’re smart. https://t.co/6K6n4VSb2R,1520897378882048006,GunnyJ
"'Novak Djokovic didn't have enough in the tank to...', says former star https://t.co/82x7PZARyr https://t.co/r4bA36VHgd",1520896613283078144,TennisWorlden
