full_text,tweet_id,screen_name
i know there’s hella scammers on here now but it’s worth a shot 🙄 if this gets to the right ppl pls dm me if you’re looking for 2 olivia rodrigo tickets in philly @ the met! im selling it for $130 now thx https://t.co/hNrQMCrnX9,1520915944763129856,lexisdcp
the collapse when olivia rodrigo &amp; conan gray finally properly collab,1520915819995226113,sixzler
They caught me listening to Olivia Rodrigo at the gym,1520915818913148928,IncelRepublican
pls ... i need a ticket for olivia rodrigo in dc. im begging,1520915723727560706,iconicsott
Olivia Rodrigo ft Rihanna get up omgggggggg💕🔥🔥🥳 https://t.co/EKHfzP1Rpz,1520915669038022657,HotBardii
"“well, I hope you know how proud I am you were created, with the courage to unlearn all of their hatred. god, I hope that you’re happier today, cause I love you and I hope that you’re okay.”

-olivia rodrigo, hope ur ok",1520915645923164160,eggboiler2k
Olivia Rodrigo had a sex change? https://t.co/PXXJmsNTTn,1520915451546456065,joash_dl
to anyone going to olivia rodrigo's concert: https://t.co/HSLwT26T0N,1520915247539769344,IThinkMintKnows
"do you know how hard it is to find olivia rodrigo merch that isn’t ‘too girly’ for a guy that’s obsessed with her?? like is he asking me to do this?? no. but do i want to, absolutely. 

i may just make a poster…",1520915197023723522,futuurdean
Lemme tell y’all something… Olivia Rodrigo’s pipessss??!?!?? 😮‍💨 ❄️,1520914415046041602,hate_2_c_it
wanna go to an olivia rodrigo concert so bad,1520914239686426624,shegoooooo
the ones i love by olivia rodrigo is a masterpiece and one of the most relatable song ever. on that note i wish u a very pleasant night https://t.co/io9aQiCp8J,1520914214826782720,eveIynfilms
i need someone to sell me 2 olivia rodrigo tickets for dallas on may 14 😭,1520913178711969792,lilacjungkookie
Selling X4 Olivia Rodrigo Tickets - London / 6TH July x https://t.co/BD96Ci6cIh,1520912828416335880,daniellalopesx
"No, I did not get a clip of me jamming out to Olivia Rodrigo as we killed Pantheon to make 5/11 mythic today, but I can assure you, it happened and it was glorious",1520912827388776448,Hoflax24
"hope this works, i’m selling 2 tickets for Olivia Rodrigo in phoenix ! I can show proof of the ticket purchase and whatnot Screen recording! DM price negotiable (:",1520912712452423681,NotARegularF4n
I love Olivia Rodrigo,1520912649910771712,maggie_prep
SELLING 1 OLIVIA RODRIGO GENERAL ADMISSION MAY 9th in Georgia!! For $120 #OliviaRodrigo pls LMK  if interested https://t.co/gFQ131xg1X,1520912235232694272,daydreamharry
"Listening to Olivia Rodrigo, send prayers plz",1520911702547734528,codygarrettk
Now playing good 4 u by Olivia Rodrigo!,1520911148027154437,RadioTiktok
if anyone is selling olivia rodrigo nashville tickets at a decent price pls dm me &lt;333,1520911003566981120,17blvck
we stan olivia rodrigo over here!,1520910748968525826,sshandinx
"i've seen enough today, alexa play traitor by olivia rodrigo",1520910155428229122,setbeom
"Which celebrities are you defending like this?

I’ll start:
Joshua Bassett
Matt Cornett
Sofia Wylie
Olivia Rodrigo https://t.co/L6xF3MWNIA",1520910047089471489,portwellgranoIa
my friend and i are looking for two tickets to olivia rodrigo at roadrunner in boston pls don’t scam us dm/reply if u actually have tickets we wanna go so bad please. 😭 #oliviarodrigo,1520909937509113856,kendalemcc
"looking for pit tickets for Sour Tour in Irving, Texas! 

tags: olivia rodrigo, pit, GA, irving texas",1520909844789829632,brutal4mendes
so I ended up seeing Olivia rodrigo at front of the pit on Friday…….,1520909790284857344,adoreyouwanda
"This new song is a pop soft ballad , inspired by Olivia rodrigo and my broken heart .🙂",1520909667467149312,snowfaewll
It’s already AAPI Month in the US. Somebody hide Olivia Rodrigo from the girls. https://t.co/d8KUlGAg8Z,1520909306501246976,veniveditweet
Olivia Rodrigo as SpongeBob memes: a thread https://t.co/PjEB7vdexz,1520909217275604992,Spicytraitor
Holy moly! 🤯💜 Happier - Olivia Rodrigo ('60s Girl Group Style) ft. Allison Young https://t.co/uJH4rNglCr via @YouTube,1520909206899077120,EverObx4
Its only the guys that get hurt that obsess over future..calm down babe ur olivia rodrigo,1520909038267121664,SparkleDragon24
THEY CALLED UP OLIVIA RODRIGO??? https://t.co/ntnDbwghtV,1520908952824958978,holtbymoly
"Looking for someone selling 1 Olivia Rodrigo ticket for either of the Philly shows, Washington DC, Boston, or Georgia",1520908764601372672,btwvincent
shitting in a public mall bathroom while olivia rodrigo plays :(,1520908674562101248,Ashalia20
We all have one person that we relate to the album Sour from Olivia Rodrigo.,1520908437001023489,Sihaam_A
I just interacted with someone under 18's account on here if it wasn't to talk about Olivia Rodrigo or a similar popular person or thing  I'd feel sick,1520908180846485504,SourMessyTwistd
i never like remakes but why would a freaky friday remake with olivia rodrigo smack?? her singing ultimate… @disneyplus better run me my check when they make this next year,1520907596143767552,peachvenoms
"how similar r we on musical taste

10% clairo 
10% omar rudberg
10% charlie puth
10% harry styles
10% dua lipa
10% camila cabello 
10% olivia rodrigo
10% dove cameron
10% DNCE
10% taylor swift",1520907483048341506,sparklejoe_
"Best Olivia Rodrigo song would be the comeback song, hands down. Nothing surpasses it",1520907200528805888,swagalicousbxbe
All I Want by Olivia Rodrigo https://t.co/0HXApnFcen,1520907013441884161,LyricMessage
"No One:

Olivia Rodrigo stans: https://t.co/eBQSutuUFc",1520906862371262471,falsepersona
looking for 1-2 preferably 2 boston olivia rodrigo tickets!! as close to face value as possible please i’m a literal college student 😭😭,1520906415715532806,fckingIoveyou
my neighbors probably hate me when I start cleaning because my music is so loud and my playlist will go from Olivia Rodrigo to Grupo Firme to Don Toliver real quick 😂,1520905712452648960,jocelynflores_
if anyone is selling a ticket for olivia rodrigo at roadrunner in boston on 5/3 pls let me know and pls don't try to scam me xoxo,1520905683201413122,badatliv
OLIVIA RODRIGO LITERALLY WALKING BY WHERE I ALWAYS TAKE WALKS AFTER CLASSES WITH MY FRIEND,1520905514649104384,cardignharry
