full_text,tweet_id,screen_name
Today. Now. Scruffy &amp; finishing a painting about the future. I go in public &amp; sit. People ask me about the Oscars…&amp; likes on social media. -&gt; Garden 🪴. It’s not a metaphor. Social media is a construction. A plant 🌱 grows. Like us. Be patient with yourself. Reflect kindness ~s https://t.co/rPdSm2ygP6,1520915115926638593,stefanbell
Feeling like Yoncé at the 2022 Oscars…..ROBBED,1520915029524164610,oh_llama
Sarah Paulson and Olivia Coleman in a film together would just be a battle of 🥺 for 2 hours and it would be brilliant and win a million oscars.,1520914015534432256,noteviljustgay
John Travolta and Uma Thurman recreated the iconic Pulp Fiction dance at the oscars 🕺🏻 https://t.co/jM53MZuIHR,1520913855559487489,theetchkh
Forget what you think you know. #Oscars,1520913441900285952,DoctorWillSmith
"i dont understand why people care so much about events like the met gala or oscars or grammys etc etc. like, ur not going. why are you so obsessed with who is and isnt?",1520910945471541248,deancasfilms
CHRIS ROCK WAS LIKE IM NOT MAKING ANY DECISION IM JUST GOING TO LET THE OSCARS THAT NIGHT AND THE OSCARS BOARD SHOW HOW IN COMPETENT THEY ARE IN MAKING DECISIONS. HOLLYWOOD ENABLES BAD BEHAVIOR. WHAT OTHER BAD BEHAVIOR ARE THEY ENABLING. CHRIS ROCK MOM TOOK A SHOT AT DENZEL,1520909289442922496,profiles11hotm1
I need Oscars and multiples awards for #Ozark .. exquisite show in the utmost..,1520908928246292480,Mr_TooBlunt4_TV
lmao remember on april 1st when that interviewer was talking to harry for as it was promo and brought up how liam was speaking with a weird accent at the oscars? harry had absolutely no clue what he was talking about lol,1520908301000749056,pinkpeacerry
"World's greatest double feature tonight: Street Fighter (1994) followed by Mortal Kombat (1995), two films cruelly overlooked at the Oscars.",1520907944740667392,Feadpool
"WHCD went down - no masks
Pelosi visiting Ukrain - no masks
Oscars - no masks

Yet we're told #CovidIsNotOver
How the hell can anyone still believe this nonsense? 

The elites don't have to pretend any more. They've scared enough people to keep this going for as long as they need",1520907911123374080,AdamBoom13
"The Oscars, also known as Academy Awards, are regarded by many as the most prestigious and significant awards in the entertainment industry worldwide. Here is a look at seven books that inspired Oscar-nominated movies.
Read more:
… … … https://t.co/QrUrDlvMPI",1520907559271555072,UBookseller
WHOPPI GOLDBERG AND THOSE WITH THE OSCARS BOARD LOST WITH WILL SMITH. HE WON. HE DID ANYTHING HE WANTED OSCARS NIGHT AND ALL THEY COULD COME UP WITH WAS A BAN FOR TEN YEARS. HE KEPT HIS AWARD HE DESTROYED THEIR SHOW AND HE COULD CARE LESS ABOUT GOING TO THEIR SHOW ANY MORE,1520906960509587458,profiles11hotm1
"Oscars Open With Quips About Mitch McConnell, Sexism, ‘Don’t Say Gay’. https://t.co/9Mmgaeh3EE",1520905950206509056,actionture
"If Bernie Mack had hosted the Oscars...
https://t.co/5QK8OVvbeZ 03",1520904992101748736,VippusaO
"he's so pure

andrew garfield / oscars https://t.co/Tx2KME4KpF",1520904311273840640,thinkerandrewg
"Emerald Fennel terrorising the oscars and the emmys was not enough, she must come for the tonys as well https://t.co/v7h7Yd25m2",1520903831269548032,shriiiitt
"The Bench - dismal sales. Pearl - canceled. 40x40 - failed. No Met Ball, no Oscars, no Beckham or Obama invites. So much winning #HarryandMeghan https://t.co/pCMDmD7lFI",1520902735519956992,PhoebeDinsmore_
"The #Oscars ceremony of 1990 had a much sweeter moment than the one we saw recently: #DenzelWashington winning an award, right in front of his mother. He remembered that moment for us. 

https://t.co/oahVCQcBX1",1520902133444276224,hollyoutbreak
Ayyyy Oscars Z looking sweet af! https://t.co/D6Pzfey73C,1520901876908453888,Proz33builds
"Voting committee be like ""Nah!!! James Bond has won enough Oscars already!!!""
💀💀💀 https://t.co/Chgyxk5gA7 https://t.co/xOieXaLrm1",1520900339716788225,ChatterBox1093
@TheAcademy what are you people waiting for?? Best actress at the next Oscars or else!! https://t.co/iUHQjUNvN0,1520900212285493252,Cyril_Ebeh
ozark should win an Oscars please 😭,1520899930050732033,Victor_short_
"Some things about #LicoricePizza:

- Amazing film. ❤️
- Needs to be released on 4K Blu-ray, because it's currently the only way to experience the film in the its full glory.
- Alana Haim set a new standard for authentic beauty in cinema.
- Why didn't it get any Oscars? https://t.co/SGVznDSXIn",1520898654948802562,ArtyDarth
i need to be grateful for what i have and not want for something bigger,1520896910520991757,oscars_folklore
"Jane Champion, first woman to get two Oscars....woman my arse... https://t.co/lypotQwmAz",1520896467069714438,blackbudgie13
"brindlewood bay w oscars

""Lets Cut to Comercial!""

""We see a woman struggling with some ikea furniture, and behind we see Him.""

""He???""

""The woman turns around and screams as a gorrila shows up holding super glue.""

😂",1520895912297566212,LordArchfiend
Remember when Chris Evans laughed at Henry Cavill for eating cookies at the Oscars? https://t.co/edEBBGWATw,1520894984899203074,MAKlNGTIME
After Apple Tv+ won over Netflix with Coda at the Oscars this year. Both of the streaming services will go hand and hand at the Emmys AGAIN! https://t.co/OHeR1o5Vm4 https://t.co/w511WrIEIS,1520894862387822598,nayndreamynay81
if the oscars were real RRR would sweep this year,1520894770415034370,Paracelsus
Bout like the Oscars. 🤷‍♂️ https://t.co/AIHaiXsJjQ,1520894743898697728,libsuhk
"""Turning Red"" ""BETTER get multiple Oscars, next year! #TurningRedWatchParty",1520894504533909507,Matthew_Pb
"I don’t know what to say.

Other than, “this is a story of adolescence told in the greatest way imaginable.”

It has to win Best Picture at the Oscars

#TurningRedWatchParty",1520894418546475008,BPAaronAang
My favorite movie of the year and one my favorite Oscars ever along with Curtís Hanson in Adapted Screenplay https://t.co/9sDZwgZCpc,1520894311092527104,LuisCarlosGMtz1
Finalists for the Annual Government ‘Oscars’ Have Been Announced: This comes at the start of Public Service Recognition Week. https://t.co/jgzCytMWsW -https://t.co/uQBkdM2ecV https://t.co/mKGtWG4Jj5,1520894219824472064,PresidentIcons
"working on the game still sorting out level themes this is one from the tropics, what do you guys think? #gamedev #indiedev #steam #devlog #oscars https://t.co/LclheGgc2a",1520892853035094020,bluebranchgames
"The Oscars, also known as Academy Awards, are regarded by many as the most prestigious and significant awards in the entertainment industry worldwide. Here is a look at seven books that inspired Oscar-nominated movies.
Read more:
… … https://t.co/QrUrDlvMPI",1520892418241048576,UBookseller
"Total class act! The way it used to be!
Fred Astaire Cuts Loose: 1970 Oscars https://t.co/Ly0PTwbh2E via @YouTube",1520890099914788864,25bjh54
"Rachel Zegler says, despite West Side Story being up for seven awards, she wasn't invited to the Oscars https://t.co/sxZJ6A7QIZ #rachelzegler #westsidestory #theoscars https://t.co/JZq0e4WjOT",1520889693784526848,Enterta23018559
Oscars Producer Will Packer Says LAPD Was Ready to Arrest Will Smith After Chris Rock Slap https://t.co/ZfJn9bqpm4,1520888180387434496,chicagodemoreel
hey listen I know we’re way past Oscars season but the fact that Andy Sirkis hasn’t won one is proof they’re absolute crap when it comes to assessing actual talent. end tweet,1520887825994027010,ShermieMD
A month after the #Oscars who is even watching the Oscar nominated or winning films at this point? #sad,1520887452113592320,FLICKMINUTE
You people just want them to be dashing out Oscars like candy https://t.co/xH2plFmf9N,1520887175461707776,SavageOlaoluwa1
"If Will Smith hadn't slapped Chris
Rock, I wouldn't have known the 
Oscars happened #WillSmith",1520886131516231681,johnluoy
Trevor Noah References Oscars Slap at White House Correspondents' Dinner: ‘Risky Making Jokes These Days’ https://t.co/qnNWVOBKcw,1520885852787904512,ShowbizWorld0
‘Something Was Wrong’: Marlon Wayans Said He Suggested Will Smith Go to Therapy Following Oscars Slap https://t.co/s5JMbf5356,1520883751445618688,Marcusirving1
"#TiffanyHaddish talks about her viral moment at the Oscars 2022 when the #ET reporter said she had a ""Little costume change"" 

Any thoughts?? 👀

#TiffanyHaddish #Oscars2022 #Lovelytitv https://t.co/WJzwbgyVTs",1520882910643036164,lovelyti
"If Bernie Mack had hosted the Oscars...
https://t.co/5QK8OVvbeZ 04",1520882346924326916,VippusaO
"Very interesting read &amp; quite a unique perspective from an entertainment journalist. 
Most just focus on the moment, @AwardsDaily manages to take a big step back in time to help us readers see &amp; think about the bigger picture. https://t.co/51iGMBxydg",1520881039278690305,Light2theWay
"If Bernie Mack had hosted the Oscars...
https://t.co/5QK8OVvbeZ 02",1520880831211917321,VippusaO
"""Remember Me"" in 2017 is easily the Best Original Song of The Oscars since or after Eminem's ""Lose Yourself"" in 2002.",1520880758159814656,alixsharkey
"This breaks my heart. Liza deserves to be treated like the legend she is at all times. I hope she knows how much she is loved by so many people, especially in the #LGBTQ community, all around the world--wheelchair or not. #Oscars #LizaMinnelli https://t.co/rr8kYkVpd2",1520878602203516928,RealMattHopkins
"These Celtic player of the year awards are worse than the Oscars ffs 💀

3 awards in 3 hours",1520877426066309124,liamcsc
"The Oscars, also known as Academy Awards, are regarded by many as the most prestigious and significant awards in the entertainment industry worldwide. Here is a look at seven books that inspired Oscar-nominated movies.
Read more:
… https://t.co/QrUrDlvMPI",1520877355442520071,UBookseller
#Madonna and #MichaelJackson at the 1992 Oscars https://t.co/ZAOhkTvLiq,1520877303449866240,HistoryHubPics
2022 Oscars Celebration | Will Smith hits Chris Rock | CODA wins BEST PICTURE | Academy Awards https://t.co/GHqmhC04fM,1520876777232498688,petgroomerNG
"Trevor Noah: 
“It is risky making jokes these days. I mean, we all saw what happened at the Oscars.
“I’ve actually been a little worried about tonight. What if I make a really mean joke about Kellyanne Conway, and then her husband rushes up on the stage and thanks me?”
😂😂😂",1520876157545111558,liberal_jamie
I would so much rather attend the white house correspondents dinner than the Oscars.,1520875849679048704,areteagape
"The amazing shortlisted innovations in the 2022 Crystal Cabin Awards, the 'Oscars' of airline desi... - https://t.co/dc85w1ZtQI https://t.co/lxxUQHo2KM",1520874625152200704,Refess
Doesn't Draymond Greene know there is no slapping since the oscars. Good call by the ref flagrant 2. #gswvsmem .,1520874369416941570,AdamrR83
"""I’ve actually been a little worried about tonight."" Trevor Noah jokes about Will Smith Oscars slap at White House Correspondents’ Dinner #WHCD  https://t.co/HY0YTl9yo5",1520873148375207936,UrbHollywood411
Will Smith did something I never expected would ever be possible: he made the oscars relevant for more than an hour after the broadcast wrapped https://t.co/1SS9aeQCJW,1520873144176705536,the_damn_muteKi
"MUCH better than the Oscars  
""The White House Correspondents’ Dinner returned on Saturday""  https://t.co/WaT4FomlVs",1520873095778689027,Nomad_Somad
"So, what is Disney going to do with the extra Oscars Isaac that they made for @moonknight? Can I have one? I assume they're clones?",1520872903591485441,kingduncan42
Memphis decide that they want to audition for Emmy's or Oscars...#bringit #noteventherefcansaveyoutoday,1520872156418224130,happyjamaican
"Recent #YoungJusticePhantoms episodes had proven to me at least, that acting talents @GregCipes &amp; @kharypayton *deserve* Oscars, for their respective performances! 
The robot man speech &amp; when #beastboy had his therapy session with black canary 👏👏👏👏👏👏👏 bravo, gentlemen! https://t.co/o66ptpFew3",1520871856986898432,kakaro_Tow
Me the day after the oscars: https://t.co/4whNopafnT,1520871809075265537,DoubleMinorityy
"I think industry parties where people dress up and celebrate themselves are weird. I think the Oscars are weird. And I think the White House Correspondents Dinner is weird, especially because it raises questions about press impartiality.",1520871284682407944,law_comedy
"Can someone let the Ref’s know the Oscars are done for this year #Grizzlies 
Refs really pulling for Memphis to win #Rigged  #GSWvsMEM",1520870801930526720,gamerbabebec
"Fresh off the Oscars controversy, @chrisrock brings his honest comedy to @CaesarsPalace. https://t.co/K0L0pVwwju",1520870678903275524,LasVegasMag
Trevor Noah References Oscars Slap at White House Correspondents' Dinner: ‘Risky Making Jokes These Days’ https://t.co/A5vqIeQT7x,1520870480714121217,GinaLawriw
#e_RadioUS Andrew Garfield finally reveals who he was texting following Oscars slap https://t.co/W2jYnkZVf2,1520869843859296256,eRadioUS
"The Oscars just posted this today, Billie Eilish and Finneas getting the Oscar from the end of March https://t.co/agWsRvlcOW",1520869623033389056,TheSpyCommand
Oscars has been bested #masbron https://t.co/8oYPIhqxCF,1520868161683279872,Words4Less
Oscars cheer worthy moment 1978 https://t.co/5lEq17RwA1,1520865790546784256,Yeswanth_Mochi
"Marideth Sisco, who worked with the #Oscars nominated film ""Winter's Bone"" starring #JenniferLawrence says that author Karlyle Tomms has, ""a deft appreciation of personalities"" https://t.co/m0JbYbjgIQ https://t.co/MU5SQwZ1SJ",1520865723651866634,Karlyle_Tomms
Update: give ‘The Worst Person in the World’ ALL of the Oscars. Please and thank you https://t.co/aAyUho76ph,1520865650704621568,wilkinson27
she didnt win best actress at the oscars for nothing!!! the woman is genius https://t.co/L6fHv0GWwm,1520865120036999168,everlastingseok
"CinemaCon Puts Elvis, Tom Cruise &amp; Harvey Weinstein In Early Oscar Contention – Yes, That's Right https://t.co/R67IUO5INR",1520864254383083520,wizz_media
"A self- licking ice cream cone, like the Oscars. 🍦🍦🍦 https://t.co/jLAZfmEsDF",1520863138673012736,Kat022916
"Gloria Stuart was robbed¡!
#Oscars https://t.co/MOb6iGr12l https://t.co/o5gUpphY6z",1520862922670542848,bullock25
