full_text,tweet_id,screen_name
The Ottawa Senators just got vibe checked by the St. Louis Blues. They failed.,1520908866640261120,nhlshitpost
Season 5 is in the books! @thathockeylass joins @M901HoneyBadger and @Gr8WyteGibster as they look back on the 2021-22 Ottawa Senators Second Half Recap + More. 🇨🇦🏒🎙️🖥️@nationalpodnet #gosensgo #NJDevils #TimeToHunt #bringittobroad #podcast  https://t.co/ZiZu9rKDdo,1520907076565823488,thirdlineplug
20 21 UD PREMIER HOCKEY 5 FIVE  #hockeycards https://t.co/CkyaYoT8ZI,1520898469585727489,gems_card
SNAPSHOTS: GM Pierre Dorion says the club’s payroll will increase next season https://t.co/di1T5J65yX https://t.co/2YVxZJTu0N,1520890844340834304,SharClayton
"The Ottawa Senators have a 6.5% chance of getting the first overall pick in this draft.

I say they do it. https://t.co/mPX9Goqzb1",1520878212653408256,sas11h
“At least our stands will be fuller than the Ottawa Senators” - Arizona Coyotes #Yotes #GoSensGo https://t.co/6V0zl4C4cE,1520865257702494209,MManagerMike
I'll check back in with the Ottawa Senators when the club isn't A) owned by two college students and B) isn't managed by a complete moron who says stupid things every presser,1520844550037819392,BigTurk21
GARRIOCH: Pierre Dorion determined help young Senators reach the next level https://t.co/nZJaprL1cI https://t.co/gRL0eO9rGu,1520829932246474756,SharClayton
Dorion faces summer challenge to bring big name veteran talent to town https://t.co/0c77cFY7nz via @,1520827192871165953,Citizenkwarren
Dorion faces summer challenge to bring big name veteran talent to town https://t.co/G4bFQOL0hX https://t.co/vj6OfICxRx,1520824648455254016,SharClayton
Pierre Dorion discusses a wide range of issues and goals for the Senators during the GM’s wrap up session with Ottawa media. https://t.co/v04lSkGxea,1520813633638445057,HockeyScanner
"YouTube Exclusive: Immediate Reaction To Ottawa @Senators GM Pierre Dorion End-Of-Season Press Conference
https://t.co/xiv6pU5CnB",1520799770494840838,SensCentral
Pierre Dorion is my favourite member of the Ottawa Senators. From a pure content perspective he is unmatched in this league.,1520799120440573952,CBeataE
"I forgot about ⁦@TariqAnwar00⁩, the traitor. 

These Ottawa Senators fans would rather eat glass than cheer for Habs | CBC News https://t.co/eXSkZt2InI",1520798615748366337,Fffeisty
The biggest fear of playing for the Ottawa Senators… the media scrutiny https://t.co/8bMv4OwLpO,1520792612759908354,danielbruce11
"Changes Are Coming To Ottawa! 👀👇
https://t.co/fCXwGhOVT2",1520791558345404417,NHLTradeRumors
"$1,500.00 - Shipping Included: (🇺🇲/🌎 - BMWT) 
Player: Tim Stutzle
Team: Ottawa Senators
MFG: Upper Deck
Year: 20-21
Set: SPX - E-pack Achievement

Click link to purchase 👇👇

Take: https://t.co/uzbzbfJLYF

@HobbyConnector",1520771190712807424,RockyMtn_B_A
"#Ottawa the type of city to go to a Senators game just to boo both teams.

#RollingThunder #RollingThunderOttawa",1520770288954318848,atlanticannabis
"OTTAWA SUN
SNAPSHOTS: Senators' centre Josh Norris would like to get contract settled quickly

By Bruce Garrioch

#Senators #GoSensGo
https://t.co/hUW6jPX5j9",1520759955946676224,senatorsaggr
"Tired: The Senators should play in central Ottawa

Wired: The Senators should play in the geographic centre of Ottawa https://t.co/FmPAV2auWU",1520753460928524289,bodybuzzrecs
"It just occurred to me that the majority of my youngest sens twitter mutuals are actually older than the core ottawa senators, goodbye 💀⚰️🪦",1520745736106909696,TariqAnwar00
If the Leaf's were playing street hockey #Ottawa and the #senators should up.  The gloves will drop at some point in time #Protest,1520736947236388865,Thelainger
"#Ottawa #Senators: GWG  Brady’s 30th... 
 
https://t.co/0NbbAl3IWE
 
#Hockey #IceHockey #NationalHockeyLeague #Nhl #NHLEasternConference #NHLEasternConferenceAtlanticDivision #Ontario #OttawaSenators https://t.co/3gqwKB5IsF",1520723716036038658,raw_chili
Do the Ottawa Senators still exist?,1520687181299212289,nhlshitpost
2020 21 Skybox Metal Universe A #hockeycards https://t.co/W2JekoyNqB,1520641546055524352,gems_card
"The Utica Comets have a first round bye in the 2022 AHL Calder Cup playoffs.

They will play the winner of a 3 game series between the Belleville Senators and Rochester Americans.

Belleville (40-28-4) the affiliate of Ottawa and Rochester (39-27-9-3) the affiliate of Buffalo.",1520613695130329088,DevilsArmyBlog
The Ottawa Senators just got vibe checked by the New York Islanders. They failed.,1520609181505495040,nhlshitpost
"#DFHL Season Thirty-five, Regular Season Day 26 Scores:

California Seals 4 @ Ottawa Senators 3 F

C. Giroux (OTT): 1 G, 1 A

https://t.co/AfknCjpvDR

#FantasyHockey #SimHockey #FakeHockey #SimulatedHockey https://t.co/O3VUv3DvtJ",1520600706289487872,dfhl_sim_hockey
"Senators have promising young core, but head into off-season with work to do OTTAWA — A season that st... https://t.co/PwhNKf7xCV #senators https://t.co/gQVDU2JhQK",1520572353805271042,Newsycanuse1
@JimCramptonWPG Apparently being the starting goalie for the Ottawa Senators ages you 20 years. He looks like he's pushing 50. https://t.co/vp6811yHUY,1520556002210463745,exit716
Ottawa Senators goalie Matt Murray says he’s focused on trying to recover from concussion https://t.co/chfqKW0sXT https://t.co/mW3na2izwe,1520554609827139584,SharClayton
GARRIOCH: The Ottawa Senators head into the off-season determined to make the next step https://t.co/vKMpIF0oG0 #NHLRSS #NHL #ottawasuncom,1520552844964900864,trans_rumor
SNAPSHOTS: Senators’ centre Josh Norris would like to get contract settled quickly https://t.co/j6G16lHeiN https://t.co/gG7WWAOpjV,1520550959344103424,SharClayton
