full_text,tweet_id,screen_name
I actually feel satisfied with the ending of Ozark it was a great series through and through #Netflix,1520915969606131717,Von_Sama
Did Ozark release new episodes?,1520915951633506305,Ashkashhh_
That can't be the ending of Ozark,1520915948890435585,fayonlinexo
The ending of Ozark was terrible I’m sorry,1520915941319712768,honeyskinfeelz
it will be criminal if laura linney doesn’t win anything for ozark,1520915920583110657,wonderknope
Two more episodes of Ozark and I’m done. I’ll finish it tonight.,1520915913092050945,JerzeyReign
Wendy Bryde was a good negotiator... She knows how to put the right words in place. #Ozark,1520915899397648384,StillKorex
the ending of Ozark was basically saying that that life doesn’t stop theyre gona have keep lying an killing to cover up the lying an killing,1520915879243960320,brieannablack
Ruth headed to Miami on a plane entering her Anna Delvey era. #Ozark,1520915849858752513,CDKTX
Time to start the last season of the best show ever😭 #ozark,1520915848151461889,Hillgee7
Wendy be making me just want to stop watching Ozark… she up there all time most annoying characters with Skylar from Breaking Bad https://t.co/fonU69btWL,1520915831609249793,JordanStebbins_
Starting Ozark today… let’s go,1520915822167793664,_ashleystrange
starting ozark series finale im fucking terrified,1520915813993177093,axenodora
Binging ozark and eating Chinese food.,1520915798063079424,TKirchoff
It is crazy how calm Marty always is #Ozark,1520915798004584451,Rammel_23
At least Top Boy is giving us 5 total seasons. I have that slightly ahead of Ozark,1520915796989562880,AntEscrow
Brand new color from @BassAssassinLur in the 6 in Tapout. This is a KILLER color for us in some of these Ozark lakes.  I know I need more of these.  20 count packs in Green Pumpkin Magic. @_FishHog_ @MShepherdFishin @MysteryTackleBx @JT_Midwest @KayakAnglerMag  @bassfisher3k https://t.co/DszzaWH8Z9,1520915757860802562,Josey4u
"""Half of fancy Lagos is sachet Ozark""
Damn!!!",1520915754346029057,DavidTitiloye
Got my mum hooked on Ozark 🤣,1520915740949364739,AK_Gramm
"Ok, ngl, first episode of #Ozark is a banger. Like, *bang* *bang* *bang* *bang* bodies all over the place 😱😱😱",1520915723660537858,SuperNotFunnyS1
#Ozark thank you. What an ending. What a show.,1520915717037518853,Colekeen24
Ozark is just a revolving door of horrible people.,1520915702156300288,greysweaterdude
Finished #Ozark Definitely one of the best shows in a long time. Incredible cast and story. I’m gonna have to process that ending https://t.co/nfzo4qiN41 https://t.co/q2CQzDAo3k,1520915639749300225,AnthonyKrigbaum
So now what? #Ozark,1520915630274273280,King_Baakir4
Ozark Trail 22-Piece Camping Tent Combo $115 at Walmart (reg. $169; SAVE $54!) https://t.co/KVKfKWQ1fL #coupon,1520915615434915841,CouponaholicNet
Gonna finish Ozark tonight. I think it's very close to being a top 10 drama all time for me.,1520915600100544512,madchadd412
Ozark put the new episodes out,1520915580634738690,Its_Fe_
This season of Ozark getting me mad,1520915571495346176,omariokart
"Yeah need Ozark season 5, cause what the fuck",1520915506668130304,timbo_gmg
this last season of #ozark is so insanely boring and useless,1520915499244302336,MizterRonn
"Of all the great actors in #Ozark,
I’ll miss Julia Garner as Ruth Langmore the most. What a breakout talent.",1520915466646130689,JasonPulliamIA
Ozark is back,1520915436921098241,slyman80
"I thought I hated Skylar White but this bitch Wendy Byrde boils my damn blood .
LMAO I want to reach into the screen and wring her fucking neck 😭😭😭 #Ozark",1520915431497904131,sjo_xoxo
Very funny watching arrested development and the ozark the same day. Jason Bateman is only capable of playing Michael Bluth,1520915403882516480,hanes_her_way_
"Win $500 for Paypal now!

➡️https://t.co/a6rJAidowr

#Trending
Eid Mubarak Mike Lindell
#MayDay2022 Shakur Triple J #GSWvsMEM #MILvsBOS #goodsamrvrentals #Ozark Wellbutrin daily quordle 96
ALL RISE #Money #GiveAway  #free #Giveaways #GiveawayAlert 
#paypal #freedollar #freepaypal https://t.co/x7IiPdWPQR",1520915402301517824,affitapro
Every time I see Ruth on Ozark I think of Justin Timberlake and I hate whoever made that accurate comparison,1520915387617001474,Go__homeroger
Giving Ozark a shot,1520915376183422977,busyeatintacos
"Finished Ozark, it was great! https://t.co/jXjUik15mw",1520915358437289984,JeffABrightwell
this first new ozark ep is so bad,1520915354838478848,theeashleyray
"The end of Ozark 🤌

Incredible series https://t.co/P1DCD3px89",1520915320105492482,ThatMattKelley
"RUTH LANGMORE, YOU’LL ALWAYS BE FAMOUS. 😭😭😭😭 As realistic as it might’ve been, I truly wish they had chosen another outcome for her, after all she went through. 😔 #Ozark",1520915314103492609,_nerdyowl
The ending of Ozark is stupid abeg. Wtf is this?,1520915304221745152,kingpam___
"I don’t care if it’s Marty Byrde  or Ruth Langmeyer 
somebody’s gotta shoot that Wendy byrde right in the face before this season of Ozark gets over 😂😂",1520915291148062720,Daveloftus8
Wendy from Ozark needs to die.. honestly I’m over her,1520915283082371073,Fabulously_Meee
#Ruth is one BadAss Mothereffer!!  #Ozark,1520915266800074753,mikepicone55
"Ok, #Ozark. Was already feeling all the things with the finale, didn’t need y’all going and singing  
@JohnPrineMusic. https://t.co/qdudIW2yjJ",1520915264581341184,jenlux
Marty's calmness is on another level. #Ozark https://t.co/l4gSZgo3Vo,1520915261779554306,StillKorex
I was going to watch American idol until I heard it was Disney songs. I don’t even care if you spoil it. Let ‘er rip. But don’t you dare spoil Ozark or I will hunt you down.,1520915252757643265,Str8fromHelle
the new episodes of #ozark on 🤯,1520915223011540993,ButtahCuupB
Final episode of ozark time,1520915213549113344,bnubs69
"Look YALL were always going to have complaints about how our favorite shows end. #Ozark’s wasn’t that BAD

With that said “Breaking Bad” is STILL THE GREATEST SHOW EVER! They had a finale in which I had 0 issues. Why? CAUSE THEY DIDN’T BULLSHIT U AND GAVE YOU A DEFINITIVE ENDING!",1520915212647419904,stellar_jl319
#Ozark  is over and I love the final,1520915198965596160,dimi_yakuza
Julia Garner's performance in Ozark is beyond spectacular.,1520915186210779136,PurpleNisi
Seated for the last episodes of Ozark  https://t.co/YTSZweOk9z,1520915173682294784,juanegade
There was no better way for Ozark to end in my opinion. It was great.,1520915172277243906,BigDeEnergy
Damn they gotta get Wendy smoked fr she’s buggin #Ozark,1520915162806599681,NinetyDBS
I guess that was a good ending for Ozark,1520915152169799683,Zaya_Stackz
I hate Wendy Byrde.  #Ozark,1520915144599031810,KTBigley
Ima chill tho im still wired off that Ozark finish.,1520915041008111616,SmittyErr
This is what I wanted in ozark. YES YEs yes !!,1520915022536454145,PullerRude
"All I can hope, is that by the end of #Ozark , Wendy Byrde is no more. My most hated character of all time.",1520915020661633024,Woolaghan
The mom in Ozark is such a trash mom. They need to kill her ass,1520915006019100674,TANODOE
Just finished Ozark and I’m gonna need some time to process.,1520915004173832193,HskerfreakKris
Ozark is such a wild show. Jason Bateman is hot so I’ll keep watching but it’s jumped the shark so many times it’s laughable,1520914998914129921,muzzleofbeeslp
Im happy for Ruth getting all this money finally she deserves! #Ozark,1520914981264502786,keepupwithv_
Its Ruth bumpin illmatic for me 😍 #Ozark,1520914971701530625,Jancys_world
"I might be in the minority of people who actually like Wendy. She's ruthless and a monster, but brilliant and bold, too. One of the best written characters, imo. It's baffling how Laura Linney hasn't won an Emmy for this role. #Ozark",1520914963702992897,DanielaEspo
Jason Bateman is going to get another Emmy. #Ozark,1520914952495767552,stephoverkill
I just finished Ozark. Imma need a month to bounce back.,1520914929360031744,TheDayman41
