full_text,tweet_id,screen_name
Ozzie Albies respects women https://t.co/LSoKOAGoST,1520883254991151106,StantonTruther
2018 Bowmans Best Ozzie Albies PSA  #thehobby https://t.co/rIjCM8X6OI,1520871707069882368,HR_cards
Ozzie Albies start hitting challenge *IMPOSSIBLE*,1520864707049107458,kizzball_
"Ozzie Albies Negative RC PSA 9

$110 Shipped

@sports_sell @HobbyConnector @Hobby_Connect https://t.co/hCgiQQSuYB",1520861975420538880,MadCityCards
Ozzie Albies is 0-15 so far in his last 5 games so far.. #ATLvsTEX,1520856458094600192,NickSabansSon
"That infield single 
is exactly what CJ 
should be.
Ozzie Smith not 
Ozzie Albies....yet.
Take that to AAA.",1520856410405236737,JamesDidley
Ozzie Albies rapidly approaching the Mendoza line.,1520850512081563649,D_Thomas1011
"Ozzie Albies Gold Chain SP RC 
(Small corner ding)

$70 Shipped

@sports_sell @HobbyConnector @Hobby_Connect https://t.co/wWn2Sk4GeA",1520850489939742721,MadCityCards
"Ozzie Albies - Lineout vs Taylor Hearn
#Braves vs #Rangers

EV:   101.2 (MPH)
LA:   18 (Deg.)
Dist: 328 (ft.)
xBA:  .430

94.3 (MPH) 4-Seam Fastball (FF) - 1-0 Count",1520850150377222144,BravesInPlay
Hearn gets out of the inning with the lead as Ozzie Albies lines out to Solak in left field. #Rangers lead 3-2 heading to the bottom of the third. #StraightUpTX,1520850111605219328,ChrisHalicke
"Ozzie Albies - Flyout vs Taylor Hearn
#Braves vs #Rangers

EV:   94.5 (MPH)
LA:   34 (Deg.)
Dist: 357 (ft.)
xBA:  .170

80.7 (MPH) Slider (SL) - 1-0 Count",1520841468881129472,BravesInPlay
"One HR prop and over 1.5 bases prop! My one play is: Ozzie Albies! The Texas Rangers have a lefty in and a lot of lefty relievers active today. Albies is in a 4 game hitless funk. This is the spot! 

Albies HR +353 &amp; over 1.5 bases -110

LFG!!! https://t.co/JeE5bqD6Ts",1520829470319415296,Skitchen3
2018 MLB Topps Chrome Ozzie Albies  #thehobby https://t.co/SnnSE3ZqfQ,1520822035630505986,HR_cards
2018 Bowman Chrome Ozzie Albies Roo #thehobby https://t.co/8J6II9168C,1520804255808069632,CardboardFeed
"Plays in the ATL @ TEX Game:

⚾️ Matt Olson 2+ TBs (+130 @ PB) - Pinnacle @ +112
⚾️ Ozzie Albies 2+ TBs (+115 @ FD) - Pinnacle @ -110 💎

💣 Matt Olson HR (+360 @ FD) - Pinnacle @ +289
💣 Ozzie Albies HR (+570 @ FD) - Pinnacle @ +340 💎

#GamblingTwitter #PlayerProps #MLB https://t.co/eN8egTR7L6",1520803351394500608,MJCLocks
