full_text,tweet_id,screen_name
"‘Really unfair, could have played the final’: PV Sindhu on controversial point penalty at Asian Championships https://t.co/jFq5Ghit7Q",1520842662353551360,Kashmir_Reader
"PV Sindhu laments 'unfair' call by umpires at BAC, says 'I could have played the final' https://t.co/rRQy8g50ub : @TheNileshDesai #TheHinduPatrika #News",1520840590031609857,thehindupatrika
"#PVSindhu loses cool at chair umpire, referee over a point penalty for late service; a point that makes her lose a match she was on top of. Indian players get a bad deal from European umps?
https://t.co/K7dClJijFd

via @GoogleNews",1520807775273631744,YeshwanthKini
"PV Sindhu loses cool at chair umpire, referee over an 'unfair' point penalty; https://t.co/uqvhqNUxd0",1520802066696138755,2raosanjiv
WATCH PV Sindhu fight it out with umpire at Badminton Asia Championships #SindhuLoses #Sindhu #BadmintonAsiaChampionships https://t.co/ZiTLlZLvcz,1520796048578469888,VoiceAajkal
Why PV Sindhu’s ranking is not increasing? https://t.co/9EUNLG8LaV,1520790821301219328,B5Jha
"lol that was such a bullshit excuse 😂 imagine if she’s the one who played in the final, so she had to stay in manila till when?? clearly pv sindhu had enough shits with @Badminton_Asia #BAC2022 https://t.co/YyPm7LCall",1520771864573865984,theleedk
"It was really unfair, I could have played the final: PV Sindhu https://t.co/AwswDjNOLa",1520768944419876864,wwwcurrentnews1
"It Was Really Unfair, I Could Have Played the Final: PV Sindhu on Controversial Point Penalty at BAC #AkaneYamaguchi #BadmintonAsiaChampionships #Controversy #pvsindhu https://t.co/emwNf4G7Ob
https://t.co/5FM7ljqfDZ",1520766257917984768,dellyranksindia
"It was really unfair, I could have played the final: PV Sindhu https://t.co/zxBbrhYUrC",1520766121191878657,DharmrajParmar5
"PV Sindhu Is Disappointed With Umpire Decision Said I Could Have Played Final Badminton Asia Championships 2022 | Badminton Asia Championships 2022: PV Sindhu is disappointed with the umpire’s decision, said https://t.co/w7IzxXGmGl",1520745402592595971,NetionalD
"Indian shuttler was left in tears after an “unfair” call by the referee midway through her semifinal match against Japan's Akane Yamaguchi derailed PV Sindhu’s dream of winning gold at the Badminton Asia Championships, on May 1.
#news #meghalayanews #TheMeghalayan https://t.co/Oup6r0Ylrm",1520744691264012288,TheMeghalayan
"PV Sindhu started the semi-final of the Badminton Asia Championships on a strong footing but couldn't maintain the momentum as she lost 21-13, 19-21, 16-21 to Japan's Akane Yamaguchi #watch #unfair #call #ndtv #sports #pv #sindhu #fumes #loses #badminton #asia #championships #sem https://t.co/IMJkvKCEKe",1520743676191911936,Hashtrends1
