full_text,tweet_id,screen_name
patrick chan and roman sadovsky have arrived at the #ncretirementparty! they look wonderful! https://t.co/ewElJ2NhHE,1520886853104283648,odilehanyu
"forget yuzuru hanyu and patrick chan, this is the best figure skating rivalry of all time https://t.co/lJUeVliQLc",1520862522605285379,younglysas
"Top #Tendencias de Twitter en  #México
May 01 2022:
TXT TRACKLIST
Patrick
felix
Colosio
Maluma
Valdez
Cibeles
Rodrygo
#FelizDiaDelNiño
Chan https://t.co/PHQ6zM7vdN",1520810295710560256,ZTSAnalytics
"Top #Tendencias de Twitter en  #México
May 01 2022:
TXT TRACKLIST
Patrick
Colosio
felix
Valdez
Cibeles
Maluma
Chan
Rodrygo
#FelizDiaDelNiño https://t.co/WXUW9fgwi9",1520764995058896896,ZTSAnalytics
"Skating world with elite skaters on top like Yuzuru Hanyu, Fernandez, Patrick Chan and Yuna Kim, Mao Asada and Carolina Kostner was way more charismatic and classy than today's figure skating. I don't understand why ISU didn't like it.",1520462319381364736,_yasmin_yld
"Actively making sure we never get a yuna kim, mao asada, yuzuru hanyu, ...patrick chan... ever again https://t.co/zga0m1cJ0n",1520290482924179456,yoon_yunazu
"I will set up hyper-targeted Linkedin ads for your business.
https://t.co/magueWKBv3

#jisung #ThatThatFeatSUGA #Burna #MinYoongi #Chan #OpenSea #jungkook #League #Erdogan #Felix #Elon #Patrick #NFLDraft #MinistryofTruth #minyoongi #Embiid #advertising #LinkedInTopCompanies https://t.co/aycPP2B95P",1520276045965914118,NittanandoMond2
"Jason Statham, Jackie Chan, Brad Pitt, Keanu Reeves and Patrick Dempsey together in the same picture? What a rarity. https://t.co/hjws9pjKZg",1520221416846733319,mmmadWORLDDD
"What Patrick Chan has built too, will be gone. https://t.co/NkdM4pg3zf",1520194775915315201,SheithHappens
"Malcolm Coptcoat prize winners @RSMUrology 
1 Arjun Nathan 2 Vinson Chan 3 Alexander Light Poster prizes 1 Patrick Rice 2 Archie Parekh 3 Isolde Pryor. Congratulations to all winners &amp; presenters @BSoT_UK @BURSTurology @endouro @BAUSurology @TUF_tweets @borley_nigel @ShivPandian",1520147809047138304,Sri_URO
speaking of patrick chan i found out today that one of my irls has literally met him before ???,1519825490202308610,OTON4L
"My trying to decide whether to go as Patrick Bateman, Chris-Chan or Hatsune Miku for Halloween https://t.co/UVbTk7zVUk",1519803035605688321,th3_peyote
"Would you prefer a garden filled with fresh fruits and veggies or filled with vibrant flowers? 🍓🌹 Comment below ⬇️

Patrick Chan
Broker

Century21 Atria Realty Inc. Brokerage
Dir: (647) 818-7488 
Tel: (905) 883-1988
1550 16th Ave... https://t.co/XOnGoP6mrm https://t.co/rK6OVbDof9",1519694321376763905,pchahh
"Do not let your doubts hold you back #MotivationMonday

Patrick Chan
Broker

Century21 Atria Realty Inc. Brokerage
Dir: (647) 818-7488 
Tel: (905) 883-1988
1550 16th Ave. #C200 South,Richmond Hill, ON, L4B3K9 https://t.co/R3jh1UOPAv https://t.co/tOjQ3p9uw3",1518606978330861568,pchahh
"That is what it is. 
Evgeni Plushenko, Patrick Chan, Carolina Kostner, Mao Asada, they are all gone.
Yuzuru is my biggest hope for ice skating future in the singles. https://t.co/uGJj25QfXT",1518292919274385409,SilviaKlbk
"My President @lenirobredo and My Vice President @kikopangilinan #IpanloNa10ParaSaLahat #Kakampink🌸🌸 #LeniKikoParaSaLahat #LeniLiwanagSaDilim.
@iamjustindizon 
@ImYourTeej 
@imchristan 
@kingkongramos 
@MgaGwapoForLeni 
@jmdanganemd 
Babe ko @chrstphr_chan 
Papie ko @jeffpfern https://t.co/amUlRTJWKB",1518231072190132226,Patrick_Paul14
