full_text,tweet_id,screen_name
"Found new reaction: ""Pentatonix - The Sound Of Silence REACTION"" by Seun Shindara
#PTX #Pentatonix
https://t.co/PE2ZrqiLgn",1520902886317867008,reactions_ptx
"Found new reaction: ""Pentatonix - ""The Prayer""  REACTION"" by Glasses Kingdom
#PTX #Pentatonix
https://t.co/dBPp6M2fIL",1520891545339273216,reactions_ptx
"[OnlyHit K-Pop] Currently: ADWTAG_172863 - Pentatonix - A Little Space
 ADWTAG_172863 on TuneIn, OnlyHit K-Pop",1520889364267552772,OnlyHitNP
"#NowPlaying Pentatonix - Amazing Grace 
https://t.co/O45kvFCz7m
#OnlineRadio #BloomRadioke #TheBestofYou https://t.co/r2ZlWlnehK",1520883526744297472,BloomradioKe
"Found new reaction: ""SCOTT KILLED IT!!!! Pentatonix - ""I Just Called To Say I Love You"" - OFFICIAL VIDEO (PDP REACTION!!)"" by PooTyDaPlacid
#PTX #Pentatonix
https://t.co/JPyjCj8amG",1520880181858250752,reactions_ptx
THEY WILL HEAR US SOON. https://t.co/9cm5SMjGLA,1520873855576911872,Jeanhively1
Pentatonix - The Sound of Silence,1520868680241926145,KosiSunyata
Pentatonix - Can't Help Falling In Love,1520864818374316034,KosiSunyata
Someone needs to create a Pentatonix version of Heardle,1520864580498558976,fannycub
i'm one pentatonix song away from ripping my eardrums out,1520862999921278977,ollietron3000
why is pentatonix's cover of god only knows on a christmas album????,1520862885546704900,anticumber
"watching some old Pentatonix compilation vids to distract myself but universe said 'not on my watch!', cannot escape lol idek what it was supposed to stand for here but 😂 https://t.co/5OWOwP5mXy",1520854138313138181,niqa86
"Rockin' Around The Christmas Tree/Pentatonix
https://t.co/vS1O3p0nrA @YouTube
#Pentatonix",1520848212474875905,Boss_sssss2
"Starships/Pentatonix 
https://t.co/LHcejorXP8 @YouTube
#Pentatonix",1520847829199376384,Boss_sssss2
"What Christmas Means To Me/Pentatonix 
https://t.co/NCWIavIcEB @YouTube
#Pentatonix",1520847167430492161,Boss_sssss2
It is something you cannot miss. #Talent #Singing https://t.co/4egBgjlaaO,1520843771235209216,wwjd_buzz
i want pentatonix’s rendition of hallelujah to play in my head on a loop for the rest of my life. i watch this video atleast 4 times a week and it gives me goosebumps everytime i hear it.,1520838923236392965,subtopunz
Pentatonix - Amazing Grace (My Chains Are Gone) (Official Video) https://t.co/YYWS3oVeBP via @YouTube,1520834953617055747,truthERrn
Pentatonix - Hallelujah (Official Video) https://t.co/umjgAkAloz via @YouTube,1520832203437060099,truthERrn
🎧🎵 Cheerleader by Pentatonix on repeat.,1520822789900537861,AmarachiOssim
"#NowPlaying Pentatonix - Amazing Grace 
https://t.co/O45kvFCz7m
#OnlineRadio #BloomRadioke #TheBestofYou https://t.co/dQMUKoBpdy",1520811806633205760,BloomradioKe
"#NowPlaying Pentatonix Ft. Jennifer Hudson - How Great Thou Art
https://t.co/O45kvFCz7m
#OnlineRadio #BloomRadioke #TheBestofYou https://t.co/wd3rSs0Zru",1520810801673781248,BloomradioKe
Pentatonix - Bohemian Rhapsody (Official Video) https://t.co/Mboov1UhF4 via @YouTube,1520805103816556545,joesports16
pentatonix／joy to the world   https://t.co/RFZEHiIA15,1520765381832364033,panshu000
"#NowPlaying Pentatonix Ft. Jennifer Hudson - How Great Thou Art
https://t.co/O45kvFCz7m
#OnlineRadio #BloomRadioke #TheBestofYou https://t.co/iHekEz52XY",1520762986436169728,BloomradioKe
"Okay Meghan Trainor!

Why am I having a dream where in a video one of PTX wears a top hat and some round glasses like Tom Petty?   Just weird, but okay.

#pentatonix
@PTXofficial",1520747386234191872,lessandsee
"#NowPlaying Pentatonix - Amazing Grace 
https://t.co/O45kvFCz7m
#OnlineRadio #BloomRadioke #TheBestofYou https://t.co/ZJhRdzzPga",1520745373257674753,BloomradioKe
"#NowPlaying Pentatonix Ft. Jennifer Hudson - How Great Thou Art
https://t.co/O45kvFCz7m
#OnlineRadio #BloomRadioke #TheBestofYou https://t.co/w4UXGuLuMy",1520691011630075904,BloomradioKe
reminds me of pentatonix's cover of hallelujah i love it,1520681895214071808,meiwin__
that pentatonix version of red lights,1520681430539546625,OKHYNLX
"Found new reaction: ""Pentatonix - ""The Prayer""  REACTION / REVIEW / ANALYSIS"" by Glasses Kingdom
#PTX #Pentatonix
https://t.co/eIJc1RiVkn",1520672288961617921,reactions_ptx
"Played ""Misbehavin'"" by Pentatonix",1520663792430063616,spotifyelisheva
"Pentatonix Heardle #4

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/ws1klwlAQg

2013 Jun is SCREAMING.",1520661633818714112,Namzuged
Only a year to go until I see pentatonix…,1520659935981408256,ElleHoying
"Carol of the Bells - Pentatonix
April 29, 2022 at 03:08PM EST",1520659850648240128,amazedspotify
"Pentatonix Heardle #4

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/YpKveAMd5v",1520648955184529410,celestialyssa
"For people who have listened to the H🏠 leaks…
Anyone else get pentatonix vibes from the baba’s in 🍣?? Or just me?",1520647283578126336,_eroda28adore_
"GUYS. Y'ALL DON'T KNOW WHAT THIS IS ABOUT TO DO TO ME.  I STILL FUCKIN GOT IT.
Pentatonix Heardle #4

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/PQodLNtg7X",1520646307865632768,wholelottavenom
"Found new reaction: ""Pentatonix 'Dog Days Are Over' Florence &amp; The Machines Cover (On The Sing Off) Shakes - P Reacts"" by The Real Shakes - P
#PTX #Pentatonix
https://t.co/FZ3i1CJEqj",1520645813734875136,reactions_ptx
"Pentatonix Heardle #4

🔊🟩⬜️⬜️⬜️⬜️⬜️

https://t.co/39jkW9hQws",1520645405733756928,danpastfour
"Found new reaction: ""Kevin Plays the Cello MUST SEE !!! (Pentatonix Reaction)"" by ASAXReacts4U
#PTX #Pentatonix
https://t.co/5wDZXea1GO",1520642032385024000,reactions_ptx
Pentatonix is my comfort band,1520618927100936193,JordyJossel
"#NowPlaying Pentatonix - Amazing Grace 
https://t.co/O45kvFCz7m
#OnlineRadio #BloomRadioke #TheBestofYou https://t.co/OcopyuDnue",1520578773447499776,BloomradioKe
"Found new reaction: ""Kevin plays Cello (MUST SEE !!!) Pentatonix Reaction"" by ASAXReacts4U
#PTX #Pentatonix
https://t.co/Sm14Rey1vW",1520562689331838976,reactions_ptx
Pentatonix - Amazing Grace (My Chains Are Gone) (Official Video) https://t.co/aOFR6m5tdD via @YouTube,1520557531667513344,KathySteelman
"[OnlyHit K-Pop] Currently: A Little Space
 by Pentatonix, ATEEZ on TuneIn, OnlyHit K-Pop",1520554385453027328,OnlyHitNP
Pentatonix 🎧 Problem (Ariana Grande) 🔊8D AUDIO VERSION🔊 Use Headphones 8... https://t.co/qqChgZF1j6 via @YouTube,1520540224056700929,GWall8DMusic
Pentatonix - Amazing Grace (My Chains Are Gone),1520534773046861825,KosiSunyata
"Pentatonix - Mary, Did You Know?",1520532936931655681,KosiSunyata
Pentatonix - Can't Help Falling In Love,1520530032053133315,KosiSunyata
