full_text,tweet_id,screen_name
"Naomi cosplaying as Petra Kvitová today, my faves just love each other",1520828113948753922,Svitoflopina
"Where There's a Jil...

Jil Teichmann pulls off another upset that's not REALLY an upset on the red clay in Madrid.

The Swiss #2 follows up her win over Petra Kvitova with a 6-4, 6-4 victory over Leylah Fernandez to reach the round of 16.

Next Up: Rybakina or Siniakova https://t.co/7TDwUitvty",1520782353592991746,TickTockTennis
"WTA MADRID

JIL TEICHMANN vs LEYLAH ANNIE FERNANDEZ

Jil Teichmann did what we expected against Petra Kvitova, and based on what we watched she looks to be in a good place. 

BET: JIL TEICHMANN

Odds: 1.98

#wtamadrid #wtabettingpro #wtapicks https://t.co/L0nseSujDu",1520674462169022466,bettinganalystt
"Lol I went to watch the WTA highlights from Iga against Petra, and seems like the person that made the video was a big Kvitova stan, because if you don't go checking the score, you'd think she's the one that won the match like 6-2 6-1 😭",1520586557937229826,juanignacio_ac
This has to be about Petra Kvitova https://t.co/fVGRxH8NE0,1520504428712837120,kvitarenka
"Her competition with the likes of Li Na, Petra Kvitova back then at the Slams or WTA lives rent free in my head. 

Enjoyed those days https://t.co/TWKei37IwJ",1520368118505299968,Kindwale101
"Petra Kvitova can still play tennis, but winning matches is a different ball game but having said that, we love her the same as vulnerable veteran as we do when she makes opponents meagre spectators",1520323471116357632,silasofficial_
Starting a long Madrid day with a smile: @jilteichmann &amp; @Petra_Kvitova before their Madrid R1 match on Thursday https://t.co/WlkTwPkAJ4,1520156257289740288,JJlovesTennis
RETIRE @Petra_Kvitova,1520135458629779456,formerpets
I am once again asking you to hang it up. No more tennising now. Goodbye @Petra_Kvitova,1520080615970054144,formerpets
"Czech Republic's world number 30 Petra Kvitova crashed out in the first round of Madrid Open after she lost to Swiss Gilles Teichmann 3-6, 5-7. #PetraKvitova https://t.co/LU6Rp5TI28",1520080063311618048,alkass_digital
What @Petra_Kvitova has done to me today... Guys am not okay😭😭.... https://t.co/XdETBlef6R,1520075431843614721,chitaluCM
