full_text,tweet_id,screen_name
"#Philadelphia #Flyers: Clocking in for the season finale.

##OTTvsPHI | @labattusa... 
 
https://t.co/xZayGnXxlU
 
#Hockey #IceHockey #NationalHockeyLeague #Nhl #NHLEasternConference #NHLEasternConferenceMetropolitanDivision #Pennsylvania #PhiladelphiaFlyers https://t.co/C8YTbizRi3",1520912474710712320,raw_chili
Philadelphia Flyers Season Recap &amp; Player Analysis with Sam Wismer #BringitToBroad #NHL #Hockey.. https://t.co/ELMAQ1TwCi via @YouTube @RyanBizzaro @SamanthaWismer @JameyBaskow @FlyersKnitty @pearlosnhlpow @isaiah_520,1520905842714980353,jjborek26
Philadelphia Flyers’ 2021-22 Season Finale – Flyers Nitty Gritty https://t.co/oDqlgyELYM,1520883343851757568,oandbpuck
"Seattle Krakens in the 3rd period to lose…

NHL Draft Lottery: Philadelphia Flyers clinch 4th-highest draft lottery odds - Broad Street Hockey https://t.co/pA8VxRagDB",1520883189094531078,oandbpuck
"NHL Rumours: Montreal Canadiens, Philadelphia Flyers, Vegas Golden Knights It's Sunday and we've got some more NHL rumours for you. The latest on the Canadiens, Flyers and Golden Knights is next. https://t.co/ctqHIeWNfJ https://t.co/Zc1Wrab4Dc",1520881620244443136,TheVegasReport
"Dave Hakstol’s Kraken blow late lead, so Flyers finish with 4th-worst record https://t.co/fekCuKsXRA",1520869319474884608,phillyhockeynow
There is hope for Ryan Ellis on Philadelphia Flyers https://t.co/G8nNRi2UXS,1520863960731246592,bulletin_ex
It’s over. With the 6th pick in the 2022 draft the Philadelphia flyers select Joakim Kemell. Pathetic loser franchise.,1520862532289941504,kevnavz1
"New artwork for sale! - ""Philadelphia Flyers Away Hockey Jersey"" - https://t.co/1GIn1SzCSM @fineartamerica https://t.co/TiqkKVnFZ9",1520859626346008576,lwooten1990
The Philadelphia Flyers’ fans are ecstatic as the #SeaKraken are foolishly destroying their lottery odds by winning their final game of the season. Instead of getting a Top 3 prospect the Kraken will have to settle for 4-7 instead.,1520848714457251840,Jome253
"My overall thoughts from this team.. 

I broke down many stats, the PP &amp; PK, games by month, vs divisions, literally everything… 

2021-22 Philadelphia Flyers Season Review &amp; Thoughts from Exit Reviews
https://t.co/9Te7bRTtbh https://t.co/xciE6kLO5p",1520834557347606528,_ChrisMaher
"Go give my latest article a read and let me know what you think! This was a fun piece to write, and it’s probably my favorite! @FlyersKnitty @NHLFlyers #bringittobroad https://t.co/Kygh8CtzxR",1520830652190494721,knoverstreet
2021 22 TOPPS NOW NHL STICKER P #hockeycards https://t.co/sT20JPzGXd,1520819266899128320,gems_card
"The suffering of the 2021-22 Flyers season is over. 

@rose_pomme wraps the season up: https://t.co/KHLvbRILbn",1520814370535751680,PhlySprtsReprts
2019 20 Upper Deck Stature Cart #hockeycards https://t.co/hHqkMjrYSF,1520802629558968322,gems_card
Danny Heatley wants to play for the Philadelphia Flyers. He even had bedsheets with their logo on it as a child.,1520777772913684482,nhlshitpost
"$50.00 - Shipping Included: (🇺🇲 / 🌎 - BMWT)
Player: Mark Recchi
Team: Philadelphia Flyers
MFG: Leaf
Year: 2020-21
Set: Superlative 1/7

@ReplinApp Feedback:
⭐ 5.0 (399 Ratings)
✅ eBay: krupp-34 (142) 100%

Take: https://t.co/FTpMSp3zoK

@HobbyConnector",1520772355382939649,RockyMtn_B_A
"Who will be the next head coach of the Philadelphia Flyers? 

Some strengths and weakness of prospective options

https://t.co/k4hm6GNyBI",1520768683987148802,DanTheFlyeraFan
The Philadelphia Flyers are your 2022 Stanley Cup Champions https://t.co/LEhlKErZUW,1520762863345881089,von__matterhorn
"As the Stanley Cup Playoffs are about to begin, it’s a great time to review. 
ANY PITTSBURGH PENGUINS SEASON IS SUCCESSFUL WHEN THEY PLAY MORE GAMES THAN THE PHILADELPHIA FLYERS! 
that is all",1520759409315651585,JacobOrr5
1984: Darren Jensen signed as free agent with Philadelphia Flyers. https://t.co/Q8RU8L20L3 https://t.co/E7fYJXbS0p,1520757430002532352,GoalieHistory
Lot 12 Signed Auto Philadelphia #hockeycards https://t.co/ku9Y8ikV20,1520752714854146048,gems_card
"NHL Rumours: Montreal Canadiens, Philadelphia Flyers, Vegas Golden Knights #GoHabsGo #bringittobroad #VegasBorn 

https://t.co/FYq109mnqS",1520745740720558080,LastWordOnPuck
"NHL Rumours: Montreal Canadiens, Philadelphia Flyers, Vegas Golden Knights - https://t.co/8RO92C8dBF via @LastWordOnPuck",1520744707168645122,lastwordonsport
To all the 🤡s out there that say ⁦@charlieo_conn⁩ isn’t critical enough of the Flyers and their players.  https://t.co/ky4aYSZuZL,1520738943339307009,SeanKleckner
"#Philadelphia #Flyers: Congrats to the winners of the 2021-22 #Flyers Awards! ##BringItToBroad... 
 
https://t.co/r41HS43swK
 
#Hockey #IceHockey #NationalHockeyLeague #Nhl #NHLEasternConference #NHLEasternConferenceMetropolitanDivision #Pennsylvania #PhiladelphiaFlyers https://t.co/i34IXJTzVq",1520711638617309184,raw_chili
"When Taylor Swift lyrics apply to your feelings towards your favorite hockey team.

Dear Philadelphia Flyers,
 
Is it insensitive for me to say
Get your shit together?
So I can love you

-Matt",1520633828041134080,EvansRankings
"Shame on all...okay...many of you guys who painted Provorov as purchasing his ticket out of town with his Exit Day Response. I hunted down this clip of it; a smiling Provo, dripping in Sarcasm, basically kidding around that he'd be getting a bad Grade.🤔

https://t.co/5eNNGWYrYd",1520633600823242754,Lets_Go__Flyers
Check out vintage Lee Sport Philadelphia Flyers Eric Lindros Made in the USA XXL T-Shirt https://t.co/4yIg6ppWbU #eBay via @eBay,1520630136911114240,jima6636
"NHL Oct. 26, 1975 New York Rangers v Philadelphia Flyers (R) https://t.co/L967oVWjFV via @YouTube",1520627493983727616,arktoshorse
Flyperbole: Do you want to build a Frankenteam? https://t.co/EpVIPlAMNw via @BroadStHockey,1520622338286538752,flyer4life
