full_text,tweet_id,screen_name
#Trading The Pinocchio Bar (Pin Bar) With Price Action Examples https://t.co/eELhlCmvpk https://t.co/DQtl9SKcX2,1520912211614605312,TradingSetupsRe
"Vintage Pinocchio And Donkey Child's Butter Knife, Youth Cutlery Flat Wear, Disney Movie Memorabilia https://t.co/2PIWm5cqZj via @Etsy",1520908426016133121,atticesoterica
"what you love is the in-between, a hint of man, a hint of boy. his heart beats steadfast hidden in ribcage, but it does not beat for blood, no; it beats for you. you alone. it is love. it is horrid. your pinocchio.",1520907751756496901,reusettes
Please Ariel or sexy pinocchio 🫣 https://t.co/ArQLMsjBE6,1520906986900103169,tatiyanam_
"Not many people realise Metallica's 'Master of Puppets' is actually a Pinocchio concept album.
*nose starts growing*
Wtf!?",1520904767547056129,PyJamieParty
/ Not me quoting Shrek's Pinocchio xd,1520904619685208064,SeventhStrawhat
"Movie execs: Pauly Shore is Pinocchio!
Me: *smacks crack pipe out of execs hands*",1520904379506860032,bosandaros
Come this Pinocchio what did you interpret this one you’re emotional🌚 https://t.co/iiLwUy6jRY https://t.co/6MwjwNeu8B,1520904119954907136,Mildr_ed
"Dug around THE Disney Closet to get some magical inspo for #AmericanIdol’s DISNEY NIGHT (obvi my fav!) Who do you think I’ll be?! 😈 Comment with the right emoji below ⬇️ 

Sexy Pinocchio: 🤥
Grandpa from Up: 👴🏼
Ariel: 🧜🏻‍♀️ https://t.co/lUTg5nJldK",1520902867619663873,SintaNuraDev
Def in my top 5 Kanye songs https://t.co/HJSSXRfRL9,1520902302755958786,Peachy__Queen__
"hey @google, this needs to be updated. the adventures of pinocchio was first written in 1717 by barbadian pirate stede bonnet. https://t.co/VnNAhTpVC7",1520901765067165696,bIackbonnet_
"I had no idea that Pinocchio was originally dark &amp; twisted, too. 😳 
 But of course it is..it’s by Disney!",1520900718542176256,ShiiGlizzy
I’ll settle for a Trailhawk,1520898488602705920,Pinocchio_Lies
"#Guerra #Pinocchio #Lavrov 

Softball Journalism is a very polite way of saying it.
👇 https://t.co/L7nhJ8EJ7A",1520898026180599809,antoniogolfari
"What's the difference between me and Pinocchio?
I'm glad to be in #Wales
#Whales https://t.co/Du7c83C8xy",1520897991363727361,Pete_r_Knox
"this phrasing makes me imagine a really shitty pinocchio with a tiny yglesias on his shoulder, who can't even sing https://t.co/MgnOomJzLn",1520897623489748995,bversusbolt
"katyperry: Dug around THE Disney Closet to get some magical inspo for #AmericanIdol’s DISNEY NIGHT (obvi my fav!) Who do you think I’ll be?! 😈 Comment with the right emoji below ⬇️ 

Sexy Pinocchio: 🤥
Grandpa from Up: 👴🏼
Ariel: 🧜🏻‍♀️ https://t.co/MTkiH4LLsl",1520895667287347204,werichkart
"Who’s idea was it to make an animated Pinocchio film with Pauly Shore? Here’s the result. Lol! “Skadeeskadeeskadee” ROFL!

https://t.co/Zhl01wSUJT",1520895558390583298,ReturnOfRanger
After the divorce Pinocchio lived with Steppetto.,1520892619764944896,ozzyunc
Pinocchio is now a real boy https://t.co/pKwc4cPO45,1520892478563434496,eechentx
That Accra flavor ice cream from Pinocchio has been on my mind since last night,1520891244817354754,durowaa_ap
Pinocchio: A True Story - First Viewing https://t.co/7EAgCHDF65 via @YouTube,1520890853258149889,RealKyndleNance
yassified pinocchio will never not be funny,1520890116646088704,Sumik_Time
"Hey Pinocchio Scomo, we are not BLIND. You are lying again. https://t.co/64jn9c6hqn",1520887567129980933,Bron90441667
"Almost 7: Pin-no-key-o 
Pinocchio 
Me: Peek-a-peek-a-peek-a-peek-a
5: what's Pinocchio?
Almost 7: It's a country.",1520886739455254528,laureber
"Gepetto: Oh Pinocchio, why did you eat Jiminy Cricket??

Pinocchio: I swear, I don't know what you're tal... *BAAAARF*

0.69 $eth https://t.co/CnklSWAFV5",1520884074071859200,iKOR_OG
he loves Pinocchio acquaints as your back to college endlessly,1520879738579034113,enterpenurlist
Now playing Brutha War - No Pinocchio-BRUTHA WAR v4 on the 4 Life Radio app!!!,1520878841736175616,4LifeRadio1
"The real Pinocchio 

Check out The Israelite's video! #TikTok https://t.co/qOH3TDZD8h",1520875644682260480,ladypamelas
“So here’s a question. What’s the difference between me and Pinocchio?… I’m glad to be in Wales.” https://t.co/t7ExNfK5ex,1520875500381605894,PsychoNo9
"RIDE STATUS UPDATE - 02:14 pm
Pinocchio's Daring Journey is Operational 
#Disneyland #DisneylandRideStatus",1520874201866899458,Mouse_Buddy
"Best first watches of April-

Who’s Afraid of Virginia Woolf
RRR
You Only Live Twice
Bambi/Pinocchio (hadn’t seen in 15+ years)",1520873893837299713,soopergoose187
"In search of his crew, Elon contacts @booba captain of the 9.2i because he has the alien flow on Pinocchio Blata's nose on the mothership,0 Autopsy. https://t.co/zuunxjewL5",1520871262406463489,WeHaveToLearn4
"Yeah, and he also, with a straight face, says the border is secure and under control.  Five Pinocchio's for sure. https://t.co/8dxCIgkfhd",1520871078532243456,LS6Dave
that Pinocchio FATHER when can i  leave to be on my ownnnn https://t.co/PfFYm5rK7n,1520870253596708868,salutationhrry
Umm _that's_ disinformation🤯🤯🤯where's the pinocchio emoji??? https://t.co/iAe0HmWHuJ,1520867663362215936,NWubben
"sexy Pinocchio ? 
the grandpa from “up” ? 
little mermaid ? https://t.co/Gb3p29onyN",1520867173073403905,_thatsarthur
"@dorianalecc, looking at Stede reading Pinocchio: Stevie Webb was straighter than this performing 'Turn It Off'",1520865922562641920,aspen_adams273
What is going on here? I have GOT to watch the gay pinocchio movie https://t.co/nD4RGS3shO,1520864594280992777,vandedjan
"RIDE STATUS UPDATE - 01:30 pm
Pinocchio's Daring Journey is Down 
#Disneyland #DisneylandRideStatus",1520863128090644480,Mouse_Buddy
"Pinocchio's Daring Journey has been temporarily interrupted. On average, an interruption takes 66 minutes. https://t.co/farYWuK0N9 #Disneyland #DLR #California #DisneyParks #MagicIsHere",1520862534189916160,DlStats
"It’s for the best that Pinocchio didn’t make it to that first day of school, his classmates would have taken one look at him and beaten him with hammers.",1520862242450849794,TheShaneBlep
"Lowest waiting times in #DLP:
Indiana Jones and the Temple of Peril - 5 min
Les Voyages de Pinocchio - 5 min
Phantom Manor - 5 min
Pirates of the Caribbean - 5 min
Star Tours: The Adventures Continue - 5 min
https://t.co/4WMKwmS4lW #DLP #DLPLive #DisneylandParis #Paris",1520855640251543558,DlpStats
"This image actually reminds me of my granddaughter, Jeanie-Marie. #worldlaughterday #laughterday #pinocchio #waltdisney https://t.co/uRRMVaqqJc",1520851687375790083,HKeithLyons
"@UKLabour Watched Pinocchio today, and Starmer, devoid of ideas and a thorough lightweight. He's the only politician  regarded as a coward, he won't accept he broke the law, and dozens of people because he doesn't like what they say. Man Up!",1520851541711798273,richardKpowell5
I'm not Pinocchio. Leave.,1520850860288401413,sasoriakasunas
Pinocchio Story is Beautiful,1520846705045946368,xGnossos
"These weapons were used to black ball the coutts Canadians , these weapons were planted ! The lies are bigger then Pinocchio’s nose! https://t.co/kMxtd9iDR5",1520843024271659010,tullipjl
"A tattoo of Sakura, a flower that blooms in a frenzy of pain -Pinocchio-P and Hifumi, Sakura Tattoo",1520835964070858754,wlwchiyu
"Wait below daily avg.:Pirates of the Caribbean(5m), Star Tours : L'Aventure Continue(5m), Star Wars Hyperspace Mountain : Rebel Mission (15m), Voyages de Pinocchio(Les)(20m) #DisneylandParis30[2/2]",1520833213605855232,DCPData
"Highest waiting times in #DLP:
Peter Pan's Flight - 40 min
Big Thunder Mountain - 30 min
Orbitron - 30 min
Buzz Lightyear Laser Blast - 25 min
Les Voyages de Pinocchio - 20 min
https://t.co/4WMKwmS4lW #DLP #DLPLive #DisneylandParis #Paris",1520833009972391939,DlpStats
"They tellin lies like Pinocchio, they don’t even know me though",1520826496079876105,Heeeyitslilly
"Attente sous moy.journ.:Pirates of the Caribbean(5m), Star Wars Hyperspace Mountain : Rebel Mission (15m), Voyages de Pinocchio(Les)(20m) #DisneylandParis30[2/2]",1520825684645580803,DCPData
"https://t.co/gCo5P7Hz3v feel like a torso
I know it’s time to go
I see pinocchio wearing a poncho
that's me sometime ago",1520825499492270082,sotyjung
Jack Benny - 40-03-31  The Jack Benny Program - Pinocchio,1520823789134790656,glowingdiallive
can’t believe @kurtisconner ‘s pinocchio diss track was my top track this month https://t.co/anFs7o88Cw,1520823087666671617,aaannnvvviii
"oh no, i think i found something EVEN CRINGIER than the pauly shore pinocchio https://t.co/X7wna2vrAN",1520821468044615686,boih_z
"So nuke power is better, tell me another lie Pinocchio
https://t.co/G0gmHrvdP7",1520820577958866949,JosephClark76
Douma english dub voice sounds basic af 😔 ive seen people saying he sounds like pinocchio already sksksks but fr i was expecting more of it tbh he doesnt have that sexc cunning voice that Miyano Mamoru has...,1520819349421891584,morbidazai
"This be the same guy who told so many whoppers about the border issues, I'm surprised his nose doesn't outdo Pinocchio's right now:

https://t.co/4TcqQoMyMd https://t.co/3AnHAHRw8c",1520816994492157952,AxParas
"Two aerial goals against what is effectively a basketball team is good going. Pinocchio rice can do one, fair play Eddie youre proving me wrong weekly right now!",1520816956944707584,Jack10Gooner
Someone slap this pinocchio looking basmati bozo. Where’s Kolasinac when you need him,1520815181865050114,Pearl_FreeAfc
His nose should be long enough to mop the floor by now! Pinocchio eat your heart out! https://t.co/qNmfAPZXlr,1520814446830141441,PatriciaDooley
Every week @kristenbalderas and I like to do movie night :) this week is documentary night. Double feature “Pinocchio: A True Story” and “Morbius”,1520812642532839424,stubbythegreat
Pinocchio was a freak show,1520811137075400705,1hannamooney
"ㅤ
ㅤ
ㅤ// someone saw the Pinocchio jokes about doumas voice and took it too seriously
ㅤ
ㅤ",1520808186936242176,RAlNBOWGOD
"bambi
beauty and the beast
sleeping beauty
pinocchio https://t.co/fXTwCQdcaa",1520807898737168384,booksnbasilisks
"BatB
Bambi
Sleeping Beauty
Pinocchio https://t.co/6qjU5Rn0Zj",1520807625675448320,millaisia
"My friend is making me watch this movie, I thought it was some weird Pinocchio thing at first https://t.co/epdn3d3D5V",1520806012189655042,christiankids11
"Just received money from someone, that made me happy wallahi. May Allah make the givers, more wealthier and healthier.",1520804087557726209,Manye_03
Greg Gutfeld: The Left is embracing censorship https://t.co/GDLxu9cdLK #FoxNews Breaking news: the Disinformation Board director will be Pinocchio himself!,1520803979403296768,Alonsouru
Lauren Boebert leads effort to defund Biden Administration's 'disinformation' board https://t.co/rx5ZCjgwqW #FoxNews Breaking news: the Disinformation Board will lead will be Pinocchio himself!,1520800080420171776,Alonsouru
I’ve literally gained a few pounds and yesterday someone told me that I looked ready to pop 😩🥴😡🤯🫠 ok go off Pinocchio,1520796813229367296,thatgemdymon
Pinocchio was a movie about a pedophile That took little boys to an island. Research https://t.co/hADgKah2qa,1520792642514309122,queenalmamarie
Can’t wait to see #AmberTurd fake crocodile 🐊 tears this week it’s time to take the gloves off &amp; expose this witch 🧙‍♀️ for the lying 🤥 Pinocchio she is #AmberHeardIsAnAbuser #JohnnyDeppAmberHeardTrial https://t.co/21BIKCIsyt,1520792374238089216,Nitastph8n
"SAM HAVADTOY , ""Pinocchio”. 45x52x32 cm,
Mixed media, lace, acrylic and gold leaf on found object,
2017. https://t.co/zNQQiXwQGL https://t.co/gv9LdGhqzG",1520791851082596352,ArtleverA
"We’re 4 months away from Disney+’s #Pinocchio… teaser trailer should be soon, also the specific September release date announcement which easily could first be in the teaser https://t.co/dmY4ul4Ck7",1520791636099354626,CinemaTimeNews
@ChannelAwesome I loved your Pinocchio: A true story review. And I loved your Dumpster studio skit.,1520791366737043463,Michael71021519
"The pinocchio effect ,@MasterClass (chris voss), a tactic to trace a lie.
This is when someone uses more words than  necessary to give an answer. The more effort put to convince they're telling truth, the more likely they're lying.  What's your thought on this? 🤔
KES 500 DP Ruto",1520788504623685633,Abraham_Ngugi01
Kurt Hummel Walked So Pinocchio Could Run,1520788018034282497,lunamaytweet
"Wait below daily avg.:Voyages de Pinocchio(Les)(20m), Slinky Dog Zig Zag Spin(10m), Toy Soldiers Parachute Drop(20m), Twilight Zone Tower of Terror (The)(15m) #DisneylandParis30[2/2]",1520787924878561283,DCPData
pinocchio i relate. i too am a real boy,1520787711476523008,141cals
@marcomendicino have you realized that you are biggest Pinocchio in Canada? What are you going to do when Russia will come with nuclear weapons? #TrudeauMustGo #emergency #cdnpoli,1520782108213473280,Reli600247541
yassified pinocchio grew up https://t.co/qrcUracLIb,1520781732890673152,sapphicdayab
"beauty and the beast 
sleeping beauty 
pinocchio / bambi https://t.co/7y5sTppFk0",1520776064838127617,hanneninas
Alexander From Disney's Pinocchio .. Cuz This poor Baby Deserved better ! #disneypinocchio #Disney #alexander #pinocchio #pinocchio1940 https://t.co/lTcvMc2Q5z,1520775317538971648,mlpgirl1998
"&gt;She's Pinocchio
&gt;but instead of her nose getting longer when she lies
&gt;her ahoge gets longer https://t.co/lSFHIiWWJg",1520774886226264066,Kuwaiden
Rewatching Pinocchio for the first time since I was like 4 years old and this caught me so off guard https://t.co/wE7Nai6Fmk,1520773776253796352,papacrabb
"Wait below daily avg.:Blanche Neige et les Sept Nains(15m), Disneyland Railroad Main Street Station(10m), Indiana Jones et le Temple du Peril(15m), Mad Hatter's Tea Cups(15m), Phantom Manor(5m), Starport : Meet a Star Wars Character(10m), Voyages de Pinocchio(Les)(25m)[1/2]",1520772833386934274,DCPData
"Gonna take me months to recover from yassified Pinocchio, now even so-so dubs sound fucking amazing in comparison",1520772382948044801,RBKapoor1
someone said he talks like gay pinocchio once and now it's all i hear https://t.co/8rmyyMS3Ab,1520772016483315716,enbygraham
"🇮🇹 So much good stuff at the #Eurovision 2022 opening and interval acts! #ESC2022 @LauraPausini @alecattelan #mika @DiodatoMusic @thisismaneskin @ilvolo @Dardust #gigliolacinquetti #LeonardoDaVinci #Pinocchio #Leo
https://t.co/rgj6LpEB8q https://t.co/v393PnuYq9",1520769759742201858,Blogilkar
This @FoxNews_RX The Pinocchio Network 👇👇👇 https://t.co/2qoGunecAy https://t.co/vw4ExyrTQq,1520766844382064643,bdcomplyguy
"Attente sous moy.journ.:Disneyland Railroad Main Street Station(10m), Mad Hatter's Tea Cups(30m), Phantom Manor(10m), Starport : Meet a Star Wars Character(10m), Voyages de Pinocchio(Les)(15m), Cars Quatre Roues Rallye(10m) #DisneylandParis30",1520765277956603904,DCPData
"Pinocchio gambles with lives, happiness, and even apples, significant understanding often say that to me, and it's right!",1520764985936392193,AverageUsr_
Excuse me Congresswoman Pinocchio hasn't the debt gone down since Biden became president? https://t.co/p0MVwWRT5g,1520761052199325696,williampelton
"PLEASE CLICK &amp; VIEW FOR 5 SECONDS

This is a photo of my FACTORY SEALED Pinocchio children's LP record

This is the DONALD J. LOSER story (nose growing from all of the LIES).

  #Pinocchio #Popculture #LP #Record #Vintage https://t.co/fAkmtpP3vL",1520760903494520832,TVTOYMEMORIES
netflix better sleep with their eyes open if i don't get to watch my guillermo del toro's stop motion pinocchio film. https://t.co/ChmqDN7xCf,1520759158341251072,bonaeartes
"Les Voyages de Pinocchio has been temporarily interrupted. On average, an interruption takes 48 minutes. https://t.co/h6aTsNaR6w #DisneylandPark #DisneylandParis #DLP",1520749896915169280,DlpStats
Pinocchio rode to Disneyworld to debate with Jasmine and to go on Space Mountain and to consume fish and chips,1520748228752203777,MeganVarchetto
"Wordle 316 5/6

⬛⬛⬛⬛⬛
⬛🟨⬛⬛⬛
⬛🟩⬛🟨⬛
🟩🟩🟩⬛⬛
🟩🟩🟩🟩🟩 💪🏿",1520745304970215429,Pinocchio_Lies
"Vintage Pinocchio And Donkey Child's Butter Knife, Youth Cutlery Flat Wear, Disney Movie Memorabilia https://t.co/xCBhmLP1IP via @Etsy",1520743729224691712,atticesoterica
A ministry of truth. From the Pinocchio squad! I think nicht! sprechen Sie Deutsch? 😳,1520743043728609282,Stevesworldview
"Hey tweeps, serious question. 
If you reverse engineered Pinocchio, starting from scratch, what would be their most useful skill sets in 2030 USA?
I’m thinking global warming, animal reservoir, authoritarian rule type scenario. 
So far I have electrical engineer and botanist.",1520742578538299393,GreenleyMaskVax
Pinocchio surfaces for real https://t.co/xy1ZEN7Agx,1520735777700777984,WeDo80443261
"Last night I (re)watched Disney’s Pinocchio (1940), and I found it extremely problematic and disturbing",1520735740841410561,JCKing950
"Attente sous moy.journ.:Phantom Manor(10m), Starport : Meet a Star Wars Character(15m), Voyages de Pinocchio(Les)(15m), Slinky Dog Zig Zag Spin(10m) #DisneylandParis30",1520735086932631552,DCPData
sorry but why does joshua sound like that twinky pinocchio everytime  https://t.co/2HLHymevZ5,1520733117325406209,reicording
"My recommendations for the Head of the Ministry of Truth Disinformation Board:

1. Pinocchio.
2. Helen Keller. 
3. Will Smith.

I’m sure there are more qualified candidates than Nina Jankovic.",1520731335542853635,Bummertab
that pinocchio https://t.co/FfTbMrad5m,1520728896194625543,cscjun
"Mfs be like ‘my life a movie!’ Yeah, but the movie is Pinocchio (2002 live action version) - written, directed, and starring Roverto Benigni. https://t.co/fHky1P30aU",1520723303635238912,rogers_asa
i thought this was gonna be from the pinocchio movie https://t.co/OCfU88XfW8,1520722520642658304,onittoes
"Les Voyages de Pinocchio has been temporarily interrupted. On average, an interruption takes 47 minutes. https://t.co/h6aTsNboW4 #DisneylandPark #DisneylandParis #DLP",1520722214378946560,DlpStats
joshua is literally yassified pinocchio https://t.co/bsbjTEG5Qo,1520719131791998976,tapiocabalI
I never got why they kept Ariel as a mermaid and Pinocchio as a puppet I’d this is supposed to be after their happily ever after permanent transformations 🥴 https://t.co/EnNdLGcYHJ,1520715832145362944,LoudAcid
dilf-ified pinocchio https://t.co/ZChwHrftlP,1520711998786670593,taecyieons
Come on Ollie. Answers need to be gleaned from Pinocchio and his charlatan cabinet before you have the temerity to demand answers from others. https://t.co/nVReyVw08P,1520707118973825026,AlexWebster47
@chirpdee hows pinocchio doing,1520706948164997121,essexists
just watched a movie called 964 Pinocchio. what the fuck did i just watched?!?!?,1520700329712574465,nintles
This was like the era where I was shipping Lee Jong Suk and Park Shin Hye together and after Pinocchio aired😩❤️ now looks who’s married !🥹💞 https://t.co/ewy0iJCKDS,1520698933047037953,namienoodle
jeongeui's baby pic reminds me of her drama pinocchio 🥹 https://t.co/Hpccqcb4VT,1520698405302898689,ddubigyu
"Wait below daily avg.:Main Street Vehicles(0m), Voyages de Pinocchio(Les)(15m) #DisneylandParis30",1520697317510287360,DCPData
"""I hope Pinocchio was a doll forever. I wish Sleeping Beauty would sleep forever. And I wish that Peter Pan was an old man. Sorry, that’s too good to be true.""
-U-Kiss: Alexander",1520695989472235520,LC_Sulli
"The Humpty Dance (
https://t.co/QF1p75aPvq
OV trailer | 22 juli in de bioscoop
https://t.co/TqSzcGTLXu
Pinocchio OST 
https://t.co/kzuo5rmNj7
O Medo (The Fear, 1995) Legendado FiLMPJE
https://t.co/UDSGw1zhmO
The Mask Soundtrack - Xscape - Who's That Man
https://t.co/juc803qmJc https://t.co/dt7XWjlLk1",1520695132139495426,StuartVermoluh
