full_text,tweet_id,screen_name
My guy is THRIVING in Pittsburgh https://t.co/ZERoHNvpTP,1520914595258507269,JesseMcDaid
"Game 23: Padres Pirates Postgame show has been posted to Spotify and Apple Podcasts for my podcast listeners!🎤

Apple Podcasts: 
https://t.co/egnwPWCHwO

Spotify: 
https://t.co/aL5xnWZvqc https://t.co/4pKcrTgafV",1520914415704428544,thehogwatch
https://t.co/2MruXAq3Rl Pittsburgh Pirates Reflective Baseball Leash - S #PittsburghPirates #PIT #Pittsburgh #Pirates https://t.co/tp77M7Jy5u,1520910391320133632,SFM_PIT
Sports World 165 Pittsburgh Pirates Mask 2-Tone Stone Olive Peach 7 1/4 PREORDER https://t.co/s3V0V1qLWC eBay https://t.co/oCQNxecJHq,1520906803097178114,HatsMens
"Check out Pittsburgh Pirates Topps Baseball 15 Card Lot! Rookies, Parallels and Inserts #baseballcards #baseball #HobbyFamily #thehobby #tradingcards #topps #collectors #collector #whodoyoucollect #MLB https://t.co/kJwCNWd3HY #eBay via @eBay",1520906318613291008,Jayski711
Left field is a no fly zone in Pittsburgh! https://t.co/JFrg4IMAIo,1520906273562243074,KobeWV
"PITTSBURGH PIRATES STONE PEACH BRIM now available from SPORTSWORLD165

#newdrop #sportsworld165 #mlb #pittsburghpirates #pirates #letsgobucs #pittsburgh #pennsylvania #stone #peach #brim #hatcrawler #fitted #capaholic

https://t.co/FIlxShNThL",1520900991679295490,hatcrawler
"If pirates lose 100 games, Pittsburgh should plan a parade",1520891252543299584,StardustRedding
Joe Musgrove struck out eight over seven solid innings and the San Diego Padres beat the Pittsburgh Pirates 5-2 Sunday. https://t.co/RjN7eVHCAh,1520890829610618882,TribDemSports
ColeTucker should have been cut after Spring Training. Pittsburgh deserves better than these bums. @cale_berger #Pirates https://t.co/3UC5jvAY2K,1520888443072614402,ScarQuip
"That's a wrap from Pittsburgh! The #Padres take 2 of 3 from the #Pirates and win the series!

Go Pads! 😎⚾️
#FriarFaithful https://t.co/JNjcKE3fyW",1520887192398278659,tigerfankevin
"Chris Stratton - Pittsburgh Pirates 0.2 IPs, 2 ERs, 3 hits, 1 K",1520885797746008066,mlbstrike
"I have a feeling that Cruz and Contreras will be in Pittsburgh sooner than we realize as fans
#LetsGoBucs #USA #MLB #WorkHard #PlayHard #EarnIt #DontCheat #LetsGo https://t.co/VJY808KDfz",1520883904248528896,MattyIcePGH
"if you play LF for the Pittsburgh Pirates, automatic gold glove winner",1520883867703406592,conshaft13
.@Pirates aren’t the worst “professional” team using the Pittsburgh name. #DropTheHammer https://t.co/UAC6FC4bJf,1520883473527058435,ztwhite23
Pittsburgh Pirates are holding a clinic today on how NOT to play baseball.,1520883221570928646,LetsGoWVPower
"Random: These are teams I think I could be a fan of if I lived in their market:

Seattle Mariners #SeaUsRise
Chicago Cubs #ItsDifferentHere 
Minnesota Twins #MNTwins 
Boston Red Sox #DirtyWater
Detroit Tigers #DetroitRoots 
Colorado #Rockies 
Pittsburgh Pirates #LetsGoBucs",1520882954393821184,MayorHogg
"Today's Pittsburgh Pirates History includes a major trade with the Chicago Cubs and updated/extended bios of seven former Pirates players born on this date, including Jose Lind  https://t.co/uoaLe6xe0I",1520880479406333952,JohnDreker
"We lost a 2021 series to the Pittsburgh Pirates.

We will be fine.",1520880066581909507,thedailybraves
"Today's Pittsburgh Pirates Card of the Day article looks at the 1958 Topps card of infielder Gene Baker, who the Pirates acquired in a trade 65 years ago today https://t.co/rWeGzpvcTK https://t.co/KWF0CvfIPm",1520879920334917636,JohnDreker
Pirates shouldn’t care about Mason’s service time. They left him unprotected for the rule 5 draft. Get him to Pittsburgh and let’s see what he can do.,1520868472749969408,Mike_InIllinois
Over the years it has been extremely entertaining watching the Pittsburgh Pirates run the bases. Today was no exception.,1520863869903769600,fudwvu
#Pirates #Pittsburgh THE defense continues ... https://t.co/3cfEOzo1NV,1520862936423710720,TonyMenendez21
"Pittsburgh Pirates Prospects: Two Strong Starts, Big Night for AA Middle Infield - Rum Bunter: A pair of strong starting pitching performances, a big night from the Double-A middle infield and more in Saturday's Pittsburgh Pirates… https://t.co/2GwmSvmBiv #bigdata #cdo #cto",1520860255277572097,SuriyaSubraman
"One thing I love about the Padres/Pirates game is the respect between both broadcast booth  and the fun that goes on between them.

I'm watching Pittsburgh feed on TV and They we're doing a side by side split screen with @Mudcat55 and @DonOrsillo ( not sure they knew it)😂",1520858071190413313,FatdogChubbs
