full_text,tweet_id,screen_name
"Sunflower - post malone , swae Lee https://t.co/pl56G4UqKk",1520915339378315265,dxvilhxnako
I’ve said “oh did you know Post Malone plays Magic” to friends or family a couple times. https://t.co/6KKqW4Zxy1,1520914493932462087,mookdubsmtg
Post Malone &amp; XXXTENTACION – Beautiful Girl (Lyrics) 🎵 https://t.co/tDcFlZkQy8 via @YouTube,1520913458853822465,JGuioblanco
Post Malone about to bless us 🙏🏼,1520913297410772995,_Gr3at_
"Album de Kendrick en nada, album de Post Malone en nada y tmbn album de Bad Bunny GOOD TIMES",1520911675200884738,SoirBIeu
I wish I could go back to the first time I listened to circles by post Malone. I saw the light ✨💖,1520911652849430531,jupresss
if post malone dies at 27 ima be so upset bro… iykyk,1520911568589971456,victoriaouss_
Hey Siri okay feel by post Malone 🔥😍,1520908024029794304,dankysweeet
Sickick - Epic Post Malone Mashup (Live) https://t.co/XjbL2vH3Ln via @YouTube♥️🎶,1520907551944159232,Carolin36544662
Am I in the wrong for being attracted to post malone?,1520907391256125441,daddyissues_s
"first: demi lovato TNLT 2014
last: maroon 5 2022
best: maroon 5 2022
worst: tati quebra barraco juca 19 kkkk
loudest: doja cat lollapalooza 
Seen the most: maroon 5 
Next: post malone RiR
Wish: bea miller https://t.co/x4RkKia8qE",1520907254018543616,discogabx
There’s a medium on TikTok who says she has a premonition that something will happen to Post Malone on his birthday 🥺,1520905505732014080,adayzh
Post Malone will be the next celebrity to be inducted to the 27 club… #Prediction,1520903055239045120,h0useffigs
The fact that I'm the same age as Post Malone just doesn't sit right with me.,1520901547483443202,trvsh_cryptiid
post malone used to hit different,1520900967960563712,wjoaom
Post malone has no bad songs,1520900916664283138,Haruna_yusuf11
#OnTheAir #NowPlaying Post Malone - Go Flex (Clean) Powered By Logik Media Group,1520900244619378693,LogikRadio
Why are jack harlow and post malone fans trying to police  italian drill loool,1520899495139188742,blingcoco1
"Love him or hate him but if I could I would be like post malone, drop three albums in four years, make idiot money, and just ride off into the sunset to do whatever the fuck for how long he wants",1520899407503368194,ZacksonMaine
#NowPlaying Post Malone - Wow https://t.co/UNYWft5VJi,1520898310428635138,POWER1079
the migos only good music is with post malone,1520896351613030401,PureBoyDan
#NowPlaying POST MALONE - WOW,1520895513096339458,ReelBangerz
Post Malone - Sunflower (Lyrics) ft. Swae Lee (Spider-Man: Into the Spid... https://t.co/FTDT1uD8hx via @YouTube,1520894257829236737,robertinhapoa
i think we as a society should be thanking post malone for existing.,1520893276253048838,mohh7xz
"Listening to Wow. by Post Malone on @PandoraMusic
https://t.co/Is5TlBbZpp https://t.co/Lhhm2Dk2hP",1520892603801251841,SteveMarkos2
when Post Malone drops his album i’m becoming a new person,1520892145397338112,mohh7xz
Now Playing Post Malone &amp; The Weeknd - One Right Now -escuchala en https://t.co/Om4r4u1aQu,1520891867335954432,RIflorida
me he vuelto adicto a Post Malone,1520891085588946947,ericcgutierrezz
