full_text,tweet_id,screen_name
2018 Topps Chrome Rafael Devers #sportscards https://t.co/gX7CtPCiGV,1520915724142878722,cardwatch123
"Recapping Chaim Bloom's last few months:

Deliberately made the lineup worse. Sox are now batting .229

Offended the heart and soul of the team with an insulting contract offer. Signed his replacement, who has sucked.

Took one step closer to trading Rafael Devers.

Well done.",1520909070458359810,MattMcCarthy985
2018 Topps Chrome Refractor Raf #sportscardsforsale https://t.co/DCRNEaC3jC,1520908473726390274,cardradar1
2018 Topps Chrome Refractor 25  #sportscardsforsale https://t.co/mGCovFPYmt,1520902297252995073,cardradar1
2 card REFRACTOR Rookie Lot both PS #thehobby https://t.co/Kf852L108k,1520900773030338562,CardCrawler
2 card REFRACTOR Rookie Lot bot #sportscardsforsale https://t.co/Xqpv1ULwHz,1520898496089493504,cardradar1
"Recap:

- Corbin Burnes o8 K’s✅
- Joe Musgrove o6.5 K’s✅
- Logan Gilbert o6 K’s❌
- Aaron Judge o1.5 total bases✅
- Rafael Devers o1.5 total bases✅

4-1 on the day!

#GamblingTwitter https://t.co/BMj3XCvc2J",1520892615398469639,DFS_JDM
"MLB RECAP 4-2 (+1.7u)

Aaron Judge o1.5 bases +105 ✅
Rafael Devers o1.5 bases -125 ✅
Ronald Acuna o1.5 bases -115 ❌
Austin Riley o1.5 bases -110 ❌
Buxton +105 ✅
C J Cron -125 ✅

#GamblingTwitter https://t.co/sNOGc70USr",1520892346329673730,DAE_BETS
"#DirtyWater #RedSox J.D. Martinez hits a grand slam (2) to right center off #Birdland #Orioles Travis Lakins Sr.. Trevor Story scores. Rafael Devers scores. Xander Bogaerts scores.

BOS 5 @ BAL 9; TOP 9",1520891575282372608,mlb_home_runs
"DINGER ALERT: 
J.D. Martinez hits a grand slam (2) to right center field.   Trevor Story scores.    Rafael Devers scores.    Xander Bogaerts scores.
Arc Length: 515.8 feet | Exit Velo: 106.1 MPH | Distance: 364.0 feet
Grade: 2.74/10 | No Doubt Rating: 💤",1520891549399359489,dinger_rates
"Rafael Devers, Xander Bogaerts, and JD Martinez are the only Red Sox hitters with a wRC+ above 100.

All other Red Sox lineup contributors have combined for a .189 average.",1520885565331320833,JBStatsInfo
RAFAEL DEVERS 2020 TOPPS FINEST GOL #thehobby https://t.co/kqzT8St0or,1520882630153154562,HR_cards
"Some SGC 10 slabs for sale! Prices are shipped @sports_sell @CardboardEchoes @HiveRetweets 

Jo Adell Rainbow Foil — $60
Rafael Devers Asia Black — $240 (PSA 10 just did $295)
Cameron Cannon Sparkle Auto /71 — $110
Yoelqui Cespedes Orange Auto /25 — $225 https://t.co/9xklHB680T",1520869389108666369,Stretch_Breaks
2018 Topps Chrome Rafael Devers #whodoyoucollect https://t.co/XNIHnqhDtX,1520862887853572096,sportscardcoder
@XanderBogaerts @Rafael_Devers @JDMartinez28 im outside the dugout can I get an autograph,1520859663864320000,Conzoar
2018 Topps Chrome Refractor Rafael  #thehobby https://t.co/oleM55NlIT,1520856324782895104,CardboardFeed
"Rougned Odor is literally half the baseball player that Trevor Story, Rafael Devers, Xander Bogaerts, and JD Martinez each are. And yet, nobody in the Sox lineup can give a spark like that these days. #RedSox #DirtyWater",1520844176027533312,craig_teed
