full_text,tweet_id,screen_name
Check out 2020 National Treasures Randy Arozarena Gold Bird Logo Patch Auto 4/10 AL ROY https://t.co/rJZWFfOcMu #eBay via @eBay,1520901725678628866,ConnorM118
"Slab 2.
Shipping info in pinned tweet.
- PSA 10 Randy Arozarena RC sepia: $30
#UMBstack #thehobby @Hobby_Connect @HobbyConnector @CardboardEchoes @sports_sell @TheHobby247 @HobbyRTs https://t.co/rVKM3mzdiA",1520896693943906305,UltraModernBall
2020 Topps Chrome Randy Arozare #autographed https://t.co/Pl6MLWpjoX,1520886706056138752,AutographDeals1
Check out 2021 Panini National Treasures #67 Randy Arozarena Jersey Patch 7/25 Sick Patch https://t.co/gKQBN5MOjj #eBay via @eBay,1520882838488428549,ConnorM118
"Rough 1st inning leads Twins over #Rays in Sunday's series finale. Postgame w/ Kevin Cash, Josh Fleming &amp; Randy Arozarena:

https://t.co/kGJEENl2Cf",1520869417608880128,RaysRadio
"The game was a dinger-fest, and the Minnesota Twins came out on top 9-3! The Tampa Bay Rays struck out a lot, but had some bright moments with Harold Ramirez and Brandon Lowe both scoring runs. Randy Arozarena got two hits for the Rays as well.",1520858922437038082,thebaseballwtf
New Randy Arozarena Max EV just dropped,1520855807310581760,nickwillisjr
"Looking for #Autos and or #RC’s, Minor League cards of the following #MLB Players:

Barry Bonds, Griffey Jr., Trout, Ohtani, Jo Adell, Taylor Ward, Jared Walsh, Randy Arozarena, David Fletcher, Nick Gonzales, Kirby Puckett, Andre Dawson, Bo Jackson, Mauer, Morneau, Kepler.",1520847228826529794,nmhdogg33
#Rays trail #Twins 6-0 T5. Randy Arozarena doubled. Has gone 24 straight games (and this one) without homer.,1520833423765647360,joeyjohnston813
"Brandon Lowe, Randy Arozarena, and Josh Lowe have combined for a whopping 0.1 WAR this season. These are the guys we expect to be big boppers at the dish, but what a disappointment it’s been to start the year. #raysup",1520830445595803648,iamthehayking
I remember when Randy Arozarena was good.... #MLB #Rays,1520823916385783812,BrennanDaly1252
"Randy Arozarena lines out sharply to Byron Buxton to end the 1st
#Twins 5 #Rays 0 T2 https://t.co/rJMsSHwVZ7",1520819335366942721,Sports_24x7_
"Although Bobby Dalbec performed better in August 2021, it’s also important to recognize that some of his stats are bit overrated in that month. For example, a routine fly out that Randy Arozarena misplayed was ruled a 3-RBI triple… #redsox #dirtywater https://t.co/KKggBONxOx",1520810804538449920,HonestRedSoxFan
"#️⃣1️⃣🥇 on #TheFilthiest for 2022-4-30: Jhoan Duran's Curveball to Randy Arozarena 🤮

MPH 🚀: 88.8
RPM 💫: 2661
FiFaX 🤯: 0.836

@Twins #MNTwins | @RaysBaseball #RaysUp https://t.co/oUnS1yzJiF",1520807864591290369,Sunyveil_Sports
"#Rays Lineup 05/01/22

1. Brandon Lowe 2B
2. Manuel Margot DH
3. Randy Arozarena LF
4. Josh Lowe RF
5. Harold Ramirez 1B
6. Taylor Walls SS
7. Isaac Paredes 3B
8. Brett Phillips CF
9. Rene Pinto C

Starting Pitcher : Josh Fleming",1520801872902180865,DailyMLBLineup
"#Rays Lineup 05/01/22

1. Brandon Lowe 2B
2. Wander Franco SS
3. Randy Arozarena LF
4. Josh Lowe RF
5. Harold Ramirez 1B
6. Taylor Walls 3B
7. Manuel Margot DH
8. Brett Phillips CF
9. Rene Pinto C

Starting Pitcher : Josh Fleming",1520788212469276673,DailyMLBLineup
Lot 5 2020 Topps RANDY AROZARENA Ro #thehobby https://t.co/tOJaZo2ojB,1520786419429609472,HR_cards
"5/1 Tampa Bay Rays Lineup:

1 2B Brandon Lowe
2 SS Wander Franco
3 LF Randy Arozarena
4 RF Josh Lowe
5 1B Harold Ramirez
6 3B Taylor Walls
7 DH Manuel Margot
8 CF Brett Phillips
9 C Rene Pinto

 SP:Josh Fleming #RaysUp  #MLB",1520783679131459584,GSMLBPicks
"Tampa Bay Rays lineup:
1. Brandon Lowe (L) 2B
2. Wander Franco (S) SS
3. Randy Arozarena (R) LF
4. Josh Lowe (L) RF
5. Harold Ramirez (R) 1B
6. Taylor Walls (S) 3B
7. Manuel Margot (R) DH
8. Brett Phillips (L) CF
9. Rene Pinto (R) C
https://t.co/Y3W1k9vpkY",1520781837043445760,AwesemoMLB
"0 Homer Club:

Austin Meadows
Harrison Bader
Ke'Bryan Hayes
Myles Straw
Julio Rodriguez
Dylan Carlson
Bobby Witt Jr.
Trevor Story
Marcus Semien
Amed Rosario
Yuli Gurriel
Miguel Cabrera
Jesse Winker
Whit Merrifield
Joey Votto
Randy Arozarena",1520752847293452289,SethDaSportsMan
