full_text,tweet_id,screen_name
In The Meantime by Spacehog on Resident Alien (US Release) (Rhino/Elektra) #NowPlaying,1520902662207655937,WLOYisPlaying
"Resident Alien Season 2, the play. OMG so messed up.",1520885821267746817,damienmulley
I love Vanilla ❤️🕊❤️ https://t.co/GqXJe8mPUM,1520874355026190339,Resident_Alien_
Little Queen https://t.co/vPvYqv5m8Y via @YouTube dedicated to both of them.👽❤️🕊❤️,1520872521880457216,Resident_Alien_
Cheap Trick - I Want You to Want Me (from Budokan!) [Official Video] https://t.co/eVtgCGiEpP via @YouTube @pokimanelol @xQc 👽🕊❤️🛸🙏,1520868542542925825,Resident_Alien_
War is NO good. Even the animals know it🐱 https://t.co/jxhOOUTcBY,1520864516250251274,Resident_Alien_
Well said my friend. Thank you for sharing. @elonmusk https://t.co/YJ6KEVkQDn,1520863864715452416,Resident_Alien_
@PaulStanleyLive INDEED!!!!!👽 https://t.co/GiiXa4dzyz,1520863457234534400,Resident_Alien_
⁦@Ford⁩ Sharing a memory. Thank you ❤️👽🕊🛸🙏❤️🇺🇸 https://t.co/mmQqGsbFgo,1520846787459887109,Resident_Alien_
@Chinamission2un @ChinaConsulate Wishing you and yours a wonderful day. Please give a Panda many hugs. ❤️👽🛸🐼❤️ https://t.co/y2Abn6WkVA,1520830580157472769,Resident_Alien_
@EsfandTV @REALMizkif @MrAustinShow @emiru Have a blessed trip. Safe travels. I love you.❤️👽🛸🕊❤️,1520829263045345280,Resident_Alien_
Resident alien https://t.co/1SWm07pVUH,1520823927777513473,ErickMutiso2
Evanescence - My Immortal (Official Music Video) https://t.co/Y0dhiPtN16 via @YouTube,1520790082013343745,Resident_Alien_
Looks rejuvenating. God bless you my friend. 👽🕊🎸❤️ https://t.co/LhDsxc0Yxg,1520788747738046466,Resident_Alien_
Just started watching resident alien and it's so fucking good 👽,1520776444674285571,CAWnithologist
"AS AN IMMIGRANT MYSELF WHO WENT THROUGH THE LEGAL PROCESS TO FIRST GET A GREEN CARD AS A PERMANANT RESIDENT ALIEN, THEN TO STUDY AND PAY MY FEES TO BECOME AN AMERICAN CITIZEN - THIS IS THE MOST OFFENSIVE THING THAT THE BIDEN CAMP IS DOING.
TREASONOUS 
https://t.co/AkgUNJ0GGB",1520761926795505664,Gage5Gage
"Just started to watch Resident Alien, and it was amazing",1520759095959162880,AndreiBondoc05
Happy Birthday!!!❤️❤️ https://t.co/7uyyjzGsxz,1520704285989916672,Resident_Alien_
Excitable https://t.co/OlfgRdsTlb via @YouTube let’s be together… Exciter🕊👽🎸🛸❤️,1520691891876020224,Resident_Alien_
Matchbox Twenty - Unwell (Official Video) https://t.co/4usCkhYlE4 via @YouTube because I love you.❤️ 👽🕊,1520689840777535489,Resident_Alien_
Scorpions - Loving You Sunday Morning https://t.co/1O6nx833JP via @YouTube You know it!!!,1520687422044049409,Resident_Alien_
Heart - These Dreams (Official Music Video) https://t.co/wh4FjzUWJM via @YouTube I Miss You.😌,1520683673007398912,Resident_Alien_
Casting shadows🐉 https://t.co/E4d9EJBrgC,1520680435013066752,Resident_Alien_
Shadows on the Wall👾🛸👽🕊 https://t.co/NtTAQGpX1T,1520678889428762625,Resident_Alien_
"@StevieVanZandt are you into RESIDENT ALIEN?? Streaming on peacock, this show is. AWESOME",1520633224971628544,LouiseOlsen15
"Hey @elonmusk , can you make it to where im not seeing the same tweets from hours ago pop up at the top of my timeline? Shits old news by now. Please help Mr. Resident Alien 🙏🙏",1520604945007132673,footballisking7
Resident Alien Adventures … in Babysitting https://t.co/l37ihRvnsi,1520601111215845376,NickiToma
"Watching Resident Alien on SyFy. The Ad Council is running a bunch of BLM bullshit commercials. Unbelievable, how many scams do BLM thieves have to pull before these idiots wise up? BLM leaders only help themselves.",1520601036620238855,Giuseppe_Queens
Watching Resident alien s2 👌🏽,1520595839898558464,mohdessa__
@drkiki Resident Alien is good on Scifi,1520590220063916035,ureallykicking
"Welp, Braves ain’t looking good so I’m off to watch an episode of Resident Alien. My new favorite comedy. Alan Tudyk is a freaking national treasure.",1520572748837244928,PizzaMonster80
I've just watched episode S02 | E01 of Resident Alien! #residentalien  https://t.co/PU2S1Gdjd8 #tvtime https://t.co/JmNaujBQ1Q,1520566695814959110,ErwanBurlot
Resident Alien: S2 E8 Review: Alien Dinner Party #ninjarabbit https://t.co/fCCgWUUGJR via @YouTube,1520551051476316166,Dan_NinjaRabbit
URIAH HEEP 'THAT'S THE WAY THAT IT IS' VIDEO https://t.co/y9tWyWu7qw via @YouTube,1520522211639050240,Resident_Alien_
The frankness with which the women on Resident Alien talk about sex &amp; men talk about their feelings is really amazing to see. Some shows (Our Flag Means Death is another) make me feel like we’ve really turned a corner in media.,1520519454530031616,Ducckubus
