full_text,tweet_id,screen_name
"Job burnout has become so commonplace in Corp, you’ve probably become blind to it.  https://t.co/KQd702ErjZ https://t.co/ST9Ks3hI64",1520908447742578690,BenFanning1
Robert Downey Jr in Tropic Thunder is one of the only characters that has made me deep belly laugh and to tears! He killed that,1520900619334299657,HeCreatesThings
"i have to confess...
till this day i thought Jonny Depp and Robert Downey Jr were one person...
idk how honestly...",1520895192781500422,ellavanight
Y’all think Robert Downey Jr won an Oscar for Tropic Thunder? 💀💀💀 https://t.co/KoXen5vUqD,1520895156257447936,unclejee44
Robert Downey Jr https://t.co/cpipZD7DJE,1520884796200828928,WhiteGoob
Robert Downey Jr voice: I am having a migraine,1520881396671123456,dogs_in_tuxedos
Why does American ant remind me of Robert Downey jr in Tropic thunder?! 😂 #SASWhoDaresWins,1520864725634007041,pavarottishighc
Verse 9901 : Robert Downey Jr. is my crush .,1520859731476160513,the_sad_church
"Oppenheimer directed by Christopher Nolan starring Cillian Murphy, Emily Blunt, (a bicurious/questioning) Florence Pugh, Robert Downey Jr., Matt Damon, &amp; Rami Malek.😵‍💫😵‍💫😵‍💫😵‍💫 This is gonna be a very queer experience for me!",1520858969966796802,suelvr
"Avengers: Age of Ultron, written and directed by Joss Whedon and starring Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans, Scarlett Johansson, Jeremy Renner, Don Cheadle, Elizabeth Olsen, James Spader and Samuel L. Jackson, was released on this day in 2015 (USA) 🎬 https://t.co/cZ5SRAaqu4",1520856045903515648,SciFi31
AVENGERS INFINITY WAR !!! 📺🎬 🤗✌ Avec CHRIS PRATT @prattprattpratt ROBERT DOWNEY JR @RobertDowneyJr  CHRIS EVANS @ChrisEvans et CHRIS HEMSWORTH @chrishemsworth !!! 😍✌😉 #déjàvumaisonsenlassepasderevoir #cinédimanche #tf1 https://t.co/3frWtdQFtl,1520851565166407681,inmyworldwill
"14 years ago today, #ironman was released in theaters. This movie not only brought forth the #mcu, but also changed Robert Downey Jr’s life for the better. 👍🏻👍🏻 #marvel #respectthegreats #avengers https://t.co/1YdByZWq0K",1520849773179322370,Ora4Ever117
I feel like we’ll see Robert Downey jr In multiverse of madness 😳,1520838403478151169,ORLYNSSG
"📷 sersi: THE MARVEL CINEMATIC UNIVERSE + SIGNATURE COLORS: RED - Robert Downey Jr. as Tony Stark/Iron Man. Costume design by Rebecca Gregg and Laura Jean Shannon (Iron Man), Mary Zophres (Iron Man 2), Alexandra Byrne (The Avengers,... https://t.co/EUR28xIOic",1520838368405467136,NaylaKodiak
imagine if Robert Downey Jr. was always naked,1520837448250523648,nicomairata
robert downey jr at the 49th Annual GRAMMY Awards  - so cute. https://t.co/7zcOIYi6mj,1520823997553942528,TeamDowney1965
