full_text,tweet_id,screen_name
"‘A serious critic, Dyer is rarely solemn, even when speaking of death, depletion, dissolution, disappointment. Indeed, his wit, a distinctive and delicious blend of salty, sweet and snarky, is on frequent display in his wonderful book.’ https://t.co/ieQ2mf1b2u",1520911475065430016,bristolideas
Roger Federer Visits Malawi: 'Access To Quality Early Education Is Crucial' - ATP Tour https://t.co/zhFlmyVJep,1520884787354820609,RogerFederer365
"What can you say about Ronnie O’Sullivan that hasn’t been said a million times before? 

He’s just a true sporting genius, and he’s absolutely ruthless as well. The Roger Federer of snooker, in my opinion. #WorldSnookerChampionship",1520876112343089153,Philip_RJ89
"Lionel Messi, Ronnie O'Sullivan and Roger Federer.

Three absolute geniuses who I'll be gutted about when they retire.",1520874674816700426,TimBolton01
"The Last Days of Roger Federer, by Geoff Dyer book review https://t.co/SVswQF5URq",1520860081235050496,Mangakiko12
"Ronaldinho
Ronnie O’Sullivan
Roger Federer
Skip darts because it’s darts
Muhammad Ali
Senna https://t.co/p9LkPbXOQG",1520848627651985408,simbo_s9
"Casper Ruud: ""I prefer Rafael Nadal's forehand to Roger Federer's volley"" - Tennis World USA https://t.co/agtlhQADOn",1520847408808480768,RogFederershow
"Monday's @ExaminerSport  column today: @MunsterGAA venues &amp; Cork, the great Geoff Dyer on the great Roger Federer, Aussie sports officials blow their own trumpets, and @thepressboxpod suggestion is real: the Sportswriter Combine 
https://t.co/FdVdBTOzUa",1520842623740792832,MikeMoynihanEx
"“I'm a very positive thinker, and I think that is what helps me the most in difficult moments."" - Roger Federer #quote",1520842526541946883,positiv_vib
"Roger Federer Visits Malawi: 'Access To Quality Early Education Is Crucial' 🇲🇼

🔗 https://t.co/VX0EFMN6JU https://t.co/Cp2k8kgRgZ",1520841159576223744,hanaycp
"Casper Ruud: ""I prefer Rafael Nadal's forehand to Roger Federer's volley"" - Tennis World USA https://t.co/022UN4SHSB",1520839359510941697,RogerFederer365
"Yuzuru's retirement is not dependent on any other athlete. Yuzuru has the potential to beat all newcomers .   Roger Federer , Cristiano Ronaldo continues . It can continue in Yuzuru. Fans cannot interfere with the sports career of athletes.‼️ https://t.co/FPPtTSJjL4",1520838467462348800,glbahar_90
