full_text,tweet_id,screen_name
".@MichaelRyne had the most Skater of the Day wins with a massive 26!

4 - David Pastrnak, Kyle Connor, Roman Josi
3 - Artemi Panarin
2 - Joe Pavelski, Jack Hughes
1 - Thomas Chabot, Andrei Svechnikov, MacKenzie Weegar, Tomas Hertl, Dylan Larkin, Drake Baherson, Joel Eriksson Ek https://t.co/DqBiPBcZG3",1520901461110145024,FantasyNerdFix
"Six players were tied for the most Skater of the Wins with four each!

Jonathan Huberdeau for @zOMGItsClaire 
David Pastrnak for @MichaelRyne 
Patrick Kane for @_PJax_ 
Kyle Connor for @MichaelRyne 
Roman Josi for @MichaelRyne 
Mitchell Marner for @_FatJesus_",1520899919061655553,FantasyNerdFix
"Hart: Johnny Gaudreau 
Vezina: Igor Shesterkin
Norris: Roman Josi
Calder: Trevor Zegras https://t.co/lLLJW64mrH",1520893688066588675,LilSoftJock
I’m gonna tell my kids this is filip forsberg and roman josi https://t.co/uSzFKjygiM,1520880493671161858,probablydying
"Roman Josi scored 96 points this year. Ray Bourque’s single season high was 96. Legendary season by Josi, tied for 17th most points by a defenseman in a single season. Easily the Norris winner.",1520876403675303943,PatSilvia98
"Hart: Connor McDavid 
Vezina: Igor Shesterkin
Norris: Roman Josi
Calder: Moritz Seider https://t.co/dP1EDQe2rH",1520866412096409600,beauxnilla
I hate Nashville but Roman Josi having 96 points as a defenseman is pretty damn epic.,1520820862319878144,RyanGibbs56
"Who should win the Norris Trophy?

You voted. 

🥇 Cale Makar
🥈 Roman Josi
🥉 Victor Hedman https://t.co/0Pqag2K4cY",1520805856039903233,JFreshHockey
Playoff Preview: Nashville’s defenders #GoAvsGo https://t.co/klfs95h9W3,1520780102606413824,MileHighHockey
Here's Why Roman Josi Deserves to Win the Norris Trophy - Again https://t.co/SvSJ5KKpVX,1520780084650680320,ESPN949
"If I had a vote for the NHL Awards (sadly I don’t) here’s what they would be:

Hart Trophy- Auston Matthews 

Norris Trophy- Roman Josi 

Vezina Trophy- Igor Shesterkin

Calder Trophy- Moritz Seider

Selke Trophy- Patrice Bergeron

Jack Adams Award- Todd McLellan",1520764445072498692,mathewgalvao
"NHL: Duhatschek notebook: Why the Roman Josi, Cale Makar Norris Trophy outcome won’t feel right ... https://t.co/vfLmbQalaH @eduhatschek @TheAthleticNHL",1520662449950986241,KingsharkSports
"My ballots for 2022 NHL Awards:

Hart Trophy
🥇 Auston Matthews
🥈 Connor McDavid
🥉 Johnny Gaudreau

Norris Trophy
🥇 Cale Makar
🥈 Roman Josi
🥉 Victor Hedman

Vézina Trophy
🥇 Igor Shesterkin
🥈 Juuse Saros
🥉 Fredrick Andersen",1520643553226985472,elgageo
my fav genre of hockey fans is when they get into the preds and the first video they see is that one video of roman josi obliterating children on ice,1520573848634421248,KUNSCL0UD
Roman Josi broke so many records this season. He sits at 19 for most points in an NHL season for a defenseman. #Preds #JosiForNorris,1520569938452262913,NikkiYeehaw18
"This is an obvious choice, stats prove it! #Josi4Norris #Preds 

https://t.co/caxFWeOLBX",1520565079196016648,gadgetguy615
watching shitty movies for actors i find hot prepared me for putting myself thru this first round for roman josi,1520562991359475715,showponyboyx
"This whole ""Roman Josi shouldn't win the Norris"" debate is turning me into ""grumpy old eye-test hockey man."" God help us all.",1520557280130969602,_nsmorgan
The disrespect to Roman Josi is shocking. https://t.co/pIesBUvOCy,1520549892862595072,Raymond_Hatt
"If I had a vote, these would be my picks for the #NHL awards:

Hart: Igor Shesterkin 
Vezina: Igor Shesterkin 
Selke: Patrice Bergeron 
Norris: Roman Josi
Calder: Moritz Seider 
Adams: Todd McLellan",1520545451589742594,RealCobyM
preds friends!!! where’s that video of roman josi bullying kids on the ice????,1520529688845762561,thefruitycowboy
“Roman Josi for Norris.” “Cale Makar for Norris.” No. Jonas Brodin for Norris.,1520515502346575875,nicointhewild
How is Roman Josi not a finalist in your eyes? https://t.co/DmDAjfGsms,1520514860903276545,Mandoman12
this is genuinely disrespectful to roman josi and everyone knows it lmao https://t.co/kcxVidON4q,1520514250241888258,abbyymmiles
"Roman Josi is a wonderful player, a first-ballot Hall of Famer. He is not, however, the only defenseman in the game.

Here is my ballot:

1. Charlie McAvoy 
2. Charlie McAvoy 
3. Charlie McAvoy https://t.co/ICUi2TbqNn",1520509827788820486,McguirePetrov
"#Nashville #Predators:  Roman Josi For Norris ... 
 
https://t.co/xwrleeWSNI
 
#Hockey #IceHockey #NashvillePredators #NationalHockeyLeague #Nhl #NHLWesternConference #NHLWesternConferenceCentralDivision #Tennessee https://t.co/wJauHOEk54",1520500251915915267,raw_chili
"all of them: ALCOHOL JUST LEMME DRINK OUT OF IT 
roman josi: i love cereal i just wanna eat cereal 🥰 https://t.co/t1lKwFZQa5",1520499958637490176,ahockeygirl
"my NHL awards nominees:

HART: 1. Auston Matthews; 2. Igor Shesterkin; 3. Connor McDavid
VEZINA: 1. Igor Shesterin; 2. Jakob Markstrom; 3. Juuse Saros
NORRIS: 1. Cale Makar; 2. Roman Josi; 3. Charlie McAvoy
CALDER: 1. Moritz Seider; 2. Trevor Zegras; 3. Michael Bunting",1520495375530008577,ownedcorey
Roman Josi: Helps out on opening goal https://t.co/VcIYoONSmx,1520483262229094401,RotoWireNHL
"sash of the twitter NHL awards committee ballot;

Hart Trophy 🏆:
🥇 Auston Matthews
🥈 Igor Shesterkin
🥉 Roman Josi",1520479799831105538,sas11h
"Hart Trophy: Igor Shesterkin
Norris Trophy: Roman Josi
Vezina Trophy: Igor Shesterkin
Calder Trophy: Moritz Seider
Selke Trophy: Patrice Bergeron
Jack Adams  Award: Andrew Brunette https://t.co/rKjYiltLKf",1520476984828121088,JHawr11
Really weird how you spelled Roman Josi's name wrong three times https://t.co/ELx6uxGGR5,1520474426852188162,justyouknowhyyy
I was looking into just how crazy Roman Josi's 2021-22 season was from a production standpoint. Here is a messy excel sheet of Josi and every defenceman season with more points. What Josi did is nearly unmatched. https://t.co/0Gua3tsYgm,1520469682964336641,AngryPredsFan
"He didn't get to 100 but Roman Josi still tied for the 17th highest scoring season by a defenceman in NHL history, his 96 pts was the most in a single season since Phil Housley (WPG) in 1992-93. Incredible season. #Preds",1520457079638704129,NHL_Watcher
