full_text,tweet_id,screen_name
"ON THIS DAY IN 2017:

Cristiano Ronaldo scored a WORLD CLASS HATRICK against Atletico Madrid in the Champions League semi-finals. 

The greatest big game player ever. 🐐

 https://t.co/fhL4KKAAh5",1520915897484992512,TimelineCR7
"Ronaldo 
Greenwood https://t.co/lQbPkkEDpo",1520915847396708355,10HagSZN
I sense Ronaldo and Messi return to La Liga.,1520915693742575619,aunnabbas_
"I strongly feel Ronaldo won’t be with us (Man United) next season, and I won’t judge him for making that decision. He deserves to play Champions League football. There’re already rumours he might return to Madrid. Who’d want to see CR7 play in Europa or Conference League anyway!",1520914566636785665,WahlaSid
The Juventus team that Ronaldo scored 2 goals against in the final had only conceded 2 goals before that in their whole champions league run. This was the same team that knocked out prime MSN. https://t.co/cT4PGHvuAq,1520914283017740288,UnitedAl7
"Saw Ronaldo in town today.
 I said, ""Can you sign my shirt?""
 He said, ""You got a pen?""
 I said, ""Shit, no. Hang on"".
With that I threw myself on the floor, rolled over theatrically and began to cry.
 He said, ""How's that going to get a pen?""
 I said, ""Well that's how you do it""",1520914161928224769,steve_scooby
Somebody says Ronaldo is a Football prostitute. Jumping from club to club to stay relevant 🤣,1520913947242737670,_hyoscyamus
"I thought Ronaldo was finished but he’s convinced me that he’s superhuman, the way he drags United out the mud every game is Sanchez-esque https://t.co/EjNqlMcHAR",1520913388490137602,emilesnifftoes
"Ben Foster on Ronaldo:

""The level is high as you like. For a 37-year-old, he is an absolute specimen. He is still rapid. He is just one of those who is a natural goalscorer. For me, in that eternal Messi v Ronaldo debate, he is still number one.""",1520913323688087552,Abdulwahid_Raul
"May be Cristiano Ronaldo playing His last game at Old Trafford today 🥺

One last time as a Manchester United player

VIVA RONALDO ❣️
#CristianoRonaldo 
#vivaronaldo 
#MUNBRE 
#ManchesterUnited https://t.co/F4Uu4zokzk",1520913298073407493,tahur_7
We are happy to be back! Posted @withregram • @jitzking_promotions @ Ronaldo Candido Academy - Atos Brazilian Jiu-Jitsu https://t.co/f88JLkIDeR,1520913293245788161,ghostryderbjj
"Funny how he keeps dodging falling giants yet I'm supposed to believe that Ronaldo ""challenges"" himself https://t.co/DfmgnfokXw",1520913000894509056,LFCAidan_
"It's over for Manchester United

#football #premierleague #mufc #cr #ronaldo #soccer #manutd #realmadrid #cristianoronaldo #liverpool #messi #championsleague #ggmu #juventus #manchester #chelsea #manunited #fifa #barcelona #pogba #arsenal #cristiano #oldtrafford #reddevils",1520912822649389057,statsfutball
Share on Twitter https://t.co/1xBvqYi598 just more fictitious reporting. Would nice if just for fucking once you reported the truth,1520912653660696576,robertsamu88
"Mid Grade

'What really makes this story perfect is the friendship between Rudi and Ronaldo as well as just the kindness of these characters are just so wonderfully developed.'

https://t.co/xjYeJWDwiX
#t4us #kids https://t.co/2kabcVaT3s",1520912534429061120,flyingronaldo
"Jorge #Mendes 🚨🚨

 #Ronaldo will announce a big surprise at the end of the season 🔥 https://t.co/PLxEY9Ecqq",1520912383564210176,MEGASport_EA
Ronaldo noodle hair with half volley against Savic jump kick https://t.co/hVNJwIlVIg,1520911887332147200,FarrelWaldo
Everyday I ask myself why Ronaldo had to leave Real Madrid. We could've enjoyed many more years of his iconic presence 💔 https://t.co/XvU86GMmbz,1520911853119016962,ClinicalHaaland
Manchester United bought Ronaldo and Sancho and they are still struggling to make Top 6. https://t.co/bYyH9NRQYE,1520911719350087688,mmuyiiwaa
"Last Summer 

 🗣️ Cristiano Ronaldo: ""My story at Real Madrid has been written. ""It’s been recorded. In words and numbers, in trophies and titles...""  I know that the true Real Madrid fans will continue to have me in their hearts, and I will have them in mine."" 

MEDIA AGAIN🤧 https://t.co/JDWaojstWG",1520911264641425416,azumah_razak
Imagine the hype if you was Ronaldo. https://t.co/4mso9oyP7d,1520910994918289409,Ib_yuguda00
If Ronaldo comes back to Real Madrid I will delete twitter for 15 days.,1520910720438657024,dedhimanga07
When you finishing celebrating Ronaldo's goals and realize what you're left with https://t.co/G7C07OyEew,1520910686154641409,Preshy_Jones
"If Cristiano Ronaldo was in this current Liverpool system, and the current Liverpool team, how many league (non penalty) goals would he score?",1520910161279619072,UnbiasedFutball
At least I’ll get to watch Ronaldo play today,1520910131503898624,jubrilayimaje
Ronaldo hat-trick incoming btw,1520910093222559749,UTDFats
"Agree with Ralf here. Hope the board is on the same page as well. 

Any good team needs 6 senior forwards for the front 3 positions. Next season, we will have Ronaldo/Sancho/Rashford. We need 2/3 more forwards. 

#MUFC https://t.co/6aj4WRyiKD",1520909796354179072,FPLfrasier
"Ronaldo for me, 🚀ronnnie, rog fed, mark webby, boxing is shite so throw a mma in Jon Jones and lewy ham https://t.co/Q93wgq1d9A",1520909595883020288,Zak3ellis
"Updated TOTS:

Alisson

TAA 
Silva, Matip or Dias
VVD
Cancelo or Robbo 

Rodri or Fabinho
Bernardo or Thiago
KDB

Salah
Mané, Ronaldo or Jota 
Son

After much thinking I’ve decided to leave Rice out. The ones I’ve not decided are so close.",1520909569735729154,MartinKnowsBall
"Cristiano Ronaldo and Eden Hazard now have the same number of La Liga titles 👀💀
#LaLiga",1520909280374833154,PancholiRutvik
Cristiano Ronaldo and Barcelona now have the same number of #UCL titles 🙄 https://t.co/wJaIMoRxAL,1520909255829827588,BayoNFT
