full_text,tweet_id,screen_name
"Rose Lavelle is the 18th player to miss a penalty and score in the same game in the #NWSL. The list: De Vanna, Debinha, Fishlock, Foord, Groom, Kerr, Lloyd, Long (2), Marta, Matheson, Morgan (2), Nadim, Nagasato, Schoepfer, Sinclair, Wambatch (2), Lynn Williams (2). https://t.co/NS4r0kJnf9",1520908242343317506,xGisfornerds
"FULL TIME and OL Reign drop their regular season opener against defending champs, Washington Spirit with a 1-2 loss. 

Rose Lavelle had OL Reign's goal. #WASvRGN",1520900552766287872,rovalks
2021 Topps Allen Ginter Chrome Rose #thehobby https://t.co/xbGc6FjqWy,1520898683985969152,cardboardpromos
"Aubrey (Bledsoe) Kingsbury is still a brick wall, stops the Rose Lavelle PK. #OneSpirit https://t.co/k7LdcYHIp5",1520896198806319105,TheBradParker
ALLY WATT TO ROSE LAVELLE INJECT IT https://t.co/Y9Vah6QmrR,1520891958096445445,captpress
Rose Lavelle decided her arm bandage was inhibiting her from scoring goals.,1520891569150304256,NNomster
I KNOW YOU ALL KNOW THIS BECAUSE TALKING ABOUT HER IS MY *ENTIRE* PERSONALITY BUT I WOULD DIE FOR ROSE LAVELLE. #BoldTogether,1520891267093254148,Jordan_Milam
Rose Lavelle scores against DC 😭. That one hurts,1520890656083828736,olisamir
This is a Rose Lavelle appreciation tweet.,1520890651570700288,Bkworm16
"Ally Watt has been able to do whatever she wants on that right wing today.

I don't believe I've ever seen Rose Lavelle so angry, which I'm guessing is related to the penalty. #NWSL",1520890588094156801,rjcurren
"Rose lavelle, you were not supposed to score",1520890543735287809,shelbybylsma
ROSE LAVELLE TIES IT UP OFF OF THE REBOUND. ITS BEEN ALL @OLReign SINCE HALFTIME,1520890502496800770,cherylcomment1
"REIGN GOAL! It’s ROSE LAVELLE! 

@OLReign 1 - 1 @WashSpirit in the 53rd

#OLReign #BoldTogether   #WASvRGN #OneSpirit   #WashingtonSpirit #NWSL   #CueTheChaos #TAO #RoseLavelle",1520890479448973312,CirclingSports
53' OL REIGN GOAL! ROSE LAVELLE EQUALIZES! #WASvRGN,1520890306685669377,rovalks
2021 Topps Allen Ginter Chrome Rose #thehobby https://t.co/NryGdvSDg3,1520887950426390533,CardCrawler
2021 Topps Allen Ginter Chrome  #sportscards https://t.co/CmlWcrEeuw,1520886796955099139,nothingbutcard
Love watching Spirit bangers until I realize they’re playing against the Reign aka Rose Lavelle who never wanted to leave the Spirit 😭 #NWSL,1520878247889694720,footy_takes
"Rose Ravelle, notoriously bad penalty taker. Never made one (0/1 all time). I’d have Rose Lavelle take them in the future. https://t.co/VgJoc6lsgr",1520877664982032389,DiCiccoMethod
"Laura Harvey in a parka 
🤝
Rose Lavelle rolling up her sleeves and shorts 16 mins in 

Desperately trying to get comfy",1520877617573998592,Allie874
Rose Lavelle tries one from distance and wasn’t too far off,1520877405916774401,cherylcomment1
Rose Lavelle: I AM OWED A GOAL AND I WILL GET IT,1520877343648141312,aliciaherself
