full_text,tweet_id,screen_name
"Headlines: Clay Aiken campaigns for Congress with Ruben Studdard, David Archuleta returns to American Idol? Wendy Moten chats with Bobby Bones.

https://t.co/Tyki7ENVjm https://t.co/BoOBW8RLMq",1520905736729284609,mjsbigblog
"All these choir type songs na bread and butter for progress. 

Same way he rinsed that Ruben Studdard’s song.",1520833701965406210,Juzt_Courage
Ruben Studdard - Sorry 2004,1520828571224317954,social_groove
What happen to Ruben Studdard,1520799143043772418,traa214
Alvin Garrett f. Ruben Studdard - By Myself (Radio Edit),1520784997497585665,party_basement
"Now Playing Ruben Studdard - We Have Not Forgotten 24/7 Gospel Music, Preaching &amp; Teaching",1520776845595185153,GMNFlagship
"#NowPlaying On Triumphant Radio : RUBEN STUDDARD I NEED AN ANGEL by THE BEST OF GOSPEL listen at https://t.co/nCk8FU22Ap download App 
 Buy song https://t.co/ChaZlGQaL8 https://t.co/APH2Lfwo6E",1520759009871122436,TriumphantRadio
"🚨 P l A y i n G: Don't Give Up by Ruben Studdard 🎈 https://t.co/rLDVxwlFIu |Music for your mind, body &amp; soul https://t.co/55RkrJuAXF",1520693287518101505,SoulFoodGRadio
01-05-2022 08:21:31 https://t.co/CSk40D02Wl #BlastIndieRadio 🔊 Ruben Studdard - I Need An Angel,1520664846416629760,BlastIndieRadio
01-05-2022 08:21:01 https://t.co/CSk40D02Wl #BlastIndieRadio 🔊 Ruben Studdard - I Need An Angel,1520664718796546050,BlastIndieRadio
01-05-2022 08:20:31 https://t.co/CSk40D02Wl #BlastIndieRadio 🔊 Ruben Studdard - I Need An Angel,1520664595295256576,BlastIndieRadio
01-05-2022 08:20:01 https://t.co/CSk40D02Wl #BlastIndieRadio 🔊 Ruben Studdard - I Need An Angel,1520664467654258689,BlastIndieRadio
01-05-2022 08:19:31 https://t.co/CSk40D02Wl #BlastIndieRadio 🔊 Ruben Studdard - I Need An Angel,1520664344186527749,BlastIndieRadio
01-05-2022 08:19:01 https://t.co/CSk40D02Wl #BlastIndieRadio 🔊 Ruben Studdard - I Need An Angel,1520664216541306880,BlastIndieRadio
"Ain’t that nigga Ruben studdard at chatt state teaching or some shit now? 

Whatever happened to that ?",1520614360468443137,LBl00mer
01-05-2022 03:51:01 https://t.co/CSk40D02Wl #BlastIndieRadio 🔊 Ruben Studdard - I Need An Angel,1520596769691873283,BlastIndieRadio
01-05-2022 03:50:32 https://t.co/CSk40D02Wl #BlastIndieRadio 🔊 Ruben Studdard - I Need An Angel,1520596646123520002,BlastIndieRadio
