full_text,tweet_id,screen_name
"Many senior badminton players have gone home before reaching the quarterfinals of the Smart BAC 2022 including Nguyen Tien Minh from Vietnam, Saina Nehwal from India, and Hendra Setiawan/Mohammad Ahsan from Indonesia.

Read more about this at: 
https://t.co/Ig1Uf0ANZ5 https://t.co/WIxaF95sRr",1519962014751531008,Badminton_Asia
"Badminton Asia Championships:🇮🇳 PVSindhu, Satwik-Chirag duo progress to QFs ✅

 Saina Nehwal and Srikanth knocked out❌

#BAC2022 | #Badminton https://t.co/8OL2Jf9at6",1519912384990969858,OfficialSfreak
"PV Sindhu advances to quarters of Badminton Asia Championships, Saina Nehwal out  

#BadmintonAsiaChampionship2022 #pvsindhu https://t.co/L4ma1t79Jo",1519731776222277632,SportsTodayofc
"Badminton Asia Championships: Sindhu, Satwik-Chirag duo progress to QFs; Saina, Srikanth knocked out https://t.co/UmC4uxuJOE via @sportstarweb",1519717410860769281,ivyasaa
"However, Saina Nehwal’s dream of claiming her fourth medal in the prestigious tournament ended after she lost to Wang Zhi Yi https://t.co/7ilFKlEy52 #UAE #Dubai #DXB",1519682147833024515,iShujaAhmedCh
"Badminton is not as glamorous as cricket.
Saina Nehwal #GameOnHai #IUB #IBMASRamzanCup #DHABahawalpur",1519632547319267328,SRKYousafzaiPK
"@Pvsindhu1 , Satwiksairaj Rankireddy-Chirag Shetty enter BAC quarterfinals; Saina Nehwal out.

#Badminton #sportzcraazy #quaterfinals #followus #champions #tournament #PVSindhu #match #IndianSports #athlete #Congratulation #india https://t.co/WPqlwd0lDY",1519605773436788739,sportzcraazy
"PV Sindhu advances to QF, Saina Nehwal crashes out;

#Badminton #PVSindhu #SainaNehwal https://t.co/WFO66b4saw",1519603880514166786,InsideSportIND
"Badminton Asian Championships: Sindhu, Satwik-Chirag march into quarters; Saina Nehwal crashes out
https://t.co/ep2BX6oqGK https://t.co/0WbycJJNwO",1519603161711136768,SportsTodayofc
Saina Nehwal lost in the R16 of Asian Badminton Championships. https://t.co/YDqc3WK3YW,1519601530869264389,iam_rrt
"After Lakshya Sen, Saina Nehwal has crashed out of Badminton Asia Championships

https://t.co/OdnedYA6RG",1519588433811116032,ITGDsports
"Badminton Asia Championships: PV Sindhu, Satwiksairaj Rankireddy-Chirag Shetty Enter Quarters; Saina Nehwal Out #BadmintonAsiaChampionships #ChiragShetty #pvsindhu #Quarterfinals #SaniaNehwal #SatwiksairajRankireddy https://t.co/ulA4DMsSBH
https://t.co/7fPiAwvzsf",1519581951660748800,dellyranksindia
"Badminton Asia Championships: PV Sindhu, Satwik-Chirag enters quarterfinals; Saina Nehwal, Kidambi Srikanth win too | Badminton News https://t.co/0BfOEXcIOK",1519579927594651649,NetionalD
"Badminton Asia Championships: PV Sindhu, Satwik-Chirag enters quarterfinals; Saina Nehwal, Kidambi Srikanth win too | Badminton News https://t.co/s3w8mHzwkv",1519578505905725440,Nebharat27
"Day 3 Smart Badminton Asia Championships 2022: Results Update 

Women's Singles R16 
Wang Zhi Yi 🇨🇳 vs Saina Nehwal 🇮🇳: 12-21, 21-7, 21-13

📸: Jerry Lee &amp; Emman Flavier 

#Badminton #BadmintonAsia #BAC2022 https://t.co/MxkNqjWL7Q",1519567352509374464,Badminton_Asia
"Badminton Asia Championship LIVE: 

👉PV Sindhu advances to Quarter final
👉Kidambi Srikanth and Saina Nehwal next in Round 2",1519561453942247424,IPLnCricket
"Saina Nehwal crashes OUT of Badminton Asia Championships; lost to WR 16 Wang Zhi Yi 21-12, 7-21, 13-21 in 2nd round. 
👉 Its been more than a year (7 tournaments) that Saina has won 2 consecutive matches on the BWF tour. 
#BadmintonAsiaChampionships2022 https://t.co/TbHjZ2qDK2",1519560998319181824,India_AllSports
"@BAI_Media Please choose Saina Nehwal in the Uber cup squad.
She deserves her place there. Nation first.",1519410216130940928,ArabvAjjkj
"Against Queen Saina 😎

PS : Saina Nehwal is Toughest Opponent For Japanese Nozomi Okuhara 
#Badminton #SainaNehwal #NozomiOkuhara https://t.co/rcTugVcjp9 https://t.co/TGADqxBHSw",1519379990684463104,AnkitShivam_24
"Badminton Asia Championships: Saina Nehwal, PV Sindhu win opening matches, Lakshya Sen makes first round exit @WorldNews24x7in https://t.co/h22j3mjsoQ",1519372601961115649,WorldNews24x7in
"Badminton Asia Championships: Saina Nehwal wins opening match, Lakshya Sen makes first round exit https://t.co/AhBTkKf47a",1519371875943604234,anand_market
"Badminton Asia Championships: Saina, Sindhu, Srikanth advance; Lakshya suffers shock loss https://t.co/zQ4bHzq7cz via @sportstarweb",1519355693912195072,ivyasaa
"Top Indian shuttlers — PV Sindhu and Saina Nehwal — won their first round women’s singles matches and moved to the second round at the 2022 Badminton Asia Championships but Lakshya Sen
#OmmcomNews  https://t.co/ccWLNdeVwj",1519324923407192066,OmmcomNews
"Asia Championships: Saina Nehwal wins opening match, Lakshya Sen makes first round exit | Badminton News – Times of India https://t.co/CY4PkI7DIx",1519318346495365120,TechPaulsnews
