full_text,tweet_id,screen_name
"Software Updating of @RanaSanaullahPK has been started.
#امپورٹڈ_گورمنٹ_نامنظور #دونوں_طرف_بدبخت https://t.co/08n75f9EzM",1520908509377970182,Khan_Salman_7
"Last Sehri's done too.

When next Ramadan arrives , you might not be here, I might not be here..

So it was worth while it lasted. Allhamdulillah for this month ♥️
#LastDayofRamadan #RamadanKareem #EidUlFitr",1520907661470048262,Khan_Salman_7
Rana Sana Ullah wo he game kr raha hy jo is besharam insaan NE salman taseer k sath ki thi. Khan Sb plz be careful and take care of urself#امپورٹڈ_حکومت_نامنظور,1520903633830875141,AdnanHa46321068
"To Crown Prince Salman of KSA: Imported government in Pakistan is active to victimize Imran Khan on false &amp; made up charge of pumping people in Masjid e Nabvi to raise slogans against Shahbaz Shareef etc. Your RH! this act will demage your impression globally, kindly stop them...",1520898600200417280,mahmoodlhr98
"Imran Khan on his visit to Saudia did a joint conference with Muhammad Bin Salman. Same M Bin Salman met Shahbaz Sharif for 5 minutes but didn’t hold any joint conference.

Nobody takes this imported government seriously!",1520896907610140672,tweetlessss
"Don't play with this fire, you will burn yourself. As a result of Bhutto's assassination PPP still uses this narrative of Shaheed bibi, Example of Salman Taseer is Infront of us. By filing false Blasphemy FIR against Imran Khan the country is being led to anarchy.",1520891827183828992,Ahmed_Naeem62
@jammypants4 bro can i get your Salman Khan Brooklyn bridge video link?,1520885987907637248,Salmanschamp
"Having lived in Saudi for 10 years  -the finest Saudis are from Medina- the city of Jamal Khassogi, brutally murdered by sadistic psychopath Bin Salman. As Biden to Erdogan,  Imran Khan to Shebaz Sharif bow down to Bin Salman’s money - let’s not forget truth telling Khassogi .",1520881884473044999,AsafBhai
"Insane planning to assassinate Imran Khan, by some physco man like in past, they also killed Punjab Governor Salman Taseer on charges of blasphemy. 
#MarchAgainstImportedGovt 

#امپورٹڈ__حکومت__نامنظور https://t.co/SIJtsSyPEw",1520879393039687683,abdulqa23811767
They can’t find masses of corruption and wrongdoing against Imran Khan so in desperation turning to dangerous tactics of religious hate that has killed many including Punjab general Salman Taseer. This must stop @amnesty @UNHumanRights @Europarl_EN @UKParliament https://t.co/wCMLFo3rtF,1520877398568456193,bugblight
You can pay yours to majmautal khairat. Contact 0700530000 SALMAN KHAN for more info. https://t.co/VZd8ctiDpx,1520873848731799554,waffigamal
@cnnbrk The FIR filed by Rana Sanaullah against Imran Khan is the same conspiracy that was hatched with former Governor Salman Taseer. Why PTI does not tell UN that Imran Khan's life is in danger Are u all waiting for Imran Khan to be killed? Connect with world leaders🔥😎 https://t.co/Yjnh26un0H,1520872548665376770,AdnanSethi4
@ImranKhanPTI The FIR filed by Rana Sanaullah against Imran Khan is the same conspiracy that was hatched with former Governor Salman Taseer. Why PTI does not tell UN that Imran Khan's life is in danger Are u all waiting for Imran Khan to be killed? Connect with world leaders🔥😎 https://t.co/WD5uInJ0T0,1520872476259008512,AdnanSethi4
@SkyNewsBreak The FIR filed by Rana Sanaullah against Imran Khan is the same conspiracy that was hatched with former Governor Salman Taseer. Why PTI does not tell UN that Imran Khan's life is in danger Are u all waiting for Imran Khan to be killed? Connect with world leaders🔥😎 https://t.co/nyJF7dljtp,1520872382721892352,SethiShaikhc548
