full_text,tweet_id,screen_name
Sam Reinhart ?? 30+ goal 80+ point 3rd liner? https://t.co/ZKz153D3UA,1520578051440001024,finnnooo
"From the ‘Good Things Come to Those who Wait’ department:

#ALLCAPS-#TimeToHunt RD1 series will feature a couple of players who have waited a long time to experience #StanleyCupPlayoffs 

Panthers Sam Reinhart &amp; Caps Johan Larsson set to make long awaited playoff debuts next week https://t.co/0Y8NedwdqS",1520508946636754946,BenRaby31
"It's a beautiful day in Buffalo, time for today's Sam Reinhart collection photo!

These fantastic cards will be available for auction starting 5/2-5/8 on @ebay thru @CheckOutMyCards. I'll be sending out links to the auctions as they go live!
#TimeToHunt #LetsGoBuffalo https://t.co/Zy08vbYqaa https://t.co/vwtgwb4wQ4",1520463142358290432,tgart84
"Sam Reinhart has never played an NHL playoff game, I’m looking forward to seeing him this post season https://t.co/r9gU8kr4Dt",1520412599673921536,ABaumgartner91
"so...the team I had the least amount of confidence in gets the job done, so proud of them😭
btw...Sam Reinhart went up to an 88 OVR after this season. at 35 y/o no less!
#NHL22 https://t.co/vlm675XpTf",1520260442513416192,Goal_Plays
"sam reinhart, the highest paid panthers, has been invisble tonight.",1520205543335514113,KingCrouton22
"Here's today's Sam Reinhart collection photo! 

These fantastic cards will be available for auction starting 5/2-5/8. I'll be sending out links to the auctions as they go live on @eBay, consigned by @CheckOutMyCards!
#TimeToHunt #LetsGoBuffalo https://t.co/nzd61x2aR3 https://t.co/Zkb3BZAv0u",1520184261596393473,tgart84
"Sam Reinhart atg(+190)has 5 goals in his last 5 games,with Giroux,Hubby&amp;Barkov expected to be resting again,Sam will be skating alongside Bennett&amp;Duclair as well as on pp1,facing a MTL team that ranks dead last in goals against this is an ideal spot for Sam #gamblingtwitter https://t.co/VZWCDGtGMR",1520149324167933952,LtReeseDangle
Sam Reinhart: Not playing Friday https://t.co/GsbXcQz78H,1520149271051386881,RotoWireNHL
Sam Reinhart (FLA - C): Is not expected to be in the lineup for today's game. https://t.co/pmPugIFPb9  #nhl #TimeToHunt,1520143279211302914,Left_Wing_Lock
Sam Bennett and Sam Reinhart are each not playing in tonight’s game for the #FlaPanthers.,1520142344661700611,ColbyDGuy
"The Florida Panthers were 💰 last night for #RotoRadarNHL!

🔸 Sam Bennett - 2 points, 4 shots, 28 #FanDuel points

🔸 Sam Reinhart - 2 points, 2 shots, 23.2 #FanDuel points

🎥: @FLPanthersBot https://t.co/qzG1vfQkL1",1520074271246229504,RotoRadar
Eichel didn't make the playoffs and Sam reinhart won the presidents trophy!!! Have a good Friday everyone!!! #LetsGoBuffalo,1520060087926202369,bumps4umphs
"It’s interesting how Sam Reinhart is looked at by Sabres fans versus Jack Eichel.  

The latter definitely screwed up his legacy in Buffalo. For whatever that’s worth,",1520043090827960328,Mark_inFairport
"Sam Reinhart and Jack Eichel are both reaping their benefits from their departures in Buffalo. Reinhart, who didn’t say much at all, is on a presidents trophy team. Eichel, who was obviously very vocal, missed the playoffs.",1520040184716398592,zkmitch1
"We are not letting this go Jerry. Reino now has 82 points...on the 3rd line. Let me repeat that one more time. SAM REINHART, THE HIGHEST PAID PANTHER, HAS 82 POINTS ON THE 3RD LINE JERRY. https://t.co/EmEL0c4OdI",1519914542536572928,D_MarieDelmonte
i’m so happy for sam reinhart 🥺 https://t.co/Wu90Ggboae,1519889663946809345,danicanalini
"Sam Reinhart hits the 82 point mark of the season

Someone pull up the tweet",1519850766646886400,ABaumgartner91
