full_text,tweet_id,screen_name
yeah no one can convince me that sebastian aho isn’t written by a woman,1520801216716230656,russ3lls
Sebastian Aho needs 8 points to tie Eric Staal as the highest scoring playoff performer in franchise history.,1520778387303796736,RealChrisCote
Just thinking about Sebastian Aho with the cup over his head rn,1520622860401876994,fullcaniac90
@conroyherald curious to see if Sebastian Aho can raise his game this time. Bs were very successful shutting him down in the last 2 playoff series.,1520580381996908545,mhall3333
Sebastian Aho fuckers should be required by law to acknowledge his resemblance to Ben Shapiro every time they try and convince me this man has sex appeal https://t.co/8rkdxPHWFt,1520560581060837376,2004LUVRGRL
"AUDIO: Rod Brind'Amour, Sebastian Aho and Jordan Staal addressed the media following the team's practice at PNC Arena on Saturday.

https://t.co/SeoU5kk4oN",1520462545278193666,CanesPR
more nhlers should be like sebastian aho. no shame if u can't grow a beard! don't force it!!,1520438562977689607,linebrawI
@NHLPlayerSafety How are you not addressing this obvious dangerous hit Garnet Hathaway put on Sebastian Aho?!?!  Especially when Hathaway is a repeat offender and boarding is becoming his MO!   https://t.co/LJDFBHhNUx,1520373281743847424,YeahBadAndy
Wrong Sebastian Aho LOLOL https://t.co/a1YjjkeeLs,1520159533582229504,LWilz
Sebastian Aho: Won't play Friday https://t.co/ZDbhgQ9ljL,1520158578258161665,RotoWireNHL
"So, in essence, #GarnetHathaway gets 2 minutes for a brutal boarding that shoulda been 5 &amp; game &amp; Sebastian Aho gets a game &amp; maybe more for being boarded.

#Caps #Isles https://t.co/ctgYTP1RsI",1520156506959745024,BCISLEMAN
"Per Coach Trotz, Ryan Pulock is back in the lineup tonight vs. Tampa Bay. Sebastian Aho will not skate (upper body) #isles",1520152792006078465,rachel_luscher
Sebastian Aho out (upper body). Ryan Pulock back in (illness). Johnston still out. All per Trotz. #Isles,1520152730681192454,stefen_rosner
Sebastian Aho (NYI - D): Is not expected to be in the lineup for today's game. https://t.co/rS5eEpUQeG  #nhl #Isles,1520152419010809856,Left_Wing_Lock
"Who agrees with me that Sebastian Aho should be signed by the  #Isles as a GVI Free Agent.
They can certainly use his ability moving the puck out of their own zone, and he's broken in.",1520024659818913798,JPinVA
2018-19 Upper Deck - UD Game Jersey Sebastian Aho: $2.80 on COMC from spammyjazzhands. #LetsGoCanes @boy_cards @HobbyConnector #TradingCards Link: https://t.co/N8s8Rc5Ode https://t.co/Bp4sskceFy,1519923817430532097,TheWaxHQ
"Wait, the Isles call *their* Sebastian Aho ""Sea-Bass""? It better not evolve to ""Fishy"" too, is all I'm saying--this is confusing enough! https://t.co/Z0y3Awvxso",1519886938337067008,emanningwrites
