full_text,tweet_id,screen_name
"♫
      Johann Sebastian Bach
Chromatic Fantasia in D minor
　　　      BWV 903

         Glenn Gould: piano

🔊https://t.co/QoAE9wOVz4
. https://t.co/qX1INUzKjr",1520913402029244417,penguincafe_orc
"Johann Sebastian #Bach's fugue #BWV944 is played on the #harpsichord by #ChiaraMassini on @YouTube here:
https://t.co/7YaJjldlSP",1520868510099984384,Dr_RWP
"Johann Sebastian #Bach's Fantasia and Fugue in A Minor #BWV944 is played on the #harpsichord by #ChiaraMassini on @YouTube here:
https://t.co/NcUog3leP5",1520867246746357760,Dr_RWP
"The ""Three Part Inventions"" by Johann Sebastian #Bach are played on the #harpsichord by #ChiaraMassini on @YouTube here:  https://t.co/WRyWS7PXGt",1520863351701712897,Dr_RWP
[guy who’s not even sure what position he’s arguing anymore] look Johann Sebastian Bach would have loved AutoTune,1520862846996783104,beverage_cart
"A more traditional rendition of the same ""Three Part Invention"" #BWV788 by Johann Sebastian #Bach is on @YouTube here:  https://t.co/3qKxznpMSz",1520862594059452418,Dr_RWP
"Johann Sebastian #Bach's ""Three Part Invention"" [#BWV788] - as used to stunning effect by #Tomita in #CarlSagan's #Cosmos TV series - is on @YouTube here: https://t.co/l8cBjyXfAt",1520862520566759426,Dr_RWP
YOU ARE THE DIAMOND !! WHAT TREASURE IN MY Valentine Heart !! SEBASTIAN BACH I LOVE YOU BABY ! https://t.co/uQYGR3NV4r,1520830643596312579,vheart913
"Sebastian Bach 'Oh  https://t.co/9dToF7RDIM דרך @YouTube MY LOVE ""DIVINE "" MY TREASURE ! LOVE YOU BABY!",1520825346077208577,vheart913
whoever disses on my boy Johann Sebastian Bach should meet those fists,1520806833262366720,LCMiguelAngel
"Partita #3 in a BWV 827 by Johann Sebastian Bach / Andras Schiff, piano / London 411732",1520805207386456064,KDFCPlaylist
Sheep May Safely Graze by Johann Sebastian Bach / New Symphony Orchestra of London Leopold Stokowski Norman Luboff Choir / RCA 62599,1520767757389688835,KDFCPlaylist
Triumph &amp; Sebastian Bach at the Q107 Rock Awards 1993 https://t.co/SHbDgPctLD via @YouTube,1520749406856822784,LerouxJean
"Prelude on ""Allein Gott"" by Johann Sebastian Bach / Indianapolis Symphony Orchestra Raymond Leppard / Koss 3303",1520688742918352896,KDFCPlaylist
"@MrsSOsbourne You+Ozzy had no rights 2 any of my fortunes.You+Ozzy hurt my kids+i,sometimes you sent people.I will not 4give you+you must apologise.I must have my money returned.  Lavina. 1985 only legal self estranged ballerina wife@Sebastian Bach@Skid Row.",1520637716769099776,morticialavina1
"Listening to Suite For Solo Cello No. 1 In G Major, Bwv 1007 by Johann Sebastian Bach on @PandoraMusic
https://t.co/cp0KQl78b3 https://t.co/XpP38RkmPu",1520623800857022464,WolfgangFitzgi1
@sebastianbach @VixenBand  Madam X with Sebastian Bach &amp; Roxy Petrucci ... KERRANG! No. 127 Aug 1986 #madamx #sebastianbach #roxypetrucci #vixen #KERRANG 🤘🎸🎶😎 https://t.co/YiQCgdAREN,1520584444100239362,TheRockDude99
"Johann Sebastian Bach ; Toccata &amp; Fugue in Dm, by Sinfonity https://t.co/Fv3qGSlsh4 via @YouTube",1520580100504313856,tracymoore1013
"#NowPlaying on #MZRadioLondon 
Symphony No.9 New World 2nd mt - Bach, Johann Sebastian

https://t.co/fsMOxxA3GE",1520576958828011520,mzradiolondon
"Keyboard Concerto #5 by Johann Sebastian Bach / Moscow Virtuosi Saulius Sondeckis Julia Zilberquit, piano / Warner 540884",1520569550172872705,KDFCPlaylist
@MotleyCrue Cafe Crue crux-de-lux 2 go please! Lavina+Jaega.x 1985 only legal self estranged witchy ballerina wife@Sebastian Bach@Skid Row. https://t.co/ICY1QaBlMd,1520568572728197120,morticialavina1
"There's nothing remarkable about it. All one has to do is hit the right keys at the right time and the instrument plays itself."" – Johann Sebastian Bach",1520536263358623744,KDadxah
"Concerto for Oboe and Violin in c BWV 1060R by Johann Sebastian Bach / Portland Baroque Orchestra Gonzalo Ruiz, oboe; Monica Huggett, violin / Avie 2324",1520535501018517504,KDFCPlaylist
