full_text,tweet_id,screen_name
"El major Chase Rate de la temporada sin discriminar pitcheos:

1- Keving Gausman,
Splitter: 73%

2- Andrew Heany,
Slider: 52%

3- Logan Webb,
Cambio: 51%

4- Clayton Kershaw,
Slider: 50%

5- Shane Bieber,
Slider: 49%

#DatoConSwing",1520878520016252928,OfficialStatsSC
while we’re here can we acknowledge the lack of shane bieber propaganda on the timeline after yesterday.. i just saw the box score and i don’t appreciate the lack of appreciation for my ace,1520865005100572672,nlck22
michael lorenzon is tied with shane bieber for the 7th best era in the al,1520845114557403136,heIiotramos
Shane Bieber: Sharp in Saturday's no-decision https://t.co/364TDMZUHB,1520804606313480192,RotoWireMLB
"Cleveland players that are allstars as of right now:
Starters:
Jose Ramirez
Owen Miller
Reserves:
Steven Kwan
Shane Bieber
Andres Gimenez
Borderline:
Myles Straw
Cal Quantrill
Trevor Stephan",1520803629065814018,CleGuardians12
"Among SA’s Box-Toppers Player of the Game winners
Eric Lauer @Brewers
Dane Dunning @Rangers
Gerrit Cole @Yankees
Jesus Luzardo @Marlins
Kyle Garlick @Twins
Shane Bieber @CleGuardians
George Springer @BlueJays
Michael Chavis @Pirates
Jorge Lopez @Orioles
https://t.co/vjHyAl5x7m",1520796444483063809,BoxToppers
"It is 4 am and Im still trying to figure out why those knucklehead linesmakers (who really arent as “sharp” as you think they are) hung a total of 7 (!) for a Shane Bieber game in huge pitchers park vs a non-scrub

Oh well, add another WIN

70 PERCENT now for year. Deep into May. https://t.co/KUMQ6gn1w2",1520680491329937408,MattZylbert
Shane Bieber is taking the place of deGrom and the no run support guy. Yikes.,1520640682863464448,greeneHouse12
Finally got to see Shane Bieber pitch. @ Oakland–Alameda County Coliseum https://t.co/AIG4oDvGnZ,1520617183637876736,EthanRKassel
"FanDuel WINNER! 🏆

April 30th #MLB #DFS top 45%

💎 Shane Bieber | 43.0
💣 Luis Robert | 25.7
🐐 Jake Cronenworth | 15.4

To win with us 👉 https://t.co/uTEq6hnKFx

#InvestDFS | #TimeToInvest 📈 https://t.co/W2bq8u17zH",1520586383190069249,InvestDFS
Shane Bieber 7.0/7/1/1/1/7/105 (ND) #Guardians #ForTheLand,1520584388018200577,7InningsPlus
Definitely feel like Randy Quaid in Major League 2 after seeing Shane Bieber finally have a great start for the @CleGuardians. He’s baaack!!! https://t.co/odc0G2aqy4,1520570479383400452,adjames24
"Shane Bieber #13/75 - $1.50

@MDRANSOM1 @ConnectingHobby @Hobby_Connect @TheHobby247 @sports_sell https://t.co/gfhjx6UNgx",1520540171359432705,CardsbyFalcon
"Shane Bieber: First Cleveland pitcher to allow 7+ hits but also strike out 7+ in a game in Oakland since Chuck Finley, Aug 16 2000 (ND 6-7).
https://t.co/rumlhdcHpg",1520539857545797632,dakern74
"⚾️ Final Score ⚾️
Cleveland Guardians 3 - 1 Oakland Athletics

Shane Bieber 23.0 DK, 43.0 FD
Sheldon Neuse 16.0 DK, 21.7 FD
Cole Irvin 14.7 DK, 31.0 FD

https://t.co/mDb2j1Uy3X",1520536467843469312,LineStarMLB
"Shane Bieber - Cleveland Guardians 7.0 IPs, 1 ER, 7 hits, 7 Ks, 1 BB",1520536232987701249,mlbstrike
"Elvis Andrus vs Shane Bieber
#RiseAndGrind

Flyout 💢

Exit velo: 102.4 mph
Launch angle: 32 deg
Proj. distance: 386 ft

This would have been a home run at Wrigley Field and nowhere else

CLE (1) @ OAK (1)
🔻 7th https://t.co/PbIg71JGn7",1520528726814904320,would_it_dong
Count me as not worried about Shane Bieber’s velocity he’s looked sharp in every outing this year!,1520526814866722816,OSUSportsFan93
Shane Bieber looks elite again. good stuff,1520526108319485952,mitchmo39
"Shane Bieber - Guardians (7 today, 7.0 IP, 105 pitches)",1520525928262258690,mlbstrike
Shane Bieber may only be touching 92 on the fastball but he can sure spin a good looking curve,1520525428816891904,m_wheelie
"#Guardians 1 @ #Athletics 1 [B7-2o]:

Cristian Pache (swinging; 1)

RHP Shane Bieber (7)
Seq (5): sl FC× FF× fc SL×
s3: 83.8mph Slider",1520525229470191618,whifftracker
"Elvis Andrus off RHP Shane Bieber - 102.4 mph, 32 degrees (386 ft Flyout, .670 xBA)
90.7 mph 4-Seam Fastball
#Guardians @ #Athletics (B7)",1520524967850528768,MLBBarrelAlert
"Barrel: Elvis Andrus (3) [OAK] off Shane Bieber [CLE]: 102.4 mph, 32 degrees (Flyout - 386 ft)",1520524908794724355,MLBExitVelocity
Another day another start for Shane Bieber getting no run support,1520524583991975936,zroe0
". @MLBTheShow 's Dynamic difficulty doesn't do a good enough job of accounting for specific matchups.

Like no shit my team's hitting is going to be far worse after 12 straight played facing Shane Bieber hitting 97 on the gun with break.",1520522172992831489,AnthonySkatz
"Shane Bieber lo hizo en 62⅓ innings en 2020, pasando a Max Scherzer con 63 innings en 2018. #MLBporTeleAntillas @JuanJoseRodRD",1520522138859544576,DraMarquielBCid
"Sheldon Neuse vs Shane Bieber
#RiseAndGrind

Home Run 💣

Exit velo: 105.2 mph
Launch angle: 24 deg
Proj. distance: 404 ft

This would have been a home run in 16/30 MLB ballparks

CLE (1) @ OAK (1)
🔻 5th https://t.co/VuAiZgAvZJ",1520518516964827137,would_it_dong
"Shane Bieber - Guardians (6 today, 5.0 IP, 82 pitches)",1520518377311293441,mlbstrike
"#Guardians 1 @ #Athletics 1 [B5-3o]:

Billy McKinney (swinging; 2)

RHP Shane Bieber (6)
Seq (4): KC FF KC KC
s3: 82.5mph Knuckle Curve",1520518249418567682,whifftracker
IM SURE SHELDON NEUSE HOMERED OFF SHANE BIEBER,1520518247690297349,CyBuehIer
"Shane Bieber is making himself a lot of enemies in the betting community

Second consecutive start in which he gave up a Home Run in the bottom of the 5th inning to spoil F5 wagers",1520518126470844418,DelphiCommish
"#Athletics Sheldon Neuse homers (2) 404ft on a line drive to center off #Guardians Shane Bieber.

CLE 1 @ OAK 1; BOT 5",1520518048888897541,mlb_home_runs
"Sheldon Neuse just hit a HOME RUN off Shane Bieber!

https://t.co/s6yPh3BCFQ",1520518003602960384,LineStarMLB
"Shane Bieber has given up a lot of home runs the last few seasons.
#Guardians #ForTheLand",1520517933851725825,CoryCleveland25
"Sheldon Neuse off RHP Shane Bieber - 105.2 mph, 24 degrees (404 ft Home Run)
90.2 mph 4-Seam Fastball
#Guardians @ #Athletics (B5)",1520517925706346497,MLBBarrelAlert
