full_text,tweet_id,screen_name
"*2nd day at new job*

Me: *Sits at desk*

Manager: So, what do you think Shaquille O'Neal has destroyed more of: back boards or cervixes?

Me: ???????????????????

Him: ¡¡¡Hahahaha!!!",1520913713469001729,Fruit_Train
If Shaquille O'Neal were a shade of blue green he'd be Shaquille O'Teal.,1520905490456510464,gyro_en
"Shaquille O'Neal, Ryan Reynolds, and Big Bird. This is a winning lineup https://t.co/9Ah6L00ilH",1520899020335505416,wishiwasbatman
"#NowPlaying Legal Money (feat. Mobb Deep) by Shaquille O'Neal  on https://t.co/U943e1ypJj. Download ""Da Beast Radio"" App from the #GooglePlay or iOS #AppStore and rock with the dopest hip-hop station on the internet!! #DaBeastRadio https://t.co/P0RtwC1okN",1520897623053512704,DaBeastRadio
"My Top 10 basketball players 
1. Magic Johnson 
2. Micheal Jordan 
3. Kobe Bryant 
4. Grant Hill 
5. Tracy McGrady 
6. Larry bird 
7. Allen iverson 
9. Steph curry 
10. Shaquille O’Neal 

If I could get 11 I’d say LeBron James",1520897008562851841,yummycheesekake
"Top 10 Heat Players of All Time:
Dewayne Dedmon
Dwayne Wade
LeBron James
Chris Bosh
Shaquille O'Neal
Jimmy Butler
Alonzo Mourning
Tim Hardaway
Tyler Herro
Bam Adebayo",1520895602434977795,HollandHitStick
"""I know what the hell I'm talking about!"" - Shaquille O'Neal 🤝 #shorts
https://t.co/IWEQ5urz29",1520894361130647552,p3laoaguilera
"Dolly Parton, Ryan Reynolds, Shaquille O'Neal. Business owner celebrities. There will be much to discuss. https://t.co/nYd0alOr01",1520893581652754433,lion_evenkeeled
"Dolly Parton, Shaquille O’Neal, &amp; Mr. Rogers!!! https://t.co/PZ8j9IbmYB",1520891510148980736,thatgirlkatie
"Shaquille O'Neal Accused Karl Malone Of Being A Sellout, But Realized He Made A Mistake: ""I Admit I Was A Hypocrite With Karl, A Guy Who I Thought Was A Sellout But Turned Out To Be A Real, Good Person, True To Himself."" #NewsBreak https://t.co/3gUUmcQo7J",1520887860659949569,RobertMouton4
Shaquille O’Neal Makes Honest Statement on Kevin Durant and Kyrie Irving’s Antics Following Celtics Sweep: “You Can Never Say They Got No Championship” https://t.co/oMQi2XrCIi #Basketball #NBA,1520878883586797568,CunningSports
Shaquille O’neal Rookie Topps Stadium Club 1992-93 Beam Team SGC 8.5 (Rare) #eBay🇺🇸 #TradingCards #SportsTradingCards https://t.co/tGGyMT8rDM,1520878509870268418,TradingCardsAlt
Framed Autographed/Signed Shaquille Shaq O'Neal 33x42 LSU Purple Basketball Jers...👉 https://t.co/RrBn76M8tW https://t.co/e2qASPTt8e,1520871121691807751,SeasonsGala
Winning Time Season 2 Given Creative Freedom to Exploit Shaquille O’Neal and Kobe Bryant Era by 7 ft Lakers Legend https://t.co/1vn2bepAoI #Basketball #LALakers,1520864398801211395,CunningSports
