full_text,tweet_id,screen_name
Uno “eating this won’t kill me” Shoma. https://t.co/NkF3GOgrSr,1520782821836693504,shomagravity
"Shoma in his new SP to John Mayer’s “Gravity”, find the difference https://t.co/5I9H5XHoGa",1520703069998448640,00LT
"Very late thread of Shoma Uno 's jumps at the SP practice at Worlds 2022 

Part of the SP runthrough (4F, 4T3T) https://t.co/IMjCUrzqV9",1520697176627810305,Dornrschen8
"🔴 Are you ready for the Men's Free Skating from the 2018 World silver medalist Yuma Kagiyama, Shoma Uno.",1520659804301189122,shitfsstanssay
OP talks about how during the photo taking time their son had been waving a banner with Shoma’s name written on it and Shoma noticed him 😭😭😭 (their son got so excited and just yelled “Uno Shoma Noticed!!” (Without honorifics because he was too excited) &lt; this is so super cute https://t.co/BURs0OCDpM,1520644921916633089,shomagravity
We love Shoma Uno https://t.co/OHAnJIyZOp #shomauno #love,1520584581648244737,Glaciericeskate
Shoma Uno honors Japan and the figure skating world. Fanyus are the absolute worst. They need to go away for good. https://t.co/fBBOnxzDGT,1520528574704275456,brolensky
"Can someone please kindly explain to me why fans hate shoma uno? I dont like his personality that much, but he is a great skater and very cute. Im just confused with all that shomer stuff. Im a yuzu fan for a long time and a figure skater myself but pretty new to the actual sport",1520414175843205125,mrsnufkinsan
4T3T at finale  !  ! https://t.co/c1iyXI94xL,1520363257516679168,shoma_uno_
my youtube just recommended me a shoma uno video dear algorithm why do u think i would be interested in that,1520344738527916032,cr0b1n
"You can't tell how happy I am to be adding John Mayer - Gravity to my 「Shoma Uno's Music」 Spotify Playlist cuz I've had that song in my liked song since forever, and now it found a new home 🥰🫶💕 https://t.co/iJFKZMTsMw",1520266632693657600,einabler
"Yay for Shoma Uno 🤩🤩🤩

Haters,touch the grass please instead of spreading hate bruhh💅💅💅💅 https://t.co/RhcvRpx853",1520262537367134209,PupuyuBerry3A
shoma uno you're killing me,1520259435033026563,3AEu3F
"'shoma uno is still world champion, for some reason' FHDKFJDSK took me OUT https://t.co/xzO2xNtftB",1520213069036945408,pariwalkwayyuzu
"the year is 2030. PCS has been eradicated altogether, and scores are now handed based on 'vibes' by a panel of raccoon judges the ISU found hiding behind the building in a dumpster

shoma uno is still world champ, for some reason.",1520208071288516610,mochiiyuzu
wow not looking forward to the new program of World Champion Shoma Uno must be embarrassing 👉👈 im so glad i get to see new World Champion program by the World Champion Shoma Uno😍 https://t.co/AaHKo3ZUif,1520196104377221120,_purplewinter_
"SHOMA UNO WORLD CHAMPION 🥳 🥳 🥳 🥳 🥳 🥳 ❤️❤️❤️❤️❤️
JUST GONNA CELEBRATE THIS FACT until 4ever 😁",1520190630680571904,Dornrschen8
"shoma uno pointing at the world champion, shoma uno https://t.co/bE54yxlMxQ",1520167851717447681,shtrawberries
"*25 years old*
My Friends: i have kids
Me: i have Shoma Uno fan account",1520157792077852673,betllsahn
"💚NEW Edit✨

https://t.co/csn8QasFrl

OVER AGAIN 
- #宇野昌磨 | Shoma Uno [Turandot 1.0 GPF 2015 edit] 

#ShomaUno #Uno1 #weloveyoushoma #turandot #onedirection",1520121605946548231,HMillsy02
"But why is my son Shoma Uno skating to my nemesis John Mayer 😭 ""Gravity"" by Sara Bareilles is right there, Shoma!! https://t.co/st6ixJCPmQ",1520114354686935042,romapancake
not the stephanification of shoma uno,1520094688639787008,happyicehops
"Shoma ""Chaos"" Uno returned to 3A4T as a break from 4Lz.  I'm surprised? I'm not surprised. Expected. I definitely love this chaos. That's all I want to say.",1520037762086359040,AsyaLorelei
"Shoma has 100% success rate on his 3lz at PIW so far
He did a 3lz in finale of morning show and 3lz in SP of evening show",1519997349875048448,shoma_uno_
Shoma succeded a 3lz in the evening show for his SP https://t.co/zEQzVmZK3U,1519997041870573571,shoma_uno_
"Shoma says that the start of the 2022-23 season begins for him here at PIW. Because his SP is very new, he didn't ask Stephane so many deep questions yet about how Stephane's vision/thoughts on this program are",1519996182877163520,shoma_uno_
"ok but like imagine Shoma Uno falling when Johm Mayer sings ""gravity is working against me""
I'll scream and laugh at the same time https://t.co/1FaZdMFPui",1519993959166132224,Kimara2905
"Back from Olympic 2/3⁠
🏆 Shoma UNO made history with his return to competition more beautiful than ever, a unique Olympic bronze medal in the world!
⁠
Did they get you excited? 😀 ⁠
⁠
⁠

⁠
📷 @ranierocorbellettiphotographie⁠
⁠
#bandofheroes #risportskates ⁠
#risport https://t.co/egHjclmXII",1519980271088635906,RisportSkates
shoma uno james bond. that would be fun,1519956313308110848,shtrawberries
"Shoma Uno talks about his new SP, John Mayer's Gravity. “I was at a training camp in Swirzerland until the other day. I had Stephane Lambiel choreograph it. It's still in progress. The strong and weak tunes are clearly separated as music, I hope to express it as well.” https://t.co/dq8BHjyxRT",1519928520742518784,shomagravity
"Shoma Uno performed his new short program, “Gravity,” at Prince Ice World.

I haven’t seen official confirmation on the artist (just the title), but audience members seem to think it was by John Mayer. https://t.co/YmYLrB2hNc",1519926706693419008,figureskatingm1
See it looks like Shoma Uno only a lil bit younger and whiter https://t.co/uQhMZFgxNT,1519912731587100672,Sk8fanK
How awesome would it be if there was a Mario Kart only with skaters driving the cars? Shoma Uno would totally be TOADS and Yuzu would be the princess. I would choose Bowser who would be either the Israeli Pairs dude or that Russian poncho coach. #gaming #skating #2die4,1519911665793486848,Sk8fanK
Road to 4lz is still a long way to go but Shoma seems the most determined than ever https://t.co/K6R1P9oEAD,1519729154366787584,shoma_uno_
"The cast of THE ICE 2022 has been announced:

Nathan Chen, Shoma Uno, Vincent Zhou, Junhwan Cha, Kazuki Tomono, Jason Brown, Ilia Malinin, Kevin Aymoz
 
https://t.co/2jXzrUvC28
#TheIce #宇野昌磨 #NathanChen https://t.co/kLdwtbwH49",1519615441328656384,skating_diaries
Shoma and Kazuki in the first announcements ! I'm sure more guys will be announced in the next waves! https://t.co/S2TzyBFmwZ,1519610773777039360,shoma_uno_
"First skater announcement for The Ice 2022:

Shoma Uno
Nathan Chen
Vincent Zhou
Junhwan Cha
Kazuki Tomono
Kevin Aymoz
Jason Brown
Ilia Malinin 

More skaters TBA https://t.co/Lb4YXZtfFu",1519603522576457729,figureskatingm1
"This shoma - keiji interview is so heartwarming 🥰

https://t.co/lZsSitjMym",1519533324116447233,glasdeuria
"i think about this performace (with the spanish aunties) at least 5 time a day. I also think about gpf 2016 shoma uno a shit tone, specially on the victory ceremony
https://t.co/HdbxR57u3A",1519498402064744449,shtrawberries
[ICE TIME] Shoma Uno Leads Top 10 List for Japanese Skaters in 2021-22 | SportsLook https://t.co/RTkhoMnvpw,1519366198110334976,kou_pen_xiang
"I'm so confused about the feelings of shoma uno. Why did he propagate his first gold medal and say that he finally became the champion. In my mind, isn’t a shame🤣？Because of the absence of Yuzuru hanyu and Nc, he could stole the medal?",1519331599178895360,Titoo34307297
Emma appealed to the family by licking Shoma's hand and staring at mom with big sad eyes. The family decide to switch hotels to take both Emma and Baron https://t.co/aTKioA4fvx,1519283201650434048,shoma_uno_
"Shoma thinks that Olympic gold medalist Nathan Chen is the top figure skater, and his goal is to be like him. Shoma thinks he grows the most when he challenges himself, so he will continue to put his goal very high 
https://t.co/2oRbCnBFyS",1519228805432451072,shoma_uno_
shoma uno world shampion 🥇 https://t.co/sOhkRyqynO,1519212630937944064,shtrawberries
Shoma says his new program is a more mature style https://t.co/Hr1eSxvwXY,1519210900238090240,shoma_uno_
"'Spinning ～(つˆДˆ)つ｡☆'

A compilation of Shoma Uno's twizzles because such beauty cannot go unappreciated

#ShomaUno #宇野昌磨 https://t.co/nDgrA4c0Wo",1519149426421510150,unoflips
"News from today :
Shoma will aim higher next season, the jump layout plans to be more difficult since this pushes him to grow the most
He plays video games still, but skating occupies most of his mind this season and next season will be the same mindset",1519008930940260356,shoma_uno_
"Program plans
New SP by Stephane - he wants to skate it at PIW
New FS by Kenji
New EX by Mihoko",1519006810979639296,shoma_uno_
"Uno Shoma's 2022/2023 Season looks like it's going to be a win for the Unoverse.

SP: Stephane Lambiel
FS: Miyamoto Kenji 
EX: Higuchi Mihoko",1518912871584968706,shomagravity
Shoma Uno received a Sports Achievement Award (and strawberries 🍓) from Toyota City. https://t.co/qtPF9f5rBP,1518904045477728256,figureskatingm1
Shoma Uno winning the 2022 Worlds title https://t.co/wrYmUmAzKA,1518868686467375105,PupuyuBerry3A
"JUST PUBLISHED on #JAPANForward ✨
[ICE TIME] Shoma Uno Leads Top 10 List for Japanese Skaters in 2021-22 
https://t.co/xFW8fD5pt6",1518786663316660225,JAPAN_Forward_
Daily reminder: Shoma Uno is our World Champion https://t.co/LFtiET0Len,1518769518214107137,shomagravity
[ICE TIME] Shoma Uno Leads Top 10 List for Japanese Skaters in 2021-22 | SportsLook https://t.co/tR0PvYrXPL &gt; #YuzuruHanyu𓃵,1518687250317561858,RealTaniceJudge
