full_text,tweet_id,screen_name
"if i had a nickel for every time kaoru tried to sleep at the sia la luce, id have two nickels, which isnt a lot, but its weird that it happened twice, https://t.co/Dtc7P5a5Oo",1520915844657786881,bibbleb00
Sia - Cheap Thrills Ft. Sean Paul [Lyrics],1520915378267987968,hits923atl
suffering is optional,1520914366287204352,sia_vilin
"as she walks by, what a sight for sore eyes .. brighter than a blue sky ..",1520913976317591552,sia_vilin
when i quote on ft sia on my grad cap mind ur business it’s for the sake of a pun,1520913855253139456,spectaclejimin
is there anyone in kb got extra film roll??? i forgot to bring mine sia hdjdjs,1520913486972301312,1DGAF__
"Obelisk SC1 Slim Gen 2 Single Board 550Gh/s SC Crypto Miner w Power Supply Sia - https://t.co/WD9nY387j5

#bitcoin #crypto #cryptocurrency #NFTs #ethereum
https://t.co/dhq1iedJuQ",1520912808631623682,theincomeblog
And I preach this everyday.Angazi esani iscefe https://t.co/XnAW5oAF73,1520911470523031554,Sia_Shakur
Everyday Is Christmas - Sia,1520911008176476160,cVraiRadio
is there someone here who genuinely likes ON ft Sia? please reply so i can block,1520910556844404736,manuuu_bts
i wanna make coffees,1520910337633144833,sia_vilin
laughing at my pain at the moment but not really https://t.co/Tu7rJqpKVw,1520909744592105474,sia_vilin
Naa like we win sef like by now we dey hear say sake of Draymond ex sia,1520908588776054785,breezy2theworld
"where is my enthusiasm for tiering ; w ;
i feel ... i lost it since i have no Mizuki",1520908306814214144,cimee_sia
WE HATED ON FT. SIA BUT RN WE NEED HER STILL TO TOP WITH 100M STREAMS,1520908215038492672,K34KS
stream on ft sia (😟) we are close to 100m streams,1520908079352721410,K34KS
"""only a genius loves a woman like me""

- Sia",1520907661411241985,zerotwodparagu1
"This is a list of the Top 100 @BTS_twt songs on Spotify.

April 2022

 All 100 songs earned at least 1M streams (except Mic Drop ft Designer and ON ft Sia....which does not come as a surprise)

#BTS_Butter #BTS https://t.co/FQgov0TK7D",1520907651898609664,spotify_bt
".@GhanamanTips 
My small success story. 😮‍💨
Don't ever give up in life. Consistency is key. And always trust your bet master. 😬
Be motivated. I go take this money go flex my ex. That girl hin release clause be mtn airtime transfer. Sia https://t.co/n6yACWoZpg",1520907282481299456,Yaw_Beyin
@JaMorant come out. Let's chat. Sia 🤣,1520906987063726083,NiiChelsea_
"#NowPlaying Manchild by Sia and Neneh Cherry #listen at https://t.co/VpnQNUIxMJ &amp; https://t.co/O2PeOxhBNQ @TuneIn
 Buy song https://t.co/pAAAhZkfIL https://t.co/IQsZAiUfQ6",1520906459835416577,HotHitsUK247
Titanium Feat Sia - David Guetta,1520906121631780864,some_day401
not ft Sia 😪 https://t.co/xQ7HkZtkOe,1520905970209402881,xbeautaeful
"Canciones cerca de 100M de reproducciones en Spotify:

Outro : Ego: 98.997.295
House of Cards (Full Length Edition): 97.933.231
On ft Sia: 97.529.540
It´s Definitely You: 97.422.787
Outro: Wings: 97.341.619
Awake: 95.246.666

@BTS_twt",1520905418909921282,ddaeng_team
I dey wait Ja ein tweet. Sia 😂,1520903880791543808,NiiChelsea_
omg i so cranky sia the whole night,1520903676893986816,elsazairah_
i shouldnt hvae slept late sia https://t.co/DGaKovstdY,1520903444013674496,titatoteru
"[OnlyHitUS] Right now: The Greatest (feat. Kendrick Lamar)
 by Sia, Kendrick Lamar Join us on https://t.co/Q2ZfUngJan",1520903441794674689,OnlyHitNP
like a tall child 💔,1520903352791572480,sia_vilin
Bula Sia! I just want you to know that I appreciate you all ❤️ https://t.co/70H4gX84uO,1520903030383648768,kkufijimusic
"#SWIFT Alliance Connect Virtual solves the rent seeker lockin problem

$LINK

https://t.co/BCGCqYt6FU",1520902866092716032,nullpackets
"What happened they place Sia, in the worse famous group. That's so, ridiculously...",1520902589272969216,Orlando90041253
DAMN FAKLA THIS RAYA COULD BE THE BEST RAYA FOR US SIA😭😭😭,1520902184590020608,notsitirobeena
"BTS will soon be the 3rd artist next to Drake and Bad Bunny to achieve 100 songs with 100M streams each! So here are some songs nearing 100M that you can add onto your playlists: 

Ego- 98.9M
House Of Cards(FL)- 97.9M
ON ft Sia- 97.5M
Its Definitely You- 97.4M
Wings- 97.3M https://t.co/96UffPDQDG",1520901649740759040,95Z_TWTS
"'watch out, twister' https://t.co/oiknZlfxTV",1520901482916294656,sia_l8r
#NowPlaying Cheap Thrills by Sia / Sean Paul #listen at https://t.co/RGN0Gpaxia,1520900921181487107,kdrsplaylist
"At You By Sia we know just how to make Mums Skin feel glowing and youthful. So to bring the youthfulness in you, we brought you an amazing offer

BUY 2 GET ONE OFFER!
THIS APPLIES ON ALL TREATMENTS AND CLINICALS SKINCARE
OFFER ENDS ON 10th OF MAY

#mom #mother #mothersday https://t.co/83q7i8M9fi",1520900908002992129,YouBySia
SOME DANCE TO FORGET SOME DANCE TO REMEMBER,1520900218836946944,sia_vilin
#nowplaying #Sia ~ Sia | Never Give Up ||| Radio TEDDY - In #Eisenach auf 90.9,1520899683304026113,RadioTeddyMusic
"Make Ja come chat shit again, sia😂",1520899459546234882,bash_man_
"https://t.co/BCFtt2D722 
🇦🇷✪𝔼𝕕𝕞 𝕊𝕙𝕠𝕨✪
 #djxexer #electronicmusic #radioshow #edm #Mixcloud   #soundcloud #music
🏴‍☠️🔥🔥🏴‍☠️",1520898638599307265,darkshow_x
omg sia spotted at university 😳 https://t.co/krXkzmxMe7,1520898228593463297,kvabal
Make he hit the griddy err. Sia🤣🤣🤣🤣,1520898044694253568,quojo__
when most ppl don’t know that chandelier by sia is about a suicide so you’re the weird one for getting triggered instead of turnt 😋,1520897902251495425,perlvmvsiel
goosebumps sia https://t.co/75vhTgKyci,1520897756063145984,rebirthmimi
After all this Morant lost. Keep dancing sia https://t.co/azYLWXCOq4,1520897314830925836,iam_sEd_i
NowPlaying Flames Official Video  - David Guetta Sia https//.paoshiproducts.com 22:44,1520897045300719618,PaoshiProducts
"Artistes I intend to see perform live: Frank Ocean, Dave, Sia, Griselda, Gnarls Barkley",1520896931563814915,ofoe_19
Imagine Ja Morant made that layup. Sia like how he go come chat for Twitter here err😂,1520896731260588032,iamsaad_1
"#MJInnocent
Michael Jackson is innocent and was always Innocent so leave him alone. Before you judge someone, seek the truth and do some research.. ""Facts Don't Lie People Do'
https://t.co/e9lrTIwa6q
@SherylCrow @Sia
@jadapsmith @piersmorgan @DrewBarrymore
@NewsUKMCR @johnIegend",1520896289113878530,MJcoolMJFan
