full_text,tweet_id,screen_name
"ARod saying that vet pitchers ""deserve"" a bigger strike zone is the dumbest thing he has ever said. Imagine Sidney Crosby shooting at a bigger net, or Steph Curry being allowed a shorter 3 point line just bc they are vets... dumbass. #KAYRODCAST",1520912544461905921,GustavoEsco1077
i bet sidney crosby sleeps with an eye mask on that’s black,1520912209165099013,devilstrombone
"Jordan Dumais finishes the season with 37 points in his final 12 games. His 109 total points trails only Sidney Crosby and P-Marc Bouchard in points by a 17-year-old  in the QMJHL in the last 20 years (per 
@StephRDSJunior ) #2022NHLDraft https://t.co/Bz7N15M1zU",1520911677201559559,tmac_17
Weird little tidbit… Sidney Crosby and Teemu Selanne are the only 2 players to win the Rocket Richard Trophy outright while also having more assists than goals in that same season.,1520911238867337216,pucker7
Sidney Crosby Pittsburgh 2020 2 #hockeycards https://t.co/qeJN9FPQlU,1520897519496089602,gems_card
"every time we find out a younger player is having a kid the whole tl is like ""sidney crosby virgin lmao"" WE KNOW HES NEVER BEATING THE ALLEGATIONS",1520882186483863553,RllKOLA
If the Padres add on in the 9th it’s Sidney Crosby’s fault.,1520881089157378048,TrueFanJames247
2005 06 Upper Deck Phenom 28 Si #hockeycards https://t.co/QTyCHO0TjE,1520868534775128065,gems_card
2005 06 SIDNEY CROSBY UD ROOKIE #hockeycards https://t.co/FyvJE4rdSN,1520864733750087681,gems_card
Sidney Crosby just got another dog! That makes 74.,1520860837975445504,nhlshitpost
"Sidney Crosby 2007-08 The Cup  Signature Patches /75 BGS 8.5 Game-Used Hockey Card. 

🔗https://t.co/5wWK1M6Idu

#thehobby #sportscards #LetsGoPens #tradingcards https://t.co/R3ELkdSEUS",1520852808408436737,CardsStew
congratulations to sidney crosby on becoming a grandpa!,1520852493479129088,sidneycrosbys_
"Sidney Crosby 2019 UD Trilogy #50 Silver Auto DNA PSA 8 Hockey Card. 

🔗https://t.co/6ERZMN0Nmm

#LetsGoPens #thehobby #sportscards #whodoyoucollect https://t.co/Iml67vKviv",1520849033476014080,CardsStew
2005 Fleer Ultra Sidney Crosby  #hockeycards https://t.co/h1b8MEJ4j5,1520847817761337344,gems_card
