full_text,tweet_id,screen_name
"I don’t rely on simple flexion/extension X-rays any longer since I can order these 4 weight bearing and more meaningful Simone-Biles views. Took me some time to convince/teach radiology.
Indication for fusion since has risen up to 99% btw 😉#orthotwitter #neurotwitter  #radres https://t.co/NDZSijh4dI",1520913241370734592,atmghn
Simone Biles’ Mother Had the Most Heartwarming Reaction to Her First World Title Victory https://t.co/sdw5TR1XW9,1520887872148189184,preachingterp
"Simone Biles condemns U.S. Olympic Committee, FBI for sex-abuse crisis. 

As a society, especially men in positions of power, must ensure that those who courageously step forward to acknowledge sexual and emotional abuse experience being valued, heard, se…https://t.co/amCw1r53U3",1520871331860037635,LoseYourTemper
Whatttt?! BLACK EXCELLENCE ‼️‼️‼️‼️ LOOK AT OUR BABY @Simone_Biles SHE IDOLIZES U https://t.co/hLXe2UF1U7,1520869174897266689,It_Aint__ME
Where USA gymnastics roster stands with Simone Biles out of two events |... https://t.co/8Pfc6MX0mf via @YouTube,1520865992284549120,pseupy
"Simone Biles cruises to Olympic berth, will defend her 4 golds in Tokyo ... https://t.co/G0jXSZIySI via @YouTube",1520857397635559424,pseupy
"NOTHING TO SEE HERE!!!👇👇👇

Just a 300 lb. Sophomore D-lineman bouncing around like Simone Biles! https://t.co/MLRnvk1iDO",1520854551036891137,JoeyheronCSCS
In GIF: US Simone Biles' And Jade Carey's Cheng  https://t.co/o6VcvqRqNA,1520848188227342336,WOGymnastika
"Stupefix euh... Idefix... (the power of the sun associated with leds AMAZING)
@naomiosaka
@rihanna
@NICKIMINAJ
@MsArianaMarie
@Simona_Halep
@Simone_Biles
@shakira
@LucyLiu https://t.co/nQG8l480b8",1520848045574967296,aerouan
"Okay, I’m curious. What were everyone’s pre-covid Olympic team predictions? I’ll start:
Simone Biles
Sunisa Lee 
Morgan Hurd
Leanne Wong
Individuals:
Jade Carey
Kara Eaker",1520840701981958144,LucasMoen
"my dream paris podium:

simone the goat biles",1520834862147682305,jadeschuso
Oh yeah I sorta met Simone Biles yesterday???? That was cool,1520834326862209024,dadblunts
Simone Biles’ Mother Had the Most Heartwarming Reaction to Her First World Title Victory https://t.co/2jv3pXd4Pj #Gymnastics #Olympics,1520827658875006976,CunningSports
"https://t.co/lAJG9B3bws The Olympic events to watch on Sunday, July 25: Basketball, Simone Biles https://t.co/VdI7Ddy4I7",1520814675562143744,lekulpp
"Simone Biles celebrates boyfriend Jonathan Owens wins......see full details and photos.....
https://t.co/hoz8rhxysr",1520729272234692609,AtoyebiOlawale4
"@tonyjaaofficial
@EyeOfJackieChan
@naomiosaka
@NICKIMINAJ
@MsArianaMarie
@Simona_Halep
@Simone_Biles
@shakira
@TheSlyStallone 
Yeah I know, it's been scuttled twice, 1st time farting a cable and speaking ECU, 2snd avoiding #Macron's balance sheet and agreeing to take the lesson",1520710565190066178,aerouan
"@naomiosaka
@rihanna
@NICKIMINAJ
@MsArianaMarie
@Simona_Halep
@Simone_Biles
@shakira
@LucyLiu
you know, since 2017 they keep saying sum somehow in the 1930's, battlefield 2042 watch out
I am not to be saved, me https://t.co/8FZsrwxq0F",1520706661618524161,aerouan
"“I’d rather regret the risk that didn’t work out than the chances I didn’t take at all.” – Simone Biles

GrandestSAMback SaPBB
#ISAMbesesPaPBB",1520699105651019776,aya_medgal2
For young girls aged six to 12 https://t.co/yyF89ymv3R #GraphicDesigner #Webdesigner #Design,1520667266886553600,AshwaniParik
I love Simone biles and her fiancée,1520654887431811073,exoticchops
"Don’t confuse this for Simmons sympathy, but where is the support that Simone biles got over the summer. What is different about her situation from bens, other than the fact that she was representing her country.",1520645990608293888,nofatbitches1
𓆲: damn I see you then Simone Biles !! https://t.co/RebkCQ21hd,1520638835176067072,VOlDGEARS
"@ClemsonGym chose an abusive coach with history of abuse ove Simone Biles coach (coach she won 2016 AA with) if you believe this Reddit post. 

https://t.co/cqudv6llju",1520631966244253696,BamaGaGa
"We are happy to announce that our discord is now open 
Join to Learn about new updates &amp; announcements
You will have opportunities to win WL &amp; giveaways @NeuroRebel @AnthonyHopkins @JimCarrey @solangeknowles @Simone_Biles @Polygon @nftify_official",1520630434454986753,SeeMEOfficial
I HATE the way they coached/whitewashed Simone Biles' voice in these commercials. If you've ever heard her talk in her interviews you know she's TEXAN af and you can clearly hear it,1520617407106236417,Credible_HulKK
Simone Biles vs Tiger Woods 2022 Net Worth Comparison: Who Is Wealthier? - EssentiallySports https://t.co/6fRZtUzz3I,1520604684183953408,TigerWoodsShow
She went Simone Biles on that chick  https://t.co/mXtr56NdiP,1520590271171473409,RollaKnows
https://t.co/0dZvR4G1Dg Simone Biles Is the Champion of Our Hearts in These Emotional Photos From the Tokyo Olympics https://t.co/j3iRdN4sM8,1520588707513790464,robowho1
"@Simone_Biles 

Simone  looking for a investor",1520586125613670402,bluephi43
