full_text,tweet_id,screen_name
Latinas either hit the wall at 24 or become sofia vergara,1520894620107956229,Reformed_Sun
Sofia Vergara continues to work on the forthcoming series Griselda https://t.co/FR1avTYbjB,1520820365345312769,brasilmiss
Setting goals and trying to achieve them is an important part of your 20s. But you should also set S.M.A.R.T goals. My goal for 22 is to watch every video on the internet with Sofia Vergara in it. Im probably half way there. #AtomicHabits,1520816560008761344,Sakthi38311
We put Sofía Vergara's pet polar bear (who works as an soldier) and their cellphone in a chili pepper and now they are feeling cross,1520786790008774656,purpsbear
ok but Sofia vergara w the boys i loveeeeeeeee https://t.co/xJ8OOd0G3d,1520688933268508672,alwaysyoulouuu
"One of the sexist women alive.

The other one is Sofia Vergara. https://t.co/koHhnwymdb",1520654027108847616,i_am_UCHE
Sofia vergara moza awy I’m obsessed,1520630964027904000,crispyangelwing
if there’s one person i’m gonna always defend it’s gonna be sofia vergara,1520594655666188289,moldycheezit
do some people think we ship jessica chastain with sofia vergara?? cause if a video of them appeared on my fyp without a knowledge of tshoeh i would think they do make a lovely couple,1520585126219898880,IoverseuIgi
"i Like sofia vergara And christina Hendricks, , and i Think that says a Lot about me as a Person",1520578516395339776,wlburscock
"Tonight’s #SNLVintage comes from the far off year of 2012.

It features Sofia Vergara as the Host. The musical guest is some obscure boy band called #OneDirection. #SNL #1D #HarryStyles #ZaynMalik #LouisTomlinson #liampayne #NiallHoran 

It was also #KateMcKinnon’s first episode. https://t.co/V7KS56rqox",1520525715573133312,MrJoelGarcia9
I love Sofia Vergara's English accent.,1520486534645829637,Shwetakale09
@TheEmmys give sofia vergara what she deserves you bastards‼️,1520467698496552961,mrrborntolose
"The rerun for SNL tonight is the Sofia Vergara episode which made me remember one of my top 5 favorite sketches SNL has ever done. 

""BOOM! HUNGER GAMES!!!""

https://t.co/fnW1F8J9RQ",1520465650610802688,silentnpale
@elonmusk let me know if you want someone with a strong latin accent (even stronger than Sofia Vergara) to be a Tesla/ twitter model HJAHAHAHAJA,1520459068078542853,_francismalpica
I feel like Sofia Vergara is one of the most casually disrespected actresses I've ever seen 😒,1520448784316366849,slaymil
Sofia Vergara and I have the exact same body,1520439858749054976,itsminetoclaim
We Need A Moment To Recover After Seeing Sofia Vergara On ‘AGT’ In This Jaw-Dropping Red Dress https://t.co/P7A9rS3DRF,1520379676253995008,shefinds
"Fantastic 4 cast if i directed 

Mr. Fantastic: Will Smith
Ms. Fantastic: Sofia Vergara 
Human torch: zac efron 
The thing: John c reily 

Dr.Doom: Leonardo DiCaprio",1520373440359841792,Andreytheartist
Im surprised Sofia vergara isn’t ms fantastic,1520372445596864515,Andreytheartist
"started watching modern family a few weeks ago and everytime sofia vergara is on screen, I glitch",1520360298506510337,hotpriesttt
"The Ophitaurus attacked Sofía Vergara , because they ate the last  piece of pizza topped with chicken !",1520338499404062720,SurrealSammy2
I see Sofia Vergara and my heart goes mommy,1520289584118067200,akshizzz
Sofia Vergara Jeans With Hundreds of Reviews Are Now Just $20 https://t.co/AdbbNiTtUn,1520250229265735682,NikhilS18830535
Sofia Vergara Sells Kmart Line In New Commercial https://t.co/iJV0s1unyy via @YouTube,1520234370753200128,SG_MATHS
Actress Sofia Vergara First Pepsi Commercial https://t.co/T9E2kmMRET via @YouTube,1520233848763666434,SG_MATHS
"I need Sofia Vergara to come out in a sexy low-cut dress to introduce the Steelers pick. RATINGS, people. #NFLDraft",1520228870338883584,ClareTweetsALot
why is sofia vergara  all over my wife? she will be dealt with https://t.co/O4KqkGNrBx,1520222540215508992,EFFEXWH0RE
Sofia vergara has me adding discombobulated to every sentense,1520134561166147585,__raksan
"The Latin platform for influencers presents its new investors: Thalia and Sofia Vergara https://t.co/Hpbi0tCPaP Via @Entrepreneur 

#latinasandpower #latinassupportinglatinas #latinasinbusiness",1520117718065811456,latinaspower
"Sofia Vergara impresses in bikini at 22 years old

Read it here: https://t.co/YU279PLW79 https://t.co/5FPUvZnUP2",1520017590709460992,BikiniWTF
Sofia Vergara Workout and Diet Plan via @fitnessclone  https://t.co/zMw6jj80zD,1520010117894356992,CoachRyanFitnes
The Latin platform for influencers presents its new investors: Thalia and Sofia Vergara https://t.co/3xwSt8z3m8 #intrapreneur,1520010009601478656,_Intrapreneur_
"Insert that clip of Sofia Vergara saying ""Don't be creepy"" https://t.co/TRGPjlCjtz",1520007078944858112,BlkWomenSS
"BREAKING: Just now, Sofia Vergara was widenly edited by an indigo American Bobtail while tiping a roll of toilet paper.   #news #breaking",1519973279569571841,LegitCelebNews
