full_text,tweet_id,screen_name
"I mean even if it's for the fake Birds Aren't Real conspiracy theory, I support any burning of a St. Louis Cardinals flag. #60Minutes",1520914845914308608,Phil_Lemos
MLB Baseball Game Betting Picks Simulator: 5/2/2022 3:15 PM ET - Kansas City Royals vs. St Louis Cardinals - YOU CAN RUN THE GAME SIMULATION FOR FREE HERE: https://t.co/3Q29c0KTOV #mlb #gamblingtwitter #sportsbetting #freepicks #cappertek,1520911054817083394,cappertek
Also took St Louis cardinals -1.5 so we had a 5-1 day. Tampa giving up 5 in the 1st was just brutal. https://t.co/DeMEHBN5lm,1520909029777805312,TDrexelpicks
Kyle McClellan: May 2022 | Cardinals Insider Podcast | St. Louis Cardinals – Major League Baseball News https://t.co/20vaKUn74m,1520908973158797312,USSportsNew2021
2006 TOPPS CHROME ROW ALBERT PU #whodoyoucollect https://t.co/NVFZ3u3ZBi,1520907051689549824,sportscardcoder
2021 Topps Five Star Dylan Carl #whodoyoucollect https://t.co/o7iHJKKXLR,1520900878470983680,sportscardcoder
Check out Matt Carpenter 2022 Topps Heritage SP Short Print #402 St. Louis Cardinals  https://t.co/jbZKrDt9NA via @eBay,1520899028048830476,Jeremy1234321
Harrison Bader and Nolan Arenado homered in the seventh inning to help the St. Louis Cardinals rally past the Arizona Diamondbacks 7-5. https://t.co/pGQ9vaPOrW,1520889063900954625,thbsports
"Recharge: Bader, Arenado give Cardinals' lineup a jolt, power 7-5 comeback win vs. Arizona #St.Louis #Cardinals #MLB https://t.co/Y9rROGuOi3",1520888297853112320,StL_Fanatics
"My favorite baseball team is the St. Louis Cardinals
Been a fan since 86 or 87
Growing up in Ohio, I didn't have many friends who were cardinals fans. 
I did go to church with one kid who was a fan. We had a falling out sometime in middle school over baseball cards or something.",1520887736261136384,FukDwights31
"Results
01-05-22

#MLB 
San Diego Padres Handicap (-1.5)✅ 5 - 3
St. Louis Cardinals Handicap (-1.5)✅ 5 - 7
New York Yankees Handicap (-1.5)✅ 6 - 4
Toronto Blue Jays Under ""Baja"" (7.5)✅ 2 - 3

#Parlay 
#01mayo 
#Padres 
#Cardinals 
#Yankees 
#FreePick",1520886604684013575,MrDailyPicks86
Check out St Louis Cardinals  -  Dylan Carlson   2021 Diamond Kings Debut  RC rookie  https://t.co/TEbceSfRzz #eBay via @eBay,1520886572916244481,GoatpicksC
Check out 2021 Mosaic Pink Swirl # 227 Dylan Carlson FOTL (07/10) St Louis Cardinals🔥⚾️🔥 https://t.co/NCHuY2uEZc #eBay via @eBay,1520882898437644288,ConnorM118
Harrison Bader - St. Louis Cardinals (1) 2-run,1520882012961361920,MLBHR101
Arizona Diamondbacks collapse in last game of series against St. Louis Cardinals https://t.co/gqVcnHGQm7,1520881148175429632,PHNX_Dbacks
MLB: St. Louis rallied for a win over the Diamondbacks while the Royals blew a three-run lead to the Yankees in MLB action on Sunday. https://t.co/Mzz8TkNdSK,1520880498943606784,KMASports
MLB: St. Louis rallied for a win over the Diamondbacks while the Royals blew a three-run lead to the Yankees in MLB action on Sunday. https://t.co/dDuhAGMHxK,1520880497970270208,d2mart
"St.Louis Cardinals 
New Closer💯
Give`em Helsley🔥",1520879687165227008,timm25mmit
Ryan Helsley plays for the St Louis Cardinals https://t.co/DADyxdYV8t,1520879132414038017,DylanCarIson
"⚾️ Final Score ⚾️
Arizona Diamondbacks 5 - 7 St. Louis Cardinals

Jordan Luplow 28.0 DK, 37.4 FD
Harrison Bader 16.0 DK, 22.2 FD
Christian Walker 14.0 DK, 18.7 FD

https://t.co/mDb2j1Uy3X",1520878853471801345,LineStarMLB
"Genesis Cabrera - St. Louis Cardinals 0.2 IPs, 1 ER, 1 hit, 1 K, 1 BB",1520878745933987841,mlbstrike
"Jordan Hicks - St. Louis Cardinals 3.1 IPs, 2 ERs, 2 hits, 4 Ks, 2 BBs",1520878745200046081,mlbstrike
"Ryan Helsley - St. Louis Cardinals 2.0 IPs, 4 Ks",1520878744478564353,mlbstrike
"Andre Pallante - St. Louis Cardinals 1.2 IPs, 1 ER, 2 hits, 1 K",1520878743782313985,mlbstrike
