full_text,tweet_id,screen_name
Enjoying Stanley Tucci Searching for Italy. Tonight at 9pm on CNN.,1520915619847102464,SquirrelWestend
the power stanley tucci and florence pugh have on me when they post videos of them in a kitchen https://t.co/PyVeDhOLex,1520915221984038912,HRHKatieCarroll
"I'd rather watch a new season of ""Anthony Bourdain: Parts Unknown"" but that's only viewable on the new streaming service Séance. https://t.co/TQUnwKAOF6",1520913273658351616,RBellikoff
NEWS: Six sought-after recipes from the first season of 'Stanley Tucci: Searching for Italy' https://t.co/rLGFfMgA9L Via @CNN https://t.co/PtxA4nrkMA,1520912850931257344,GiGiCaponePR
Six sought-after recipes from the first season of 'Stanley Tucci: Searching for Italy' https://t.co/PdlmGsRSND,1520912845247959040,swissbusiness
Stanley Tucci has got to be a top 10 male,1520911581416243203,steigerwaldino
Stanley Tucci is back tonight. Searching for Italy in VENICE! My hood! Lucky that I have been there 5 times to see family. Can’t wait to watch.@StanleyTucci14,1520909032025993220,DianaluvsD12
How Italy changed Stanley Tucci forever https://t.co/aFiXvEaFCZ via @CNNTravel New Season Tonight at 9pm on CNN,1520908367996362753,jeninkingston
Stanley Tucci’s #SearchingforItaly is a tonic for the soul. Excited to have it back for S2 tonight.,1520905784615440386,jtrutherford
stanley tucci: searching for italy sundays are back,1520903075871043588,eviIbag
Check out I am NOT Stanley Tucci's video! #TikTok https://t.co/pvrSoBORyy,1520900758023155712,jcmarbury
I made Pasta e Fagioli for dinner tonight. To get in the mood for Stanley Tucci: Searching For Italy S2 Ep 1. It airs at 9 pm on CNN. I read his book Taste earlier this year and he talks about Pasta e Fagioli a lot! https://t.co/lGVykP8Ydb,1520896915596095498,AMWATERS
"I miss Anthony Bourdain.  But is anyone watching Stanley Tucci, Searching for Italy?",1520893471007162371,faridghalili
@CNN Stanley Tucci Searching for Italy Season 2 ….when can we see it in AUSTRALIA?,1520893012611518464,suzpilon
"Booking trains for Italy, pulling out warm weather linen, ordering colorful shorts, mixing up a Negroni, will watch Stanley Tucci  tonight. Yep, I’m in the mood to get to Italy.",1520892697279549441,annex180
I've started watching Stanley Tucci's #SearchingforItaly and I just can't get over the beauty of not only the landscape but the craft of producing food. It's so beautiful!!,1520892397458051072,halfbakedgranol
Im always trying to be like « no I’m not a basic white queer » but my irrational obsession with Stanley Tucci always tells on me,1520889315173228546,gonnabemessy
4 of 5 stars to Taste by Stanley Tucci https://t.co/Bwp5jiXVxx,1520883120307851264,starscollision
Watching the Bologna episode of Stanley Tucci's Italy series &amp; missing the city.... particularly the food.,1520881314475479040,nicolewolverton
"Last year, when I said I'd follow Stanley Tucci anywhere, I never meant to CNN+   Just sayin'.  @StephenAtHome @CNN @CNNplus",1520873794230960128,JaniceKayePhD
Stanley Tucci has the ideal career arc: That Funny Guy From That Movie —&gt; Pasta Daddy Who Fucks,1520870665389285376,AbeGoldfarb
stanley tucci makes me smile,1520869440337948672,jakkeeyuh
I don't understand how Stanley Tucci went from making a bad Negroni badly to getting invited to and celebrated at cocktail events.,1520862570969767936,swimmingwithdi
I rated Stanley Tucci: Searching for Italy: Naples and the Amalfi Coast (S1.E1) 7/10  #IMDb https://t.co/mkn2yJ1UnI,1520855530239049730,spectaclum
Wtf is going on with your programming CNN International ? What is it going to be the Mandel funeral? Stanley Tucci’s Italy? or call to earth?🤣 @cnnipr @cnni,1520853517870710786,civiseuropasum
"‘I Love That For You,’ ‘Stanley Tucci: Searching for Italy,’ ‘Star Trek: Strange New Worlds’: TV This Week - OregonLive https://t.co/ap5Qxhtan5",1520849802266697729,StarTrektime
"italian guy: the recipe it's a family secret , passeda down for generations 
stanley tucci: MM!! this is so good. you have to give it to me! 
italian guy: (slightly upset) mr tucci i already tell you i cannot!
stanley tucci: ah! well. i had to try didn't i",1520849232286126080,eightfoldpathPM
"New season! 

Stanley Tucci: Searching for Italy https://t.co/e2FBCsPZH4",1520847000337534981,kris_nicolina
"I call Stanley Tucci ""Stanley Twattsi"". Not because I dislike him or his @CNN show, just because I think it sounds funny.
@AuntieSknows @CowieKaunweigh",1520846517782917120,brel_ryan
"“They spent $300 million on CNN Plus. Three hundred million. Can I be honest, CNN? I think Stanley Tucci was playing you guys. I think that dude knew exactly where Italy was and he was just going to keep searching as long as you were paying.” - Trevor Noah",1520844626348834817,CalgaryRob
"So @CNN, the series 'Stanley Tucci: Searching for Italy' and 'Nomad' will be coming to @cnni? Right? Please; don't deprive your international (loyal) viewers of such delicious gems.",1520842743739830275,IvichieSays
"A classic dish, a classy host. Join Stanley Tucci as he introduces you to the food of Venice, this week on #SearchingForItaly. New season premieres tonight at 9 p.m. ET/PT https://t.co/clxnXUnBar",1520840477402185728,TownyMontana
"A classic dish, a classy host. Join Stanley Tucci as he introduces you to the food of Venice, this week on #SearchingForItaly. New season premieres tonight at 9 p.m. ET/PT https://t.co/QQO2b5q3RF",1520834059936702469,rameeksims
"Stanley Tucci’s “Searching For Italy” comes back tonight, and this season, I really hope he finds it.",1520832451039444993,sarahlbee23
My Sunday evenings are going to be even better now that Stanley Tucci is back! #sundayvibes #Sunday https://t.co/coo7ePGevS,1520832427656163328,HeartStillGold
Finally getting round to watching Stanley Tucci's Searching for Italy and it's just 👌 https://t.co/WuhpdRur0F,1520830125650108418,missalhhistory5
I get Stanley Tucci and the actor who played the Vogue editor who befriended Carrie Bradshaw but ended up being pervy in the end confused.,1520824974444941315,RachaelRad
Stanley Tucci doesn’t even like Jeffrey Steingarten and he loves everybody,1520824778944249856,oldschmitty
Stanley Tucci: ‘Searching For Italy’ Fun New Season Starts May 1 On CNN https://t.co/f8uG42l6zg,1520822670270545922,cbiz
What a read Taste by Stanley Tucci is!The last chapters of that  📖 are so intense!It is not just a book about food but the relationship you have with it.This is not just reading about memorable dinners and fancy restaurants. It is a must read for the soul! #coupdecoeur https://t.co/kbwFYkhwL8,1520821744260550657,carostal
🌟Watch tonight @CNN 9pm Premiere Season 2 @CNNOriginals STANLEY TUCCI: SEARCHING FOR ITALY #SearchingForItaly w/ #StanleyTucci who travels across #Italy to discover the secrets and delights of the country's regional cuisines. About https://t.co/QQZa30mook https://t.co/NgYbw3JLlE,1520819738632286209,TVTango
Season 2 of Stanley Tucci’s #SearchingForItaly starts tonight (in Canada at least). See your PVR! :),1520818857832812547,jenkuntzGP
