full_text,tweet_id,screen_name
Stephen Curry used the word serendipitous correctly. Yes. That's how it's spelled. Thanks for asking.,1520915166677770240,BradfatherSpeak
"Stephen ""William Shakespeare"" Curry https://t.co/wuec4v4CjE",1520915078459142144,WadeEvansMusic
"""I just missed everything about this atmosphere""

— Stephen Curry on being back in the playoffs

#NBATwitter #DubNation https://t.co/cmIE4RKwDB",1520914614627848194,_Talkin_NBA
"Basketball fans went nuts over Stephen Curry's block of Ja Morant late in Game 1

https://t.co/CejbkWk0Kt",1520914353158950912,WarriorNationCP
"Stephen Curry &amp; Klay workouts/autographs + Dell + Kerr + MORE pregame views, Warriors-Grizzlies G1

https://t.co/eFXTPPZw3x",1520913801603866626,LetsGoWarriors
STEPHEN CURRY https://t.co/h102XjryKI,1520912680579649536,Just_Zills
"Stephen Curry after crucial steal on Ja Morant: Locked that s— up, boy https://t.co/zcZW3ykCc1 #sports #feedly",1520912035130789889,TheReal_KDubb
Stephen Curry 2021- “You don’t want to see us next year (2022). https://t.co/xES4NJB3S5,1520909873575301120,stephcurrency30
"Stephen A. Smith Disses LeBron James And Kevin Durant While Praising Stephen Curry: “KD And LeBron Are Both Sitting At Home... Steph Curry, Oh He’s Just Waking Up.” https://t.co/4Wflpjk6yC
They took on a 6 seed team they were SUPPOSED to beat. Like ALWAYS. SA bandwagons' again.",1520908717918769152,TheBigHispanic
"Stephen Curry really said, ""not today, Ja"" https://t.co/8d0itAq9VC",1520908451517452292,jess_bernas
"Stephen Curry, NBA and Warriors star presents The World's Smallest Smartphone the size of Credit Card https://t.co/yIbf59fXLp

#stephencurry #palmphone #phone #smallestphone #apple #iphone #Samsung https://t.co/BBofT4nI5y",1520908269971070977,VictorGichun
"Draymond could barely contain himself after the Warriors' comeback win!

https://t.co/IkbGKeUUUj",1520908140300038144,WarriorNationCP
"🙏RETWEET https://t.co/nCa3F8RMrw story A Stephen Curry defensive play on MVP candidate saves the Golden State Warriors from a loss.

Ja Morant drove to the basket and Stephen blocked him with his right hand and then his left hand.

Ja would have another chance, but splash 2… https://t.co/brgZOSkGgu",1520907664871632897,BBallTipoff
"in the future the undisputed GOAT will be someone who has current Giannis size and skill in both ends, plus Stephen Curry shooting and Michael Jordan shot-making",1520906579524349953,isaiahin4
