full_text,tweet_id,screen_name
Check out 2014 Topps Gypsy Queen Jumbo Relics Gold Stephen Strasburg 04/10 https://t.co/QUt9koEqXA #eBay via @eBay,1520878804381716484,BFritz09
Marcus Semien is lucky Stephen Strasburg exists because otherwise he would easily have the worst contract in baseball,1520874970460659719,TuscansLeather
"Stephen Strasburg Facing live hitters

https://t.co/rT5UhMHB83",1520863809317048320,LineStarMLB
Stephen Strasburg: Facing live hitters https://t.co/7HvPiJgoSa,1520859993687445505,RotoWireMLB
Stephen Strasburg: Facing live hitters https://t.co/daRFMWefgE,1520859992747823104,RotoWire
"Ben Joyce is gonna have more arm problems then Stephen Strasburg , no way to maintain that velo all the time with that whip action he does.  He's amazing but I don't think he'll last a full major league season and be healthy for most of it.",1520840279175147521,Caleb_Wofford24
"2022 Topps Heritage Chrome Stephen Strasburg #139 769/999

👉 $3 + Shipping
👉 PayPal Link: https://t.co/YsF9OfH1Bz

@84baseballcards
@CardboardEchoes
@sportsfanmedia
#tradingcards https://t.co/ZGidgwtOo5",1520731856102121473,blackriverbc1
"Societally, we don't talk about it enough, but Stephen Strasburg pitched into the 9th of Game 6 after tipping his pitches to start the game.",1520651743633190917,NationalsWon
In college I heard about some pitcher name Stephen Strasburg. I bailed class early and went to Isotopes stadium and witched him pitch a gem against the Lobos. He was throwing 100 mph with ease. Crazy to think he won a World Series,1520154755657388033,505suthrnguido
"Stephen Strasburg (Home Uniform) - Nationals IN STOCK at https://t.co/LHHCrAxzMk 
 #Funko #POP #Funkos #POPVinyl #FunkoPOP #FunkoPOPs #FunkoSoda",1520135818299465729,ChukFunko
"Dug the Nats Strasburg rant! Washington paying  Stephen 200 plus mil &amp; not locking up Trea Turner to a long term deal, was a disastrous decision that basically has sunk the #Nats organization from a championship winner to irrelevancy https://t.co/MzOmeYVoT0",1519806384857968640,adammcginnis
Washington Nationals news &amp; notes: Davey Martinez on Stephen Strasburg &amp; Joe Ross &amp; Cade Cavalli + more… https://t.co/AgiUXQ2jTY,1519781309987627011,blogtech12
