full_text,tweet_id,screen_name
"'5⭐️- Sweet &amp; enjoyable, this book (by @CrystalMarcos) will fire up the imagination of 
young readers with a sweet tooth for reading.'

https://t.co/PRNVi9TBfl

#childrensbooks #kidsbooks #children #magic 
#action #adventure #fantasy #IARTG 
#audiobooks #books #ebooks #Kindle",1520914249211686912,MainChannel_
"'5⭐️- Sweet &amp; enjoyable, this book (by @CrystalMarcos) will fire up the imagination of 
young readers with a sweet tooth for reading.'

https://t.co/zi4hEbNbZl

#childrensbooks #kidsbooks #children #magic 
#action #adventure #fantasy #IARTG 
#audiobooks #books #ebooks #Kindle",1520914247915610112,TwitrPartner
"'5⭐️- Sweet &amp; enjoyable, this book (by @CrystalMarcos) will fire up the imagination of 
young readers with a sweet tooth for reading.'

https://t.co/yRAxfdZnLl

#childrensbooks #kidsbooks #children #magic 
#action #adventure #fantasy #IARTG 
#audiobooks #books #ebooks #Kindle",1520914246514757632,Raymond_Norman
"@YouTube sweets at the counter, yeas i ahve a sweet tooth, but do u want to be offered for over a minute, Promotional sweets baragins, before you buy. put yourself in this position before you do some algorithyms, mabe some work outorthms . #lame",1520912707427442688,CRy3Gen
"Tw!nkleR1ot vs. Sweet Tooth
Fuego vs. Minion
Blue Fang vs. Specter
Sgt. Rescue vs. Warthog
Shyft vs. Orbital
Ultimo Barracado vs. Darkside
Xander vs. Mr. Grimm
Hana vs. Outlaw
Lupita vs. Junkyard Dog https://t.co/CcRJDITMxu",1520912221190119426,vicenteortiz999
scaramouche has a sweet tooth,1520907832140390401,biyennefer
I have an incurable sweet tooth I'm afraid,1520905734992584706,vampjohnny
Caramel Apple Dip: Satisfy Your Sweet Tooth with This Cream Cheese Apple Dip - https://t.co/D16wTs8BHT #food #chef https://t.co/oCkqbfHBWr,1520905714172149760,SaltsWorldwide
"There are two wolves fighting in my head:

One wants to write sweet, adorable, tooth-rotting fluff.
The other wants to BRING THE PAIN. 

Which one to feed...",1520904543437045761,kiriredriothood
shu and his sweet tooth.....,1520903391643267072,yaminoshuu
"tf
sneasler ingo is feeling a bit hungry and lets himself get a little too into eating from a jar. unfortunately the worst case scenario for him is being caught while acting so 'uncouth'...anyway i think ingo has a sweet tooth and turning part sneasler makes this infinitely worse https://t.co/FE7HvnQ0Ja",1520900436533944322,bravosubway
One thing I’ve noticed as you get older you don’t have sweet tooth like you used.,1520893588816637954,GiggleBianca
I learned to bake for Fuyuhiko... He really enjoys indulging his sweet tooth.,1520892929639821312,hinatabooba
My sweet tooth been OD this past week. I want an ice cream cone 😩,1520892092473561096,ItsJustDyaa_
"My sweet baby lost her first tooth today, she's growing up way too fast!",1520890603139211270,dirtpoor10again
noriko-chan… shared her donuts with me today… i have a real sweet tooth…,1520888118915866625,SHIRASAKA666
Good dark #lager . Excellent for those with a sweet tooth. Dessert in a bottle - Drinking a German Chocolate Cake by @LCCB_FarmBrews - https://t.co/sLHsNKbPR2,1520887798357708805,Cardeli32
"Celebrate the start of Summer with me! 🌞
Sweet Tooth Summer Giveaway with @CrumblCookies!

Blog with full giveaway rules &amp; details ⤵️
https://t.co/0wr8Eb4w44

💰https://t.co/0JexuacUuL
💰https://t.co/3W6EeAgIVC

May the odds be ever in your favor! https://t.co/BQW6tQeG7N",1520885834450456577,thesd5x
"ushiiwa 
sweet tooth I know how to nibble",1520884300723326976,hqxnct
All of you are wrong! Sweet Tooth is actually UK Bassline!,1520877615535431680,trecauto
"#LightSaber sweet Tooth Tiger

#neotropolis #neotropolisevent #neotropolis2022 
#cyberpunk #netrunner #futuristic #conceptart #matrix  #HILARIOUS #Wasteland #WastelandWeekend #PostApocalyptic #Fallout #Dystopia  #CaliforniaFestival #DesertFestival #Desert  #californiacity https://t.co/8blCbag7Zq",1520876989388935171,GodsSpeedBrendo
"Matter of fact, put the sugar in honey and give me the resulting mixture. Why? I'm a sweet tooth. https://t.co/cy5LWyDkVp",1520874991474167808,nessasangari
"Do you see yourself as a veggie, omni, vegan, something else?
No matter what your answer, Just Desserts is a recipe book for everyone &amp; every kitchen!

More about Just Desserts: https://t.co/ocy0Dxq9g8
#shopping #ordernow #gifts #recipes #LoveLivingVegan #JustDesserts #plantbased https://t.co/7ffFAG9Dux",1520874206124204033,PlantShift
Every time I get consistent wit the gym and getting myself in shape … my sweet tooth start kicking in,1520871187022331905,Al_FSU
"💘Hill House
🖤Locke &amp; Key
💗Sweet Tooth https://t.co/U88MUOKWyX",1520871119716327424,comeuniceberg
"Sundays have a deal for just about everyone! Especially those with a sweet tooth! 🤩
.
.
.
.
#epicshakes #yougottatrythis #crazyshake #milkshake #firecrust https://t.co/DjuzpHlXq3",1520870912962306054,Firecrustpizza
Please brush twice a day. Especially if you have a sweet tooth. Root canals and composite fillings are expensive af 😮‍💨 https://t.co/o9YefDwEbN,1520867199174467586,rosyting
Caramel Apple Dip: Satisfy Your Sweet Tooth with This Cream Cheese Apple Dip - https://t.co/D16wTs8BHT #food #chef https://t.co/wfHPy5V8KS,1520866453704036352,SaltsWorldwide
lady at target is scanning my items and goes “someone has a sweet tooth 😂” oh my god,1520866169149923330,Jadah_jay1
Here to drop some more hints😉Absolutely LOVE Harry Potter &amp; I have a major sweet tooth!🍭🍬🍫Also love collecting gems/crystals. #MidWinterSecretSanta,1520866122798534656,SineadNZ98
"Well, twitter deleted all of my past scheduling posts, as it goes against their terms and conditions. So now I’m opening up the 🍭candy shoppe🍭 and letting you know shoppe hours each week. So much candy to fulfill your sweet tooth needs!💦",1520865457275691008,kelcaineXxX
Caramel Apple Dip: Satisfy Your Sweet Tooth with This Cream Cheese Apple Dip - https://t.co/D16wTs8BHT #food #chef https://t.co/ODw3M7cZy2,1520865447691927553,SaltsWorldwide
"Got a sweet tooth, but I stay away from suckas 🤪",1520864680062894082,Beba3x
"My love story triangle goes like this:
A) I'm a polygamous billionaire with two wives, a magical boy who release pearls while cumming and a gorgeous baker with a sweet tooth. Both ends up leaving me, the pearly leaves me for a mafia thug and the baker for his first childhood love https://t.co/EL62ZNGeSm https://t.co/MJ2lF8lZqD",1520863365630898177,taikasienia
"Hints for my #MidWinterSecretSanta 
I love books, cats, dragons and cross stitch. I have a sweet tooth and love chocolate. My favourite colour is red.",1520860423524069376,justaddbooks
"Sweet Tooth 
Blood of Zeus https://t.co/HqD2foPAhf",1520859953757622272,edsonnluiss
Freezing whipped topping is the best snack! I don’t have a “sweet tooth” I have a mouth full of sweet teeth lol but I am getting better at choosing snacks to keep the calories and sugar at a limit. The whipped topping taste just like vanilla ice cream!,1520859016511082496,michaelarene__
Watching Sweet Tooth on Netflix https://t.co/pNM2pQrRRy,1520858809073385472,PizZzaBear
"Can't tell if sweet tooth, or I'm just feeling like eating every delicious sounding treat in existence today.",1520858267550773248,owoatthemoon
Y’all should watch sweet tooth on Netflix I’m addicted it’s so cute &amp; sad,1520857815170142208,evvey__
"We also have desserts.  Satisfy your sweet tooth with one of our delicious desserts❤️

#2NYersPizza
https://t.co/fcQWhiPidy

#PizzaInDuluth #Pizzeria #PizzaPlace #Desserts #ChocolateCake #CheeseCake #Brownies #SweetTooth #Sweets #Food #Foodie #ExploreGwinnett #Eatlocal https://t.co/V54ervT6z2",1520855897827909632,2NYersPizza
"I have a serious sweet tooth.
Cake, ice cream, pie, candy, dark chocolate, donuts, popsicles, dozen yogurt, tarts, cookies… https://t.co/nevaaF5zLS",1520855751224401921,CrissySanders20
"Unpopular opinion here.
I feel like Stiled doesn't have a sweet tooth, he's the kind to like his coffee black and without sugar or creamer.
Derek on the other hand has z sweet tooth, and once he's well settled, he liked to indulge.
Just like i think he's a great cook but is (1/2) https://t.co/P0d41Mlt9D",1520855742936489987,sore_soren
"“I got a sweet tooth, but I stay away from suckers!” YUSSS I FELT THAT YOUNG DOLPH 👏🏻",1520855291163721729,obvisitsval
"Aww my sweet little girl's picking daddy some get well flowers. I fucking love my dog. She trains with sword like me and has been loving on my lap all day. Does she know i got tooth pain from my abcess?

I love you Harley my little Girl. Such a ray of sunshine at times. ❤🙂 https://t.co/cW1lLTl7oA",1520848444386066432,ZharrJWolf
Sweet tooth in twisted metal is so underrated. OP brothers https://t.co/5Dp13Sd8zE,1520844619432480771,iAmMikeWill_
"Meet Silas Starseeker~ 🐐⭐✨
A nerdy goat boy with a huge sweet tooth and a knack for wizardry.

The first in a line of free-to-use d3lt4run3 inspired OCs. So you can draw art of him (either sfw or nsfw), no credit is required. You can even make him your sona for all I care. https://t.co/LZjuIxG5Sc",1520844224689852416,QueenSk8rBun
My sweet tooth is ridiculous,1520843602368339969,SheDoughpe
mas aqui sweet tooth volta quando hein netflix?,1520840917657260038,whytitaa
Caramel Apple Dip: Satisfy Your Sweet Tooth with This Cream Cheese Apple Dip - https://t.co/D16wTs8BHT #food #chef https://t.co/roITQp89ef,1520838555647586304,SaltsWorldwide
Caramel Apple Dip: Satisfy Your Sweet Tooth with This Cream Cheese Apple Dip - https://t.co/D16wTs8BHT #food #chef https://t.co/M3O7pO11ow,1520837759828697088,SaltsWorldwide
Sweet Madam Blue..  Madam.. typo's.  My keyboard is acting a fool w blue tooth or driver issues.  Havn't sorted it yet. https://t.co/kmNwwGXodH,1520832515468103683,UncleIdiot
sweet tooth for you,1520831113039474688,nothinkjustvivi
Cucumber &amp; Melon Calming Spa Bath &amp; Body Gift Basket $72.59 https://t.co/Wh1BjQ2MAO Flowering French lavender will surround her with it's soothing and relaxing properties while the decadent Lindt white chocolate bar will nourish her sweet tooth. We've included moisture rich bo... https://t.co/18cmDxVSp2,1520829899027533824,giftsbaskets4
This is what happens when the broadcasters have a sweet tooth and have been staring at a Sweet Spot food booth all week at the ballpark. https://t.co/YKtTYGaZ9T,1520829868036050953,TrickyCNS7
"A: Well, I know youalways have a sweet tooth, so I make a fruit dessert. You'll know it's low-cal.",1520828514479624193,oAl0Z5F61lCg1yB
Eat each of them at my uncle place 4 hours ago then suddenly my allergy show up now. I have a sweet tooth but my sugar allergy keep showing up 😔 https://t.co/ZBLX6lIFlb,1520825051729203200,tetapbersemi
I have the sweetest sweet tooth right now but I don’t want any of the sweets in my house. #ThisIsBad #sundayvibes,1520824481975095299,tikatoldu
