full_text,tweet_id,screen_name
Injury forces Taylor Fritz to withdraw late from Madrid https://t.co/sApRVo2oQ3,1520885743090081794,itennis4
"Jenson Brooksby plays Taylor Harry Fritz later today in Madrid Open.

They have met once previously with Jenson Brooksby winning however today our algorithm thinks Taylor Harry Fritz will win with a 50.64% chance.

#MadridOpen #ATP1000 #ATPTour",1520855750398074881,Tennis4Cast_
Taylor Fritz withdraws from the Madrid Open due to injury  https://t.co/sRbnZ2BAfb https://t.co/uInP2frLKH,1520783912972304384,TennisInfinity1
Injury forces Taylor Fritz to withdraw late from Madrid https://t.co/wTo5B9RXfD,1520736714234359809,RonSmit45793507
Injury forces Taylor Fritz to withdraw late from Madrid https://t.co/9uKPtYxkcW https://t.co/WOpwQ1Amfs,1520711939781009409,TennisworldUSA
Injury forces Taylor Fritz to withdraw late from Madrid https://t.co/MgUZbV7Bfs,1520705606520389632,Sportscri_tweet
Injury forces Taylor Fritz to withdraw late from Madrid https://t.co/9waWGQ5ef5 https://t.co/bidztvImeD,1520702958467354624,TennisWorlden
https://t.co/LnzKGO7KJL Injury forces Taylor Fritz to withdraw late from Madrid: Fritz wonand#039;t be making his third Madrid appearance this year. https://t.co/dMzgwLzGFJ https://t.co/divzI8rBgi,1520701319610179585,_TennisCoaching
"Jenson Brooksby plays Taylor Fritz later today in Madrid Open.

Our Algorithm thinks Taylor Fritz will win with a 58.69% chance.

#MadridOpen #ATP1000 #ATPTour",1520659423416442882,Tennis4Cast_
"Taylor Fritz: Net Worth in 2022, Wife, Endorsements https://t.co/qP5HbQOZpe via @Surprise_Sports",1520635729801490432,SwissNetInc
Taylor Fritz: Withdraws from Madrid - https://t.co/uBowwBXAz1,1520483246047440898,RotoWireTennis
"Finally, that ankle injury form Indian Wells is acting up for Taylor Fritz?🤐

Never the less,  Jenson Brooksby 🐐 can get his season on clay started with a win. https://t.co/6QvGlA6YbZ",1520400174295973889,funnyzeitgist
"Taylor fritz is a genius 
Wishing him a speedy recovery.
Good luck @Taylor_Fritz97 https://t.co/MOe5GqUv7X https://t.co/YzP9eQYYVh",1520397534161936384,SwaminathanSur4
Taylor Fritz withdrawing from Madrid I am MISERABLE,1520376633554874368,kenzmckey
"Most Wins on ATP Tour in 2022

1T. Miomir Kecmanovic 24
1T. Stefanos Tsitsipas 24 
3T. Carlos Alcaraz 23
3T. Andrey Rublev 23
5T. Rafael Nadal 20
5T. Taylor Fritz 20",1520289501100363777,KecmanovicFans
It looks like we are getting a Taylor Fritz-Jenson Brooksby first-round match. Very much looking forward to that one. #ATPMadrid,1520088031486787584,dekelloyd
