full_text,tweet_id,screen_name
the marvelous mrs maisel is so fucking genius bro it’s so funny this is by far the absolute best show ever created,1520914415700299781,letmeputahexonu
Did you know they used actual necromancy to bring back Lenny Bruce from the dead for Marvelous Mrs. Maisel? They have to offer several sacrifices a day to the dark one but the effort really shows!,1520896978812555265,cl_ackermann
I've just watched episode S04 | E07 of The Marvelous Mrs. Maisel! https://t.co/ciVHG03XOH #tvtime https://t.co/AWZEmEvl7e,1520894479724593158,de2bi1e
"Another great season of The Marvelous Mrs Maisel. This show is funny, dark, subtle, hysterical, all at one. People don't talk about it enough. But this is top top tier content.",1520887493633052674,nrafsan58
I've just watched episode S04 | E04 of The Marvelous Mrs. Maisel! #marvelousmrsmaisel  https://t.co/9H8iRt5orP #tvtime https://t.co/nupXPav0Ii,1520859348788035587,alexlp_series
I've just watched episode S01 | E05 of The Marvelous Mrs. Maisel! https://t.co/SG3YYCk3Ye #tvtime https://t.co/xSrRrSsiWq,1520855949229105152,Bl4ckPhillip
I've just watched episode S04 | E01 of The Marvelous Mrs. Maisel! #marvelousmrsmaisel #marvelousmrsmaisel  https://t.co/F94W644xUP #tvtime https://t.co/U9JrhAxnVk,1520851414821527553,o_brunomdc
Went didn't anyone tell me about The Marvelous Mrs. Maisel? It's fab!,1520836485431406593,CuzIze
"@ZacharyLevi is a tremendous addition to @MaiselTV The Marvelous Mrs. Maisel - season 2.
Big fan since Chuck 💖 https://t.co/SfWfcPsk8q",1520834903683829760,f1paddockgirls
I've just watched episode S03 | E04 of The Marvelous Mrs. Maisel! #marvelousmrsmaisel  https://t.co/lwF2TWnvLV #tvtime https://t.co/1ub2xVta3B,1520828101470601216,sabriya_13
Just found out Luke Kirby from The Marvelous Mrs.Maisel stars in a Ted Bundy movie. 🤓 Now I gotta watch! https://t.co/WBZVzr6crY,1520827970281168897,_mindy_day
I've just watched episode S01 | E08 of The Marvelous Mrs. Maisel! #marvelousmrsmaisel https://t.co/LNeJOP0Cxp #tvtime https://t.co/QwSuCRa5zX,1520808241915121667,monteiwho
